Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,7364.7974362515,6939.905276468,7789.689596035,7010.720636432,6601.0
2006-12-27,7010.720636432,6656.643836612,7152.35135636,6656.643836612,9431.0
2007-01-04,6798.27455654,6798.27455654,6798.27455654,6798.27455654,3300.0
2007-01-09,6798.27455654,6656.643836612,6798.27455654,6656.643836612,8252.0
2007-01-10,6798.27455654,6798.27455654,6798.27455654,6798.27455654,7073.0
2007-01-11,6720.3776605795,6656.643836612,6784.111484547,6784.111484547,5187.0
2007-01-12,6812.437628533,6812.437628533,6812.437628533,6812.437628533,6365.0
2007-01-15,6755.785340561501,6727.459196576,6784.111484547,6784.111484547,5422.0
2007-01-16,6784.111484547,6769.948412554,6869.089916504,6826.600700525,10138.0
2007-01-17,6939.905276468,6939.905276468,6939.905276468,6939.905276468,235.0
2007-01-18,7046.128316414,7010.720636432,7081.535996396,7081.535996396,4715.0
2007-01-19,7223.166716324,7223.166716324,7223.166716324,7223.166716324,1178.0
2007-01-22,7329.38975627,7293.982076288,7364.797436252,7364.797436252,9195.0
2007-01-23,7364.797436252,7364.797436252,7506.428156179,7378.960508244,14618.0
2007-01-24,7506.4281561795,7435.612796216,7577.243516143,7506.428156179,8016.0
2007-01-25,7648.058876107,7577.243516143,7718.874236071,7718.874236071,3065.0
2007-01-29,7789.689596035,7789.689596035,7789.689596035,7789.689596035,235.0
2007-01-30,8568.658555639,8568.658555639,8568.658555639,8568.658555639,943.0
2007-01-31,9418.442875206,9418.442875206,9418.442875206,9418.442875206,33244.0
2007-02-01,10353.205626731,10353.205626731,10353.205626731,10353.205626731,471.0
2007-02-02,11387.109882204,11387.109882204,11387.109882204,11387.109882204,2829.0
2007-02-05,12520.155641628,12520.155641628,12520.155641628,12520.155641628,1178.0
2007-02-06,13766.505976993,13766.505976993,13766.505976993,13766.505976993,14618.0
2007-02-07,15005.7747763625,14871.225592431,15140.323960294,15140.323960294,27821.0
2007-02-08,16570.794231566,16570.794231566,16570.794231566,16570.794231566,5187.0
2007-02-09,16570.794231566,16570.794231566,16570.794231566,16570.794231566,7073.0
2007-02-12,16570.794231566,14913.714808409,16570.794231566,14913.714808409,4715.0
2007-02-13,14913.714808409,14446.333432647,15296.117752215,14446.333432647,11788.0
2007-02-14,14963.285560384,14786.247160474,15140.323960294,15140.323960294,707.0
2007-02-15,16145.902071782,16145.902071782,16145.902071782,16145.902071782,471.0
2007-02-26,17236.458615227,16712.424951494,17760.49227896,17420.578551133,12496.0
2007-02-27,18546.5427745605,18128.732150773,18964.353398348,18411.993590629,3065.0
2007-02-28,18411.993590629,18411.993590629,20267.356021685,18411.993590629,1414.0
2007-03-01,17987.101430845,17987.101430845,17987.101430845,17987.101430845,1178.0
2007-03-02,17987.101430845,17987.101430845,19545.039350052,19120.147190268,4715.0
2007-03-05,19120.147190268,18836.885750413,19828.300789908,18836.885750413,1886.0
2007-03-06,18836.885750413,18411.993590629,18836.885750413,18836.885750413,2829.0
2007-03-07,18341.178230665,18341.178230665,18341.178230665,18341.178230665,1178.0
2007-03-08,16988.6048553535,16981.523319357,16995.68639135,16995.68639135,3772.0
2007-03-09,16641.60959153,16570.794231566,16712.424951494,16570.794231566,1650.0
2007-03-12,16570.794231566,14970.367096381,16570.794231566,14970.367096381,2593.0
2007-03-13,14382.599608679498,13893.973624928,14871.225592431,13893.973624928,5187.0
2007-03-14,13893.973624928,13879.810552936,14347.191928698,14304.702712719,9902.0
2007-03-15,14304.702712719,13313.287673224,15593.542264063,14304.702712719,7309.0
2007-03-16,15168.65010428,15168.65010428,15168.65010428,15168.65010428,2357.0
2007-03-19,16004.271351854,16004.271351854,16004.271351854,16004.271351854,4479.0
2007-03-20,14446.333432647,14446.333432647,14446.333432647,14446.333432647,943.0
2007-03-21,15381.0961841715,14871.225592431,15890.966775912,14871.225592431,5658.0
2007-03-22,14403.844216669,14078.093560835,14729.594872503,14078.093560835,5187.0
2007-03-23,14078.093560835,13214.146169274,15154.487032287,13214.146169274,13203.0
2007-03-26,14793.3286964705,14163.071992791,15423.58540015,14163.071992791,11788.0
2007-03-27,13469.081465145,13469.081465145,13469.081465145,13469.081465145,5422.0
2007-03-28,12746.764793512,12746.764793512,12746.764793512,12746.764793512,1178.0
2007-03-29,14021.441272864,14021.441272864,14021.441272864,14021.441272864,471.0
2007-03-30,14793.3286964705,14163.071992791,15423.58540015,14163.071992791,5187.0
2007-04-04,13426.592249166,13426.592249166,13426.592249166,13426.592249166,943.0
2007-04-06,12746.764793512,12746.764793512,12746.764793512,12746.764793512,2357.0
2007-04-09,12746.764793512,12746.764793512,12746.764793512,12746.764793512,707.0
2007-04-12,12746.764793512,12746.764793512,14021.441272864,14021.441272864,6130.0
2007-04-13,14021.441272864,13313.287673224,14163.071992791,13313.287673224,2121.0
2007-04-16,13313.287673224,12746.764793512,13454.918393152,12746.764793512,1414.0
2007-04-17,12534.31871362,12463.503353656,12605.134073584,12463.503353656,1650.0
2007-04-18,11259.642234269,11259.642234269,11259.642234269,11259.642234269,2593.0
2007-04-19,11472.088314161,11330.457594233,11613.719034089,11472.088314161,6837.0
2007-04-23,12074.018873855,11755.349754017,12392.687993693,12392.687993693,2357.0
2007-04-24,11188.826874305,11047.196154377,11330.457594233,11047.196154377,3536.0
2007-04-25,11330.457594233,11330.457594233,11330.457594233,11330.457594233,235.0
2007-05-03,11613.719034089,11613.719034089,11613.719034089,11613.719034089,1414.0
2007-05-08,11118.011514341,10905.565434449,11330.457594233,10905.565434449,9431.0
2007-05-09,11472.088314161,11330.457594233,11613.719034089,11613.719034089,943.0
2007-05-10,11047.196154377,11047.196154377,11047.196154377,11047.196154377,471.0
2007-05-11,10905.565434449,10905.565434449,10905.565434449,10905.565434449,235.0
2007-05-17,11188.826874305,11188.826874305,11188.826874305,11188.826874305,235.0
2007-05-18,10940.973114431,10905.565434449,10976.380794413,10905.565434449,2593.0
2007-05-21,10905.565434449,10905.565434449,11996.121977894,11996.121977894,7073.0
2007-05-22,11996.121977894,11698.697466046,12860.069369455,12860.069369455,27821.0
2007-05-23,12860.069369455,12038.611193873,13724.016761015,12038.611193873,9195.0
2007-05-24,11564.148282114,11514.577530139,11613.719034089,11514.577530139,3065.0
2007-05-25,10445.265594684,10409.857914702,10480.673274666,10480.673274666,5187.0
2007-05-28,10976.3807944135,10622.303994594,11330.457594233,11330.457594233,5658.0
2007-05-29,11896.980473945,11755.349754017,12038.611193873,11896.980473945,8016.0
2007-05-30,11896.980473945,11755.349754017,11896.980473945,11882.817401952,7544.0
2007-05-31,11684.534394053,11613.719034089,11755.349754017,11741.186682024,5422.0
2007-06-01,11741.186682024,11330.457594233,11896.980473945,11896.980473945,1886.0
2007-06-04,11401.272954197,11330.457594233,11472.088314161,11472.088314161,1414.0
2007-06-05,11472.088314161,10622.303994594,11472.088314161,10622.303994594,7780.0
2007-06-06,10622.303994594,10622.303994594,11330.457594233,10622.303994594,3536.0
2007-06-07,11040.114618381,11033.033082385,11047.196154377,11047.196154377,6365.0
2007-06-08,11047.196154377,10622.303994594,11613.719034089,10905.565434449,5422.0
2007-06-12,11040.114618381,11033.033082385,11047.196154377,11047.196154377,3065.0
2007-06-13,11047.196154377,10891.402362457,11174.663802312,10891.402362457,5894.0
2007-06-14,10891.402362457,10763.934714521,10905.565434449,10763.934714521,3065.0
2007-06-15,10763.934714521,10763.934714521,10763.934714521,10763.934714521,3300.0
2007-06-18,10763.934714521,10693.119354558,10778.097786514,10693.119354558,9902.0
2007-06-19,10693.119354558,10622.303994594,10763.934714521,10650.630138579,2829.0
2007-06-21,10693.119354558,10693.119354558,10693.119354558,10693.119354558,707.0
2007-06-22,10693.119354558,10678.956282565,10735.608570536,10693.119354558,3300.0
2007-06-25,10275.3087307705,9928.313466947,10622.303994594,10339.042554738,4479.0
2007-06-26,9984.965754918,9772.519675026,10197.41183481,9999.128826911,4479.0
2007-06-27,9807.927355008,9701.704315062,9914.150394954,9914.150394954,5187.0
2007-06-28,9630.888955098,9630.888955098,9630.888955098,9630.888955098,2357.0
2007-06-29,9503.421307163,9489.25823517,9517.584379156,9517.584379156,1414.0
2007-07-03,9899.987322961,9899.987322961,9899.987322961,9899.987322961,235.0
2007-07-04,9899.987322961,9616.725883105,9914.150394954,9914.150394954,4951.0
2007-07-05,9914.150394954,9914.150394954,9914.150394954,9914.150394954,235.0
2007-07-06,9064.366075387,9064.366075387,9064.366075387,9064.366075387,471.0
2007-07-10,9276.812155278,9205.996795314,9347.627515242,9205.996795314,2121.0
2007-07-11,9489.25823517,9489.25823517,9489.25823517,9489.25823517,943.0
2007-07-12,9489.25823517,8540.332411653,9560.073595134,8781.104635531,4008.0
2007-07-13,8781.104635531,8639.473915603,8837.756923502,8837.756923502,1886.0
2007-07-16,8533.250875656999,8356.212475747,8710.289275567,8710.289275567,4008.0
2007-07-17,8356.212475747001,8285.397115783,8427.027835711,8356.212475747,3772.0
2007-07-18,8356.212475747,8214.581755819,8427.027835711,8427.027835711,5894.0
