Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-22,4371.33903797,3973.944579973,4768.733495967,3973.944579973,20391.0
2009-12-23,3973.944579973,3973.944579973,3973.944579973,3973.944579973,1742.0
2009-12-24,3973.944579973,3814.986796774,3973.944579973,3973.944579973,3311.0
2009-12-25,3973.944579973,3894.465688373,4053.423471572,3894.465688373,11154.0
2009-12-28,3981.892469133,3973.944579973,3989.840358293,3973.944579973,20391.0
2009-12-29,3973.944579973,3894.465688373,3989.840358293,3894.465688373,9411.0
2009-12-30,3894.465688373,3656.029013575,3989.840358293,3751.403683494,14988.0
2009-12-31,3989.8403582925,3973.944579973,4005.736136612,3973.944579973,37296.0
2010-01-04,4156.7460306515,4053.423471572,4260.068589731,4260.068589731,86966.0
2010-01-05,4458.765818729,4450.817929569,4466.713707889,4450.817929569,65704.0
2010-01-06,4450.817929569,4212.381254771,4609.775712768,4466.713707889,21436.0
2010-01-07,4466.713707889,4101.110806532,4530.296821169,4101.110806532,8888.0
2010-01-08,4101.110806532,4005.736136612,4164.693919811,4005.736136612,31022.0
2010-01-11,3807.038907614,3799.091018454,3814.986796774,3814.986796774,1568.0
2010-01-12,3814.986796774,3560.654343655,3989.840358293,3656.029013575,25096.0
2010-01-13,3656.029013575,3560.654343655,4069.319249892,3973.944579973,25968.0
2010-01-14,3973.944579973,3687.820570215,4053.423471572,3973.944579973,28059.0
2010-01-15,3973.944579973,3719.612126854,3989.840358293,3989.840358293,14813.0
2010-01-18,3989.840358293,3703.716348534,4069.319249892,3973.944579973,66924.0
2010-01-19,3973.944579973,3703.716348534,4053.423471572,4005.736136612,8714.0
2010-01-20,4005.736136612,4005.736136612,4275.964368051,4275.964368051,103872.0
2010-01-21,4403.1305946095,4291.86014637,4514.401042849,4514.401042849,46881.0
2010-01-22,4514.401042849,4450.817929569,4816.420830927,4593.879934448,24050.0
2010-01-25,4593.879934448,4355.44325965,4609.775712768,4371.33903797,11851.0
2010-01-26,4371.33903797,4228.277033091,4450.817929569,4419.02637293,45487.0
2010-01-27,4419.02637293,4117.006584852,4482.609486209,4164.693919811,14116.0
2010-01-28,4085.215028212,4037.527693252,4132.902363172,4037.527693252,7319.0
2010-01-29,4037.527693252,3799.091018454,4069.319249892,4069.319249892,21262.0
2010-02-01,3950.1009124925,3846.778353413,4053.423471572,4053.423471572,4008.0
2010-02-02,4053.423471572,3989.840358293,4196.485476451,4005.736136612,5577.0
2010-02-03,4037.527693252,4037.527693252,4037.527693252,4037.527693252,2962.0
2010-02-04,4037.527693252,3989.840358293,4291.86014637,4260.068589731,1394.0
2010-02-05,4260.068589731,4021.631914932,4419.02637293,4053.423471572,16208.0
2010-02-08,4053.423471572,3894.465688373,4053.423471572,3894.465688373,5751.0
2010-02-09,3965.996690813,3942.153023333,3989.840358293,3942.153023333,6971.0
2010-02-10,3942.153023333,3814.986796774,3989.840358293,3846.778353413,13071.0
2010-02-11,3751.403683494,3751.403683494,3751.403683494,3751.403683494,2265.0
2010-02-12,3997.7882474525,3989.840358293,4005.736136612,4005.736136612,8714.0
2010-02-22,4228.277033091,4180.589698131,4275.964368051,4180.589698131,1568.0
2010-02-23,4132.902363172,4132.902363172,4132.902363172,4132.902363172,174.0
2010-02-24,4132.902363172,3894.465688373,4132.902363172,4053.423471572,4182.0
2010-02-25,4053.423471572,3973.944579973,4053.423471572,3973.944579973,2439.0
2010-02-26,3973.944579973,3894.465688373,4069.319249892,4069.319249892,1917.0
2010-03-01,4164.693919811,4164.693919811,4164.693919811,4164.693919811,522.0
