Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,23247.341091824,23247.341091824,23247.341091824,23247.341091824,10.0
2006-12-29,23247.341091824,23247.341091824,23247.341091824,23247.341091824,0.0
2007-01-02,23247.341091824,23247.341091824,23247.341091824,23247.341091824,0.0
2007-01-03,23247.341091824,22096.482621931,23247.341091824,22096.482621931,10.0
2007-01-04,22096.482621931,22096.482621931,22096.482621931,22096.482621931,0.0
2007-01-05,22096.482621931,22096.482621931,22096.482621931,22096.482621931,0.0
2007-01-08,22096.482621931,21175.795846018,22096.482621931,21175.795846018,10.0
2007-01-09,21175.795846018,20140.023223115,21175.795846018,20140.023223115,10.0
2007-01-10,20140.023223115,20140.023223115,20140.023223115,20140.023223115,0.0
2007-01-11,20140.023223115,20140.023223115,20140.023223115,20140.023223115,100.0
2007-01-12,20140.023223115,20140.023223115,20140.023223115,20140.023223115,0.0
2007-01-15,19219.336447201,19219.336447201,19219.336447201,19219.336447201,10.0
2007-01-16,19219.336447201,19219.336447201,19219.336447201,19219.336447201,0.0
2007-01-17,19219.336447201,19219.336447201,19219.336447201,19219.336447201,0.0
2007-01-18,19219.336447201,18298.649671287,19219.336447201,18298.649671287,10.0
2007-01-19,18298.649671287,17493.048742362,18298.649671287,17493.048742362,620.0
2007-01-22,17493.048742362,17493.048742362,17493.048742362,17493.048742362,0.0
2007-01-23,17493.048742362,16687.447813438,17493.048742362,16687.447813438,410.0
2007-01-24,16687.447813438,15881.846884513,16687.447813438,15881.846884513,10.0
2007-01-25,15881.846884513,15191.331802578,15881.846884513,15191.331802578,400.0
2007-01-26,15191.331802578,14500.816720643,15191.331802578,14500.816720643,60.0
2007-01-29,14500.816720643,13810.301638707,14500.816720643,13810.301638707,2310.0
2007-01-30,13810.301638707,13119.786556772,13810.301638707,13119.786556772,2550.0
2007-01-31,13119.786556772,12544.357321826,13119.786556772,12544.357321826,2750.0
2007-02-01,11968.92808688,11968.92808688,11968.92808688,11968.92808688,4260.0
2007-02-02,11370.481682536,11370.481682536,11370.481682536,11370.481682536,2920.0
2007-02-05,10818.069616987,10818.069616987,10818.069616987,10818.069616987,2750.0
2007-02-06,10818.069616987,10288.674720837,11209.361496751,11209.361496751,37030.0
2007-02-07,11209.361496751,11163.327157955,11209.361496751,11163.327157955,43700.0
2007-02-08,10760.5266934925,10702.983769998,10818.069616987,10702.983769998,5130.0
2007-02-09,10173.588873848,10173.588873848,10173.588873848,10173.588873848,17570.0
2007-02-12,9724.7540705895,9667.211147095,9782.296994084,9667.211147095,16870.0
2007-02-13,9667.211147095,9667.211147095,9667.211147095,9667.211147095,18000.0
2007-02-14,9966.434349267,9782.296994084,10150.57170445,10150.57170445,16460.0
2007-02-15,10656.949431202,10656.949431202,10656.949431202,10656.949431202,23090.0
2007-02-26,10656.949431202,10656.949431202,11186.344327353,11186.344327353,12030.0
2007-02-27,11738.756392901,11738.756392901,11738.756392901,11738.756392901,3560.0
2007-02-28,11738.756392901,11163.327157955,12314.185627847,11163.327157955,24980.0
2007-03-01,11163.327157955,10610.915092407,11163.327157955,11163.327157955,17760.0
2007-03-02,11163.327157955,10818.069616987,11163.327157955,11163.327157955,13870.0
2007-03-05,11393.498851933498,11278.413004944,11508.584698923,11508.584698923,14520.0
2007-03-06,12026.4710103745,11968.92808688,12084.013933869,12084.013933869,20320.0
2007-03-07,12659.443168815,12659.443168815,12659.443168815,12659.443168815,32750.0
2007-03-08,13177.3294802665,13119.786556772,13234.872403761,13234.872403761,21800.0
2007-03-09,13810.301638707,13810.301638707,13810.301638707,13810.301638707,34950.0
2007-03-12,13810.301638707,13810.301638707,14500.816720643,13810.301638707,24530.0
2007-03-13,13810.301638707,13349.95825075,13810.301638707,13349.95825075,14780.0
2007-03-14,12889.614862793,12889.614862793,12889.614862793,12889.614862793,8400.0
2007-03-15,12889.614862793,12314.185627847,12889.614862793,12314.185627847,9430.0
2007-03-16,11738.756392901,11738.756392901,11738.756392901,11738.756392901,4730.0
2007-03-19,11738.756392901,11738.756392901,12314.185627847,12314.185627847,15070.0
2007-03-20,12659.4431688145,12429.271474836,12889.614862793,12659.443168815,22260.0
2007-03-21,12659.443168815,12659.443168815,12889.614862793,12659.443168815,12800.0
2007-03-22,12659.443168815,12084.013933869,12659.443168815,12084.013933869,1340.0
2007-03-23,11612.161961213,11485.567529525,11738.756392901,11485.567529525,2300.0
2007-03-26,11048.241310966,10933.155463977,11163.327157955,10933.155463977,2810.0
2007-03-27,10933.155463977,10403.760567826,10933.155463977,10403.760567826,2460.0
2007-03-28,9954.925764568,9897.382841073,10012.468688063,9897.382841073,6600.0
2007-03-29,9897.382841073,9897.382841073,10380.743398428,10380.743398428,4090.0
2007-03-30,10852.595371084,10818.069616987,10887.121125181,10818.069616987,15300.0
2007-04-02,10818.069616987,10818.069616987,11278.413004944,10818.069616987,8940.0
2007-04-03,10818.069616987,10288.674720837,10818.069616987,10288.674720837,5180.0
2007-04-04,10587.897923009,10587.897923009,10587.897923009,10587.897923009,2410.0
2007-04-05,10587.897923009,10587.897923009,10818.069616987,10818.069616987,3440.0
2007-04-06,10818.069616987,10288.674720837,10818.069616987,10288.674720837,1240.0
2007-04-09,10288.674720837,10288.674720837,10288.674720837,10288.674720837,3460.0
2007-04-10,10288.674720837,10127.554535052,10288.674720837,10127.554535052,3030.0
2007-04-11,10127.554535052,10127.554535052,10127.554535052,10127.554535052,3250.0
2007-04-12,10127.554535052,9986.572331117,10221.550503614,10104.061417366,2100.0
2007-04-13,10104.061417366,9634.105072372,10104.061417366,9634.105072372,4140.0
2007-04-16,9340.3823567505,9164.148727378,9516.615986123,9164.148727378,4440.0
2007-04-17,8717.690199634,8717.690199634,8717.690199634,8717.690199634,6910.0
2007-04-18,8717.690199634,8717.690199634,9140.650910128,9140.650910128,5940.0
2007-04-19,9587.109437873,9587.109437873,9587.109437873,9587.109437873,12380.0
2007-04-20,9587.109437873,9587.109437873,9587.109437873,9587.109437873,2400.0
2007-04-23,9281.6378136265,9164.148727378,9399.126899875,9164.148727378,1970.0
2007-04-24,9164.148727378,8717.690199634,9164.148727378,8717.690199634,4110.0
2007-04-25,9140.650910128,9140.650910128,9140.650910128,9140.650910128,850.0
2007-05-02,9140.650910128,8717.690199634,9140.650910128,8717.690199634,100.0
2007-05-03,8717.690199634,8717.690199634,9046.65964113,8929.170554881,1280.0
2007-05-04,8929.170554881,8811.681468633,8929.170554881,8811.681468633,700.0
2007-05-07,8811.681468633,8811.681468633,9164.148727378,8811.681468633,2920.0
2007-05-08,9199.3954532525,9164.148727378,9234.642179127,9164.148727378,5680.0
2007-05-09,9164.148727378,9164.148727378,9281.637813627,9281.637813627,7610.0
2007-05-10,9281.637813627,8835.179285883,9281.637813627,8835.179285883,400.0
2007-05-11,8835.179285883,8811.681468633,8835.179285883,8811.681468633,5450.0
2007-05-14,8811.681468633,8694.192382384,8811.681468633,8694.192382384,4900.0
2007-05-15,8435.716392638,8294.72948914,8576.703296136,8576.703296136,18250.0
2007-05-16,8576.703296136,8365.222940889,8576.703296136,8576.703296136,4950.0
2007-05-17,8576.703296136,8459.214209888,8576.703296136,8459.214209888,7400.0
2007-05-18,8341.725123639,8341.725123639,8341.725123639,8341.725123639,9200.0
2007-05-21,8224.236037391,8224.236037391,8224.236037391,8224.236037391,16930.0
2007-05-22,8224.236037391,8224.236037391,8271.23167189,8271.23167189,10100.0
