Date,Price Open,Price Low,Price High,Price Close,Volume
2009-04-20,2278.0626844985,2144.058997175,2412.066371822,2396.301232137,8224297.0
2009-04-21,2396.301232137,2222.884695601,2427.831511507,2427.831511507,3041641.0
2009-04-22,2538.187489303,2538.187489303,2538.187489303,2538.187489303,1678637.0
2009-04-23,2711.604025839,2711.604025839,2711.604025839,2711.604025839,2699901.0
2009-04-24,2711.604025839,2538.187489303,2869.25542269,2664.308606784,7956917.0
2009-04-27,2664.308606784,2506.657209933,2758.899444895,2727.369165524,5189379.0
2009-04-28,2727.369165524,2601.248048044,2743.13430521,2727.369165524,4090196.0
2009-04-29,2727.369165524,2680.073746469,2727.369165524,2695.838886154,3683589.0
2009-05-04,2853.4902830055,2806.19486395,2900.785702061,2900.785702061,8487721.0
2009-05-05,3042.6719592265,2995.376540171,3089.967378282,3058.437098912,6880674.0
2009-05-06,3058.437098912,2885.020562376,3184.558216393,2900.785702061,3223190.0
2009-05-07,3050.5545290695,2948.081121116,3153.027937023,3105.732517967,4725816.0
2009-05-08,2971.7288306435003,2869.25542269,3074.202238597,2963.846260801,7898774.0
2009-05-11,2963.846260801,2853.490283005,3026.906819542,2916.550841746,4534774.0
2009-05-12,2916.550841746,2806.19486395,2963.846260801,2932.315981431,4529632.0
2009-05-13,2932.315981431,2900.785702061,2995.376540171,2932.315981431,3133009.0
2009-05-14,2814.077433793,2743.13430521,2885.020562376,2869.25542269,2555532.0
2009-05-15,2869.25542269,2837.72514332,3011.141679856,3011.141679856,5312390.0
2009-05-18,3011.141679856,2948.081121116,3011.141679856,2979.611400486,5561575.0
2009-05-19,3105.7325179675,3026.906819542,3184.558216393,3184.558216393,8857939.0
2009-05-20,3184.558216393,3184.558216393,3373.739892614,3357.974752929,6262458.0
2009-05-21,3357.974752929,3294.914194189,3531.391289465,3531.391289465,6496217.0
2009-05-22,3531.391289465,3310.679333874,3625.982127576,3468.330730725,4891544.0
2009-05-25,3468.330730725,3310.679333874,3673.277546631,3673.277546631,5339286.0
2009-05-26,3673.277546631,3673.277546631,3893.989502223,3878.224362538,5755386.0
2009-05-27,3878.224362538,3783.633524427,3988.580340333,3878.224362538,5178700.0
2009-05-28,3759.9858148995,3657.512406946,3862.459222853,3673.277546631,5455968.0
2009-05-29,3846.6940831675,3720.572965687,3972.815200648,3972.815200648,9851515.0
2009-06-01,4161.9968768695,4098.936318129,4225.05743561,4225.05743561,3142106.0
2009-06-02,4500.9473800995,4493.064810257,4508.829949942,4508.829949942,5139542.0
2009-06-03,4508.829949942,4508.829949942,4824.132743644,4824.132743644,7396844.0
2009-06-04,4824.132743644,4713.776765849,5029.079559551,5029.079559551,5438565.0
2009-06-05,5336.4997834105,5328.617213568,5344.382353253,5344.382353253,7428091.0
2009-06-08,5683.332856483,5659.685146955,5706.980566011,5706.980566011,7119971.0
2009-06-09,5706.980566011,5675.450286641,6101.109058139,6101.109058139,9446490.0
2009-06-10,6101.109058139,5580.85944853,6306.055874045,5974.987940658,9811171.0
2009-06-11,5974.987940658,5754.275985066,6227.230175619,6227.230175619,7790398.0
2009-06-12,6227.230175619,5990.753080343,6558.298109007,6148.404477194,6926952.0
2009-06-15,6148.404477194,5864.631962862,6384.881572471,6384.881572471,14444433.0
2009-06-16,5935.5750914445,5643.92000727,6227.230175619,5643.92000727,4763787.0
2009-06-17,5643.92000727,5360.147492938,5833.101683492,5754.275985066,7494144.0
2009-06-18,5754.275985066,5470.503470734,5833.101683492,5628.154867585,4238521.0
2009-06-19,5628.154867585,5502.033750104,5833.101683492,5533.564029474,3095037.0
2009-06-22,5533.564029474,5249.791515142,5643.92000727,5249.791515142,891133.0
2009-06-23,4902.95844207,4902.95844207,4902.95844207,4902.95844207,182735.0
2009-06-24,4902.95844207,4571.890508683,5234.026375457,5234.026375457,6504128.0
2009-06-25,5234.026375457,4887.193302385,5360.147492938,5029.079559551,3889661.0
2009-06-26,5029.079559551,4918.723581755,5249.791515142,5155.200677032,3482659.0
2009-06-29,5155.200677032,5044.844699236,5202.496096087,5170.965816717,2463373.0
2009-06-30,5170.965816717,4887.193302385,5438.973191364,5044.844699236,2591525.0
2009-07-01,4902.958442069999,4839.89788333,4966.01900081,4839.89788333,3638498.0
2009-07-02,4839.89788333,4571.890508683,5060.609838921,4887.193302385,3349365.0
2009-07-03,4698.011626163499,4571.890508683,4824.132743644,4792.602464274,2131917.0
2009-07-06,4973.901570653,4871.4281627,5076.374978606,5076.374978606,3170189.0
2009-07-07,5076.374978606,5044.844699236,5328.617213568,5076.374978606,2044504.0
2009-07-08,5076.374978606,4918.723581755,5092.140118291,5029.079559551,1289038.0
2009-07-09,5029.079559551,4966.01900081,5107.905257976,4981.784140496,1137945.0
2009-07-10,5234.0263754570005,5092.140118291,5375.912632623,5375.912632623,15097852.0
2009-07-13,5659.6851469555,5612.3897279,5706.980566011,5612.3897279,12985711.0
2009-07-14,5612.3897279,5281.321794513,5833.101683492,5360.147492938,3324050.0
2009-07-15,5360.147492938,5202.496096087,5864.631962862,5612.3897279,4322373.0
2009-07-16,5612.3897279,5486.268610419,5833.101683492,5580.85944853,1402952.0
2009-07-17,5580.85944853,5265.556654828,5706.980566011,5281.321794513,1271635.0
2009-07-20,5281.321794513,5013.314419866,5281.321794513,5029.079559551,1034711.0
2009-07-21,5029.079559551,4902.95844207,5186.730956402,5044.844699236,1383966.0
2009-07-22,5044.844699236,4887.193302385,5170.965816717,5107.905257976,1319494.0
2009-07-23,5107.905257976,5013.314419866,5423.208051679,5423.208051679,2551576.0
2009-07-24,5572.976878687,5517.798889789,5628.154867585,5628.154867585,4867416.0
2009-07-27,5840.9842533345,5675.450286641,6006.518220028,5943.457661287,6069043.0
2009-07-28,5943.457661287,5517.798889789,6069.578778768,5580.85944853,4256319.0
2009-07-29,5580.85944853,5438.973191364,5833.101683492,5517.798889789,3098202.0
2009-07-30,5517.798889789,5265.556654828,5628.154867585,5360.147492938,3264325.0
2009-07-31,5494.1511802615005,5391.677772308,5596.624588215,5454.738331049,3679634.0
2009-08-03,5454.738331049,5312.852073883,5643.92000727,5312.852073883,2160791.0
2009-08-04,5509.9163199465,5391.677772308,5628.154867585,5470.503470734,2597458.0
2009-08-05,5470.503470734,5375.912632623,5580.85944853,5423.208051679,2626332.0
2009-08-06,5423.208051679,5123.670397662,5423.208051679,5170.965816717,9867337.0
2009-08-07,5005.431850023,4918.723581755,5092.140118291,4934.48872144,12845693.0
2009-08-10,4934.48872144,4887.193302385,5312.852073883,5107.905257976,9325062.0
2009-08-11,5107.905257976,5029.079559551,5249.791515142,5076.374978606,5578978.0
2009-08-12,5076.374978606,4997.549280181,5123.670397662,4997.549280181,10334064.0
2009-08-13,5170.965816717,5013.314419866,5328.617213568,5076.374978606,10199583.0
2009-08-14,5197.627463084,5092.543237547,5302.711688621,5173.377257191,9243583.0
2009-08-17,5173.377257191,5011.709217904,5189.54406112,5092.543237547,5664413.0
2009-08-18,5003.6258159395,4930.87519826,5076.376433619,5011.709217904,6648101.0
2009-08-19,5011.709217904,4979.375610046,5092.543237547,5027.876021832,5459528.0
2009-08-20,5027.876021832,4979.375610046,5092.543237547,5011.709217904,4549409.0
2009-08-21,5011.709217904,5011.709217904,5318.878492549,5141.043649333,10474083.0
2009-08-24,5141.043649333,5092.543237547,5254.211276835,5157.210453262,5620905.0
2009-08-25,5157.210453262,5060.20962969,5173.377257191,5060.20962969,2936034.0
2009-08-26,5060.20962969,5011.709217904,5092.543237547,5044.042825761,5396638.0
2009-08-27,5044.042825761,4947.042002189,5092.543237547,4995.542413975,5790984.0
2009-08-28,4995.542413975,4882.374786474,5076.376433619,5076.376433619,5709109.0
2009-08-31,5149.127051297501,5092.543237547,5205.710865048,5205.710865048,10836785.0
2009-09-01,5205.710865048,5092.543237547,5221.877668977,5124.876845405,5899755.0
2009-09-03,5124.876845405,4995.542413975,5141.043649333,5011.709217904,5166043.0
2009-09-04,5011.709217904,4882.374786474,5060.20962969,4930.87519826,4249991.0
2009-09-07,4930.87519826,4688.373139329,4963.208806118,4833.874374688,5264926.0
2009-09-08,4833.874374688,4817.707570759,4963.208806118,4914.708394331,3608042.0
2009-09-09,4914.708394331,4785.373962902,4947.042002189,4850.041178616,2938011.0
2009-09-10,4850.041178616,4769.207158973,4850.041178616,4833.874374688,4585007.0
2009-09-11,4833.874374688,4833.874374688,5141.043649333,5124.876845405,11609655.0
2009-09-14,5124.876845405,4979.375610046,5124.876845405,5060.20962969,4147944.0
2009-09-15,5060.20962969,4930.87519826,5092.543237547,5092.543237547,9700026.0
2009-09-16,5092.543237547,5092.543237547,5270.378080763,5238.044472906,12793087.0
2009-09-17,5238.044472906,5205.710865048,5318.878492549,5205.710865048,13726147.0
2009-09-18,5205.710865048,5092.543237547,5254.211276835,5238.044472906,11435225.0
2009-09-21,5238.044472906,5092.543237547,5302.711688621,5205.710865048,6139843.0
