Date,Price Open,Price Low,Price High,Price Close,Volume
2010-09-10,3951.5621960735,3161.249756859,4741.874635288,4741.874635288,215.0
2010-09-30,3572.21222525,3572.21222525,3572.21222525,3572.21222525,9719.0
2010-10-08,3224.474751996,3224.474751996,3224.474751996,3224.474751996,107.0
2010-10-11,2908.34977631,2908.34977631,2908.34977631,2908.34977631,107.0
2010-10-12,2623.837298193,2623.837298193,2623.837298193,2623.837298193,107.0
2010-10-13,2370.937317644,2370.937317644,2370.937317644,2370.937317644,107.0
2010-10-14,2149.649834664,2149.649834664,2149.649834664,2149.649834664,2915.0
2010-10-15,1975.7810980365,1959.974849252,1991.587346821,1959.974849252,10151.0
2010-10-18,1786.1061126255,1770.299863841,1801.91236141,1770.299863841,30563.0
2010-10-19,1675.462371135,1612.237375998,1738.687366272,1738.687366272,82403.0
2010-10-20,1770.299863841,1770.299863841,1770.299863841,1770.299863841,3131.0
2010-10-21,1896.7498541155,1865.137356547,1928.362351684,1865.137356547,10367.0
2010-10-22,1865.137356547,1833.524858978,2118.037337095,1896.749854115,9503.0
2010-10-25,1801.91236141,1801.91236141,1801.91236141,1801.91236141,10691.0
2010-10-26,1801.91236141,1643.849873567,1959.974849252,1833.524858978,14255.0
2010-10-27,1833.524858978,1707.074868704,1833.524858978,1770.299863841,9719.0
2010-10-28,1880.943605331,1801.91236141,1959.974849252,1833.524858978,24947.0
2010-10-29,1833.524858978,1833.524858978,1865.137356547,1865.137356547,16199.0
2010-11-01,1865.137356547,1833.524858978,1865.137356547,1865.137356547,5291.0
2010-11-02,1801.91236141,1801.91236141,1801.91236141,1801.91236141,6479.0
2010-11-03,1849.3311077625,1833.524858978,1865.137356547,1833.524858978,5183.0
2010-11-05,1833.524858978,1833.524858978,1865.137356547,1865.137356547,7559.0
2010-11-09,1817.718610194,1801.91236141,1833.524858978,1833.524858978,431.0
2010-11-10,1833.524858978,1833.524858978,1865.137356547,1833.524858978,4103.0
2010-11-11,1786.1061126255,1770.299863841,1801.91236141,1801.91236141,2591.0
2010-11-12,1801.91236141,1738.687366272,1801.91236141,1770.299863841,3563.0
2010-11-15,1707.0748687035,1675.462371135,1738.687366272,1738.687366272,7019.0
2010-11-16,1691.2686199195,1675.462371135,1707.074868704,1675.462371135,1727.0
2010-11-17,1596.4311272135,1580.624878429,1612.237375998,1580.624878429,55079.0
2010-11-18,1580.624878429,1580.624878429,1738.687366272,1738.687366272,12419.0
2010-11-22,1564.818629645,1517.399883292,1612.237375998,1517.399883292,10799.0
2010-11-23,1675.462371135,1675.462371135,1675.462371135,1675.462371135,107.0
2010-11-24,1580.624878429,1580.624878429,1580.624878429,1580.624878429,863.0
2010-11-25,1738.687366272,1738.687366272,1738.687366272,1738.687366272,107.0
2010-11-26,1738.687366272,1738.687366272,1801.91236141,1801.91236141,3455.0
2010-11-29,1801.91236141,1707.074868704,1896.749854115,1865.137356547,22787.0
2010-11-30,1865.137356547,1833.524858978,1991.587346821,1865.137356547,5615.0
2010-12-01,1959.9748492525,1896.749854115,2023.19984439,1896.749854115,3131.0
