Date,Price Open,Price Low,Price High,Price Close,Volume
2009-06-25,5200.9981593855,4740.150221212,5661.846097559,5293.16774702,8884342.0
2009-06-26,5293.16774702,5240.499411229,5530.175258081,5240.499411229,5652435.0
2009-06-29,5240.499411229,5240.499411229,5517.008174133,5306.334830968,7454471.0
2009-06-30,5306.334830968,4963.990648325,5359.003166759,4963.990648325,4213333.0
2009-07-01,4825.736266873,4805.985640951,4845.486892795,4805.985640951,7231464.0
2009-07-02,4805.985640951,4476.808542256,4871.82106069,4608.479381734,7682337.0
2009-07-03,4437.3072904125,4279.302283039,4595.312297786,4568.978129891,4378038.0
2009-07-06,4568.978129891,4529.476878047,4832.319808847,4832.319808847,6285018.0
2009-07-07,4832.319808847,4766.484389108,5069.327319908,4871.82106069,2886463.0
2009-07-08,4871.82106069,4608.479381734,4871.82106069,4713.816053317,957134.0
2009-07-09,4713.816053317,4621.646465682,4779.651473056,4621.646465682,1994434.0
2009-07-10,4891.571686612,4726.983137264,5056.16023596,5056.16023596,18681606.0
2009-07-13,5056.16023596,4805.985640951,5200.998159386,4937.656480429,2873345.0
2009-07-14,4937.656480429,4661.147717525,5095.661487803,4832.319808847,2708641.0
2009-07-15,4832.319808847,4687.481885421,5069.327319908,4740.150221212,2942337.0
2009-07-16,4740.150221212,4687.481885421,5069.327319908,4792.818557003,1906494.0
2009-07-17,4628.2300076555,4529.476878047,4726.983137264,4608.479381734,681168.0
2009-07-20,4325.387076856,4305.636450934,4345.137702778,4305.636450934,240498.0
2009-07-21,4305.636450934,4015.960604083,4345.137702778,4068.628939874,1103862.0
2009-07-22,4246.3845731695,4081.796023822,4410.973122517,4147.631443561,2304895.0
2009-07-23,4331.970618830501,4160.798527509,4503.142710152,4450.47437436,4632140.0
2009-07-24,4700.648969369,4700.648969369,4700.648969369,4700.648969369,2618757.0
2009-07-27,4944.240022403001,4871.82106069,5016.658984116,5016.658984116,5121882.0
2009-07-28,5016.658984116,4687.481885421,5200.998159386,4740.150221212,3550627.0
2009-07-29,4740.150221212,4661.147717525,4871.82106069,4674.314801473,2814071.0
2009-07-30,4674.314801473,4463.641458308,4779.651473056,4476.808542256,2627503.0
2009-07-31,4713.8160533165,4582.145213838,4845.486892795,4621.646465682,2767429.0
2009-08-03,4621.646465682,4437.307290413,4713.816053317,4476.808542256,1910867.0
