Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-14,3448.305130862,3317.356834753,3579.253426971,3579.253426971,51375.0
2006-12-15,3579.253426971,3491.954562898,3718.931609487,3579.253426971,124926.0
2006-12-18,3832.420132781,3753.851155116,3910.989110446,3753.851155116,14784.0
2006-12-19,3753.851155116,3753.851155116,4225.265021107,3753.851155116,43982.0
2006-12-20,3753.851155116,3753.851155116,3841.150019188,3753.851155116,2587.0
2006-12-21,3753.851155116,3736.391382301,3753.851155116,3753.851155116,3326.0
2006-12-25,3404.655698826,3404.655698826,3404.655698826,3404.655698826,369.0
2006-12-26,3081.6499017575,3064.190128943,3099.109674572,3064.190128943,739.0
2006-12-27,3064.190128943,3055.460242536,3064.190128943,3055.460242536,5544.0
2006-12-28,2859.037798373,2749.914218282,2968.161378464,2749.914218282,2217.0
2006-12-29,2797.9285935225,2793.563650319,2802.293536726,2793.563650319,1848.0
2007-01-02,2859.037798373,2837.213082355,2880.862514391,2837.213082355,22176.0
2007-01-03,2880.862514391,2880.862514391,2880.862514391,2880.862514391,16632.0
2007-01-04,2880.862514391,2880.862514391,3055.460242536,3055.460242536,16632.0
2007-01-05,2924.5119464275,2880.862514391,2968.161378464,2968.161378464,44722.0
2007-01-08,2950.701605649,2950.701605649,2950.701605649,2950.701605649,7022.0
2007-01-09,3142.7591066085,3055.460242536,3230.057970681,3055.460242536,11088.0
2007-01-10,3230.057970681,3142.759106609,3317.356834753,3317.356834753,1108.0
2007-01-11,3317.356834753,3230.057970681,3579.253426971,3230.057970681,26981.0
2007-01-12,3142.759106609,3142.759106609,3142.759106609,3142.759106609,4804.0
2007-01-15,3142.759106609,3142.759106609,3142.759106609,3142.759106609,11088.0
2007-01-16,3142.759106609,3134.029220201,3186.408538645,3186.408538645,2956.0
2007-01-17,3186.408538645,3055.460242536,3230.057970681,3099.109674572,34373.0
2007-01-18,3099.109674572,3055.460242536,3142.759106609,3116.569447387,15523.0
2007-01-19,3116.569447387,3099.109674572,3186.408538645,3186.408538645,27720.0
2007-01-22,3273.707402717,3230.057970681,3317.356834753,3247.517743496,43982.0
2007-01-23,3374.1010964005,3299.897061939,3448.305130862,3448.305130862,14784.0
2007-01-24,3448.305130862,3448.305130862,3535.603994935,3448.305130862,39547.0
2007-01-25,3448.305130862,3142.759106609,3535.603994935,3142.759106609,35112.0
2007-01-26,3470.12984688,3317.356834753,3622.902859007,3317.356834753,63941.0
2007-01-29,3426.480414844,3361.00626679,3491.954562898,3491.954562898,15893.0
2007-01-30,3491.954562898,3448.305130862,3666.552291043,3448.305130862,59136.0
2007-01-31,3714.5666662835,3675.282177451,3753.851155116,3753.851155116,26241.0
2007-02-01,3753.851155116,3753.851155116,4094.316724998,4059.397179369,59136.0
2007-02-02,4059.397179369,4015.747747333,4356.213317216,4356.213317216,174823.0
2007-02-05,4587.555307008,4539.540931768,4635.569682248,4635.569682248,110511.0
2007-02-06,5089.523775424,5089.523775424,5089.523775424,5089.523775424,95727.0
2007-02-07,5595.857187045,5595.857187045,5595.857187045,5595.857187045,67268.0
2007-02-08,5892.673324891,5630.776732674,6154.569917108,5936.322756927,130100.0
2007-02-09,5936.322756927,5421.2594589,6110.920485072,5421.2594589,43243.0
2007-02-12,5172.4576962935,5106.983548239,5237.931844348,5106.983548239,56179.0
2007-02-13,5106.983548239,4888.736388058,5325.23070842,5063.334116203,31786.0
2007-02-14,5373.24508366,5133.173207461,5613.316959859,5613.316959859,48787.0
2007-02-15,5936.322756927,5936.322756927,5936.322756927,5936.322756927,38808.0
2007-02-26,6529.95503262,6529.95503262,6529.95503262,6529.95503262,19589.0
2007-02-27,7175.966626756,7175.966626756,7175.966626756,7175.966626756,40656.0
2007-02-28,7175.966626756,7175.966626756,7891.81731215,7595.001174304,120860.0
2007-03-01,7595.001174304,7595.001174304,8511.639247065,7725.949470413,75399.0
2007-03-02,7725.949470413,7507.702310232,7856.897766521,7507.702310232,33634.0
2007-03-05,8136.254131553,7682.300038376,8590.20822473,7682.300038376,45461.0
2007-03-06,8777.900782486,8555.288679101,9000.512885871,8817.185271318,56919.0
2007-03-07,9498.116411084,9253.679591681,9742.553230487,9742.553230487,147102.0
2007-03-08,10192.1423804595,9864.771640188,10519.513120731,10388.564824623,80943.0
2007-03-09,10388.564824623,10039.369368333,11357.582215827,10039.369368333,23285.0
2007-03-12,10039.369368333,9471.926751862,11567.099489601,9952.07050426,48048.0
2007-03-13,9297.329023717,8991.782999463,9602.875047971,8991.782999463,21437.0
2007-03-14,8319.581746105,8319.581746105,8319.581746105,8319.581746105,36590.0
2007-03-15,7673.570151969,7490.242537417,7856.897766521,7856.897766521,60615.0
2007-03-16,8319.581746105,8319.581746105,8319.581746105,8319.581746105,13675.0
2007-03-19,9148.920954794,9148.920954794,9148.920954794,9148.920954794,20328.0
2007-03-20,10039.3693683325,10021.909595518,10056.829141147,10021.909595518,144515.0
2007-03-21,10021.909595518,9253.679591681,10065.559027555,9602.875047971,29568.0
2007-03-22,9602.875047971,8729.886407246,10580.622325582,9690.173912043,107924.0
2007-03-23,9690.173912043,9602.875047971,10039.369368333,9602.875047971,61724.0
2007-03-26,9602.875047971,9166.380727608,9952.07050426,9166.380727608,41765.0
2007-03-27,9166.380727608,8731.996270304,9574.16849942,8731.996270304,28459.0
2007-03-28,8731.996270304,8244.4228745,8864.970832796,8864.970832796,88335.0
2007-03-29,9250.597064023,9130.91995778,9370.274170266,9370.274170266,57658.0
2007-03-30,9370.274170266,9352.5442286,10283.366166044,9441.193936928,43243.0
2007-04-02,9042.270249452,8776.321124468,9308.219374436,9308.219374436,3696.0
2007-04-03,8177.935593254,8155.773166172,8200.098020336,8200.098020336,2956.0
2007-04-04,8200.098020336,7978.473749517,8421.722291156,8412.857320324,12936.0
2007-04-05,8155.773166172499,7978.473749517,8333.072582828,7978.473749517,16262.0
2007-04-06,7978.473749517,7889.824041189,7987.338720349,7969.608778684,31786.0
2007-04-09,7969.608778684,7801.174332861,7978.473749517,7801.174332861,7761.0
2007-04-10,7929.716409936,7907.553982854,7951.878837018,7951.878837018,11457.0
2007-04-11,7845.499187025,7801.174332861,7889.824041189,7801.174332861,21806.0
2007-04-12,7801.174332861,7535.225207877,7801.174332861,7535.225207877,12566.0
