Date,Price Open,Price Low,Price High,Price Close,Volume
2006-10-30,2935.898760289,2935.898760289,2935.898760289,2935.898760289,173755.0
2006-10-31,2935.898760289,2935.898760289,3082.693698304,3082.693698304,378490.0
2006-11-01,3229.488636318,3229.488636318,3229.488636318,3229.488636318,38439.0
2006-11-02,3385.458257958,3385.458257958,3385.458257958,3385.458257958,567255.0
2006-11-03,3385.458257958,3293.711421699,3385.458257958,3302.886105325,865709.0
2006-11-06,3302.886105325,3293.711421699,3302.886105325,3293.711421699,520807.0
2006-11-07,3293.711421699,3293.711421699,3302.886105325,3302.886105325,322021.0
2006-11-08,3316.648130764,3312.060788951,3321.235472577,3312.060788951,200891.0
2006-11-09,3367.1088907065,3348.759523455,3385.458257958,3385.458257958,238964.0
2006-11-10,3385.458257958,3302.886105325,3394.632941584,3302.886105325,195034.0
2006-11-13,3302.886105325,3302.886105325,3321.235472577,3302.886105325,76924.0
2006-11-14,3302.886105325,3302.886105325,3321.235472577,3302.886105325,357165.0
2006-11-15,3302.886105325,3257.012687196,3302.886105325,3257.012687196,110375.0
2006-11-16,3257.012687196,3211.139269066,3257.012687196,3220.313952692,97745.0
2006-11-17,3220.313952692,3183.615218188,3220.313952692,3183.615218188,173343.0
2006-11-20,3183.615218188,3174.440534563,3211.139269066,3174.440534563,89096.0
2006-11-21,3096.4557237425,3073.519014678,3119.392432807,3073.519014678,151377.0
2006-11-22,3004.7088874835,2981.772178419,3027.645596548,2981.772178419,110101.0
2006-11-23,3101.0430655555,3073.519014678,3128.567116433,3128.567116433,142957.0
2006-11-24,3284.536738073,3284.536738073,3284.536738073,3284.536738073,136688.0
2006-11-27,3440.506359714,3440.506359714,3440.506359714,3440.506359714,1077766.0
2006-11-28,3513.903828721,3449.68104334,3578.126614102,3578.126614102,662209.0
2006-11-29,3578.126614102,3486.379777843,3578.126614102,3513.903828721,368880.0
2006-11-30,3513.903828721,3513.903828721,3532.253195973,3532.253195973,188307.0
2006-12-01,3532.253195973,3440.506359714,3532.253195973,3440.506359714,162314.0
2006-12-04,3509.316486908,3486.379777843,3532.253195973,3486.379777843,94039.0
2006-12-05,3486.379777843,3348.759523455,3486.379777843,3486.379777843,149227.0
2006-12-06,3486.379777843,3449.68104334,3486.379777843,3449.68104334,105113.0
2006-12-07,3339.584839829,3330.410156203,3348.759523455,3348.759523455,179566.0
2006-12-08,3348.759523455,3348.759523455,3348.759523455,3348.759523455,10936.0
2006-12-11,3348.759523455,3348.759523455,3513.903828721,3513.903828721,439352.0
2006-12-12,3513.903828721,3513.903828721,3669.873450361,3513.903828721,302389.0
2006-12-13,3513.903828721,3486.379777843,3513.903828721,3486.379777843,202264.0
2006-12-14,3408.3949670230004,3376.283574332,3440.506359714,3376.283574332,249810.0
2006-12-15,3412.982308836,3394.632941584,3431.331676088,3394.632941584,281431.0
2006-12-18,3394.632941584,3394.632941584,3394.632941584,3394.632941584,288112.0
2006-12-19,3532.253195973,3532.253195973,3532.253195973,3532.253195973,394644.0
2006-12-20,3532.253195973,3532.253195973,3532.253195973,3532.253195973,113441.0
2006-12-21,3532.253195973,3486.379777843,3532.253195973,3486.379777843,631504.0
2006-12-22,3486.379777843,3394.632941584,3486.379777843,3394.632941584,127856.0
2006-12-25,3394.632941584,3312.060788951,3449.68104334,3449.68104334,33268.0
2006-12-26,3490.967119656,3486.379777843,3495.554461469,3486.379777843,182815.0
2006-12-27,3486.379777843,3477.205094217,3486.379777843,3486.379777843,150599.0
2006-12-28,3486.379777843,3412.982308836,3486.379777843,3412.982308836,130190.0
2006-12-29,3371.6962325195,3348.759523455,3394.632941584,3394.632941584,126758.0
2007-01-02,3394.632941584,3394.632941584,3440.506359714,3440.506359714,53311.0
2007-01-03,3412.982308836,3394.632941584,3431.331676088,3431.331676088,34778.0
2007-01-04,3431.331676088,3394.632941584,3486.379777843,3440.506359714,138793.0
2007-01-05,3440.506359714,3440.506359714,3440.506359714,3440.506359714,268160.0
2007-01-08,3546.0152214115,3486.379777843,3605.65066498,3605.65066498,664635.0
2007-01-09,3779.969653872,3779.969653872,3779.969653872,3779.969653872,320602.0
2007-01-10,3963.46332639,3963.46332639,3963.46332639,3963.46332639,264911.0
2007-01-11,4156.131682534,4156.131682534,4156.131682534,4156.131682534,362657.0
2007-01-12,4289.16459511,4220.354467916,4357.974722304,4312.101304175,713553.0
2007-01-15,4312.101304175,4101.083580779,4312.101304175,4101.083580779,221529.0
2007-01-16,3968.050668203,3945.113959138,3990.987377268,3990.987377268,238278.0
2007-01-17,3990.987377268,3990.987377268,4128.607631657,3990.987377268,285732.0
2007-01-18,3990.987377268,3990.987377268,4183.655733412,4183.655733412,197047.0
2007-01-19,4202.333368269,4202.333368269,4202.333368269,4202.333368269,270082.0
2007-01-22,4351.749665808,4295.718554231,4407.780777385,4342.411147212,651272.0
2007-01-23,4557.197074923,4557.197074923,4557.197074923,4557.197074923,513119.0
2007-01-24,4762.644484039,4762.644484039,4762.644484039,4762.644484039,135910.0
2007-01-25,4762.644484039,4575.874112116,4996.107448943,4575.874112116,895408.0
2007-01-26,4575.874112116,4575.874112116,4669.259298077,4669.259298077,287242.0
2007-01-29,4902.722262981,4902.722262981,4902.722262981,4902.722262981,291361.0
2007-01-30,5136.185227885,5136.185227885,5136.185227885,5136.185227885,581715.0
2007-01-31,5136.185227885,5136.185227885,5322.955599808,5229.570413846,545610.0
2007-02-01,5229.570413846,5136.185227885,5229.570413846,5136.185227885,282163.0
2007-02-02,4949.414855962,4949.414855962,4949.414855962,4949.414855962,101132.0
