Date,Price Open,Price Low,Price High,Price Close,Volume
2008-11-17,3656.972497065,3311.975091682,4001.969902448,3725.971978142,49622.0
2008-11-18,3463.7739500505004,3449.974053835,3477.573846266,3449.974053835,5075.0
2008-11-19,3298.175195466,3229.175714389,3367.174676543,3229.175714389,5779.0
2008-11-24,3035.977167375,3035.977167375,3035.977167375,3035.977167375,1550.0
2008-11-25,2842.77862036,2842.77862036,2842.77862036,2842.77862036,140.0
2008-11-26,2649.580073345,2649.580073345,2649.580073345,2649.580073345,140.0
2008-11-27,2483.981318761,2483.981318761,2483.981318761,2483.981318761,8176.0
2008-11-28,2483.981318761,2318.382564177,2621.980280915,2345.982356608,12969.0
2008-12-01,2345.982356608,2235.583186885,2566.780696053,2566.780696053,7471.0
2008-12-02,2359.782252823,2263.182979316,2456.38152633,2456.38152633,1550.0
2008-12-03,2304.582667962,2263.182979316,2345.982356608,2345.982356608,7612.0
2008-12-04,2345.982356608,2290.782771746,2401.181941469,2401.181941469,563.0
2008-12-05,2401.181941469,2401.181941469,2456.38152633,2401.181941469,5075.0
2008-12-08,2401.181941469,2401.181941469,2401.181941469,2401.181941469,704.0
2008-12-09,2359.782252823,2345.982356608,2373.582149038,2345.982356608,2819.0
2008-12-10,2249.3830831,2207.983394454,2290.782771746,2207.983394454,2396.0
2008-12-11,2207.983394454,2207.983394454,2345.982356608,2207.983394454,4934.0
2008-12-12,2373.582149038,2373.582149038,2373.582149038,2373.582149038,281.0
2008-12-15,2373.582149038,2207.983394454,2373.582149038,2207.983394454,7894.0
2008-12-16,2207.983394454,2180.383602024,2263.182979316,2263.182979316,3524.0
2008-12-17,2332.182460392,2290.782771746,2373.582149038,2345.982356608,14379.0
2008-12-19,2345.982356608,2345.982356608,2401.181941469,2373.582149038,5216.0
2008-12-23,2373.582149038,2345.982356608,2483.981318761,2456.38152633,11841.0
2008-12-24,2456.38152633,2401.181941469,2621.980280915,2428.7817339,2255.0
2008-12-25,2373.582149038,2373.582149038,2373.582149038,2373.582149038,1127.0
2008-12-31,2373.582149038,2373.582149038,2373.582149038,2373.582149038,140.0
2009-01-05,2470.1814225455,2401.181941469,2539.180903622,2539.180903622,2396.0
2009-01-07,2456.3815263305,2428.7817339,2483.981318761,2428.7817339,986.0
2009-01-09,2345.982356608,2345.982356608,2345.982356608,2345.982356608,140.0
2009-01-12,2276.982875531,2263.182979316,2290.782771746,2263.182979316,422.0
2009-01-13,2373.5821490385,2345.982356608,2401.181941469,2401.181941469,2960.0
2009-01-15,2525.381007407,2511.581111192,2539.180903622,2539.180903622,12546.0
2009-01-16,2539.180903622,2539.180903622,2566.780696053,2566.780696053,1691.0
2009-01-20,2566.780696053,2373.582149038,2677.179865776,2677.179865776,281.0
2009-02-02,2373.582149038,2373.582149038,2373.582149038,2373.582149038,422.0
2009-02-04,2497.7812149765,2483.981318761,2511.581111192,2511.581111192,1409.0
2009-02-05,2483.981318761,2483.981318761,2483.981318761,2483.981318761,2678.0
2009-02-06,2483.981318761,2483.981318761,2483.981318761,2483.981318761,14097.0
2009-02-09,2483.981318761,2483.981318761,2483.981318761,2483.981318761,1409.0
2009-02-10,2511.581111192,2511.581111192,2511.581111192,2511.581111192,1550.0
2009-02-11,2511.581111192,2483.981318761,2539.180903622,2483.981318761,2114.0
2009-02-12,2483.981318761,2483.981318761,2511.581111192,2483.981318761,8035.0
2009-02-13,2483.981318761,2483.981318761,2539.180903622,2539.180903622,7048.0
2009-02-16,2539.180903622,2539.180903622,2677.179865776,2677.179865776,6625.0
2009-02-17,2677.179865776,2594.380488484,2759.979243068,2759.979243068,7894.0
2009-02-18,2842.77862036,2842.77862036,2842.77862036,2842.77862036,19736.0
2009-02-19,3035.977167375,3035.977167375,3035.977167375,3035.977167375,23260.0
2009-02-20,3035.977167375,3035.977167375,3229.175714389,3091.176752236,20582.0
2009-02-23,2953.177790083,2953.177790083,2953.177790083,2953.177790083,16916.0
2009-02-24,2759.979243068,2759.979243068,2759.979243068,2759.979243068,2960.0
2009-02-25,2759.979243068,2759.979243068,2815.178827929,2759.979243068,3101.0
2009-02-27,2759.979243068,2759.979243068,3008.377374944,3008.377374944,1550.0
2009-03-02,2759.979243068,2621.980280915,2897.978205221,2897.978205221,704.0
2009-03-03,2608.1803846995,2594.380488484,2621.980280915,2594.380488484,4511.0
2009-03-04,2732.3794506375,2704.779658207,2759.979243068,2759.979243068,2678.0
2009-03-05,2870.3784127905,2842.77862036,2897.978205221,2897.978205221,3101.0
2009-03-06,2759.979243068,2759.979243068,2759.979243068,2759.979243068,140.0
2009-03-09,2759.979243068,2704.779658207,2815.178827929,2704.779658207,1691.0
2009-03-10,2704.779658207,2704.779658207,2953.177790083,2842.77862036,1832.0
2009-03-11,2842.77862036,2759.979243068,2870.378412791,2870.378412791,3665.0
2009-03-12,2870.378412791,2787.579035499,2980.777582513,2815.178827929,2960.0
2009-03-13,3008.377374944,3008.377374944,3008.377374944,3008.377374944,704.0
2009-03-16,2856.5785165755,2842.77862036,2870.378412791,2870.378412791,2114.0
2009-03-17,2842.77862036,2842.77862036,2842.77862036,2842.77862036,3806.0
2009-03-18,2966.977686298,2897.978205221,3035.977167375,3008.377374944,14520.0
2009-03-19,2966.977686298,2953.177790083,2980.777582513,2980.777582513,9445.0
2009-03-20,2980.777582513,2953.177790083,3118.776544667,2980.777582513,7189.0
2009-03-23,3104.9766484515003,3035.977167375,3173.976129528,3173.976129528,1127.0
2009-03-24,3173.976129528,3091.176752236,3311.975091682,3091.176752236,9727.0
2009-03-25,3091.176752236,3035.977167375,3173.976129528,3035.977167375,20159.0
2009-03-26,3118.7765446665,3063.576959805,3173.976129528,3118.776544667,6766.0
2009-03-27,3118.776544667,3091.176752236,3146.376337097,3146.376337097,6061.0
2009-03-30,3256.77550682,3229.175714389,3284.375299251,3284.375299251,4793.0
2009-03-31,3284.375299251,3229.175714389,3422.374261404,3339.574884112,7753.0
2009-04-01,3449.974053835,3394.774468974,3505.173638696,3505.173638696,30168.0
2009-04-02,3725.971978142,3725.971978142,3725.971978142,3725.971978142,38767.0
2009-04-03,3919.1705251565,3863.970940295,3974.370110018,3946.770317587,69359.0
2009-04-07,3946.770317587,3946.770317587,4222.768241894,4112.369072171,36230.0
2009-04-08,3863.970940295,3808.771355434,3919.170525156,3808.771355434,17057.0
2009-04-09,3712.172081926,3670.77239328,3753.571770572,3725.971978142,22273.0
2009-04-10,3877.7708365105,3808.771355434,3946.770317587,3946.770317587,56812.0
2009-04-13,4084.7692797405,4001.969902448,4167.568657033,4167.568657033,86417.0
2009-04-14,4167.568657033,4084.769279741,4222.768241894,4084.769279741,35666.0
2009-04-15,4084.769279741,3863.970940295,4084.769279741,3863.970940295,29604.0
2009-04-16,3863.970940295,3698.372185711,4112.369072171,3781.171563003,7612.0
2009-04-17,3781.171563003,3615.572808419,4001.969902448,3615.572808419,15366.0
2009-04-20,3505.173638696,3422.374261404,3587.973015988,3422.374261404,60759.0
2009-04-21,3422.374261404,3229.175714389,3670.77239328,3532.773431127,53006.0
2009-04-22,3615.572808419,3615.572808419,3615.572808419,3615.572808419,7189.0
2009-04-23,3836.3711478645,3808.771355434,3863.970940295,3863.970940295,31719.0
2009-04-24,3863.970940295,3808.771355434,4112.369072171,4001.969902448,29604.0
2009-04-27,3850.1710440795,3753.571770572,3946.770317587,3781.171563003,12123.0
2009-04-28,3863.970940295,3836.371147864,3891.570732726,3891.570732726,3665.0
2009-04-29,3808.7713554335,3753.571770572,3863.970940295,3753.571770572,13110.0
2009-05-04,3946.770317587,3863.970940295,4029.569694879,4029.569694879,81482.0
2009-05-05,4208.968345678501,4139.968864602,4277.967826755,4139.968864602,73870.0
2009-05-06,4139.968864602,3974.370110018,4139.968864602,3974.370110018,1550.0
2009-05-07,3974.370110018,3781.171563003,4057.16948731,4057.16948731,55543.0
2009-05-08,3753.5717705725,3643.17260085,3863.970940295,3781.171563003,13674.0
2009-05-11,3781.171563003,3725.971978142,3946.770317587,3863.970940295,19172.0
2009-05-12,3863.970940295,3698.372185711,3946.770317587,3919.170525156,12405.0
2009-05-13,3919.170525156,3863.970940295,3974.370110018,3946.770317587,13392.0
2009-05-14,3946.770317587,3891.570732726,4001.969902448,3946.770317587,24529.0
2009-05-15,4153.7687608175,4084.769279741,4222.768241894,4222.768241894,192993.0
2009-05-18,4471.16637377,4443.566581339,4498.766166201,4498.766166201,251497.0
2009-05-19,4774.7640905075,4747.164298077,4802.363882938,4802.363882938,95439.0
2009-05-20,4802.363882938,4691.964713215,5133.561392106,4885.16326023,125748.0
2009-05-21,4885.16326023,4719.564505646,5023.162222384,4912.763052661,128286.0
2009-05-22,4705.764609431,4553.965751062,4857.5634678,4664.364920785,116444.0
2009-05-25,4664.364920785,4305.567619186,4912.763052661,4912.763052661,55120.0
2009-05-26,5064.561911029499,4967.962637522,5161.161184537,5161.161184537,216395.0
2009-05-27,5161.161184537,5161.161184537,5492.358693705,5326.759939121,121237.0
2009-05-28,5105.961599676,5023.162222384,5188.760976968,5050.762014814,89659.0
2009-05-29,5409.559316413,5409.559316413,5409.559316413,5409.559316413,89800.0
2009-06-01,5713.1570331505,5657.957448289,5768.356618012,5768.356618012,302530.0
2009-06-02,5768.356618012,5409.559316413,6127.153919611,5795.956410443,246704.0
2009-06-03,5795.956410443,5602.757863428,5933.955372596,5657.957448289,166067.0
2009-06-04,5862.3257758815,5738.25538909,5986.396162673,5893.343372579,127798.0
2009-06-05,6156.992944510501,6110.466549464,6203.519339557,6203.519339557,118971.0
2009-06-08,6575.7304999305,6513.695306535,6637.765693326,6637.765693326,172330.0
2009-06-09,6637.765693326,6234.536936255,7040.994450397,6327.589726348,58234.0
2009-06-10,6265.554532953,6234.536936255,6296.572129651,6234.536936255,15283.0
2009-06-11,6001.904961021501,5800.290582486,6203.519339557,6079.448952766,84057.0
2009-06-12,6079.448952766,5707.237792393,6203.519339557,5707.237792393,82212.0
2009-06-15,5552.149808904,5521.132212206,5583.167405602,5521.132212206,46112.0
2009-06-16,5148.921051833,5148.921051833,5148.921051833,5148.921051833,13175.0
2009-06-17,5148.921051833,4807.727488157,5179.93864853,5179.93864853,73780.0
2009-06-18,5117.903455135,5086.885858437,5148.921051833,5148.921051833,20421.0
2009-06-19,5148.921051833,5148.921051833,5490.114615508,5366.044228717,25032.0
2009-06-22,5055.868261739,5024.850665041,5086.885858437,5024.850665041,8168.0
2009-06-23,4714.674698064,4714.674698064,4714.674698064,4714.674698064,22265.0
2009-06-24,4714.674698064,4404.498731086,5024.850665041,5024.850665041,20421.0
2009-06-25,5024.850665041,4559.586714575,5241.973841926,4931.797874948,19630.0
2009-06-26,4931.797874948,4931.797874948,5086.885858437,4931.797874948,7509.0
2009-06-29,4730.1834964125,4652.639504668,4807.727488157,4683.657101366,28985.0
2009-06-30,4482.04272283,4373.481134388,4590.604311272,4373.481134388,20289.0
2009-07-01,4156.3579575035,4125.340360806,4187.375554201,4156.357957503,34387.0
2009-07-02,4264.9195459455,4187.375554201,4342.46353769,4311.445940992,22924.0
2009-07-03,4311.445940992,4280.428344295,4528.569117877,4528.569117877,37812.0
2009-07-06,4528.569117877,4404.498731086,4652.639504668,4652.639504668,21211.0
2009-07-07,4652.639504668,4621.62190797,4714.674698064,4621.62190797,5138.0
2009-07-08,4621.62190797,4404.498731086,4652.639504668,4528.569117877,3689.0
2009-07-09,4528.569117877,4528.569117877,4652.639504668,4528.569117877,11594.0
2009-07-10,4528.569117877,4373.481134388,4590.604311272,4466.533924481,10935.0
2009-07-13,4466.533924481,4187.375554201,4776.709891459,4187.375554201,20421.0
2009-07-14,4373.481134388,4249.410747597,4497.551521179,4342.46353769,27009.0
2009-07-15,4342.46353769,4342.46353769,4528.569117877,4342.46353769,11989.0
2009-07-16,4776.709891459,4776.709891459,4776.709891459,4776.709891459,48089.0
2009-07-17,5086.885858437,5086.885858437,5086.885858437,5086.885858437,19630.0
2009-07-20,5086.885858437,4962.815471646,5428.079422113,5055.868261739,90908.0
