Date,Price Open,Price Low,Price High,Price Close,Volume
2006-10-09,1449.472156624,1368.600319559,1530.343993689,1461.913977711,53723.0
2006-10-10,1461.913977711,1430.809424994,1524.123083146,1468.134888255,25092.0
2006-10-11,1468.134888255,1461.913977711,1493.018530429,1480.576709342,26057.0
2006-10-12,1480.576709342,1474.355798798,1486.797619885,1474.355798798,10937.0
2006-10-13,1474.355798798,1474.355798798,1486.797619885,1486.797619885,57261.0
2006-10-16,1486.797619885,1486.797619885,1493.018530429,1493.018530429,22840.0
2006-10-17,1493.018530429,1480.576709342,1542.785814776,1486.797619885,35708.0
2006-10-18,1486.797619885,1468.134888255,1493.018530429,1486.797619885,12546.0
2006-10-19,1486.797619885,1468.134888255,1486.797619885,1474.355798798,29274.0
2006-10-20,1474.355798798,1461.913977711,1474.355798798,1474.355798798,17049.0
2006-10-23,1465.024432983,1461.913977711,1468.134888255,1468.134888255,4503.0
2006-10-24,1458.8035224394998,1455.693067168,1461.913977711,1455.693067168,965.0
2006-10-25,1437.0303355375,1430.809424994,1443.251246081,1443.251246081,5468.0
2006-10-26,1427.6989697225,1424.588514451,1430.809424994,1424.588514451,1930.0
2006-10-27,1430.809424994,1430.809424994,1430.809424994,1430.809424994,1286.0
2006-10-30,1384.152595918,1368.600319559,1399.704872277,1368.600319559,3216.0
2006-10-31,1405.92578282,1381.042140646,1430.809424994,1381.042140646,643.0
2006-11-01,1399.704872277,1387.26305119,1412.146693364,1399.704872277,7077.0
2006-11-02,1377.9316853745,1368.600319559,1387.26305119,1387.26305119,7398.0
2006-11-03,1387.26305119,1381.042140646,1399.704872277,1387.26305119,25735.0
2006-11-06,1387.26305119,1387.26305119,1399.704872277,1399.704872277,42785.0
2006-11-07,1399.704872277,1399.704872277,1430.809424994,1430.809424994,14797.0
2006-11-08,1430.809424994,1430.809424994,1468.134888255,1468.134888255,21231.0
2006-11-09,1468.134888255,1461.913977711,1493.018530429,1493.018530429,34743.0
2006-11-10,1493.018530429,1493.018530429,1555.227635863,1493.018530429,10937.0
2006-11-13,1493.018530429,1493.018530429,1524.123083146,1493.018530429,19945.0
2006-11-14,1443.251246081,1430.809424994,1455.693067168,1430.809424994,22518.0
2006-11-15,1430.809424994,1430.809424994,1437.030335537,1437.030335537,9972.0
2006-11-16,1455.693067168,1455.693067168,1455.693067168,1455.693067168,6433.0
2006-11-17,1455.693067168,1449.472156624,1461.913977711,1461.913977711,7720.0
2006-11-20,1461.913977711,1461.913977711,1493.018530429,1486.797619885,24770.0
2006-11-21,1499.239440972,1493.018530429,1505.460351515,1493.018530429,21553.0
2006-11-22,1493.018530429,1493.018530429,1499.239440972,1493.018530429,20588.0
2006-11-23,1493.018530429,1493.018530429,1505.460351515,1505.460351515,15119.0
2006-11-24,1505.460351515,1505.460351515,1524.123083146,1524.123083146,32169.0
2006-11-28,1524.123083146,1524.123083146,1524.123083146,1524.123083146,12867.0
2006-11-29,1524.123083146,1493.018530429,1530.343993689,1530.343993689,46324.0
2006-11-30,1552.1171805915,1536.564904233,1567.66945695,1555.227635863,54688.0
2006-12-01,1592.5530991235,1586.33218858,1598.774009667,1598.774009667,28952.0
