Date,Price Open,Price Low,Price High,Price Close,Volume
2008-12-22,3431.566426066,2435.305205595,4427.827646537,2455.431694898,15324.0
2008-12-23,2797.582013039,2797.582013039,2797.582013039,2797.582013039,2253.0
2008-12-24,2978.720416761,2978.720416761,2978.720416761,2978.720416761,450.0
2008-12-25,3179.985309786,3179.985309786,3179.985309786,3179.985309786,225.0
2008-12-26,3340.9972242055,3280.617756298,3401.376692113,3401.376692113,8789.0
2008-12-29,3602.641585137,3602.641585137,3602.641585137,3602.641585137,3380.0
2008-12-30,3844.159456766,3844.159456766,3844.159456766,3844.159456766,901.0
2008-12-31,3844.159456766,3582.515095835,4105.803817698,3582.515095835,8338.0
2009-01-02,3582.515095835,3542.26211723,3803.906478161,3803.906478161,3155.0
2009-01-05,3602.641585137,3602.641585137,3602.641585137,3602.641585137,1126.0
2009-01-07,3441.6296707175,3361.123713508,3522.135627927,3361.123713508,1126.0
2009-01-08,3421.503181415,3421.503181415,3421.503181415,3421.503181415,450.0
2009-01-09,3421.503181415,3200.111799088,3602.641585137,3602.641585137,2028.0
2009-01-12,3250.428022344,3079.352863273,3421.503181415,3079.352863273,450.0
2009-01-13,3079.352863273,3039.099884669,3220.238288391,3220.238288391,676.0
2009-01-14,2898.214459552,2898.214459552,2898.214459552,2898.214459552,2028.0
2009-01-15,3059.226373971,3018.973395366,3099.479352576,3018.973395366,1577.0
2009-01-16,3179.9853097855,3119.605841878,3240.364777693,3119.605841878,1577.0
2009-01-19,3220.238288391,3220.238288391,3220.238288391,3220.238288391,450.0
2009-01-20,3260.491266995,3260.491266995,3260.491266995,3260.491266995,225.0
2009-01-21,3220.238288391,3220.238288391,3220.238288391,3220.238288391,225.0
2009-01-22,3008.910150715,2998.846906064,3018.973395366,3018.973395366,901.0
2009-01-23,2837.8349916445,2817.708502342,2857.961480947,2817.708502342,4958.0
2009-02-02,2717.07605583,2717.07605583,2717.07605583,2717.07605583,2253.0
2009-02-03,2717.07605583,2535.937652108,2898.214459552,2898.214459552,676.0
2009-02-04,2797.5820130395,2777.455523737,2817.708502342,2817.708502342,1352.0
2009-02-05,2817.708502342,2777.455523737,2817.708502342,2777.455523737,676.0
2009-02-06,2857.961480947,2857.961480947,2857.961480947,2857.961480947,225.0
2009-02-09,3018.973395366,3018.973395366,3018.973395366,3018.973395366,225.0
2009-02-11,3119.605841878,3119.605841878,3119.605841878,3119.605841878,225.0
2009-02-16,3119.605841878,2918.340948854,3119.605841878,2918.340948854,3380.0
2009-02-17,2837.834991644,2837.834991644,2837.834991644,2837.834991644,901.0
2009-02-19,2817.708502342,2817.708502342,2817.708502342,2817.708502342,1126.0
2009-02-20,2918.340948854,2918.340948854,2918.340948854,2918.340948854,225.0
2009-02-23,2918.340948854,2918.340948854,2918.340948854,2918.340948854,11268.0
2009-02-24,2817.708502342,2817.708502342,2817.708502342,2817.708502342,1126.0
2009-02-26,2797.582013039,2797.582013039,2797.582013039,2797.582013039,1126.0
2009-03-02,2616.443609317,2616.443609317,2616.443609317,2616.443609317,450.0
2009-03-03,2515.811162805,2515.811162805,2515.811162805,2515.811162805,2253.0
2009-03-05,2676.823077225,2676.823077225,2676.823077225,2676.823077225,4507.0
2009-03-09,2616.443609317,2616.443609317,2616.443609317,2616.443609317,3380.0
2009-03-11,2717.07605583,2717.07605583,2717.07605583,2717.07605583,2479.0
2009-03-12,2717.07605583,2717.07605583,2797.582013039,2717.07605583,2479.0
2009-03-18,2717.07605583,2717.07605583,2898.214459552,2817.708502342,14648.0
2009-03-19,2958.593927459,2958.593927459,2958.593927459,2958.593927459,1126.0
2009-03-23,2757.329034434,2757.329034434,2757.329034434,2757.329034434,450.0
2009-03-24,2606.380364666,2576.190630712,2636.57009862,2576.190630712,18254.0
2009-03-25,2576.190630712,2415.178716293,2777.455523737,2777.455523737,6310.0
2009-03-26,2374.925737688,2374.925737688,2374.925737688,2374.925737688,11944.0
2009-03-30,2535.937652108,2535.937652108,2535.937652108,2535.937652108,450.0
2009-03-31,2696.949566527,2696.949566527,2696.949566527,2696.949566527,7662.0
2009-04-01,2827.7717469930003,2817.708502342,2837.834991644,2837.834991644,11268.0
2009-04-02,3018.973395366,3018.973395366,3018.973395366,3018.973395366,2253.0
2009-04-03,3018.973395366,2817.708502342,3139.732331181,2878.087970249,9690.0
2009-04-07,2968.65717211,2918.340948854,3018.973395366,2978.720416761,13296.0
2009-04-08,2817.708502342,2817.708502342,2817.708502342,2817.708502342,4507.0
2009-04-09,2998.846906064,2998.846906064,2998.846906064,2998.846906064,4732.0
2009-04-10,3119.6058418785,3039.099884669,3200.111799088,3200.111799088,19381.0
2009-04-13,3340.9972242055,3320.870734903,3361.123713508,3361.123713508,19832.0
2009-04-14,3562.388606532,3562.388606532,3562.388606532,3562.388606532,1802.0
2009-04-15,3562.388606532,3421.503181415,3602.641585137,3421.503181415,6986.0
2009-04-16,3622.768074439,3622.768074439,3622.768074439,3622.768074439,6760.0
2009-04-17,3381.25020281,3381.25020281,3381.25020281,3381.25020281,6760.0
2009-04-20,3260.4912669955,3159.858820483,3361.123713508,3361.123713508,6986.0
2009-04-21,3099.479352576,2998.846906064,3200.111799088,3200.111799088,6986.0
2009-04-22,3008.910150715,2998.846906064,3018.973395366,3018.973395366,6310.0
2009-04-23,3018.973395366,2837.834991644,3200.111799088,2837.834991644,11268.0
2009-04-24,2817.708502342,2817.708502342,2817.708502342,2817.708502342,3380.0
2009-04-27,2817.708502342,2817.708502342,2837.834991644,2817.708502342,6986.0
2009-04-28,2998.846906064,2998.846906064,2998.846906064,2998.846906064,6535.0
2009-04-29,3200.111799088,3200.111799088,3200.111799088,3200.111799088,9014.0
2009-05-04,3421.503181415,3421.503181415,3421.503181415,3421.503181415,7211.0
2009-05-05,3632.8313190905,3622.768074439,3642.894563742,3622.768074439,37185.0
2009-05-06,3622.768074439,3562.388606532,3783.779988859,3562.388606532,29297.0
2009-05-07,3642.8945637415,3622.768074439,3663.021053044,3642.894563742,19156.0
2009-05-08,3642.894563742,3421.503181415,3663.021053044,3663.021053044,15775.0
2009-05-11,3813.9697228125,3763.653499556,3864.285946069,3763.653499556,10141.0
