Date,Price Open,Price Low,Price High,Price Close,Volume
2008-09-09,8347.9992714545,7950.475496623,8745.523046286,8347.999271455,497579.0
2008-09-10,8049.856440331,7950.475496623,8149.237384039,7950.475496623,130379.0
2008-09-11,7552.951721792,7552.951721792,7552.951721792,7552.951721792,64649.0
2008-09-12,7205.118418815,7205.118418815,7205.118418815,7205.118418815,749.0
2008-09-15,7205.118418815,6857.285115838,7205.118418815,6857.285115838,163109.0
2008-09-16,6559.142284714,6559.142284714,6559.142284714,6559.142284714,1829.0
2008-09-17,6260.999453591,6260.999453591,6260.999453591,6260.999453591,59.0
2008-09-18,5962.856622468,5962.856622468,5962.856622468,5962.856622468,89.0
2008-09-19,5962.856622468,5664.713791344,6260.999453591,6062.237566175,381479.0
2008-09-22,6310.689925445,6260.999453591,6360.380397299,6260.999453591,178379.0
2008-09-23,5962.856622468,5962.856622468,5962.856622468,5962.856622468,17489.0
2008-09-24,5664.713791344,5664.713791344,5664.713791344,5664.713791344,60899.0
2008-09-25,5664.713791344,5416.261432075,5913.166150614,5913.166150614,170249.0
2008-09-26,5913.166150614,5664.713791344,6111.928038029,5714.404263198,108869.0
2008-09-29,5490.797139856,5465.951903929,5515.642375783,5465.951903929,173069.0
2008-09-30,5217.499544659,5217.499544659,5217.499544659,5217.499544659,74579.0
2008-10-01,5366.570960221,5267.190016513,5465.951903929,5366.570960221,69509.0
2008-10-02,5590.178083563,5565.332847636,5615.02331949,5615.02331949,117119.0
2008-10-03,5615.02331949,5565.332847636,5863.47567876,5863.47567876,100919.0
2008-10-06,5863.47567876,5615.02331949,6012.547094322,5615.02331949,193799.0
2008-10-07,5615.02331949,5366.570960221,5863.47567876,5366.570960221,109349.0
2008-10-08,5366.570960221,5118.118600951,5366.570960221,5118.118600951,79379.0
2008-10-09,5118.118600951,4869.666241682,5167.809072805,4869.666241682,156119.0
2008-10-10,4631.151976783,4631.151976783,4631.151976783,4631.151976783,105239.0
2008-10-13,4631.151976783,4631.151976783,4859.728147311,4651.028165525,48449.0
2008-10-14,4879.604336053,4879.604336053,4879.604336053,4879.604336053,23399.0
2008-10-15,5093.273365024001,5068.428129097,5118.118600951,5118.118600951,56699.0
2008-10-16,5118.118600951,5068.428129097,5366.570960221,5366.570960221,76289.0
2008-10-17,5615.02331949,5615.02331949,5615.02331949,5615.02331949,16829.0
2008-10-20,5863.47567876,5863.47567876,5863.47567876,5863.47567876,92519.0
2008-10-21,5863.47567876,5863.47567876,6111.928038029,6111.928038029,123119.0
2008-10-22,5938.0113865405,5813.785206906,6062.237566175,5813.785206906,153809.0
2008-10-23,5813.785206906,5565.332847636,5813.785206906,5565.332847636,63209.0
2008-10-24,5565.332847636,5316.880488367,5565.332847636,5565.332847636,94529.0
2008-10-27,5565.332847636,5316.880488367,5565.332847636,5465.951903929,90689.0
2008-10-28,5465.951903929,5416.261432075,5465.951903929,5465.951903929,61289.0
2008-10-29,5639.868555417001,5565.332847636,5714.404263198,5714.404263198,139019.0
2008-10-30,5714.404263198,5565.332847636,5764.094735052,5714.404263198,48359.0
2008-10-31,5714.404263198,5515.642375783,5714.404263198,5664.713791344,63809.0
2008-11-03,5664.713791344,5416.261432075,5664.713791344,5416.261432075,57539.0
2008-11-04,5565.3328476365,5465.951903929,5664.713791344,5664.713791344,113669.0
2008-11-05,5664.713791344,5664.713791344,5863.47567876,5813.785206906,32129.0
2008-11-06,5664.713791344,5565.332847636,5764.094735052,5764.094735052,51839.0
2008-11-07,5764.094735052,5515.642375783,5764.094735052,5515.642375783,32939.0
2008-11-10,5515.642375783,5366.570960221,5565.332847636,5565.332847636,63209.0
2008-11-11,5565.332847636,5565.332847636,5664.713791344,5565.332847636,40499.0
2008-11-12,5565.332847636,5515.642375783,5565.332847636,5565.332847636,15599.0
2008-11-13,5565.332847636,5515.642375783,5565.332847636,5565.332847636,21659.0
2008-11-14,5565.332847636,5515.642375783,5615.02331949,5565.332847636,45299.0
2008-11-17,5565.332847636,5366.570960221,5565.332847636,5565.332847636,36389.0
2008-11-18,5565.332847636,5515.642375783,5615.02331949,5615.02331949,63179.0
2008-11-19,5615.02331949,5615.02331949,5664.713791344,5664.713791344,70229.0
2008-11-20,5664.713791344,5465.951903929,5913.166150614,5913.166150614,74129.0
2008-11-21,5913.166150614,5813.785206906,6062.237566175,6062.237566175,170699.0
2008-11-24,6062.237566175,5913.166150614,6111.928038029,6062.237566175,58409.0
2008-11-25,6062.237566175,5962.856622468,6062.237566175,6062.237566175,77129.0
2008-11-26,5987.701858394999,5962.856622468,6012.547094322,6012.547094322,55079.0
2008-11-27,5938.011386541,5913.166150614,5962.856622468,5913.166150614,12899.0
2008-11-28,5913.166150614,5664.713791344,5962.856622468,5962.856622468,99509.0
2008-12-01,5962.856622468,5813.785206906,5962.856622468,5962.856622468,33629.0
2008-12-02,5788.939970979,5664.713791344,5913.166150614,5664.713791344,34949.0
2008-12-03,5664.713791344,5664.713791344,5813.785206906,5813.785206906,14159.0
2008-12-04,5813.785206906,5714.404263198,5913.166150614,5714.404263198,4049.0
2008-12-05,5714.404263198,5561.340111565,5816.447456132,5816.447456132,6749.0
2008-12-08,5816.447456132,5561.340111565,5816.447456132,5561.340111565,15599.0
2008-12-09,5561.340111565,5357.254235911,5816.447456132,5357.254235911,11999.0
2008-12-10,5357.254235911,5255.211298084,5459.297173738,5357.254235911,6449.0
2008-12-11,5357.254235911,5255.211298084,5357.254235911,5357.254235911,8699.0
2008-12-12,5484.807908195,5408.275704825,5561.340111565,5561.340111565,30209.0
2008-12-15,5765.4259872185,5714.404518305,5816.447456132,5765.425987219,18929.0
2008-12-16,5918.4903939595,5867.468925046,5969.511862873,5867.468925046,46499.0
2008-12-17,5714.4045183055005,5612.361580479,5816.447456132,5663.383049392,80999.0
2008-12-18,5510.318642652,5408.275704825,5612.361580479,5408.275704825,74999.0
2008-12-19,5255.2112980845,5153.168360258,5357.254235911,5153.168360258,50489.0
2008-12-22,5357.2542359115,5306.232766998,5408.275704825,5306.232766998,1829.0
2008-12-23,5306.232766998,5051.125422431,5306.232766998,5153.168360258,27479.0
2008-12-24,5051.1254224305,5000.103953517,5102.146891344,5000.103953517,44999.0
2008-12-26,5000.103953517,5000.103953517,5153.168360258,5153.168360258,449.0
2008-12-29,5153.168360258,5102.146891344,5306.232766998,5204.189829171,3089.0
2008-12-30,5204.189829171,5010.3082473,5204.189829171,5204.189829171,19919.0
2008-12-31,5204.189829171,5204.189829171,5255.211298084,5255.211298084,18839.0
2009-01-02,5255.211298084,5255.211298084,5255.211298084,5255.211298084,29.0
2009-01-05,5204.189829171,5204.189829171,5204.189829171,5204.189829171,13829.0
2009-01-06,5204.189829171,5204.189829171,5204.189829171,5204.189829171,209.0
2009-01-07,5204.189829171,5102.146891344,5255.211298084,5255.211298084,16649.0
2009-01-08,5076.6361568875,5000.103953517,5153.168360258,5102.146891344,20129.0
2009-01-09,5102.146891344,5051.125422431,5102.146891344,5051.125422431,8069.0
2009-01-12,4949.0824846035,4898.06101569,5000.103953517,4898.06101569,18629.0
2009-01-13,4898.06101569,4744.99660895,5102.146891344,4796.018077864,9179.0
2009-01-14,4796.018077864,4796.018077864,4898.06101569,4898.06101569,3599.0
2009-01-15,5000.103953517,5000.103953517,5000.103953517,5000.103953517,29.0
2009-01-16,5000.103953517,4816.426665429,5000.103953517,4949.082484604,17699.0
2009-01-19,4770.507343407,4744.99660895,4796.018077864,4744.99660895,14999.0
2009-01-20,4969.491072169,4969.491072169,4969.491072169,4969.491072169,29.0
2009-01-21,4760.303049624499,4724.588021385,4796.018077864,4744.99660895,359.0
2009-01-22,4969.491072169,4969.491072169,4969.491072169,4969.491072169,89.0
2009-01-23,4969.491072169,4724.588021385,5000.103953517,5000.103953517,13199.0
2009-02-02,4775.6094902985,4755.200902733,4796.018077864,4755.200902733,2039.0
2009-02-03,4530.7064395135,4520.502145731,4540.910733296,4520.502145731,449.0
2009-02-04,4301.109829403,4296.007682512,4306.211976294,4296.007682512,26429.0
2009-02-05,4081.717513075,4081.717513075,4081.717513075,4081.717513075,1379.0
2009-02-06,3877.631637422,3877.631637422,3877.631637422,3877.631637422,9479.0
2009-02-09,3877.631637422,3724.567230681,3877.631637422,3877.631637422,28919.0
2009-02-10,3877.631637422,3683.75005555,4071.513219293,4061.30892551,2039.0
2009-02-11,3898.040224987,3867.427343639,3928.653106335,3928.653106335,18509.0
2009-02-12,3928.653106335,3928.653106335,3979.674575248,3979.674575248,1859.0
2009-02-13,3979.674575248,3979.674575248,4081.717513075,4081.717513075,1409.0
2009-02-16,4081.717513075,3979.674575248,4081.717513075,3979.674575248,629.0
2009-02-17,3831.7123153995,3785.792993377,3877.631637422,3785.792993377,5729.0
2009-02-18,3785.792993377,3785.792993377,3785.792993377,3785.792993377,11999.0
2009-02-19,3785.792993377,3602.115705289,3969.470281466,3602.115705289,2339.0
2009-02-20,3602.115705289,3428.642710983,3775.588699595,3775.588699595,20459.0
2009-02-23,3775.588699595,3673.545761768,3918.448812552,3918.448812552,479.0
2009-02-24,3724.567230681,3724.567230681,3724.567230681,3724.567230681,479.0
2009-02-25,3724.567230681,3581.707117724,3826.610168508,3826.610168508,1079.0
2009-02-26,3826.610168508,3642.93288042,3867.427343639,3826.610168508,6329.0
2009-02-27,3826.610168508,3826.610168508,3826.610168508,3826.610168508,29.0
2009-03-02,3673.545761768,3673.545761768,3673.545761768,3673.545761768,659.0
2009-03-03,3673.545761768,3489.868473679,3673.545761768,3489.868473679,2999.0
2009-03-04,3581.707117724,3581.707117724,3581.707117724,3581.707117724,89.0
2009-03-05,3724.567230681,3724.567230681,3724.567230681,3724.567230681,29.0
2009-03-06,3724.567230681,3571.502823941,3775.588699595,3775.588699595,689.0
2009-03-09,3591.911411506,3591.911411506,3591.911411506,3591.911411506,389.0
2009-03-10,3591.911411506,3489.868473679,3673.545761768,3591.911411506,659.0
2009-03-11,3591.911411506,3591.911411506,3591.911411506,3591.911411506,11279.0
2009-03-12,3591.911411506,3469.459886114,3673.545761768,3479.664179897,6809.0
2009-03-13,3571.502823941,3571.502823941,3571.502823941,3571.502823941,7109.0
2009-03-16,3673.545761768,3673.545761768,3673.545761768,3673.545761768,59.0
2009-03-17,3673.545761768,3591.911411506,3775.588699595,3602.115705289,3539.0
2009-03-18,3602.115705289,3581.707117724,3775.588699595,3775.588699595,36989.0
2009-03-19,3673.5457617675,3591.911411506,3755.180112029,3612.319999072,132749.0
2009-03-20,3479.6641798965,3438.847004766,3520.481355027,3520.481355027,119369.0
2009-03-23,3520.481355027,3357.212654504,3591.911411506,3357.212654504,1199.0
2009-03-24,3443.949151657,3367.416948287,3520.481355027,3367.416948287,37079.0
2009-03-25,3367.416948287,3214.352541547,3367.416948287,3367.416948287,44969.0
2009-03-26,3367.416948287,3347.008360722,3367.416948287,3367.416948287,6629.0
2009-03-27,3367.416948287,3367.416948287,3418.438417201,3367.416948287,15149.0
2009-03-30,3280.680451134,3204.148247764,3357.212654504,3357.212654504,5489.0
2009-03-31,3229.6589822205,3193.943953981,3265.37401046,3224.55683533,13709.0
2009-04-01,3255.1697166775,3244.965422895,3265.37401046,3255.169716678,16109.0
2009-04-02,3255.169716678,3255.169716678,3387.825535853,3255.169716678,9299.0
2009-04-03,3255.169716678,3255.169716678,3408.234123418,3295.986891808,126629.0
2009-04-07,3295.986891808,3285.782598026,3459.255592331,3459.255592331,44279.0
2009-04-08,3459.255592331,3316.395479374,3622.524292854,3316.395479374,20069.0
2009-04-09,3316.395479374,3224.55683533,3367.416948287,3316.395479374,52169.0
2009-04-10,3418.4384172005,3367.416948287,3469.459886114,3469.459886114,21719.0
2009-04-13,3581.7071177235,3520.481355027,3642.93288042,3642.93288042,127019.0
2009-04-14,3642.93288042,3469.459886114,3795.99728716,3795.99728716,85649.0
2009-04-15,3673.5457617675,3622.524292854,3724.567230681,3683.75005555,23999.0
2009-04-16,3540.889942593,3500.072767462,3581.707117724,3520.481355027,81149.0
2009-04-17,3357.2126545045003,3347.008360722,3367.416948287,3347.008360722,62699.0
2009-04-20,3183.739660199,3183.739660199,3183.739660199,3183.739660199,40319.0
2009-04-21,3030.675253458,3030.675253458,3030.675253458,3030.675253458,56279.0
2009-04-22,3117.4117506115,3061.288134807,3173.535366416,3173.535366416,20069.0
2009-04-23,3285.7825980255,3244.965422895,3326.599773156,3244.965422895,12869.0
2009-04-24,3244.965422895,3112.30960372,3244.965422895,3163.331072633,18179.0
2009-04-27,3306.191185591,3306.191185591,3306.191185591,3306.191185591,3659.0
2009-04-28,3306.191185591,3265.37401046,3367.416948287,3306.191185591,2249.0
2009-04-29,3306.191185591,3234.761129112,3306.191185591,3265.37401046,12839.0
2009-05-04,3265.37401046,3265.37401046,3428.642710983,3428.642710983,67919.0
2009-05-05,3581.7071177235,3571.502823941,3591.911411506,3591.911411506,67229.0
2009-05-06,3591.911411506,3418.438417201,3591.911411506,3418.438417201,24209.0
2009-05-07,3418.438417201,3265.37401046,3571.502823941,3561.298530158,24719.0
2009-05-08,3561.298530158,3387.825535853,3561.298530158,3561.298530158,3029.0
2009-05-11,3561.298530158,3408.234123418,3561.298530158,3408.234123418,18959.0
2009-05-12,3408.234123418,3244.965422895,3489.868473679,3469.459886114,38759.0
2009-05-13,3545.992089484,3489.868473679,3602.115705289,3571.502823941,99389.0
2009-05-14,3479.664179897,3449.051298549,3510.277061245,3449.051298549,16739.0
2009-05-15,3515.379208136,3469.459886114,3561.298530158,3520.481355027,14849.0
2009-05-18,3520.481355027,3469.459886114,3540.889942593,3510.277061245,32759.0
2009-05-19,3602.1157052890003,3551.094236376,3653.137174202,3653.137174202,91589.0
2009-05-20,3775.5886995945,3724.567230681,3826.610168508,3826.610168508,171539.0
2009-05-21,4010.287456597,4010.287456597,4010.287456597,4010.287456597,159869.0
2009-05-22,4010.287456597,4010.287456597,4204.169038468,4081.717513075,221009.0
2009-05-25,4081.717513075,4081.717513075,4285.803388729,4285.803388729,79769.0
2009-05-26,4285.803388729,4081.717513075,4438.867795469,4081.717513075,125039.0
2009-05-27,3969.470281466,3908.24451877,4030.696044162,3918.448812552,117659.0
2009-05-28,3918.448812552,3775.588699595,4030.696044162,3847.018756074,107099.0
2009-05-29,3847.018756074,3847.018756074,4020.491750379,3877.631637422,25589.0
2009-06-01,3877.631637422,3877.631637422,4030.696044162,4030.696044162,199379.0
2009-06-02,4178.658304011,4132.738981989,4224.577626033,4224.577626033,378509.0
2009-06-03,4224.577626033,4030.696044162,4428.663501687,4428.663501687,254849.0
2009-06-04,4642.953671123,4642.953671123,4642.953671123,4642.953671123,28049.0
2009-06-05,4867.448134342,4867.448134342,4867.448134342,4867.448134342,25049.0
2009-06-08,5102.146891344,5102.146891344,5102.146891344,5102.146891344,33449.0
2009-06-09,5357.254235911,5357.254235911,5357.254235911,5357.254235911,238469.0
2009-06-10,5357.254235911,5091.942597561,5612.361580479,5612.361580479,747569.0
2009-06-11,5867.468925046,5867.468925046,5867.468925046,5867.468925046,96359.0
2009-06-12,6071.5548006995,6020.533331786,6122.576269613,6122.576269613,1028189.0
2009-06-15,6122.576269613,5816.447456132,6428.705083094,6428.705083094,495119.0
2009-06-16,6148.0870040695,6122.576269613,6173.597738526,6122.576269613,94349.0
2009-06-17,6122.576269613,5816.447456132,6122.576269613,5816.447456132,103499.0
2009-06-18,5816.447456132,5561.340111565,5867.468925046,5561.340111565,659249.0
2009-06-19,5561.340111565,5306.232766998,5663.383049392,5561.340111565,360419.0
2009-06-22,5561.340111565,5306.232766998,5561.340111565,5306.232766998,164519.0
2009-06-23,5040.921128648,5040.921128648,5040.921128648,5040.921128648,1259.0
2009-06-24,5040.921128648,4796.018077864,5204.189829171,5000.103953517,743759.0
2009-06-25,4780.7116371895,4755.200902733,4806.222371646,4755.200902733,208199.0
2009-06-26,4561.3193208615,4520.502145731,4602.136495992,4520.502145731,151649.0
2009-06-29,4520.502145731,4296.007682512,4693.975140037,4296.007682512,306899.0
2009-06-30,4296.007682512,4081.717513075,4459.276383035,4387.846326556,239639.0
2009-07-01,4387.846326556,4173.55615712,4387.846326556,4387.846326556,155369.0
2009-07-02,4387.846326556,4183.760450902,4489.889264383,4387.846326556,112139.0
2009-07-03,4387.846326556,4204.169038468,4387.846326556,4285.803388729,74939.0
2009-07-06,4285.803388729,4285.803388729,4500.093558166,4500.093558166,60509.0
2009-07-07,4500.093558166,4489.889264383,4520.502145731,4489.889264383,62549.0
2009-07-08,4489.889264383,4316.416270077,4612.340789775,4612.340789775,89969.0
2009-07-09,4612.340789775,4540.910733296,4693.975140037,4591.93220221,126389.0
2009-07-10,4591.93220221,4418.459207904,4591.93220221,4581.727908427,51509.0
2009-07-13,4387.846326556,4357.233445208,4418.459207904,4357.233445208,99059.0
2009-07-14,4357.233445208,4183.760450902,4357.233445208,4336.824857643,58019.0
2009-07-15,4336.824857643,4183.760450902,4336.824857643,4193.964744685,26009.0
2009-07-16,4285.8033887295,4204.169038468,4367.437738991,4224.577626033,42869.0
2009-07-17,4224.577626033,4091.921806858,4234.781919816,4234.781919816,29099.0
2009-07-20,4056.2067786185,4030.696044162,4081.717513075,4030.696044162,53459.0
2009-07-21,4030.696044162,3979.674575248,4122.534688206,4102.126100641,38669.0
2009-07-22,4102.126100641,4102.126100641,4183.760450902,4102.126100641,52589.0
2009-07-23,4102.126100641,4102.126100641,4132.738981989,4132.738981989,26219.0
2009-07-24,4336.824857643,4336.824857643,4336.824857643,4336.824857643,136259.0
2009-07-27,4469.4806768175,4387.846326556,4551.115027079,4551.115027079,123479.0
2009-07-28,4551.115027079,4367.437738991,4775.609490298,4775.609490298,82949.0
2009-07-29,4642.953671123,4540.910733296,4744.99660895,4540.910733296,61499.0
2009-07-30,4387.846326556,4316.416270077,4459.276383035,4459.276383035,105329.0
2009-07-31,4459.276383035,4296.007682512,4571.523614644,4561.319320862,79919.0
2009-08-03,4459.276383035,4387.846326556,4530.706439514,4438.867795469,6569.0
2009-08-04,4438.867795469,4387.846326556,4438.867795469,4387.846326556,46919.0
2009-08-05,4387.846326556,4255.190507381,4489.889264383,4367.437738991,40919.0
2009-08-06,4367.437738991,4347.029151425,4561.319320862,4347.029151425,120959.0
2009-08-07,4347.029151425,4326.62056386,4387.846326556,4326.62056386,76919.0
2009-08-10,4326.62056386,4326.62056386,4367.437738991,4367.437738991,42959.0
2009-08-11,4367.437738991,4306.211976294,4489.889264383,4387.846326556,87899.0
2009-08-12,4387.846326556,4387.846326556,4591.93220221,4459.276383035,222539.0
2009-08-13,4561.3193208615,4479.6849706,4642.953671123,4632.749377341,136649.0
2009-08-14,4632.749377341,4591.93220221,4693.975140037,4693.975140037,165329.0
2009-08-17,4693.975140037,4591.93220221,4693.975140037,4591.93220221,85589.0
2009-08-18,4591.93220221,4438.867795469,4734.792315167,4734.792315167,107489.0
2009-08-19,4862.345987451,4755.200902733,4969.491072169,4969.491072169,534239.0
2009-08-20,5204.189829171,5204.189829171,5204.189829171,5204.189829171,253259.0
2009-08-21,5459.297173738,5459.297173738,5459.297173738,5459.297173738,179189.0
2009-08-24,5612.3615804785,5510.318642652,5714.404518305,5714.404518305,1472159.0
2009-08-25,5714.404518305,5459.297173738,5714.404518305,5714.404518305,391499.0
2009-08-26,5714.404518305,5714.404518305,5969.511862873,5969.511862873,315629.0
2009-08-27,6125.2381527695,6021.42055696,6229.055748579,6125.23815277,316919.0
2009-08-28,6125.23815277,5969.511759055,6229.055748579,5969.511759055,266489.0
2009-08-31,6203.1013496265,6177.146950674,6229.055748579,6229.055748579,443279.0
2009-09-01,6410.736541246,6280.964546484,6540.508536008,6488.599738103,453029.0
2009-09-03,6332.873344389,6229.055748579,6436.690940199,6280.964546484,56759.0
2009-09-04,6021.42055696,5969.511759055,6073.329354865,5969.511759055,222629.0
2009-09-07,5709.967769531,5709.967769531,5709.967769531,5709.967769531,149099.0
2009-09-08,5709.967769531,5606.150173721,5761.876567436,5761.876567436,230519.0
2009-09-09,5761.876567436,5709.967769531,5813.785365341,5761.876567436,160499.0
2009-09-10,5761.876567436,5606.150173721,5761.876567436,5606.150173721,68099.0
2009-09-11,5813.7853653405,5761.876567436,5865.694163245,5865.694163245,271259.0
2009-09-14,5865.694163245,5865.694163245,6073.329354865,5917.60296115,69449.0
2009-09-15,5917.60296115,5709.967769531,5969.511759055,5709.967769531,71129.0
2009-09-16,5709.967769531,5502.332577912,5813.785365341,5502.332577912,147179.0
2009-09-17,5502.332577912,5450.423780007,5554.241375816,5450.423780007,268229.0
2009-09-18,5450.423780007,5398.514982102,5606.150173721,5606.150173721,248609.0
2009-09-21,5606.150173721,5346.606184197,5709.967769531,5606.150173721,276029.0
2009-09-22,5606.150173721,5502.332577912,5709.967769531,5709.967769531,229109.0
2009-09-23,5709.967769531,5709.967769531,5813.785365341,5709.967769531,209189.0
2009-09-24,5528.286976863999,5450.423780007,5606.150173721,5606.150173721,209849.0
2009-09-25,5476.378178959,5398.514982102,5554.241375816,5398.514982102,88709.0
2009-09-28,5398.514982102,5398.514982102,5554.241375816,5450.423780007,121229.0
2009-09-29,5372.5605831495,5346.606184197,5398.514982102,5346.606184197,179279.0
2009-09-30,5346.606184197,5190.879790483,5346.606184197,5294.697386292,182129.0
2009-10-01,5294.697386292,5149.352752159,5294.697386292,5149.352752159,84689.0
2009-10-02,4941.7175605395005,4900.190522216,4983.244598863,4900.190522216,178679.0
2009-10-05,4900.190522216,4900.190522216,5138.970992578,5138.970992578,54179.0
2009-10-06,5346.606184197,5346.606184197,5346.606184197,5346.606184197,159959.0
2009-10-07,5606.150173721,5606.150173721,5606.150173721,5606.150173721,84839.0
2009-10-08,5787.830966388,5709.967769531,5865.694163245,5865.694163245,647189.0
2009-10-09,5865.694163245,5658.058971626,5969.511759055,5917.60296115,196169.0
2009-10-12,6177.146950674,6177.146950674,6177.146950674,6177.146950674,281879.0
2009-10-13,6177.146950674,6021.42055696,6229.055748579,6229.055748579,556109.0
2009-10-14,6436.690940198499,6332.873344389,6540.508536008,6540.508536008,551009.0
2009-10-15,6851.961323437,6851.961323437,6851.961323437,6851.961323437,79709.0
2009-10-16,7163.414110866,7163.414110866,7163.414110866,7163.414110866,779429.0
2009-10-19,7474.866898295,7474.866898295,7474.866898295,7474.866898295,193499.0
2009-10-20,7838.228483629,7838.228483629,7838.228483629,7838.228483629,1401029.0
2009-10-21,8201.590068963,8201.590068963,8201.590068963,8201.590068963,1353449.0
2009-10-22,8564.951654296,8564.951654296,8564.951654296,8564.951654296,292799.0
2009-10-23,8980.222037535,8980.222037535,8980.222037535,8980.222037535,546359.0
2009-10-26,9395.492420774,9395.492420774,9395.492420774,9395.492420774,1052999.0
2009-10-27,9135.9484312495,8928.31323963,9343.583622869,9343.583622869,1301999.0
2009-10-28,9343.583622869,8876.404441725,9343.583622869,8928.31323963,495689.0
2009-10-29,8928.31323963,8876.404441725,9343.583622869,9343.583622869,639509.0
2009-10-30,9810.762804012,9810.762804012,9810.762804012,9810.762804012,157499.0
2009-11-02,10226.033187251,10174.124389346,10277.941985156,10277.941985156,515999.0
2009-11-03,10277.941985156,10277.941985156,10693.212368394,10589.394772585,1058459.0
2009-11-04,10589.394772585,10070.306793536,10589.394772585,10070.306793536,358109.0
2009-11-05,10070.306793536,9706.945208203,10485.577176775,10381.759580965,424019.0
2009-11-06,10381.759580965,9862.671601917,10381.759580965,9862.671601917,337289.0
2009-11-09,9862.671601917,9395.492420774,9862.671601917,9395.492420774,308159.0
2009-11-10,9395.492420774,9135.94843125,9655.036410298,9499.310016583,114149.0
2009-11-11,9499.310016583,9343.583622869,9758.854006107,9603.127612393,76049.0
2009-11-12,9603.127612393,9603.127612393,9862.671601917,9655.036410298,173549.0
2009-11-13,9655.036410298,9447.401218678,9966.489197727,9706.945208203,218579.0
