Date,Price Open,Price Low,Price High,Price Close,Volume
2006-08-29,7367.0519919485,6280.109894776,8453.994089121,6473.344045384,42600.0
2006-08-30,6473.344045384,6352.572701254,7125.509303688,6400.881238906,47300.0
2006-08-31,6400.881238906,6352.572701254,6449.189776558,6449.189776558,20400.0
2006-09-01,6449.189776558,6400.881238906,6521.652583036,6521.652583036,67200.0
2006-09-05,6521.652583036,6521.652583036,6763.195271297,6763.195271297,38800.0
2006-09-06,7089.2779004485,6835.658077775,7342.897723122,6956.429421905,59900.0
2006-09-07,6956.429421905,6908.120884253,7125.509303688,6908.120884253,62400.0
2006-09-08,6908.120884253,6908.120884253,7004.737959558,6932.275153079,36800.0
2006-09-11,6932.275153079,6859.812346601,6956.429421905,6859.812346601,22100.0
2006-09-12,6859.812346601,6642.423927167,6859.812346601,6666.578195993,13500.0
2006-09-13,6739.041002471,6714.886733645,6763.195271297,6714.886733645,17300.0
2006-09-14,6666.578195993,6642.423927167,6690.732464819,6642.423927167,34100.0
2006-09-15,6642.423927167,6618.269658341,6763.195271297,6642.423927167,18200.0
2006-09-18,6642.423927167,6594.115389515,6642.423927167,6618.269658341,19500.0
2006-09-19,6618.269658341,6569.961120688,6642.423927167,6594.115389515,24100.0
2006-09-20,6594.115389515,6521.652583036,6594.115389515,6594.115389515,11900.0
2006-09-21,6509.575448623,6473.344045384,6545.806851862,6521.652583036,33200.0
2006-09-22,6521.652583036,6473.344045384,6521.652583036,6473.344045384,4700.0
2006-09-25,6473.344045384,6400.881238906,6521.652583036,6449.189776558,27600.0
2006-09-26,6449.189776558,6376.72697008,6449.189776558,6400.881238906,24500.0
2006-09-27,6400.881238906,6352.572701254,6400.881238906,6352.572701254,55900.0
2006-09-28,6352.572701254,6304.264163602,6376.72697008,6376.72697008,23300.0
2006-09-29,6376.72697008,6328.418432428,6400.881238906,6400.881238906,28000.0
2006-10-02,6400.881238906,6352.572701254,6400.881238906,6376.72697008,12100.0
2006-10-03,6376.72697008,6304.264163602,6521.652583036,6304.264163602,16200.0
2006-10-04,6304.264163602,6280.109894776,6328.418432428,6280.109894776,12700.0
2006-10-05,6280.109894776,6231.801357124,6328.418432428,6304.264163602,63900.0
2006-10-06,6255.9556259500005,6231.801357124,6280.109894776,6231.801357124,36000.0
2006-10-09,6231.801357124,6183.492819472,6328.418432428,6328.418432428,28700.0
2006-10-10,6231.801357124,6183.492819472,6280.109894776,6255.95562595,22700.0
2006-10-11,6255.95562595,6159.338550645,6280.109894776,6280.109894776,12700.0
2006-10-12,6280.109894776,6207.647088298,6280.109894776,6207.647088298,10200.0
2006-10-13,6207.647088298,6159.338550645,6231.801357124,6159.338550645,26500.0
2006-10-16,6074.798609754,6038.567206515,6111.030012993,6038.567206515,5300.0
2006-10-17,5954.027265624,5917.795862385,5990.258668863,5917.795862385,8800.0
2006-10-18,5917.795862385,5797.024518255,5917.795862385,5845.333055907,5300.0
2006-10-19,5845.333055907,5797.024518255,5845.333055907,5797.024518255,25200.0
2006-10-20,5797.024518255,5724.561711776,5845.333055907,5845.333055907,17300.0
2006-10-23,5797.024518255,5797.024518255,5797.024518255,5797.024518255,2100.0
2006-10-25,5797.024518255,5797.024518255,5797.024518255,5797.024518255,1000.0
2006-10-27,5881.564459146,5845.333055907,5917.795862385,5845.333055907,5300.0
2006-10-30,5845.333055907,5797.024518255,5869.487324733,5797.024518255,6100.0
2006-10-31,5797.024518255,5797.024518255,5845.333055907,5821.178787081,6200.0
2006-11-01,5821.178787081,5797.024518255,5821.178787081,5797.024518255,9500.0
2006-11-02,5797.024518255,5797.024518255,5821.178787081,5797.024518255,9200.0
2006-11-03,5797.024518255,5772.870249428,5797.024518255,5772.870249428,11100.0
2006-11-06,5772.870249428,5748.715980602,5772.870249428,5748.715980602,8600.0
2006-11-07,5748.715980602,5748.715980602,5797.024518255,5797.024518255,9500.0
2006-11-08,5797.024518255,5797.024518255,5797.024518255,5797.024518255,5700.0
2006-11-09,5797.024518255,5772.870249428,5821.178787081,5772.870249428,17700.0
2006-11-10,5772.870249428,5772.870249428,5845.333055907,5797.024518255,23600.0
2006-11-13,5797.024518255,5772.870249428,5821.178787081,5772.870249428,15900.0
2006-11-14,5772.870249428,5748.715980602,5797.024518255,5772.870249428,15200.0
2006-11-15,5772.870249428,5748.715980602,5821.178787081,5797.024518255,24800.0
2006-11-16,5797.024518255,5772.870249428,5797.024518255,5772.870249428,10000.0
2006-11-17,5772.870249428,5748.715980602,5772.870249428,5772.870249428,28300.0
2006-11-20,5772.870249428,5772.870249428,5821.178787081,5821.178787081,30500.0
2006-11-21,5821.178787081,5772.870249428,5845.333055907,5845.333055907,25800.0
2006-11-22,6123.1071474065,5917.795862385,6328.418432428,6304.264163602,33600.0
