Date,Price Open,Price Low,Price High,Price Close,Volume
2008-11-18,11482.850521432,10113.336239059,12852.364803805,12220.281288863,97997.0
2008-11-19,11883.170080895,11883.170080895,11883.170080895,11883.170080895,41939.0
2008-11-20,12683.80919982,12683.80919982,12683.80919982,12683.80919982,55918.0
2008-11-21,12683.80919982,11841.031179899,13568.726120738,13484.448318746,6430.0
2008-11-24,12220.281288863,12220.281288863,12220.281288863,12220.281288863,1537.0
2008-11-25,11377.503268942,11377.503268942,11377.503268942,11377.503268942,139.0
2008-11-26,10619.003051012,10619.003051012,10619.003051012,10619.003051012,139.0
2008-11-27,9902.641734079,9902.641734079,9902.641734079,9902.641734079,838.0
2008-11-28,9249.48876864,9228.419318142,9270.558219138,9228.419318142,67941.0
2008-12-01,9228.419318142,8596.3358032,9270.558219138,8596.3358032,19012.0
2008-12-02,8301.363496228001,8174.94679324,8427.780199216,8217.085694236,14678.0
2008-12-03,8217.085694236,8006.391189255,8638.474704197,8006.391189255,11463.0
2008-12-04,8322.4329467255,8048.530090251,8596.3358032,8132.807892244,8527.0
2008-12-05,8132.807892244,7837.835585271,8217.085694236,8006.391189255,26421.0
2008-12-08,8006.391189255,7627.141080291,8343.502397224,8006.391189255,10484.0
2008-12-09,8006.391189255,7795.696684275,8427.780199216,8427.780199216,12162.0
2008-12-10,8427.780199216,8006.391189255,8596.3358032,8048.530090251,7968.0
2008-12-11,7943.182837761,7879.974486267,8006.391189255,7964.252288259,5731.0
2008-12-12,8448.849649714,8385.64129822,8512.058001208,8512.058001208,5871.0
2008-12-15,8512.058001208,8512.058001208,8891.308110173,8512.058001208,2096.0
2008-12-16,8891.308110172999,8596.3358032,9186.280417146,9144.141516149,12022.0
2008-12-17,9607.669427106,9607.669427106,9607.669427106,9607.669427106,6151.0
2008-12-18,10176.5445905535,10113.336239059,10239.752942048,10113.336239059,37465.0
2008-12-19,10113.336239059,9649.808328102,10239.752942048,9649.808328102,15797.0
2008-12-22,9649.808328102,9439.113823122,10113.336239059,9649.808328102,5312.0
2008-12-23,9649.808328102,8993.999298823,9837.186733088,8993.999298823,17754.0
2008-12-24,9275.061776912,9275.061776912,9275.061776912,9275.061776912,698.0
2008-12-25,9275.061776912,9275.061776912,9368.749269608,9275.061776912,6710.0
2008-12-29,9134.530537868,9134.530537868,9134.530537868,9134.530537868,419.0
2008-12-30,9134.530537868,9134.530537868,9181.374284216,9181.374284216,419.0
2008-12-31,9017.421171997,8993.999298823,9040.843045171,8993.999298823,1118.0
2009-01-05,8431.874342647,8431.874342647,8431.874342647,8431.874342647,1397.0
2009-01-06,8619.249328039,8572.405581691,8666.093074387,8619.249328039,2656.0
