Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-06,2748.071318807,2748.071318807,2748.071318807,2748.071318807,160879.0
2006-12-07,2860.237495084,2860.237495084,2860.237495084,2860.237495084,303999.0
2006-12-08,3000.445215432,3000.445215432,3000.445215432,3000.445215432,11199.0
2006-12-11,3140.652935779,3140.652935779,3140.652935779,3140.652935779,88159.0
2006-12-12,3280.860656126,3280.860656126,3280.860656126,3280.860656126,119999.0
2006-12-13,3407.0476044385,3393.026832404,3421.068376473,3421.068376473,12079.0
2006-12-14,3589.31764089,3589.31764089,3589.31764089,3589.31764089,15999.0
2006-12-15,3757.566905307,3757.566905307,3757.566905307,3757.566905307,16719.0
2006-12-18,3757.566905307,3589.31764089,3757.566905307,3589.31764089,76959.0
2006-12-19,3421.068376473,3421.068376473,3421.068376473,3421.068376473,45759.0
2006-12-20,3252.819112057,3252.819112057,3252.819112057,3252.819112057,83839.0
2006-12-21,3168.694479848,3112.611391709,3224.777567987,3112.611391709,110239.0
2006-12-22,2972.403671362,2972.403671362,2972.403671362,2972.403671362,45599.0
2006-12-25,2972.403671362,2972.403671362,3112.611391709,3112.611391709,62399.0
2006-12-26,3224.7775679875,3196.736023918,3252.819112057,3252.819112057,203119.0
2006-12-27,3350.9645163,3308.902200196,3393.026832404,3393.026832404,104639.0
2006-12-28,3393.026832404,3252.819112057,3477.151464612,3336.943744265,23999.0
2006-12-29,3336.943744265,3196.736023918,3336.943744265,3336.943744265,56799.0
2007-01-02,3336.943744265,3336.943744265,3336.943744265,3336.943744265,8479.0
2007-01-03,3196.736023918,3196.736023918,3196.736023918,3196.736023918,6879.0
2007-01-04,3196.736023918,3196.736023918,3252.819112057,3196.736023918,12799.0
2007-01-05,3196.736023918,3084.56984764,3196.736023918,3196.736023918,70879.0
2007-01-08,3196.736023918,3056.528303571,3196.736023918,3196.736023918,71999.0
2007-01-09,3196.736023918,3196.736023918,3196.736023918,3196.736023918,71999.0
2007-01-10,3196.736023918,3196.736023918,3196.736023918,3196.736023918,21119.0
2007-01-11,3196.736023918,3140.652935779,3196.736023918,3140.652935779,1199.0
2007-01-12,3140.652935779,3000.445215432,3140.652935779,3112.611391709,8079.0
2007-01-15,3112.611391709,2972.403671362,3112.611391709,3112.611391709,93839.0
2007-01-16,3224.7775679875,3196.736023918,3252.819112057,3196.736023918,145599.0
2007-01-17,3336.943744265,3336.943744265,3336.943744265,3336.943744265,140959.0
2007-01-18,3435.089148508,3393.026832404,3477.151464612,3477.151464612,210719.0
2007-01-19,3645.400729029,3645.400729029,3645.400729029,3645.400729029,137039.0
2007-01-22,3785.6084493765,3757.566905307,3813.649993446,3757.566905307,337039.0
2007-01-23,3617.3591849595,3589.31764089,3645.400729029,3589.31764089,44079.0
2007-01-24,3589.31764089,3421.068376473,3589.31764089,3421.068376473,141359.0
2007-01-25,3252.819112057,3252.819112057,3252.819112057,3252.819112057,192799.0
2007-01-26,3364.985288335,3364.985288335,3364.985288335,3364.985288335,16079.0
2007-01-29,3491.1722366470003,3449.109920543,3533.234552751,3449.109920543,74399.0
2007-01-30,3449.109920543,3449.109920543,3533.234552751,3533.234552751,20159.0
2007-01-31,3533.234552751,3533.234552751,3701.483817168,3701.483817168,241679.0
2007-02-01,3701.483817168,3645.400729029,3701.483817168,3645.400729029,43119.0
2007-02-02,3785.608449376,3785.608449376,3785.608449376,3785.608449376,175999.0
2007-02-05,3953.857713793,3953.857713793,3953.857713793,3953.857713793,158239.0
2007-02-06,3953.857713793,3757.566905307,3953.857713793,3757.566905307,115999.0
2007-02-07,3757.566905307,3645.400729029,3757.566905307,3645.400729029,41599.0
2007-02-08,3645.400729029,3533.234552751,3645.400729029,3533.234552751,68799.0
2007-02-09,3673.4422730985,3645.400729029,3701.483817168,3701.483817168,28319.0
2007-02-12,3701.483817168,3701.483817168,3869.733081585,3869.733081585,81599.0
2007-02-13,3869.733081585,3869.733081585,3925.816169724,3869.733081585,64959.0
2007-02-14,3981.899257863,3981.899257863,3981.899257863,3981.899257863,72639.0
2007-02-15,4080.0446621055,4009.940801932,4150.148522279,4150.148522279,51439.0
2007-02-26,4346.439330765,4346.439330765,4346.439330765,4346.439330765,68799.0
2007-02-27,4542.730139252,4542.730139252,4542.730139252,4542.730139252,167999.0
2007-02-28,4767.062491807,4767.062491807,4767.062491807,4767.062491807,266799.0
2007-03-01,4767.062491807,4570.771683321,4767.062491807,4710.979403668,137199.0
2007-03-02,4710.979403668,4710.979403668,4935.311756224,4935.311756224,111359.0
2007-03-05,5159.64410878,5159.64410878,5159.64410878,5159.64410878,165439.0
2007-03-06,5412.018005405,5412.018005405,5412.018005405,5412.018005405,118319.0
2007-03-07,5412.018005405,5243.768740988,5552.225725752,5243.768740988,163199.0
2007-03-08,5243.768740988,5243.768740988,5496.142637613,5327.893373196,115279.0
2007-03-09,5327.893373196,5327.893373196,5327.893373196,5327.893373196,67359.0
2007-03-12,5327.893373196,5327.893373196,5496.142637613,5496.142637613,82639.0
2007-03-13,5496.142637613,5496.142637613,5608.308813891,5580.267269821,67999.0
2007-03-14,5468.101093543501,5440.059549474,5496.142637613,5496.142637613,81439.0
2007-03-15,5243.768740988,5243.768740988,5243.768740988,5243.768740988,1999.0
2007-03-16,4991.394844363,4991.394844363,4991.394844363,4991.394844363,146639.0
2007-03-19,5187.685652849001,5159.64410878,5215.727196918,5159.64410878,91039.0
2007-03-20,5159.64410878,4991.394844363,5327.893373196,4991.394844363,88159.0
2007-03-21,4991.394844363,4991.394844363,5075.519476571,5019.436388432,101199.0
2007-03-22,5047.477932502,5047.477932502,5047.477932502,5047.477932502,115279.0
2007-03-23,5257.789513022501,5215.727196918,5299.851829127,5215.727196918,67999.0
2007-03-26,5215.727196918,5215.727196918,5215.727196918,5215.727196918,88959.0
2007-03-27,5061.4987045365,4963.353300293,5159.64410878,4963.353300293,32239.0
2007-03-28,4795.1040358765,4767.062491807,4823.145579946,4823.145579946,45039.0
2007-03-29,4991.394844363,4935.311756224,5047.477932502,5047.477932502,21519.0
2007-03-30,5047.477932502,4851.187124016,5047.477932502,5047.477932502,92639.0
2007-04-02,4879.228668085,4879.228668085,4879.228668085,4879.228668085,21759.0
2007-04-03,4879.228668085,4739.020947738,4879.228668085,4879.228668085,43519.0
2007-04-04,4879.228668085,4879.228668085,4879.228668085,4879.228668085,27599.0
2007-04-05,5075.5194765715005,5047.477932502,5103.561020641,5103.561020641,98159.0
2007-04-06,5103.561020641,5047.477932502,5103.561020641,5047.477932502,47119.0
2007-04-09,5047.477932502,4963.353300293,5047.477932502,4963.353300293,22159.0
2007-04-10,4963.353300293,4963.353300293,5047.477932502,4963.353300293,15039.0
2007-04-11,5047.477932502,5047.477932502,5047.477932502,5047.477932502,13279.0
2007-04-12,5047.477932502,4935.311756224,5047.477932502,4935.311756224,36399.0
2007-04-13,4935.311756224,4935.311756224,4991.394844363,4991.394844363,25039.0
2007-04-16,4991.394844363,4879.228668085,4991.394844363,4879.228668085,65039.0
