Date,Price Open,Price Low,Price High,Price Close,Volume
2006-06-26,8092.809144639999,7095.065551465,9090.552737815,7316.786349948,80497.0
2006-06-27,7316.786349948,7006.377232072,7316.786349948,7006.377232072,88238.0
2006-06-28,6518.5914754085,6385.558996319,6651.623954498,6385.558996319,54623.0
2006-06-29,6385.558996319,5986.461559049,6718.140194043,6607.279794802,39806.0
2006-06-30,6806.8285134365,6762.48435374,6851.172673133,6762.48435374,13711.0
2006-07-03,6762.48435374,6762.48435374,6873.344752982,6873.344752982,9288.0
2006-07-04,6873.344752982,6651.623954498,6873.344752982,6806.828513437,13268.0
2006-07-05,6640.5379145745,6518.591475409,6762.48435374,6540.763555257,12826.0
2006-07-06,6540.763555257,6429.903156015,6651.623954498,6651.623954498,5307.0
2006-07-07,6651.623954498,6540.763555257,7272.442190252,6607.279794802,31845.0
2006-07-10,6374.4729563945,6208.182357532,6540.763555257,6208.182357532,22778.0
2006-07-11,6452.0752358635,6407.731076167,6496.41939556,6429.903156015,18134.0
2006-07-12,6429.903156015,6008.633638897,6585.107714953,6452.075235864,9288.0
2006-07-13,6452.075235864,6208.182357532,6540.763555257,6429.903156015,5971.0
2006-07-14,6429.903156015,6319.042756774,6429.903156015,6363.38691647,20124.0
2006-07-17,6319.042756774,6319.042756774,6319.042756774,6319.042756774,663.0
2006-07-18,5875.601159807,5764.740760565,5986.461559049,5986.461559049,9288.0
2006-07-19,5986.461559049,5764.740760565,6030.805718745,5875.601159807,9509.0
2006-07-20,5875.601159807,5764.740760565,5942.117399352,5942.117399352,27201.0
2006-07-21,5942.117399352,5919.945319504,5986.461559049,5919.945319504,9288.0
2006-07-24,5964.2894792005,5942.117399352,5986.461559049,5942.117399352,9509.0
2006-07-25,5942.117399352,5543.019962082,5964.2894792,5543.019962082,5307.0
2006-07-26,5543.019962082,5543.019962082,5764.740760565,5543.019962082,14595.0
2006-07-27,5543.019962082,5498.675802385,5543.019962082,5498.675802385,45556.0
2006-07-28,5687.138481096,5609.536201627,5764.740760565,5609.536201627,22335.0
2006-07-31,5454.331642688499,5432.15956284,5476.503722537,5432.15956284,17691.0
2006-08-01,5432.15956284,5188.266684509,5454.331642689,5188.266684509,19461.0
2006-08-02,5188.266684509,5166.09460466,5321.299163599,5321.299163599,9730.0
2006-08-03,5387.815403143501,5343.471243447,5432.15956284,5409.987482992,5749.0
2006-08-04,5598.450161703,5543.019962082,5653.880361324,5543.019962082,10836.0
2006-08-07,5543.019962082,5432.15956284,5543.019962082,5498.675802385,7297.0
2006-08-08,5476.503722537,5476.503722537,5476.503722537,5476.503722537,4422.0
2006-08-09,5476.503722537,5387.815403144,5543.019962082,5454.331642689,4644.0
2006-08-10,5454.331642689,5432.15956284,5454.331642689,5432.15956284,3538.0
2006-08-11,5520.847882234,5454.331642689,5587.364121779,5565.19204193,31624.0
2006-08-14,5753.6547206415,5653.880361324,5853.429079959,5764.740760565,42902.0
2006-08-15,5609.536201627,5543.019962082,5676.052441172,5543.019962082,5086.0
2006-08-16,5631.7082814755,5609.536201627,5653.880361324,5653.880361324,9067.0
2006-08-17,5653.880361324,5587.364121779,5720.396600869,5720.396600869,21009.0
2006-08-18,5642.7943213995,5631.708281475,5653.880361324,5653.880361324,34941.0
2006-08-21,5653.880361324,5609.536201627,5764.740760565,5653.880361324,25874.0
2006-08-22,5653.880361324,5543.019962082,5676.052441172,5631.708281475,15259.0
2006-08-23,5687.1384810965,5653.880361324,5720.396600869,5720.396600869,42681.0
2006-08-24,5720.396600869,5653.880361324,5786.912840414,5653.880361324,21009.0
2006-08-25,5653.880361324,5653.880361324,5764.740760565,5764.740760565,50200.0
2006-08-28,5764.740760565,5764.740760565,5831.25700011,5786.912840414,13711.0
2006-08-29,5786.912840414,5764.740760565,5831.25700011,5764.740760565,8182.0
2006-08-30,5764.740760565,5764.740760565,5831.25700011,5831.25700011,22335.0
2006-08-31,5831.25700011,5764.740760565,5831.25700011,5831.25700011,43123.0
2006-09-01,5786.9128404135,5764.740760565,5809.084920262,5809.084920262,17691.0
2006-09-05,5809.084920262,5809.084920262,5986.461559049,5986.461559049,33393.0
2006-09-06,5986.461559049,5853.429079959,6097.32195829,5853.429079959,23441.0
2006-09-07,5964.2894792005,5942.117399352,5986.461559049,5964.2894792,17913.0
2006-09-08,5964.2894792,5919.945319504,5964.2894792,5919.945319504,8182.0
2006-09-11,5997.5475989725,5964.2894792,6030.805718745,5986.461559049,31181.0
2006-09-12,5986.461559049,5897.773239655,6008.633638897,5964.2894792,19903.0
2006-09-13,5964.2894792,5964.2894792,6008.633638897,6008.633638897,24105.0
2006-09-14,5953.203439276,5942.117399352,5964.2894792,5964.2894792,3980.0
2006-09-15,5964.2894792,5964.2894792,5964.2894792,5964.2894792,2211.0
2006-09-18,5964.2894792,5942.117399352,5986.461559049,5986.461559049,4644.0
2006-09-19,5953.203439276,5942.117399352,5964.2894792,5942.117399352,5749.0
2006-09-20,5942.117399352,5942.117399352,5986.461559049,5942.117399352,4201.0
2006-09-21,5942.117399352,5942.117399352,5964.2894792,5964.2894792,16586.0
2006-09-22,5964.2894792,5676.052441172,5986.461559049,5676.052441172,18355.0
2006-09-25,5964.2894792,5964.2894792,5964.2894792,5964.2894792,23884.0
2006-09-26,5964.2894792,5919.945319504,5964.2894792,5919.945319504,2874.0
2006-09-27,5919.945319504,5897.773239655,5986.461559049,5919.945319504,14595.0
2006-09-28,5919.945319504,5875.601159807,5942.117399352,5897.773239655,12826.0
2006-09-29,5875.601159807,5875.601159807,5875.601159807,5875.601159807,5749.0
2006-10-02,5875.601159807,5831.25700011,5875.601159807,5831.25700011,17470.0
2006-10-03,5831.25700011,5831.25700011,5853.429079959,5853.429079959,29633.0
2006-10-04,5853.429079959,5764.740760565,5875.601159807,5853.429079959,16586.0
2006-10-05,5853.429079959,5831.25700011,5875.601159807,5853.429079959,18134.0
2006-10-06,5853.429079959,5764.740760565,5853.429079959,5764.740760565,6634.0
2006-10-09,5764.740760565,5764.740760565,5875.601159807,5853.429079959,26095.0
2006-10-10,5853.429079959,5853.429079959,5897.773239655,5897.773239655,12163.0
2006-10-11,5897.773239655,5875.601159807,5942.117399352,5897.773239655,23884.0
2006-10-12,5897.773239655,5875.601159807,5919.945319504,5875.601159807,13932.0
2006-10-13,5875.601159807,5875.601159807,5919.945319504,5875.601159807,17691.0
2006-10-16,5953.2034392765,5919.945319504,5986.461559049,5986.461559049,30960.0
2006-10-17,5842.3430400345005,5786.912840414,5897.773239655,5786.912840414,3317.0
2006-10-18,5897.773239655,5897.773239655,5897.773239655,5897.773239655,4422.0
2006-10-19,5897.773239655,5831.25700011,5897.773239655,5853.429079959,29191.0
2006-10-20,5875.601159807,5875.601159807,5875.601159807,5875.601159807,2874.0
2006-10-23,5875.601159807,5875.601159807,5875.601159807,5875.601159807,3759.0
2006-10-24,5875.601159807,5875.601159807,5919.945319504,5875.601159807,7961.0
2006-10-25,5875.601159807,5875.601159807,5942.117399352,5897.773239655,13932.0
2006-10-26,5897.773239655,5875.601159807,6008.633638897,5919.945319504,38922.0
2006-10-27,6307.9567168495,6097.32195829,6518.591475409,6518.591475409,28085.0
2006-10-30,6518.591475409,6474.247315712,6917.688912678,6762.48435374,55287.0
