Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-26,4304.008434773999,4127.131375811,4480.885493737,4127.131375811,516618.0
2010-03-29,4127.131375811,3950.254316847,4127.131375811,4009.213336502,203908.0
2010-03-30,4009.213336502,3820.544473608,4209.674003327,4197.882199396,408690.0
2010-03-31,4197.882199396,4127.131375811,4386.55106229,4386.55106229,86149.0
2010-04-01,4386.55106229,4304.008434774,4480.885493737,4362.967454429,198808.0
2010-04-02,4362.967454429,4186.090395465,4386.55106229,4386.55106229,262030.0
2010-04-05,4386.55106229,4256.841219051,4398.342866221,4386.55106229,163843.0
2010-04-06,4333.4879446015,4304.008434774,4362.967454429,4304.008434774,260376.0
2010-04-07,4209.674003327,4127.131375811,4292.216630843,4292.216630843,85138.0
2010-04-08,4292.216630843,4127.131375811,4315.800238705,4127.131375811,22146.0
2010-04-09,4127.131375811,4009.213336502,4245.04941512,4127.131375811,19113.0
2010-04-12,4127.131375811,4009.213336502,4245.04941512,4127.131375811,217646.0
2010-04-13,4127.131375811,4127.131375811,4186.090395465,4186.090395465,25775.0
2010-04-14,4186.090395465,4127.131375811,4186.090395465,4127.131375811,102689.0
2010-04-15,4127.131375811,4009.213336502,4245.04941512,4127.131375811,207630.0
2010-04-16,4127.131375811,4009.213336502,4268.633022981,4245.04941512,215211.0
2010-04-19,4245.04941512,4044.588748295,4245.04941512,4245.04941512,23478.0
2010-04-20,4245.04941512,4068.172356156,4245.04941512,4068.172356156,27567.0
2010-04-21,4191.986297431,4127.131375811,4256.841219051,4245.04941512,114359.0
2010-04-22,4245.04941512,4245.04941512,4351.175650498,4245.04941512,12405.0
2010-04-26,4245.04941512,4032.796944364,4245.04941512,4245.04941512,14427.0
2010-04-27,4097.6518659835,4068.172356156,4127.131375811,4068.172356156,12864.0
2010-04-28,4168.402689569,4127.131375811,4209.674003327,4186.090395465,21319.0
2010-04-29,4186.090395465,4127.131375811,4233.257611189,4127.131375811,71216.0
2010-05-04,4127.131375811,4009.213336502,4127.131375811,4127.131375811,27981.0
2010-05-05,3997.421532571,3973.837924709,4021.005140433,3973.837924709,43648.0
2010-05-06,4068.1723561565,4009.213336502,4127.131375811,4009.213336502,13554.0
2010-05-07,4103.547767949,4103.547767949,4103.547767949,4103.547767949,13829.0
2010-05-10,3920.7748070205,3903.087101124,3938.462512917,3903.087101124,29681.0
2010-05-11,3938.462512917,3938.462512917,3938.462512917,3938.462512917,183.0
2010-05-12,3997.421532571,3997.421532571,3997.421532571,3997.421532571,45.0
2010-05-13,3850.023983435,3808.752669677,3891.295297193,3891.295297193,85597.0
2010-05-14,3714.41823823,3702.626434299,3726.210042161,3702.626434299,44935.0
2010-05-17,3531.6452773005003,3525.749375335,3537.541179266,3525.749375335,47738.0
2010-05-18,3525.749375335,3419.623139957,3525.749375335,3431.414943888,80084.0
2010-05-19,3342.9764144065,3266.329688856,3419.623139957,3266.329688856,56284.0
2010-05-20,3266.329688856,3183.78706134,3384.247728165,3384.247728165,18837.0
2010-05-21,3384.247728165,3384.247728165,3384.247728165,3384.247728165,1654.0
2010-05-24,3384.247728165,3301.705100649,3384.247728165,3384.247728165,3124.0
2010-05-25,3384.247728165,3360.664120303,3384.247728165,3360.664120303,1194.0
2010-05-26,3360.664120303,3301.705100649,3513.957571405,3513.957571405,22743.0
2010-05-27,3531.6452773005003,3525.749375335,3537.541179266,3537.541179266,12589.0
2010-05-28,3702.626434299,3702.626434299,3702.626434299,3702.626434299,2297.0
2010-05-31,3596.5001989205,3537.541179266,3655.459218575,3537.541179266,13921.0
2010-06-01,3537.541179266,3419.623139957,3702.626434299,3702.626434299,16264.0
2010-06-02,3702.626434299,3549.332983197,3879.503493262,3879.503493262,68735.0
2010-06-03,3879.503493262,3773.377257884,3891.295297193,3773.377257884,48702.0
2010-06-04,3773.377257884,3591.964889717,3870.130520907,3870.130520907,66208.0
2010-06-07,3966.883783929,3966.883783929,3966.883783929,3966.883783929,24810.0
