Date,Price Open,Price Low,Price High,Price Close,Volume
2010-01-22,12516.9879816375,12402.153229512,12631.822733763,12631.822733763,313657.0
2010-01-25,12631.822733763,12057.648973137,12631.822733763,12057.648973137,126918.0
2010-01-26,12057.648973137,11460.508262086,12402.153229512,12402.153229512,463760.0
2010-01-27,12402.153229512,12057.648973137,12402.153229512,12057.648973137,145773.0
2010-01-28,12057.648973137,11483.475212511,12402.153229512,11942.814221012,80521.0
2010-01-29,11942.814221012,11460.508262086,11942.814221012,11483.475212511,102682.0
2010-02-01,11483.475212511,11483.475212511,11827.979468887,11827.979468887,123151.0
2010-02-02,12287.318477387,12172.483725262,12402.153229512,12402.153229512,461019.0
2010-02-03,12689.240109825,12516.987981637,12861.492238013,12861.492238013,257397.0
2010-02-04,12861.492238013,12861.492238013,13091.161742263,13091.161742263,291983.0
2010-02-05,13091.161742263,12516.987981637,13091.161742263,12861.492238013,594854.0
2010-02-08,12861.492238013,12746.657485888,13435.665998638,13435.665998638,639022.0
2010-02-09,13435.665998638,13091.161742263,13435.665998638,13435.665998638,268285.0
2010-02-10,13435.665998638,13102.975539591,13718.927381196,13578.938326286,19650.0
2010-02-11,13578.938326286,13018.982106645,13998.905491016,13998.905491016,93801.0
2010-02-12,13998.905491016,13438.949271375,14418.872655747,13438.949271375,88152.0
2010-02-22,13438.949271375,13298.960216465,13970.907680034,13298.960216465,50030.0
2010-02-23,12962.986484681,12767.001807807,13158.971161555,12767.001807807,53040.0
2010-02-24,12767.001807807,12599.014941914,13382.953649411,12906.990862717,79211.0
2010-02-25,12906.990862717,12739.003996825,12906.990862717,12906.990862717,19802.0
2010-02-26,13354.955838429,13270.962405483,13438.949271375,13438.949271375,2420.0
2010-03-01,13438.949271375,12767.001807807,13578.938326286,13298.960216465,41481.0
2010-03-02,12822.997429771,12767.001807807,12878.993051735,12767.001807807,23008.0
2010-03-03,12767.001807807,12711.006185843,12990.984295663,12878.993051735,47587.0
2010-03-04,12878.993051735,12878.993051735,13354.955838429,13214.966783519,28591.0
2010-03-05,13214.966783519,12822.997429771,13214.966783519,12990.984295663,55308.0
2010-03-08,12990.984295663,12683.008374861,13270.962405483,12878.993051735,139884.0
2010-03-09,12878.993051735,12655.010563879,12990.984295663,12878.993051735,51360.0
2010-03-10,12878.993051735,12767.001807807,12990.984295663,12990.984295663,55918.0
2010-03-11,12990.984295663,12822.997429771,12990.984295663,12878.993051735,82220.0
2010-03-12,12878.993051735,12347.034643076,13018.982106645,13018.982106645,99581.0
2010-03-15,13018.982106645,12599.014941914,13130.973350573,13130.973350573,90770.0
2010-03-16,13130.973350573,12627.012752896,13130.973350573,13130.973350573,36225.0
2010-03-17,13130.973350573,12711.006185843,13158.971161555,13130.973350573,173950.0
2010-03-18,13130.973350573,12906.990862717,13158.971161555,13158.971161555,84183.0
2010-03-19,13158.971161555,13018.982106645,13158.971161555,13018.982106645,65711.0
2010-03-22,13018.982106645,12878.993051735,13158.971161555,13018.982106645,66387.0
2010-03-23,12725.0050913335,12459.025887004,12990.984295663,12990.984295663,54588.0
2010-03-24,12990.984295663,12599.014941914,12990.984295663,12850.995240753,33259.0
2010-03-25,12417.029170531,12235.043399148,12599.014941914,12235.043399148,41132.0
2010-03-26,12529.0204144595,12319.036832094,12739.003996825,12319.036832094,22027.0
2010-03-29,12319.036832094,12179.047777184,12571.017130932,12571.017130932,58775.0
2010-03-30,12571.017130932,12039.058722274,12571.017130932,12459.025887004,47217.0
2010-03-31,12459.025887004,12095.054344238,12878.993051735,12878.993051735,96418.0
2010-04-01,12878.993051735,12599.014941914,13438.949271375,13158.971161555,183524.0
2010-04-02,13158.971161555,13158.971161555,13438.949271375,13438.949271375,140953.0
2010-04-05,13774.92300316,13550.940515304,13998.905491016,13998.905491016,187886.0
