Date,Price Open,Price Low,Price High,Price Close,Volume
2018-04-19,8695.448298745,7900.43588286,8695.448298745,8061.922779836,25748724.0
2018-04-20,8148.877262824,7925.280020856,8148.877262824,8074.344848835,6955439.0
2018-04-23,8074.344848835,7527.773812913,8099.188986831,7651.994502895,3241890.0
2018-04-24,7527.773812913,7130.267604971,7701.682778888,7651.994502895,3828260.0
2018-04-26,7627.150364899,7329.020708942,7676.838640892,7378.708984935,2181425.0
2018-04-27,7440.819329926,7291.754501947,7502.929674917,7502.929674917,2766066.0
2018-05-02,7676.838640892,7378.708984935,7676.838640892,7403.553122931,1655164.0
2018-05-03,7403.553122931,7204.80001896,7403.553122931,7403.553122931,1438871.0
2018-05-04,7565.040019908,7329.020708942,7565.040019908,7403.553122931,944517.0
2018-05-07,7428.397260928,7254.488294953,7453.241398924,7453.241398924,952282.0
2018-05-08,7701.682778888,7403.553122931,7701.682778888,7478.085536921,1963191.0
2018-05-09,7478.085536921,7353.864846939,7478.085536921,7453.241398924,1302170.0
2018-05-10,7453.241398924,7204.80001896,7453.241398924,7329.020708942,652938.0
2018-05-11,7329.020708942,7105.423466974,7403.553122931,7403.553122931,2560397.0
2018-05-14,7403.553122931,7155.111742967,7403.553122931,7329.020708942,892703.0
2018-05-15,7329.020708942,7155.111742967,7415.97519193,7403.553122931,1654140.0
2018-05-16,7403.553122931,7254.488294953,7415.97519193,7329.020708942,1854233.0
2018-05-17,7353.864846939,7279.332432949,7403.553122931,7329.020708942,1361396.0
2018-05-18,7304.176570946,7242.066225955,7403.553122931,7378.708984935,1644611.0
2018-05-21,7391.131053933,7316.598639944,7391.131053933,7341.44277794,1198294.0
2018-05-22,7341.44277794,7105.423466974,7391.131053933,7279.332432949,1463366.0
2018-05-23,7279.332432949,7179.955880964,7316.598639944,7304.176570946,1786253.0
2018-05-24,7291.754501947,7229.644156956,7316.598639944,7279.332432949,1294970.0
2018-05-25,7279.332432949,7192.377949962,7304.176570946,7204.80001896,1087077.0
2018-05-28,7155.111742967,6732.761397028,7179.955880964,6732.761397028,695469.0
2018-05-29,6832.137949014,6832.137949014,7167.533811965,7155.111742967,2083903.0
2018-05-30,7142.689673969,7055.735190982,7192.377949962,7130.267604971,605253.0
2018-05-31,7105.423466974,6956.358638996,7117.845535973,6956.358638996,1014226.0
2018-06-01,7105.423466974,6956.358638996,7105.423466974,6956.358638996,354899.0
2018-06-04,6981.202776992,6943.936569998,7403.553122931,7329.020708942,1368420.0
2018-06-05,7353.864846939,7179.955880964,7353.864846939,7304.176570946,1620786.0
2018-06-06,7254.488294953,7155.111742967,7279.332432949,7179.955880964,2992772.0
2018-06-07,7204.80001896,7130.267604971,7204.80001896,7179.955880964,2384483.0
2018-06-08,7179.955880964,7080.579328978,7204.80001896,7117.845535973,4103215.0
2018-06-11,7179.955880964,7006.046914989,7179.955880964,7080.579328978,136630.0
2018-06-12,7080.579328978,6906.670363003,7080.579328978,7006.046914989,148877.0
2018-06-13,7006.046914989,6956.358638996,7030.891052985,7006.046914989,392454.0
2018-06-14,7006.046914989,6894.248294005,7006.046914989,6956.358638996,81145.0
2018-06-15,6993.624845991,6894.248294005,6993.624845991,6906.670363003,92686.0
