Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-15,6300.936209891999,5907.127696774,6694.74472301,6104.031953333,15119.0
2006-12-18,6104.031953333,5907.127696774,6635.673446043,5907.127696774,10919.0
2006-12-19,5907.127696774,5710.223440215,6044.960676365,5710.223440215,8399.0
2006-12-20,5365.640991236,5217.962798817,5513.319183655,5513.319183655,5039.0
2006-12-21,5513.319183655,5316.414927096,5513.319183655,5316.414927096,1511.0
2006-12-22,5119.510670537,5119.510670537,5119.510670537,5119.510670537,5543.0
2006-12-25,4617.4048163115,4607.559603484,4627.250029139,4607.559603484,13775.0
2006-12-26,4154.679813398,4154.679813398,4154.679813398,4154.679813398,19991.0
2006-12-27,4568.178752172,4568.178752172,4568.178752172,4568.178752172,503.0
2006-12-28,4568.178752172,4528.79790086,4922.606413978,4863.53513701,1679.0
2006-12-29,4725.702157419,4627.250029139,4824.154285699,4627.250029139,6719.0
2007-01-02,4902.915988322,4883.225562666,4922.606413978,4883.225562666,3527.0
2007-01-03,5119.510670537,5119.510670537,5119.510670537,5119.510670537,2519.0
2007-01-04,5424.712268204,5217.962798817,5631.461737591,5631.461737591,5207.0
2007-01-05,5808.6755684945,5710.223440215,5907.127696774,5710.223440215,4535.0
2007-01-08,5710.223440215,5513.319183655,6104.031953333,5513.319183655,3695.0
2007-01-09,5533.009609311,5533.009609311,5533.009609311,5533.009609311,1679.0
2007-01-11,5129.355883365,5119.510670537,5139.201096193,5119.510670537,1679.0
2007-01-15,5119.510670537,4922.606413978,5513.319183655,5513.319183655,2519.0
2007-01-16,5513.319183655,5513.319183655,5710.223440215,5513.319183655,6887.0
2007-01-17,5513.319183655,5513.319183655,6182.793655957,5729.913865871,22847.0
2007-01-18,6192.6388687845,5887.437271118,6497.840466451,6497.840466451,45863.0
2007-01-19,6812.887276946,6812.887276946,6812.887276946,6812.887276946,14615.0
2007-01-22,7482.361749247,7482.361749247,7482.361749247,7482.361749247,39143.0
2007-01-23,7905.705900848499,7580.813877526,8230.597924171,7580.813877526,73247.0
2007-01-24,7580.813877526,7580.813877526,8269.978775483,7856.479836709,13271.0
2007-01-25,7856.479836709,7068.862810473,7876.170262365,7068.862810473,5711.0
2007-01-26,6743.97078715,6596.292594731,6891.648979569,6596.292594731,9743.0
2007-01-29,6596.292594731,6497.840466451,6911.339405225,6911.339405225,23351.0
2007-01-30,7305.147918344,7305.147918344,7305.147918344,7305.147918344,18815.0
2007-01-31,7954.9319649885,7876.170262365,8033.693667612,8033.693667612,33767.0
2007-02-01,8033.693667612,7915.551113677,8269.978775483,7915.551113677,6887.0
2007-02-02,7915.551113677,7856.479836709,8230.597924171,7876.170262365,26375.0
2007-02-05,7876.170262365,7777.718134085,8466.883032042,7935.241539333,14951.0
2007-02-06,7935.241539333,7679.266005806,8329.050052451,7679.266005806,17975.0
2007-02-07,7679.266005806,7482.361749247,8132.145795892,7482.361749247,14111.0
2007-02-08,7482.361749247,7482.361749247,7915.551113677,7580.813877526,25031.0
2007-02-09,7580.813877526,7285.457492688,7639.885154494,7324.838343999,11927.0
2007-02-12,7974.622390644499,7876.170262365,8073.074518924,7876.170262365,1679.0
2007-02-13,7876.170262365,7679.266005806,7974.622390645,7974.622390645,32255.0
2007-02-14,7974.622390645,7580.813877526,8171.526647204,8073.074518924,4703.0
2007-02-15,8368.430903763001,8171.526647204,8565.335160322,8565.335160322,18815.0
2007-02-26,9067.441014548,8860.691545161,9274.190483935,9254.500058279,9743.0
2007-02-27,9254.500058279,9057.59580172,9845.212827956,9451.404314838,15959.0
2007-02-28,9451.404314838,9451.404314838,10160.259638451,9648.308571397,35447.0
2007-03-01,10032.2718716875,9923.97453058,10140.569212795,10140.569212795,31751.0
2007-03-02,10140.569212795,10140.569212795,10987.257515999,10987.257515999,28223.0
2007-03-05,11873.326670515,11873.326670515,11873.326670515,11873.326670515,12431.0
2007-03-06,13054.75220987,13054.75220987,13054.75220987,13054.75220987,18143.0
2007-03-07,13054.75220987,13054.75220987,14354.32030316,14275.558600537,23519.0
2007-03-08,14964.723498493498,14472.462857096,15456.984139891,15456.984139891,31079.0
2007-03-09,15456.984139891,15358.532011612,16146.149037848,15870.483078665,18983.0
2007-03-12,15870.483078665,15752.34052473,17347.265002859,15968.935206945,37631.0
2007-03-13,15968.935206945,14492.153282752,16146.149037848,15555.436268171,15119.0
2007-03-14,14797.3548804185,14236.177749225,15358.532011612,14236.177749225,9071.0
2007-03-15,13645.464979547502,13113.823486838,14177.106472257,13113.823486838,9071.0
2007-03-16,13940.8213643865,13153.20433815,14728.438390623,14728.438390623,25031.0
2007-03-19,15693.2692477625,15358.532011612,16028.006483913,15752.34052473,24527.0
2007-03-20,16441.505422687,15949.244781289,16933.766064085,15949.244781289,26375.0
2007-03-21,15949.244781289,15358.532011612,16146.149037848,15752.34052473,5375.0
2007-03-22,15752.34052473,15358.532011612,16343.053294407,15358.532011612,7559.0
2007-03-23,15358.532011612,14374.010728816,15850.79265301,14374.010728816,9743.0
2007-03-26,14374.010728816,13783.297959139,15122.246903741,13783.297959139,11759.0
2007-03-27,13783.297959139,13330.418169053,13783.297959139,13330.418169053,2687.0
2007-03-28,13330.418169053,12148.992629698,13409.179871676,13409.179871676,8399.0
2007-03-29,13409.179871676,12404.968163225,13428.870297332,13389.48944602,14111.0
2007-03-30,13389.48944602,12601.872419784,13566.703276924,12601.872419784,3527.0
