Date,Price Open,Price Low,Price High,Price Close,Volume
2010-01-05,6288.854701205,5338.739962174,7238.969440236,6696.046732219,103876.0
2010-01-06,6696.046732219,6261.708565804,6714.144155819,6261.708565804,15903.0
2010-01-07,5935.954940993501,5917.857517393,5954.052364594,5917.857517393,24500.0
2010-01-08,5664.493586985,5537.811621781,5791.175552189,5537.811621781,46852.0
2010-01-11,5311.5938267735,5193.96057337,5429.227080177,5429.227080177,78516.0
2010-01-12,5429.227080177,5248.252844171,5574.006468982,5266.350267772,27079.0
2010-01-13,5266.350267772,5031.083760964,5429.227080177,5411.129656577,30375.0
2010-01-14,5411.129656577,5248.252844171,5555.909045381,5519.71419818,8310.0
2010-01-15,5293.496403172499,5157.765726168,5429.227080177,5157.765726168,11175.0
2010-01-18,5157.765726168,4886.304372159,5248.252844171,4886.304372159,15617.0
2010-01-19,4886.304372159,4614.843018151,5212.05799697,5012.986337364,5158.0
2010-01-20,5049.181184565,5049.181184565,5049.181184565,5049.181184565,143.0
2010-01-21,4759.6224069555,4705.330136154,4813.914677757,4705.330136154,13324.0
2010-01-22,4470.063629346,4397.673934944,4542.453323748,4488.161052947,23497.0
2010-01-25,4261.943257939,4180.504851736,4343.381664142,4252.894546139,8739.0
2010-01-26,4560.550747349,4560.550747349,4560.550747349,4560.550747349,8739.0
2010-01-27,4560.550747349,4252.894546139,4705.330136154,4289.08939334,12751.0
2010-01-28,4171.456139936,4162.407428136,4180.504851736,4162.407428136,6304.0
2010-01-29,4361.479087742,4361.479087742,4361.479087742,4361.479087742,143.0
2010-02-01,4080.9690219335,4071.920310133,4090.017733734,4071.920310133,16047.0
2010-02-02,4071.920310133,3981.43319213,4325.284240541,4071.920310133,3438.0
2010-02-03,4071.920310133,3981.43319213,4361.479087742,4325.284240541,7450.0
2010-02-04,4035.725462932,3981.43319213,4090.017733734,3999.530615731,9456.0
2010-02-05,3999.530615731,3800.458956124,4216.699698938,3909.043497728,2005.0
2010-02-08,4062.8715983325,4053.822886532,4071.920310133,4053.822886532,1146.0
2010-02-09,4053.822886532,3800.458956124,4289.08939334,3800.458956124,5874.0
2010-02-10,4071.920310133,4071.920310133,4071.920310133,4071.920310133,143.0
2010-02-11,4071.920310133,4071.920310133,4071.920310133,4071.920310133,859.0
2010-02-12,4071.920310133,3890.946074127,4343.381664142,3890.946074127,2722.0
2010-02-22,4171.456139936,4144.310004535,4198.602275337,4144.310004535,6734.0
2010-02-23,3990.4819039305,3909.043497728,4071.920310133,3909.043497728,4298.0
2010-02-24,3909.043497728,3800.458956124,3945.238344929,3945.238344929,3152.0
2010-02-25,3863.7999387265,3818.556379725,3909.043497728,3909.043497728,4871.0
2010-02-26,3909.043497728,3890.946074127,3981.43319213,3981.43319213,4011.0
2010-03-01,3981.43319213,3981.43319213,4071.920310133,4071.920310133,6590.0
2010-03-02,4071.920310133,3999.530615731,4198.602275337,4162.407428136,5587.0
2010-03-03,4343.381664142,4252.894546139,4433.868782145,4433.868782145,9313.0
2010-03-04,4596.7455945500005,4524.355900148,4669.135288952,4524.355900148,12465.0
2010-03-05,4795.8172541565,4705.330136154,4886.304372159,4886.304372159,29515.0
2010-03-08,5112.5221671665,5067.278608165,5157.765726168,5157.765726168,14041.0
2010-03-09,5157.765726168,4904.40179576,5338.739962174,5067.278608165,14900.0
2010-03-10,5067.278608165,4777.719830556,5103.473455367,4777.719830556,8166.0
2010-03-11,4777.719830556,4632.940441751,4886.304372159,4632.940441751,13181.0
2010-03-12,4786.768542356,4723.427559754,4850.109524958,4850.109524958,19199.0
2010-03-15,5040.1324727645,4976.791490162,5103.473455367,4994.888913763,18626.0
