Date,Price Open,Price Low,Price High,Price Close,Volume
2009-02-05,1629.9757474595,1414.695931757,1845.255563162,1537.712969302,9975.0
2009-02-06,1537.712969302,1537.712969302,1614.598617767,1568.467228688,4604.0
2009-02-09,1606.9100529205,1583.844358381,1629.97574746,1629.97574746,10743.0
2009-02-10,1629.97574746,1629.97574746,1660.730006846,1629.97574746,3836.0
2009-02-11,1568.467228688,1537.712969302,1599.221488074,1599.221488074,27625.0
2009-02-12,1599.221488074,1568.467228688,1599.221488074,1568.467228688,3069.0
2009-02-13,1568.467228688,1568.467228688,1599.221488074,1599.221488074,3069.0
2009-02-16,1583.844358381,1583.844358381,1583.844358381,1583.844358381,1534.0
2009-02-18,1514.647274762,1476.204450529,1553.090098995,1476.204450529,4757.0
2009-02-19,1476.204450529,1476.204450529,1537.712969302,1476.204450529,5831.0
2009-02-20,1476.204450529,1399.318802064,1491.581580222,1414.695931757,6599.0
2009-02-23,1414.695931757,1322.433153599,1414.695931757,1383.941672371,9515.0
2009-02-24,1291.678894213,1291.678894213,1291.678894213,1291.678894213,153.0
2009-02-25,1360.8759778315,1353.187412985,1368.564542678,1353.187412985,7213.0
2009-02-26,1353.187412985,1260.924634827,1368.564542678,1368.564542678,2455.0
2009-02-27,1368.564542678,1322.433153599,1430.07306145,1383.941672371,2148.0
2009-03-03,1430.0730614499998,1414.695931757,1445.450191143,1445.450191143,767.0
2009-03-04,1506.958709915,1506.958709915,1506.958709915,1506.958709915,306.0
2009-03-05,1506.958709915,1506.958709915,1522.335839608,1522.335839608,4450.0
2009-03-09,1522.335839608,1414.695931757,1553.090098995,1414.695931757,11510.0
2009-03-10,1414.695931757,1383.941672371,1537.712969302,1383.941672371,6599.0
2009-03-11,1491.581580222,1491.581580222,1491.581580222,1491.581580222,306.0
2009-03-12,1445.450191143,1445.450191143,1445.450191143,1445.450191143,1841.0
2009-03-13,1491.581580222,1460.827320836,1522.335839608,1460.827320836,7673.0
2009-03-16,1460.827320836,1445.450191143,1522.335839608,1445.450191143,9668.0
2009-03-17,1514.6472747615,1506.958709915,1522.335839608,1506.958709915,9208.0
2009-03-18,1545.401534148,1522.335839608,1568.467228688,1522.335839608,920.0
2009-03-20,1445.450191143,1445.450191143,1445.450191143,1445.450191143,920.0
2009-03-23,1506.9587099155,1476.204450529,1537.712969302,1537.712969302,5985.0
2009-03-24,1537.712969302,1522.335839608,1614.598617767,1614.598617767,18263.0
2009-03-25,1714.5499607715,1706.861395925,1722.238525618,1722.238525618,23174.0
2009-03-26,1722.238525618,1722.238525618,1829.878433469,1768.369914697,38675.0
2009-03-27,1768.369914697,1768.369914697,1845.255563162,1768.369914697,15961.0
2009-03-30,1768.369914697,1676.107136539,1829.878433469,1722.238525618,21639.0
2009-03-31,1722.238525618,1614.598617767,1752.992785004,1752.992785004,13966.0
2009-04-01,1752.992785004,1722.238525618,1799.124174083,1799.124174083,17956.0
2009-04-02,1837.5669983155,1814.501303776,1860.632692855,1860.632692855,27625.0
2009-04-03,1922.141211627,1876.009822548,1968.272600706,1968.272600706,31001.0
2009-04-07,1883.6983873945,1814.501303776,1952.895471013,1952.895471013,16421.0
2009-04-08,1883.6983873945,1845.255563162,1922.141211627,1922.141211627,13198.0
2009-04-09,1922.141211627,1891.386952241,1999.026860092,1968.272600706,7213.0
2009-04-10,1968.272600706,1952.895471013,2045.158249171,1968.272600706,54329.0
2009-04-13,2098.9782030965,2075.912508557,2122.043897636,2122.043897636,43893.0
2009-04-14,2122.043897636,2029.781119478,2183.552416408,2045.158249171,9668.0
2009-04-15,2191.2409812545,2152.798157022,2229.683805487,2229.683805487,122778.0
2009-04-16,2368.077972724,2368.077972724,2368.077972724,2368.077972724,141195.0
2009-04-17,2368.077972724,2275.815194566,2521.849269654,2398.83223211,132293.0
2009-04-20,2398.83223211,2321.946583645,2506.472139961,2321.946583645,25169.0
2009-04-21,2206.6181109475,2198.929546101,2214.306675794,2214.306675794,49878.0
2009-04-22,2214.306675794,2075.912508557,2306.569453952,2291.192324259,65226.0
2009-04-23,2291.192324259,2068.912147673,2308.290412693,2068.912147673,23327.0
2009-04-24,2068.912147673,2068.912147673,2103.109042676,2068.912147673,16268.0
2009-04-27,2068.912147673,1949.223015163,2188.601280183,2103.109042676,4911.0
2009-04-28,1949.2230151635,1932.124567662,1966.321462665,1932.124567662,13045.0
2009-04-29,1932.124567662,1897.927672659,2017.616805169,1966.321462665,13505.0
2009-05-04,2094.5598189255,2051.813700172,2137.305937679,2137.305937679,32075.0
2009-05-05,2137.305937679,2137.305937679,2256.995070189,2137.305937679,36219.0
2009-05-06,2137.305937679,2086.010595175,2239.896622688,2086.010595175,9668.0
2009-05-07,2197.150503934,2171.502832682,2222.798175186,2171.502832682,4297.0
2009-05-08,2060.3629239225,2051.813700172,2068.912147673,2068.912147673,22560.0
2009-05-11,2017.616805169,1983.419910166,2051.813700172,1983.419910166,17188.0
2009-05-12,2051.813700172,2017.616805169,2086.010595175,2086.010595175,19951.0
2009-05-13,2051.8137001715,2034.71525267,2068.912147673,2051.813700172,32229.0
2009-05-14,2051.813700172,2017.616805169,2051.813700172,2051.813700172,13045.0
2009-05-15,2051.813700172,2034.71525267,2051.813700172,2051.813700172,55557.0
2009-05-18,2051.813700172,2034.71525267,2051.813700172,2051.813700172,9822.0
2009-05-19,2145.8551614295,2103.109042676,2188.601280183,2120.207490178,53408.0
2009-05-20,2120.207490178,2068.912147673,2291.191965192,2291.191965192,108812.0
2009-05-21,2291.191965192,2222.798175186,2359.585755198,2359.585755198,118788.0
2009-05-22,2445.0779927045,2393.7826502,2496.373335209,2427.979545203,66760.0
2009-05-25,2530.570230212,2445.077992705,2616.062467719,2598.964020218,87940.0
2009-05-26,2453.6272164555,2325.388860195,2581.865572716,2393.7826502,54176.0
2009-05-27,2393.7826502,2274.09351769,2393.7826502,2308.290412693,68142.0
2009-05-28,2308.290412693,2154.40438518,2393.7826502,2188.601280183,52487.0
2009-05-29,2145.8551614300004,2120.207490178,2171.502832682,2171.502832682,48037.0
2009-06-01,2265.54429394,2239.896622688,2291.191965192,2291.191965192,17956.0
2009-06-02,2427.9795452035,2410.881097702,2445.077992705,2445.077992705,45121.0
2009-06-03,2445.077992705,2376.684202699,2547.668677713,2427.979545203,77810.0
2009-06-04,2427.979545203,2427.979545203,2564.767125215,2479.274887708,69676.0
2009-06-05,2479.274887708,2479.274887708,2650.259362722,2650.259362722,302802.0
2009-06-08,2804.145390235,2804.145390235,2804.145390235,2804.145390235,35759.0
2009-06-09,2804.145390235,2718.653152728,2992.228312751,2735.751600229,100371.0
2009-06-10,2633.1609152205,2616.062467719,2650.259362722,2616.062467719,13045.0
2009-06-11,2616.062467719,2564.767125215,2667.357810223,2650.259362722,141962.0
2009-06-12,2650.259362722,2513.47178271,2735.751600229,2616.062467719,39596.0
2009-06-15,2616.062467719,2445.077992705,2616.062467719,2445.077992705,77657.0
2009-06-16,2342.487307696,2291.191965192,2393.7826502,2291.191965192,45581.0
2009-06-17,2291.191965192,2137.305937679,2291.191965192,2239.896622688,41898.0
2009-06-18,2359.585755198,2359.585755198,2359.585755198,2359.585755198,34071.0
2009-06-19,2496.373335209,2479.274887708,2513.47178271,2513.47178271,48344.0
2009-06-22,2513.47178271,2359.585755198,2667.357810223,2393.7826502,21025.0
2009-06-23,2393.7826502,2274.09351769,2393.7826502,2274.09351769,30694.0
2009-06-24,2274.09351769,2222.798175186,2445.077992705,2445.077992705,19337.0
2009-06-25,2445.077992705,2325.388860195,2547.668677713,2410.881097702,10589.0
2009-06-26,2410.881097702,2308.290412693,2410.881097702,2393.7826502,4450.0
2009-06-29,2393.7826502,2325.388860195,2393.7826502,2359.585755198,9208.0
2009-06-30,2359.585755198,2291.191965192,2393.7826502,2291.191965192,4757.0
2009-07-01,2205.699727685,2171.502832682,2239.896622688,2171.502832682,11510.0
2009-07-02,2248.445846438,2188.601280183,2308.290412693,2308.290412693,26857.0
2009-07-03,2239.8966226875,2222.798175186,2256.995070189,2222.798175186,5678.0
2009-07-06,2333.9380839455,2256.995070189,2410.881097702,2410.881097702,37600.0
