Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-17,4435.663819062,3652.899615698,5218.428022426,3674.643065792,430109.0
2007-12-18,3731.176036035,3731.176036035,3731.176036035,3731.176036035,17773.0
2007-12-19,3731.176036035,3361.537384446,3826.847216446,3696.386515885,363460.0
2007-12-20,3696.386515885,3652.899615698,3739.873416072,3696.386515885,35546.0
2007-12-21,3696.386515885,3513.7415351,3718.129965979,3522.438915138,55985.0
2007-12-24,3522.438915138,3352.840004409,3652.899615698,3413.721664671,69315.0
2007-12-25,3457.2085648575003,3435.465114764,3478.952014951,3457.208564857,191949.0
2007-12-26,3457.208564857,3435.465114764,3478.952014951,3435.465114764,180397.0
2007-12-27,3435.465114764,3357.188694428,3478.952014951,3357.188694428,114636.0
2007-12-28,3402.8499396240004,3370.234764484,3435.465114764,3391.978214577,87088.0
2008-01-02,3446.3368398105004,3435.465114764,3457.208564857,3457.208564857,11552.0
2008-01-03,3283.2609641095,3261.517514016,3305.004414203,3283.26096411,87088.0
2008-01-04,3068.000808185,2952.76052269,3183.24109368,2952.76052269,145739.0
2008-01-07,2776.6385769325,2761.418161867,2791.858991998,2783.161611961,216832.0
2008-01-08,2783.161611961,2783.161611961,3061.477773157,3022.339562989,174176.0
2008-01-09,3022.339562989,2787.510301979,3109.313363362,2787.510301979,153737.0
2008-01-10,2922.3196925585,2804.905062054,3039.734323063,2870.135412334,116413.0
2008-01-11,2915.7966575305,2874.484102353,2957.109212708,2913.622312521,203502.0
2008-01-14,2913.622312521,2726.628641718,2935.365762615,2826.648512148,237271.0
2008-01-15,2652.7009114,2565.727111026,2739.674711774,2609.214011213,78201.0
2008-01-16,2841.868927213,2783.161611961,2900.576242465,2900.576242465,178619.0
2008-01-17,2900.576242465,2826.648512148,3044.083013082,2935.365762615,170622.0
2008-01-18,2935.365762615,2826.648512148,2957.109212708,2870.135412334,33768.0
2008-01-21,2870.135412334,2722.279951699,2870.135412334,2848.391962241,110193.0
2008-01-22,2696.1878115870004,2652.7009114,2739.674711774,2739.674711774,137741.0
2008-01-23,2652.7009114,2609.214011213,2696.187811587,2652.7009114,130632.0
2008-01-24,2652.7009114,2613.562701232,2761.418161867,2630.957461307,103084.0
2008-01-25,2728.802986727,2696.187811587,2761.418161867,2757.069471849,150182.0
2008-01-28,2757.069471849,2674.444361493,2826.648512148,2739.674711774,133298.0
2008-01-29,2813.6024420915,2761.418161867,2865.786722316,2865.786722316,355462.0
2008-01-30,3072.3494982035,3035.385633045,3109.313363362,3109.313363362,639832.0
2008-01-31,3109.313363362,3000.596112895,3391.978214577,3087.569913269,88865.0
2008-02-01,3087.569913269,3074.523843213,3265.866204035,3239.774063923,368792.0
2008-02-12,3131.056813456,3044.083013082,3218.03061383,3044.083013082,231939.0
2008-02-13,3044.083013082,2870.135412334,3087.569913269,2870.135412334,315472.0
2008-02-14,2870.135412334,2826.648512148,2957.109212708,2848.391962241,226607.0
2008-02-15,2848.391962241,2739.674711774,2870.135412334,2770.115541905,265708.0
2008-02-18,2609.214011213,2522.240210839,2696.187811587,2652.7009114,176842.0
2008-02-19,2652.7009114,2565.727111026,2696.187811587,2652.7009114,206168.0
2008-02-20,2493.973725718,2378.733440223,2609.214011213,2378.733440223,142185.0
2008-02-21,2254.79577469,2243.924049643,2265.667499737,2243.924049643,163512.0
2008-02-22,2243.924049643,2030.838238728,2261.318809718,2222.18059955,204390.0
2008-02-25,2265.6674997365,2261.318809718,2270.016189755,2270.016189755,19550.0
2008-02-26,2270.016189755,2174.345009344,2435.266410466,2217.831909531,151071.0
2008-02-27,2217.831909531,2130.858109157,2326.549159998,2261.318809718,118191.0
2008-02-28,2261.318809718,2174.345009344,2261.318809718,2261.318809718,74647.0
2008-02-29,2189.56542441,2152.601559251,2226.529289569,2174.345009344,71092.0
2008-03-03,2024.3152037,1961.259198429,2087.371208971,1965.607888447,96863.0
2008-03-04,1804.7063577555,1782.962907662,1826.449807849,1782.962907662,101306.0
2008-03-05,1782.962907662,1609.015306915,1782.962907662,1717.732557382,154626.0
2008-03-06,1809.055047774,1809.055047774,1809.055047774,1809.055047774,9775.0
2008-03-07,1987.351338541,1987.351338541,1987.351338541,1987.351338541,23993.0
2008-03-10,2173.9120889495,2164.601972937,2183.222204962,2173.91208895,330407.0
2008-03-11,2173.91208895,2029.605290754,2327.529003158,2090.121044836,244900.0
2008-03-12,2090.121044836,2001.674942716,2294.943597114,2271.668307082,83847.0
2008-03-13,2271.668307082,2187.877262969,2327.529003158,2271.668307082,156072.0
2008-03-14,2271.668307082,2257.703133063,2280.978423095,2257.703133063,63092.0
2008-03-17,2090.121044836,2038.915406767,2141.326682905,2038.915406767,147770.0
2008-03-18,1906.2462535865,1857.36814452,1955.124362653,1862.023202527,178486.0
2008-03-19,1862.023202527,1862.023202527,1978.399652684,1862.023202527,151090.0
2008-03-20,1789.869803429,1759.611926388,1820.12768047,1759.611926388,146940.0
2008-03-21,1759.611926388,1675.820882274,1768.9220424,1675.820882274,131166.0
2008-03-24,1568.754548129,1554.78937411,1582.719722148,1582.719722148,96299.0
2008-03-25,1447.7230399645,1405.827517908,1489.618562021,1429.102807939,326256.0
