Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,12260.934591474,12260.934591474,12260.934591474,12260.934591474,3851.0
2006-12-22,12525.1788714625,12366.632303469,12683.725439456,12366.632303469,7169.0
2006-12-25,12366.632303469,12366.632303469,12366.632303469,12366.632303469,562.0
2006-12-26,11943.841455487502,11838.143743492,12049.539167483,11838.143743492,1081.0
2006-12-27,11838.143743492,11309.655183515,11838.143743492,11309.655183515,1925.0
2006-12-28,11309.655183515,10781.166623537,11309.655183515,10781.166623537,1777.0
2006-12-29,10781.166623537,10252.67806356,10781.166623537,10252.67806356,592.0
2007-01-02,10252.67806356,9745.329045982,10252.67806356,9745.329045982,4147.0
2007-01-03,9280.259113202,9259.119570803,9301.398655601,9259.119570803,2962.0
2007-01-04,8846.898494020501,8815.189180422,8878.607807619,8815.189180422,13479.0
2007-01-05,9163.991630007,9090.00323161,9237.980028404,9237.980028404,23403.0
2007-01-08,9597.352249188,9512.794079592,9681.910418784,9681.910418784,7332.0
2007-01-09,10146.980351565,10146.980351565,10146.980351565,10146.980351565,25166.0
2007-01-10,10146.980351565,9829.887215578,10146.980351565,9829.887215578,8769.0
2007-01-11,9829.887215578,9343.677740399,9829.887215578,9343.677740399,3006.0
2007-01-12,8878.607807619,8878.607807619,8878.607807619,8878.607807619,15479.0
2007-01-15,9301.398655601,9301.398655601,9301.398655601,9301.398655601,6369.0
2007-01-16,9301.398655601,9301.398655601,9301.398655601,9301.398655601,3732.0
2007-01-17,9301.398655601,9301.398655601,9301.398655601,9301.398655601,888.0
2007-01-18,9301.398655601,8836.328722821,9301.398655601,8836.328722821,1925.0
2007-01-19,8836.328722821,8688.351926027,8836.328722821,8836.328722821,7628.0
2007-01-22,8836.328722821,8667.212383628,8836.328722821,8667.212383628,1436.0
2007-01-23,8667.212383628,8476.956502036,8667.212383628,8667.212383628,4888.0
2007-01-24,8667.212383628,8244.421535646,8667.212383628,8667.212383628,11390.0
2007-01-25,8667.212383628,8244.421535646,8667.212383628,8244.421535646,6813.0
2007-01-26,8244.421535646,8244.421535646,8434.677417238,8244.421535646,12146.0
2007-01-29,8244.421535646,7863.909772462,8244.421535646,8244.421535646,4591.0
2007-01-30,8244.421535646,8244.421535646,8646.072841229,8646.072841229,1925.0
2007-01-31,8646.072841229,8646.072841229,8878.607807619,8667.212383628,17967.0
2007-02-01,8667.212383628,8667.212383628,8878.607807619,8878.607807619,4828.0
2007-02-02,9322.538198,9322.538198,9322.538198,9322.538198,24411.0
2007-02-05,9755.8988171815,9724.189503583,9787.60813078,9745.329045982,38942.0
2007-02-06,10231.538521161,10231.538521161,10231.538521161,10231.538521161,43030.0
2007-02-07,10569.7711995465,10464.073487551,10675.468911542,10675.468911542,53725.0
2007-02-08,11098.259759523498,10992.562047528,11203.957471519,11203.957471519,47370.0
2007-02-09,11203.957471519,10675.468911542,11203.957471519,10675.468911542,30321.0
2007-02-12,10411.224631553,10252.67806356,10569.771199546,10569.771199546,31521.0
2007-02-13,10569.771199546,10146.980351565,10569.771199546,10569.771199546,28173.0
2007-02-14,10834.015479535,10781.166623537,10886.864335533,10781.166623537,31773.0
2007-02-15,10781.166623537,10781.166623537,10781.166623537,10781.166623537,17123.0
2007-02-26,11309.655183515,11309.655183515,11309.655183515,11309.655183515,25048.0
2007-02-27,11626.748319501,11415.35289551,11838.143743492,11838.143743492,38409.0
2007-02-28,12366.632303469,12366.632303469,12366.632303469,12366.632303469,86698.0
2007-03-01,12630.876583458,12472.330015465,12789.423151451,12789.423151451,54243.0
2007-03-02,12789.423151451,12789.423151451,12789.423151451,12789.423151451,48333.0
2007-03-05,13106.5162874375,12895.120863447,13317.911711428,13212.213999433,93215.0
2007-03-06,13846.400271406,13846.400271406,13846.400271406,13846.400271406,36853.0
2007-03-07,14480.586543379,14480.586543379,14480.586543379,14480.586543379,35698.0
2007-03-08,15114.772815351,15114.772815351,15114.772815351,15114.772815351,26336.0
2007-03-09,15748.9590873245,15643.261375329,15854.65679932,15643.261375329,62716.0
2007-03-12,15643.261375329,15009.075103356,16277.447647301,15009.075103356,71500.0
2007-03-13,15009.075103356,14269.191119388,15009.075103356,14269.191119388,31684.0
2007-03-14,13687.8537034125,13635.004847415,13740.70255941,13635.004847415,63871.0
2007-03-15,13053.66743144,13000.818575442,13106.516287438,13000.818575442,39964.0
2007-03-16,13000.818575442,12472.330015465,13635.004847415,13635.004847415,36483.0
2007-03-19,14110.6445513945,13952.097983401,14269.191119388,14269.191119388,41697.0
2007-03-20,14850.5285353625,14797.679679365,14903.37739136,14797.679679365,64390.0
2007-03-21,14216.34226339,14057.795695397,14374.888831383,14057.795695397,26292.0
2007-03-22,13423.609423424,13423.609423424,13423.609423424,13423.609423424,39801.0
2007-03-23,13423.609423424,13423.609423424,13952.097983401,13952.097983401,27788.0
2007-03-26,13370.760567426,13317.911711428,13423.609423424,13317.911711428,17167.0
2007-03-27,12683.725439456,12683.725439456,12683.725439456,12683.725439456,1807.0
2007-03-28,12049.539167483,12049.539167483,12049.539167483,12049.539167483,7717.0
2007-03-29,12578.02772746,12578.02772746,12578.02772746,12578.02772746,36616.0
2007-03-30,12578.02772746,12578.02772746,13106.516287438,13106.516287438,25685.0
2007-04-02,12578.0277274605,12472.330015465,12683.725439456,12472.330015465,27507.0
2007-04-03,11943.841455487,11943.841455487,11943.841455487,11943.841455487,18012.0
2007-04-04,11943.841455487,11943.841455487,12472.330015465,12472.330015465,21063.0
2007-04-05,12472.330015465,12260.934591474,12895.120863447,12260.934591474,20559.0
2007-04-06,12260.934591474,12049.539167483,12260.934591474,12260.934591474,20708.0
2007-04-09,11785.294887494,11732.446031496,11838.143743492,11732.446031496,24011.0
2007-04-10,11468.201751508,11415.35289551,11521.050607506,11521.050607506,19997.0
2007-04-11,11098.259759524,11098.259759524,11098.259759524,11098.259759524,16915.0
2007-04-12,10548.631657147,10548.631657147,10548.631657147,10548.631657147,16827.0
2007-04-13,10041.282639569,10041.282639569,10041.282639569,10041.282639569,11894.0
2007-04-16,9555.07316439,9555.07316439,9555.07316439,9555.07316439,1125.0
2007-04-17,9090.00323161,9090.00323161,9090.00323161,9090.00323161,5658.0
2007-04-18,9090.00323161,8646.072841229,9533.933621991,9533.933621991,25433.0
2007-04-19,9808.747673179,9618.491791587,9999.003554771,9618.491791587,53695.0
2007-04-20,9153.421858807,9153.421858807,9153.421858807,9153.421858807,19878.0
2007-04-23,8794.049638022501,8709.491468426,8878.607807619,8709.491468426,13731.0
2007-04-24,8709.491468426,8455.816959637,8878.607807619,8878.607807619,7702.0
2007-04-25,8878.607807619,8878.607807619,9301.398655601,9301.398655601,10457.0
2007-05-02,9301.398655601,8878.607807619,9301.398655601,8878.607807619,6221.0
2007-05-03,8878.607807619,8878.607807619,9090.00323161,8878.607807619,8783.0
2007-05-04,8878.607807619,8667.212383628,8878.607807619,8878.607807619,2458.0
2007-05-07,8878.607807619,8878.607807619,9090.00323161,9090.00323161,7154.0
2007-05-08,9523.3638507915,9512.794079592,9533.933621991,9533.933621991,23803.0
2007-05-09,9777.0383595805,9724.189503583,9829.887215578,9724.189503583,14471.0
2007-05-10,9269.6893420025,9237.980028404,9301.398655601,9237.980028404,4843.0
2007-05-11,9237.980028404,9005.445062014,9512.794079592,9512.794079592,19019.0
2007-05-14,9703.049961184,9703.049961184,9703.049961184,9703.049961184,12175.0
2007-05-15,9512.794079592,9512.794079592,9512.794079592,9512.794079592,11420.0
