Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,9225.440717068,9225.440717068,9225.440717068,9225.440717068,149583.0
2006-12-22,8806.102502656,8806.102502656,8806.102502656,8806.102502656,84222.0
2006-12-25,8369.990759668,8369.990759668,8369.990759668,8369.990759668,15268.0
2006-12-26,8369.990759668,7984.199602408,8369.990759668,8369.990759668,201609.0
2006-12-27,8722.234859774,8722.234859774,8722.234859774,8722.234859774,95642.0
2006-12-28,9141.573074186,9141.573074186,9141.573074186,9141.573074186,17694.0
2006-12-29,9560.911288598,9560.911288598,9560.911288598,9560.911288598,144202.0
2007-01-02,9854.448038687,9812.514217246,9896.381860128,9812.514217246,431110.0
2007-01-03,9812.514217246,9393.176002833,9812.514217246,9812.514217246,175286.0
2007-01-04,10231.852431658,10231.852431658,10231.852431658,10231.852431658,103066.0
2007-01-05,10735.058288952,10735.058288952,10735.058288952,10735.058288952,28384.0
2007-01-08,11238.264146247,11238.264146247,11238.264146247,11238.264146247,275762.0
2007-01-09,11741.470003542,11741.470003542,11741.470003542,11741.470003542,249020.0
2007-01-10,12328.543503719,12328.543503719,12328.543503719,12328.543503719,120232.0
2007-01-11,12915.617003896,12915.617003896,12915.617003896,12915.617003896,86758.0
2007-01-12,13502.690504073,13502.690504073,13502.690504073,13502.690504073,113574.0
2007-01-15,14173.631647132,14173.631647132,14173.631647132,14173.631647132,199110.0
2007-01-16,14844.572790192,14844.572790192,14844.572790192,14844.572790192,211405.0
2007-01-17,14844.572790192,14173.631647132,15515.513933252,14173.631647132,394864.0
2007-01-18,14173.631647132,13502.690504073,14844.572790192,14844.572790192,383846.0
2007-01-19,14844.572790192,14844.572790192,15096.175718839,15096.175718839,426586.0
2007-01-22,14425.2345757795,14341.366932897,14509.102218662,14425.23457578,298893.0
2007-01-23,14047.8301828085,13922.028718485,14173.631647132,14089.76400425,185903.0
2007-01-24,14089.76400425,13922.028718485,14425.23457578,14425.23457578,535071.0
2007-01-25,14425.23457578,14425.23457578,14425.23457578,14425.23457578,501123.0
2007-01-26,14507.199169193,14458.022222857,14556.376115529,14556.376115529,47038.0
2007-01-29,15195.6764179005,15146.499471564,15244.853364237,15244.853364237,92941.0
2007-01-30,15933.330612944,15933.330612944,15933.330612944,15933.330612944,11588.0
2007-01-31,16720.161754324,16720.161754324,16720.161754324,16720.161754324,135173.0
2007-02-01,16720.161754324,16326.746183634,17506.992895704,16326.746183634,162395.0
2007-02-02,16720.161754324,16720.161754324,16720.161754324,16720.161754324,96939.0
