Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,9598.159990355,9598.159990355,9598.159990355,9598.159990355,18976.0
2007-01-05,12904.192875921,12584.254209576,12904.192875921,12584.254209576,53514.0
2007-01-11,13864.008874957,13650.716430727,13864.008874957,13864.008874957,37553.0
2007-01-12,13864.008874957,13650.716430727,14183.947541302,14183.947541302,23552.0
2007-01-17,15463.702206683,14717.178651877,16210.225761488,14717.178651877,119891.0
2007-01-18,14717.178651877,14717.178651877,14930.471096107,14930.471096107,70762.0
2007-01-24,14183.947541302,13864.008874957,14183.947541302,13864.008874957,39303.0
2007-01-29,13864.008874957,13650.716430727,14503.886207647,14503.886207647,26209.0
2007-01-31,14930.471096107,14717.178651877,15463.702206683,14717.178651877,43309.0
2007-02-02,14930.471096107,14930.471096107,14930.471096107,14930.471096107,31923.0
2007-02-05,14930.471096107,14183.947541302,14930.471096107,14930.471096107,38206.0
2007-02-06,14930.471096107,14610.532429762,15143.763540337,14930.471096107,34580.0
2007-02-08,14717.178651877,14077.301319187,14823.824873992,14077.301319187,37553.0
2007-02-09,14077.301319187,13864.008874957,14077.301319187,13970.655097072,33947.0
2007-02-14,14823.824873992,14183.947541302,14823.824873992,14823.824873992,58385.0
2007-02-15,14823.824873992,14823.824873992,15250.409762452,15250.409762452,51996.0
2007-02-28,16743.456872063,15996.933317258,16743.456872063,15996.933317258,108104.0
2007-03-01,15996.933317258,15996.933317258,15996.933317258,15996.933317258,53367.0
2007-03-02,15996.933317258,15996.933317258,15996.933317258,15996.933317258,39345.0
2007-03-06,16210.225761488,15676.994650913,16210.225761488,15676.994650913,72407.0
2007-03-07,15676.994650913,14930.471096107,15676.994650913,14930.471096107,75000.0
2007-03-12,15996.933317258,15676.994650913,16210.225761488,15676.994650913,40378.0
2007-03-13,15676.994650913,15463.702206683,15676.994650913,15463.702206683,38607.0
2007-03-14,15463.702206683,15463.702206683,16103.579539373,15463.702206683,90603.0
2007-03-16,14717.178651877,14717.178651877,15357.055984567,15357.055984567,38776.0
2007-03-19,15357.055984567,15357.055984567,15357.055984567,15357.055984567,30869.0
2007-03-20,15357.055984567,14930.471096107,15357.055984567,14930.471096107,41116.0
2007-03-21,14930.471096107,14717.178651877,14930.471096107,14717.178651877,21907.0
2007-03-22,14717.178651877,14077.301319187,14717.178651877,14077.301319187,95305.0
2007-03-26,13437.423986497,13437.423986497,14077.301319187,13437.423986497,56825.0
2007-03-27,13437.423986497,13117.485320151,13437.423986497,13117.485320151,37489.0
2007-03-28,13117.485320151,12477.607987461,13330.777764381,13330.777764381,60304.0
2007-04-03,13117.485320151,13117.485320151,13117.485320151,13117.485320151,116686.0
2007-04-04,13117.485320151,13117.485320151,13224.131542266,13224.131542266,46177.0
2007-04-05,13224.131542266,12904.192875921,13224.131542266,12904.192875921,27221.0
2007-04-06,12904.192875921,12690.900431691,12904.192875921,12690.900431691,25260.0
2007-04-10,12584.254209576,12370.961765346,12584.254209576,12584.254209576,43688.0
2007-04-13,12370.961765346,12051.023099001,12370.961765346,12051.023099001,122970.0
2007-04-19,11624.438210541,11624.438210541,12157.669321116,11624.438210541,41116.0
2007-04-20,11624.438210541,11091.207099965,11624.438210541,11091.207099965,26904.0
2007-04-23,11091.207099965,10664.622211505,11091.207099965,10664.622211505,64858.0
2007-04-24,10664.622211505,10451.329767275,10664.622211505,10557.97598939,23931.0
2007-04-25,10557.97598939,10557.97598939,10664.622211505,10664.622211505,25323.0
2007-05-04,10451.329767275,10451.329767275,10451.329767275,10451.329767275,14591.0
2007-05-08,10877.914655735,10877.914655735,11091.207099965,10877.914655735,70361.0
2007-05-11,11304.499544195,11197.85332208,11411.145766311,11411.145766311,56951.0
2007-05-16,12264.315543231,12264.315543231,12584.254209576,12264.315543231,102369.0
2007-05-23,14183.947541302,14183.947541302,14823.824873992,14183.947541302,151308.0
2007-05-29,13821.355914653,13821.355914653,13949.331432381,13821.355914653,55753.0
2007-05-30,13821.355914653,13437.429361468,13821.355914653,13821.355914653,56104.0
2007-05-31,13821.355914653,13821.355914653,13821.355914653,13821.355914653,13863.0
2007-06-01,13821.355914653,13309.45384374,13821.355914653,13309.45384374,17325.0
2007-06-06,12221.66194305,12221.66194305,12797.551772827,12797.551772827,26602.0
2007-06-08,13437.429361468,13437.429361468,13949.331432381,13437.429361468,79667.0
2007-06-11,13437.429361468,13437.429361468,13437.429361468,13437.429361468,36073.0
2007-06-12,13437.429361468,13053.502808283,13437.429361468,13437.429361468,41538.0
2007-06-13,13437.429361468,13437.429361468,13693.380396925,13693.380396925,81618.0
2007-06-15,13821.355914653,13693.380396925,14077.30695011,14077.30695011,71426.0
2007-06-18,14077.30695011,14077.30695011,14077.30695011,14077.30695011,82303.0
2007-06-19,14077.30695011,14077.30695011,14077.30695011,14077.30695011,30099.0
2007-06-25,13565.404879197,13437.429361468,13565.404879197,13437.429361468,9382.0
2007-06-26,13437.429361468,13437.429361468,13693.380396925,13437.429361468,26304.0
2007-06-27,13437.429361468,13437.429361468,13565.404879197,13437.429361468,74255.0
2007-06-28,13437.429361468,13437.429361468,13437.429361468,13437.429361468,46545.0
2007-06-29,13437.429361468,13437.429361468,13437.429361468,13437.429361468,12791.0
2007-07-04,12541.60073737,12541.60073737,13053.502808283,13053.502808283,8978.0
2007-07-05,13053.502808283,13053.502808283,13181.478326012,13181.478326012,49146.0
2007-07-06,13181.478326012,13181.478326012,13181.478326012,13181.478326012,37198.0
2007-07-09,13181.478326012,13181.478326012,13181.478326012,13181.478326012,5359.0
2007-07-12,14205.282467838,13949.331432381,14589.209021023,13949.331432381,62483.0
2007-07-13,13949.331432381,13821.355914653,13949.331432381,13949.331432381,10068.0
2007-07-16,13949.331432381,13565.404879197,14077.30695011,13565.404879197,18572.0
2007-07-17,13565.404879197,13565.404879197,13821.355914653,13821.355914653,25847.0
2007-07-19,13693.380396925,13437.429361468,14077.30695011,13437.429361468,66260.0
2007-07-20,13437.429361468,13437.429361468,13565.404879197,13565.404879197,11421.0
2007-07-23,13565.404879197,13565.404879197,13821.355914653,13565.404879197,24476.0
2007-07-24,13565.404879197,13565.404879197,13693.380396925,13565.404879197,77137.0
2007-07-25,13565.404879197,13309.45384374,13565.404879197,13309.45384374,58775.0
2007-07-27,13181.478326012,12797.551772827,13181.478326012,12925.527290555,16780.0
2007-07-31,12797.551772827,12669.576255099,12797.551772827,12797.551772827,52203.0
2007-08-01,12797.551772827,12797.551772827,13053.502808283,13053.502808283,16991.0
2007-08-14,13437.429361468,13309.45384374,13437.429361468,13309.45384374,38129.0
2007-08-15,13309.45384374,13181.478326012,13309.45384374,13181.478326012,42891.0
2007-08-22,13297.673396147,13297.673396147,13297.673396147,13297.673396147,34088.0
2007-08-27,13297.673396147,13297.673396147,13555.880646558,13297.673396147,46581.0
2007-08-28,13297.673396147,13297.673396147,13297.673396147,13297.673396147,50604.0
2007-08-29,13297.673396147,13039.466145737,13943.191522174,13943.191522174,119923.0
2007-08-31,13426.777021353,13297.673396147,13426.777021353,13426.777021353,105954.0
2007-09-05,13555.880646558,13555.880646558,13684.984271763,13555.880646558,94023.0
2007-09-07,13426.777021353,13297.673396147,13426.777021353,13297.673396147,16868.0
2007-09-11,13168.569770942,13168.569770942,13297.673396147,13297.673396147,20610.0
2007-09-12,13297.673396147,13168.569770942,13297.673396147,13168.569770942,24511.0
2007-09-13,13168.569770942,13039.466145737,13168.569770942,13039.466145737,17852.0
2007-09-17,13168.569770942,13039.466145737,13168.569770942,13039.466145737,28781.0
2007-09-18,13039.466145737,13039.466145737,13039.466145737,13039.466145737,30696.0
2007-09-19,13039.466145737,12910.362520531,13039.466145737,13039.466145737,36794.0
2007-09-24,13297.673396147,13297.673396147,13426.777021353,13426.777021353,46598.0
2007-09-28,13297.673396147,13297.673396147,13555.880646558,13555.880646558,47705.0
2007-10-02,13943.191522174,13555.880646558,13943.191522174,13814.087896969,158263.0
2007-10-04,13684.984271763,13684.984271763,13684.984271763,13684.984271763,156260.0
2007-10-05,13684.984271763,13555.880646558,13684.984271763,13555.880646558,61481.0
2007-10-08,13555.880646558,13555.880646558,13684.984271763,13684.984271763,126863.0
2007-10-09,13684.984271763,13684.984271763,13943.191522174,13684.984271763,79509.0
2007-10-10,13684.984271763,13684.984271763,13684.984271763,13684.984271763,69283.0
2007-10-11,13684.984271763,13555.880646558,13684.984271763,13555.880646558,74448.0
2007-10-12,13555.880646558,13555.880646558,13555.880646558,13555.880646558,40308.0
2007-10-15,13555.880646558,13426.777021353,13555.880646558,13426.777021353,41678.0
2007-10-17,13297.673396147,13297.673396147,13555.880646558,13426.777021353,72674.0
2007-10-18,13426.777021353,13297.673396147,13426.777021353,13297.673396147,81670.0
