Date,Price Open,Price Low,Price High,Price Close,Volume
2007-09-05,8689.785542516,8689.785542516,8689.785542516,8689.785542516,850968.0
2007-09-11,8904.348148504,8797.06684551,8904.348148504,8797.06684551,406506.0
2007-09-13,8528.863588025,8528.863588025,8528.863588025,8528.863588025,183708.0
2007-09-17,8582.504239522,8528.863588025,8582.504239522,8528.863588025,242245.0
2007-09-18,8528.863588025,8528.863588025,8528.863588025,8528.863588025,178739.0
2007-09-19,8528.863588025,8528.863588025,8582.504239522,8528.863588025,157140.0
2007-09-20,8528.863588025,8528.863588025,8582.504239522,8528.863588025,172361.0
2007-09-24,8582.504239522,8582.504239522,8689.785542516,8689.785542516,149392.0
2007-09-27,8957.988800001,8957.988800001,9011.629451498,9011.629451498,536218.0
2007-10-03,10299.005087426,9977.161178444,10299.005087426,9977.161178444,433466.0
2007-10-05,9655.317269462,9440.754663474,9655.317269462,9440.754663474,310054.0
2007-10-08,9440.754663474,9440.754663474,9440.754663474,9440.754663474,199986.0
2007-10-09,9440.754663474,9440.754663474,9548.035966468,9494.395314971,143445.0
2007-10-10,9494.395314971,9494.395314971,9655.317269462,9601.676617965,253553.0
2007-10-11,9601.676617965,9601.676617965,9655.317269462,9601.676617965,214581.0
2007-10-15,9548.035966468,9440.754663474,9601.676617965,9440.754663474,172830.0
2007-10-16,9440.754663474,9440.754663474,9440.754663474,9440.754663474,143680.0
2007-10-17,9440.754663474,9333.47336048,9440.754663474,9440.754663474,223815.0
2007-10-22,9548.035966468,9548.035966468,9548.035966468,9548.035966468,319015.0
2007-10-26,9494.395314971,9494.395314971,9494.395314971,9494.395314971,164027.0
2007-10-29,9494.395314971,9387.114011977,9548.035966468,9387.114011977,118755.0
2007-11-01,9279.832708983,9279.832708983,9333.47336048,9333.47336048,129085.0
2007-11-07,9816.239223953,9655.317269462,9816.239223953,9816.239223953,67027.0
2007-11-08,9816.239223953,9548.035966468,9869.87987545,9869.87987545,245766.0
2007-11-12,9440.754663474,9387.114011977,9655.317269462,9440.754663474,24885.0
2007-11-13,9440.754663474,9011.629451498,9440.754663474,9011.629451498,62918.0
2007-11-16,9118.910754492,8743.426194013,9118.910754492,9118.910754492,158157.0
2007-11-19,9118.910754492,9011.629451498,9118.910754492,9118.910754492,21716.0
2007-11-21,9011.629451498,8743.426194013,9118.910754492,9118.910754492,27507.0
2007-11-22,9118.910754492,9118.910754492,9226.192057486,9118.910754492,16355.0
2007-11-23,9118.910754492,9011.629451498,9118.910754492,9011.629451498,10525.0
2007-11-28,9279.832708983,9279.832708983,9333.47336048,9333.47336048,105099.0
2007-11-29,9333.47336048,9333.47336048,9440.754663474,9333.47336048,64170.0
2007-11-30,9333.47336048,9011.629451498,9548.035966468,9172.551405989,24064.0
2007-12-04,9118.910754492,9118.910754492,9172.551405989,9118.910754492,49615.0
2007-12-05,9118.910754492,9118.910754492,9118.910754492,9118.910754492,175296.0
2007-12-06,9118.910754492,9118.910754492,9333.47336048,9118.910754492,103925.0
2007-12-07,9118.910754492,9118.910754492,9118.910754492,9118.910754492,2543.0
2007-12-10,9118.910754492,9011.629451498,9118.910754492,9011.629451498,9586.0
2007-12-11,9011.629451498,8904.348148504,9011.629451498,8904.348148504,130024.0
2007-12-12,8904.348148504,8904.348148504,8904.348148504,8904.348148504,41984.0
2007-12-13,8904.348148504,8904.348148504,8904.348148504,8904.348148504,115116.0
2007-12-14,8904.348148504,8904.348148504,9011.629451498,8904.348148504,76731.0
2007-12-20,9548.035966468,9358.638404913,9804.287852766,9358.638404913,99543.0
2007-12-21,9358.638404913,9358.638404913,9581.46312884,9525.756947858,142584.0
2007-12-24,9525.756947858,9470.050766877,9525.756947858,9525.756947858,233558.0
2007-12-25,9525.756947858,9525.756947858,9525.756947858,9525.756947858,61431.0
2007-12-26,9525.756947858,9470.050766877,9525.756947858,9525.756947858,39715.0
2007-12-27,9525.756947858,9358.638404913,9525.756947858,9470.050766877,23281.0
2008-01-03,9470.050766877,9358.638404913,9915.70021473,9915.70021473,97351.0
2008-01-09,9525.756947858,9525.756947858,9525.756947858,9525.756947858,87139.0
2008-01-11,9470.050766877,9470.050766877,9470.050766877,9470.050766877,142858.0
2008-01-14,9470.050766877,9080.107500005,9470.050766877,9080.107500005,22811.0
2008-01-17,9080.107500005,8912.98895706,9080.107500005,8912.98895706,43315.0
