Date,Price Open,Price Low,Price High,Price Close,Volume
2012-12-14,9083.190049963,9083.190049963,13397.705323695,11467.527438078,3270.0
2012-12-17,11637.837251515,11637.837251515,11921.686940576,11637.837251515,820.0
2012-12-18,12205.536629638,11353.987562454,12205.536629638,11637.837251515,1130.0
2012-12-19,11637.837251515,11637.837251515,11637.837251515,11637.837251515,100.0
2012-12-20,11637.837251515,11353.987562454,11637.837251515,11353.987562454,1080.0
2012-12-21,11353.987562454,11353.987562454,11353.987562454,11353.987562454,770.0
2012-12-24,10899.828059955,10899.828059955,11637.837251515,11637.837251515,1730.0
2012-12-25,11921.686940576,11921.686940576,12205.536629638,12205.536629638,20.0
2012-12-26,11637.837251515,11637.837251515,12489.386318699,12489.386318699,2900.0
2012-12-27,12489.386318699,11864.917002764,13057.085696822,13057.085696822,25020.0
2012-12-28,12432.616380887,12432.616380887,12489.386318699,12489.386318699,1060.0
2013-01-02,11864.917002764,11864.917002764,12489.386318699,12489.386318699,2540.0
2013-01-03,11864.917002764,11864.917002764,12489.386318699,11864.917002764,1660.0
2013-01-04,11353.987562454,11297.217624641,11921.686940576,11921.686940576,2430.0
2013-01-07,11353.987562454,11353.987562454,11921.686940576,11921.686940576,1570.0
2013-01-08,11353.987562454,11353.987562454,11637.837251515,11637.837251515,8680.0
2013-01-09,11070.137873392,11070.137873392,11637.837251515,11637.837251515,590.0
2013-01-10,11070.137873392,11070.137873392,11637.837251515,11637.837251515,380.0
2013-01-11,11126.907811205,11070.137873392,11183.677749017,11183.677749017,1120.0
2013-01-14,10956.597997768,10956.597997768,11353.987562454,11353.987562454,1100.0
2013-01-16,10559.208433082,10559.208433082,11353.987562454,11353.987562454,550.0
2013-01-17,10615.978370894,10615.978370894,11353.987562454,11353.987562454,2100.0
2013-01-22,10559.208433082,10559.208433082,11353.987562454,11353.987562454,770.0
2013-01-23,10786.288184331,10559.208433082,11353.987562454,10559.208433082,880.0
2013-01-24,11297.217624641,11297.217624641,11297.217624641,11297.217624641,10.0
2013-01-25,11297.217624641,11297.217624641,11353.987562454,11353.987562454,2090.0
2013-01-29,10786.288184331,10786.288184331,11297.217624641,11297.217624641,590.0
2013-01-30,11297.217624641,11297.217624641,11297.217624641,11297.217624641,10.0
2013-01-31,11297.217624641,11297.217624641,11297.217624641,11297.217624641,300.0
2013-02-01,11297.217624641,11297.217624641,11297.217624641,11297.217624641,400.0
2013-02-04,11297.217624641,11297.217624641,11297.217624641,11297.217624641,30.0
2013-02-05,11297.217624641,11297.217624641,11297.217624641,11297.217624641,30.0
2013-02-06,10615.978370894,10559.208433082,11297.217624641,11297.217624641,1060.0
2013-02-08,11297.217624641,11297.217624641,11297.217624641,11297.217624641,1380.0
2013-02-18,10786.288184331,10786.288184331,11353.987562454,11353.987562454,130.0
2013-02-19,11297.217624641,10786.288184331,11297.217624641,11297.217624641,700.0
2013-02-20,10786.288184331,10786.288184331,11297.217624641,11297.217624641,20.0
2013-02-21,10786.288184331,10786.288184331,10786.288184331,10786.288184331,350.0
2013-02-22,10786.288184331,10786.288184331,11297.217624641,11297.217624641,360.0
2013-02-27,10786.288184331,10786.288184331,10786.288184331,10786.288184331,30.0
2013-02-28,10502.43849527,10502.43849527,10786.288184331,10786.288184331,480.0
2013-03-04,10559.208433082,10048.278992771,10559.208433082,10048.278992771,210.0
2013-03-05,10729.518246519,10729.518246519,10729.518246519,10729.518246519,10.0
2013-03-06,10218.588806208,10218.588806208,10218.588806208,10218.588806208,900.0
2013-03-07,10502.43849527,10502.43849527,10502.43849527,10502.43849527,10.0
