Date,Price Open,Price Low,Price High,Price Close,Volume
2010-06-02,16409.9462319035,15021.686138532,17798.206325275,17157.470897565,276713.0
2010-06-07,18367.748927684,17940.591975877,19649.219783104,19649.219783104,169399.0
2010-06-08,19649.219783104,18225.363277082,20361.148036115,19578.026957802,110966.0
2010-06-11,17015.085246963,16374.349819253,17086.278072264,17015.085246963,110123.0
2010-06-14,17015.085246963,16231.964168651,17015.085246963,16872.699596361,95374.0
2010-06-15,16872.699596361,16516.735469855,17015.085246963,16659.121120457,49864.0
2010-06-17,17015.085246963,16516.735469855,17299.856548167,16516.735469855,43684.0
2010-06-18,16516.735469855,16374.349819253,16943.892421662,16730.313945758,49583.0
2010-06-21,16730.313945758,15591.228740941,16943.892421662,16659.121120457,57028.0
2010-06-23,15662.421566242,15164.071789134,16659.121120457,16659.121120457,146222.0
2010-06-25,17086.278072264,16374.349819253,17371.049373468,16659.121120457,86385.0
2010-06-29,15947.192867446,15377.650265038,16303.156993952,15377.650265038,79783.0
2010-07-02,14594.529186725,14380.950710822,15520.03591564,15021.686138532,80907.0
2010-07-07,14523.336361424,13811.408108413,15377.650265038,13811.408108413,58994.0
2010-07-12,14452.143536123,14024.986584317,14950.493313231,14736.914837328,1123.0
2010-07-13,14736.914837328,14594.529186725,14950.493313231,14879.30048793,49583.0
2010-07-14,14879.30048793,13953.793759016,14879.30048793,14238.56506022,26126.0
2010-07-16,14024.986584317,13099.479855402,14309.757885521,14024.986584317,41998.0
2010-07-21,15733.614391543,15591.228740941,16801.50677106,15804.807216844,162235.0
2010-07-23,15021.686138532,14238.56506022,15164.071789134,14452.143536123,73181.0
2010-07-26,14452.143536123,13597.82963251,14736.914837328,14096.179409618,114196.0
2010-07-27,14096.179409618,13455.443981908,14238.56506022,13597.82963251,124169.0
2010-07-28,13597.82963251,12814.708554198,14024.986584317,12957.0942048,94672.0
2010-08-02,13384.251156607,12387.551602391,13740.215283112,12743.515728897,30761.0
2010-08-03,12743.515728897,11960.394650585,12814.708554198,12102.780301187,81047.0
2010-08-04,12102.780301187,11533.237698778,12245.165951789,11818.008999983,43965.0
2010-08-05,11818.008999983,11533.237698778,12743.515728897,12743.515728897,108718.0
2010-08-06,12743.515728897,12672.322903596,13597.82963251,12743.515728897,90037.0
2010-08-09,12743.515728897,11960.394650585,12885.901379499,11960.394650585,46493.0
2010-08-10,11960.394650585,11390.852048176,12743.515728897,11390.852048176,47336.0
2010-08-11,11390.852048176,10607.730969864,11390.852048176,11390.852048176,88632.0
2010-08-13,10465.345319262,9895.802716853,10750.116620466,10536.538144563,33851.0
2010-08-17,11319.659222875,11319.659222875,12031.587475886,12031.587475886,251148.0
2010-08-19,12672.322903596,12316.35877709,13170.672680703,12672.322903596,185131.0
2010-08-26,9824.609891552,9183.874463842,9966.995542154,9468.645765046,175298.0
2010-09-01,10109.381192756,9824.609891552,10678.923795165,10678.923795165,259014.0
2010-09-07,11177.273572273,10678.923795165,11604.430524079,10821.309445767,113354.0
2010-09-09,10465.345319262,10465.345319262,11106.080746972,11106.080746972,137232.0
2010-09-13,11462.044873477,10963.695096369,11462.044873477,10963.695096369,88632.0
2010-09-14,10963.695096369,10678.923795165,11390.852048176,11106.080746972,27952.0
2010-09-16,10536.538144563,10038.188367455,10607.730969864,10322.959668659,80907.0
2010-09-20,10963.695096369,10678.923795165,11604.430524079,10678.923795165,76693.0
2010-09-21,10678.923795165,10536.538144563,10963.695096369,10536.538144563,62646.0
2010-09-22,10536.538144563,10465.345319262,10821.309445767,10536.538144563,23457.0
2010-09-23,10536.538144563,9966.995542154,10536.538144563,10322.959668659,73462.0
2010-09-24,10322.959668659,10251.766843358,10607.730969864,10322.959668659,28233.0
2010-09-27,10322.959668659,10109.381192756,10750.116620466,10322.959668659,19243.0
2010-09-28,10322.959668659,10251.766843358,10678.923795165,10536.538144563,68827.0
2010-09-30,9966.995542154,9895.802716853,10322.959668659,10038.188367455,30901.0
2010-10-01,10038.188367455,9682.22424095,10038.188367455,9753.417066251,26547.0
2010-10-05,9326.260114444,9041.48881324,9611.031415648,9611.031415648,59416.0
2010-10-06,9611.031415648,9397.452939745,9966.995542154,9895.802716853,58292.0
2010-10-07,9895.802716853,9397.452939745,9966.995542154,9397.452939745,18681.0
2010-10-08,9397.452939745,9183.874463842,9539.838590347,9183.874463842,52392.0
2010-10-11,9183.874463842,8899.103162637,9255.067289143,9255.067289143,25283.0
2010-10-12,9255.067289143,8970.295987939,9611.031415648,9112.681638541,29637.0
2010-10-13,9112.681638541,9112.681638541,9183.874463842,9183.874463842,34694.0
2010-10-14,9183.874463842,9112.681638541,9468.645765046,9112.681638541,23457.0
2010-10-15,9112.681638541,8970.295987939,9255.067289143,9041.48881324,37925.0
2010-10-18,9041.48881324,8970.295987939,9183.874463842,8970.295987939,38908.0
2010-10-19,8970.295987939,8543.139036132,9112.681638541,8756.717512035,40172.0
2010-10-21,8115.982084325,7688.825132519,8400.75338553,8044.789259024,20086.0
2010-10-25,7546.439481917,7546.439481917,7688.825132519,7617.632307218,24581.0
2010-10-27,8044.789259024,7760.01795782,8044.789259024,7760.01795782,27530.0
2010-10-28,7760.01795782,7617.632307218,7831.210783121,7831.210783121,11096.0
2010-10-29,7831.210783121,7617.632307218,8115.982084325,7688.825132519,4916.0
2010-11-01,7688.825132519,7617.632307218,7760.01795782,7617.632307218,2528.0
2010-11-02,7617.632307218,7546.439481917,7617.632307218,7617.632307218,12220.0
2010-11-03,7617.632307218,7332.861006013,7617.632307218,7617.632307218,30340.0
2010-11-05,7475.246656615,7261.668180712,7617.632307218,7546.439481917,54078.0
2010-11-09,7190.475355411,6976.896879508,7190.475355411,7119.28253011,50847.0
2010-11-10,7119.28253011,7048.089704809,7475.246656615,7475.246656615,56606.0
2010-11-11,7475.246656615,7190.475355411,7617.632307218,7261.668180712,37784.0
2010-11-12,7261.668180712,6905.704054207,7261.668180712,7048.089704809,24440.0
2010-11-16,6763.318403604,6407.354277099,6763.318403604,6620.932753002,69389.0
2010-11-17,6620.932753002,6549.739927701,6763.318403604,6692.125578303,16153.0
2010-11-18,6692.125578303,6692.125578303,6976.896879508,6692.125578303,15872.0
2010-11-19,6692.125578303,6478.5471024,6692.125578303,6478.5471024,7444.0
2010-11-22,6478.5471024,6122.582975895,6478.5471024,6264.968626497,45510.0
2010-11-23,6264.968626497,6193.775801196,6407.354277099,6336.161451798,10675.0
2010-11-24,6336.161451798,6336.161451798,6549.739927701,6549.739927701,24721.0
2010-11-25,6549.739927701,6478.5471024,6905.704054207,6905.704054207,48600.0
2010-11-26,6905.704054207,6407.354277099,7119.28253011,6905.704054207,39329.0
2010-11-29,6905.704054207,6763.318403604,7190.475355411,7190.475355411,37503.0
2010-12-01,7475.246656615,7190.475355411,7617.632307218,7190.475355411,39329.0
2010-12-06,8044.789259024,7831.210783121,8471.946210831,8044.789259024,44526.0
2010-12-07,8044.789259024,7617.632307218,8115.982084325,7617.632307218,38908.0
2010-12-08,7617.632307218,7261.668180712,7760.01795782,7261.668180712,15310.0
2010-12-09,7261.668180712,6834.511228906,7404.053831314,7332.861006013,54921.0
2010-12-10,7332.861006013,7119.28253011,7475.246656615,7475.246656615,54640.0
2010-12-14,7902.403608422,7404.053831314,8187.174909626,7404.053831314,48179.0
2010-12-15,7404.053831314,7119.28253011,7546.439481917,7190.475355411,11377.0
2010-12-16,7190.475355411,6692.125578303,7546.439481917,6834.511228906,9972.0
2010-12-20,7261.668180712,6692.125578303,7261.668180712,6763.318403604,42841.0
2010-12-21,6763.318403604,6407.354277099,6763.318403604,6763.318403604,31885.0
2010-12-22,6763.318403604,6478.5471024,6763.318403604,6549.739927701,30340.0
2010-12-23,6549.739927701,6407.354277099,6763.318403604,6407.354277099,15591.0
2010-12-24,6407.354277099,6336.161451798,6692.125578303,6692.125578303,19383.0
2010-12-27,6692.125578303,6407.354277099,6763.318403604,6549.739927701,6320.0
2010-12-28,6549.739927701,6478.5471024,6692.125578303,6692.125578303,6882.0
2010-12-30,6407.354277099,6407.354277099,6620.932753002,6549.739927701,16855.0
2010-12-31,6549.739927701,6193.775801196,6620.932753002,6193.775801196,27671.0
2011-01-06,6478.5471024,6407.354277099,6692.125578303,6549.739927701,23878.0
2011-01-07,6549.739927701,6407.354277099,6692.125578303,6549.739927701,2949.0
2011-01-13,6407.354277099,6407.354277099,6549.739927701,6407.354277099,19524.0
2011-01-14,6407.354277099,6407.354277099,6407.354277099,6407.354277099,24862.0
2011-01-17,6407.354277099,6407.354277099,6478.5471024,6407.354277099,18962.0
2011-01-18,6407.354277099,6407.354277099,6407.354277099,6407.354277099,4213.0
