Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-07,9934.306263815,9361.173210133,10507.439317497,9361.173210133,1559937.0
2007-12-11,9743.261912588,9743.261912588,10125.350615042,9743.261912588,348801.0
2007-12-12,9743.261912588,9647.739736974,9743.261912588,9647.739736974,224085.0
2007-12-14,9170.128858906,9122.367771099,9170.128858906,9122.367771099,227239.0
2007-12-18,8788.040156452,8549.234717418,8788.040156452,8644.756893031,180613.0
2007-12-20,8931.323419872,8788.040156452,9026.845595486,8788.040156452,131973.0
2007-12-24,8740.279068645,8692.517980838,8740.279068645,8692.517980838,156027.0
2007-12-25,8692.517980838,8596.995805225,8740.279068645,8740.279068645,311371.0
2007-12-26,8740.279068645,8372.473176284,8808.035364645,8808.035364645,184869.0
2007-12-28,8711.243767232,8711.243767232,8759.639565939,8711.243767232,136153.0
2008-01-02,8711.243767232,8517.660572404,8808.035364645,8517.660572404,103473.0
2008-01-03,8517.660572404,8324.077377577,8517.660572404,8517.660572404,398239.0
2008-01-04,8517.660572404,8372.473176284,8517.660572404,8517.660572404,224275.0
2008-01-08,8178.889981456,8033.702585336,8566.056371111,8566.056371111,285037.0
2008-01-09,8566.056371111,8324.077377577,8566.056371111,8566.056371111,497457.0
2008-01-10,8566.056371111,8372.473176284,8953.222760766,8953.222760766,768625.0
2008-01-11,8953.222760766,8904.826962059,9098.410156887,8904.826962059,353133.0
2008-01-15,8566.056371111,8227.285780163,8711.243767232,8227.285780163,198169.0
2008-01-17,8614.452169818,8372.473176284,8711.243767232,8420.868974991,130567.0
2008-01-18,8420.868974991,8324.077377577,8614.452169818,8517.660572404,125817.0
2008-01-21,8517.660572404,8324.077377577,8517.660572404,8324.077377577,75353.0
2008-01-22,8324.077377577,8227.285780163,8324.077377577,8324.077377577,113619.0
2008-01-24,7985.306786629,7888.515189215,8130.49418275,7888.515189215,143183.0
2008-01-25,7888.515189215,7888.515189215,8033.702585336,7985.306786629,243997.0
2008-01-29,8033.702585336,7985.306786629,8227.285780163,8227.285780163,226707.0
2008-02-01,8178.889981456,8178.889981456,8420.868974991,8420.868974991,256081.0
2008-02-12,8420.868974991,8130.49418275,8566.056371111,8227.285780163,213521.0
2008-02-13,8227.285780163,8130.49418275,8227.285780163,8130.49418275,142157.0
2008-02-14,8130.49418275,8130.49418275,8324.077377577,8130.49418275,217549.0
2008-02-15,8130.49418275,8033.702585336,8130.49418275,8130.49418275,113467.0
2008-02-19,7743.327793095,7646.536195681,7791.723591802,7743.327793095,325165.0
2008-02-20,7743.327793095,7452.953000854,7743.327793095,7549.744598268,427651.0
2008-02-26,7259.369806026,6920.599215079,7259.369806026,6920.599215079,678375.0
2008-02-27,6920.599215079,6678.620221544,7065.786611199,6678.620221544,221349.0
2008-02-28,6678.620221544,6581.828624131,6823.807617665,6678.620221544,128249.0
2008-02-29,6678.620221544,6485.037026717,6968.995013785,6968.995013785,885855.0
2008-03-03,6968.995013785,6630.224422838,6968.995013785,6678.620221544,252091.0
2008-03-10,6727.016020251,6678.620221544,7017.390812492,7017.390812492,739441.0
2008-03-12,6678.620221544,6533.432825424,6872.203416372,6533.432825424,177041.0
2008-03-13,6533.432825424,6291.45383189,6678.620221544,6533.432825424,194673.0
2008-03-14,6533.432825424,6291.45383189,6533.432825424,6339.849630596,103549.0
2008-03-19,5759.100046114,5710.704247407,6001.079039649,6001.079039649,658235.0
2008-03-20,6001.079039649,5710.704247407,6049.474838355,5710.704247407,81357.0
2008-03-26,4984.767266805,4742.788273271,4984.767266805,4984.767266805,491833.0
2008-04-09,5483.599223001,5483.599223001,5581.520637698,5581.520637698,820267.0
2008-04-10,5581.520637698,5483.599223001,5679.442052394,5532.55993035,552861.0
2008-04-16,5434.638515653,5385.677808305,5532.55993035,5532.55993035,80521.0
2008-04-17,5532.55993035,5434.638515653,5630.481345046,5630.481345046,174533.0
2008-04-18,5630.481345046,5581.520637698,5728.402759743,5728.402759743,308369.0
2008-04-21,5728.402759743,5630.481345046,5826.324174439,5826.324174439,348497.0
2008-04-22,5826.324174439,5728.402759743,5826.324174439,5777.363467091,87893.0
2008-04-23,5777.363467091,5679.442052394,5826.324174439,5777.363467091,390905.0
2008-04-24,5777.363467091,5679.442052394,5875.284881787,5777.363467091,92035.0
2008-04-25,5777.363467091,5777.363467091,5875.284881787,5875.284881787,156141.0
2008-04-28,5875.284881787,5875.284881787,5973.206296484,5973.206296484,102523.0
2008-05-07,6266.970540573,6169.049125877,6364.89195527,6364.89195527,356401.0
2008-05-14,5973.206296484,5875.284881787,5973.206296484,5875.284881787,108033.0
2008-05-16,5777.363467091,5679.442052394,5777.363467091,5679.442052394,443231.0
2008-05-19,5679.442052394,5679.442052394,5777.363467091,5728.402759743,223705.0
2008-05-20,5728.402759743,5630.481345046,5777.363467091,5630.481345046,134595.0
2008-05-21,5630.481345046,5532.55993035,5630.481345046,5532.55993035,542335.0
2008-06-11,4533.761500446,4445.632227219,4621.890773673,4621.890773673,309813.0
2008-06-18,4945.031442171,4847.110027474,5042.952856867,5042.952856867,653789.0
2008-06-23,4749.188612778,4749.188612778,4886.278593353,4886.278593353,189201.0
2008-06-24,4886.278593353,4749.188612778,4993.992149519,4749.188612778,13033.0
2008-06-27,4993.992149519,4847.110027474,5140.874271564,4866.694310414,199879.0
2008-06-30,4866.694310414,4739.396471308,4993.992149519,4993.992149519,103891.0
2008-07-02,5140.874271564,5091.913564216,5189.834978912,5140.874271564,71933.0
2008-07-07,5434.638515653,5287.756393609,5581.520637698,5287.756393609,110275.0
2008-07-10,5042.952856867,4896.070734823,5189.834978912,5189.834978912,470439.0
2008-07-11,5189.834978912,5042.952856867,5336.717100957,5336.717100957,934761.0
2008-07-14,5336.717100957,5189.834978912,5483.599223001,5189.834978912,573495.0
2008-07-15,5189.834978912,5042.952856867,5287.756393609,5287.756393609,351727.0
2008-07-29,4063.738709903,4014.778002555,4181.244407539,4014.778002555,655043.0
