Date,Price Open,Price Low,Price High,Price Close,Volume
2008-02-15,10926.8602119415,10550.071928771,11303.648495112,10926.860211941,154150.0
2008-02-18,10926.860211941,10399.356615503,11052.456306331,10550.071928771,60033.0
2008-02-25,8615.892075163,8188.865354236,8867.084263943,8641.011294041,81516.0
2008-03-12,6731.950659311,6405.400813897,6731.950659311,6405.400813897,57366.0
2008-03-13,6405.400813897,6279.804719506,6405.400813897,6405.400813897,19866.0
2008-03-14,6405.400813897,6179.327843994,6405.400813897,6405.400813897,10633.0
2008-03-19,5802.539560824,5526.228153166,5827.658779702,5526.228153166,40083.0
2008-04-08,4772.651586825,4722.413149069,4848.009243459,4848.009243459,65750.0
2008-04-09,4848.009243459,4848.009243459,4923.366900093,4898.247681215,50466.0
2008-04-23,4973.605337849,4898.247681215,5023.843775605,4898.247681215,163250.0
2008-04-24,4898.247681215,4848.009243459,4923.366900093,4848.009243459,27016.0
2008-04-25,4848.009243459,4766.300151423,4929.716156615,4766.300151423,48533.0
2008-04-29,4848.008154019,4848.008154019,4929.716156615,4848.008154019,51316.0
2008-05-05,4848.008154019,4766.300151423,4848.008154019,4766.300151423,25283.0
2008-05-07,4684.592148827,4602.884146231,4684.592148827,4602.884146231,2950.0
2008-05-16,4112.636130656,4030.928128061,4112.636130656,4030.928128061,21866.0
2008-06-11,3268.320103833,3213.848102102,3322.792105564,3322.792105564,54750.0
2008-06-13,3377.264107294,3377.264107294,3431.736109025,3431.736109025,57000.0
2008-06-18,3540.680112486,3486.208110755,3595.152114216,3486.208110755,70283.0
2008-06-23,3322.792105564,3241.084102968,3404.500108159,3268.320103833,59433.0
2008-06-24,3268.320103833,3268.320103833,3350.028106429,3350.028106429,22166.0
2008-06-25,3350.028106429,3295.556104698,3431.736109025,3431.736109025,20200.0
2008-06-26,3431.736109025,3350.028106429,3431.736109025,3431.736109025,16666.0
2008-06-27,3431.736109025,3350.028106429,3431.736109025,3431.736109025,14900.0
2008-06-30,3431.736109025,3350.028106429,3431.736109025,3350.028106429,35366.0
2008-07-01,3350.028106429,3350.028106429,3431.736109025,3431.736109025,25866.0
2008-07-02,3431.736109025,3431.736109025,3513.44411162,3513.44411162,67883.0
2008-07-07,3676.860116812,3567.916113351,3785.804120273,3567.916113351,88933.0
2008-07-09,3486.208110755,3486.208110755,3567.916113351,3567.916113351,39950.0
2008-07-16,3976.45612633,3867.512122869,3976.45612633,3976.45612633,92533.0
2008-07-17,3976.45612633,3867.512122869,4085.400129791,4085.400129791,102550.0
2008-07-18,4085.400129791,3976.45612633,4085.400129791,3976.45612633,13783.0
2008-07-30,3486.208110755,3404.500108159,3567.916113351,3513.44411162,16200.0
2008-07-31,3513.44411162,3431.736109025,3513.44411162,3486.208110755,7516.0
2008-08-06,3241.084102968,3159.376100372,3322.792105564,3159.376100372,32516.0
2008-08-07,3159.376100372,3159.376100372,3241.084102968,3159.376100372,24850.0
2008-08-08,3159.376100372,3132.140099507,3241.084102968,3241.084102968,17083.0
2008-08-12,3322.792105564,3322.792105564,3404.500108159,3404.500108159,26266.0
2008-08-14,3350.028106429,3322.792105564,3431.736109025,3431.736109025,87983.0
2008-08-18,3513.44411162,3404.500108159,3649.624115947,3622.388115082,23950.0
2008-08-21,3295.556104698,3213.848102102,3458.97210989,3458.97210989,22533.0
2008-08-22,3458.97210989,3458.97210989,3540.680112486,3540.680112486,73166.0
2008-08-28,4058.164128926,3867.512122869,4058.164128926,3867.512122869,71316.0
2008-09-10,4630.120147097,4412.232140175,4848.008154019,4412.232140175,156833.0
2008-09-15,4003.692127195,3813.040121138,4194.344133252,3813.040121138,142700.0
2008-09-17,3622.388115082,3458.97210989,3676.860116812,3676.860116812,49683.0
2008-09-23,3840.276122004,3649.624115947,3894.748123734,3813.040121138,96666.0
2008-09-25,3622.388115082,3540.680112486,3758.568119408,3731.332118543,35783.0
2008-09-26,3731.332118543,3676.860116812,3813.040121138,3731.332118543,110666.0
2008-10-01,3404.500108159,3404.500108159,3567.916113351,3540.680112486,29733.0
2008-10-02,3540.680112486,3404.500108159,3676.860116812,3458.97210989,34183.0
2008-10-03,3458.97210989,3350.028106429,3458.97210989,3404.500108159,85966.0
2008-10-06,3404.500108159,3322.792105564,3404.500108159,3350.028106429,42500.0
2008-10-08,3186.612101237,3077.668097776,3186.612101237,3104.904098641,45500.0
2008-10-09,3104.904098641,3050.432096911,3241.084102968,3241.084102968,119516.0
2008-10-10,3241.084102968,3132.140099507,3241.084102968,3132.140099507,95433.0
2008-10-13,3132.140099507,3132.140099507,3268.320103833,3213.848102102,56133.0
2008-10-16,3513.44411162,3431.736109025,3540.680112486,3540.680112486,112133.0
2008-10-17,3540.680112486,3431.736109025,3595.152114216,3431.736109025,59183.0
2008-10-24,3268.320103833,3132.140099507,3268.320103833,3268.320103833,46150.0
2008-10-29,2968.724094315,2832.544089989,3104.904098641,2995.96009518,106283.0
2008-10-30,2995.96009518,2887.016091719,2995.96009518,2968.724094315,21883.0
2008-10-31,2968.724094315,2914.252092584,2995.96009518,2968.724094315,58550.0
2008-11-03,2968.724094315,2859.780090854,2995.96009518,2941.48809345,22233.0
2008-11-10,2941.48809345,2859.780090854,2995.96009518,2887.016091719,12750.0
2008-11-11,2887.016091719,2832.544089989,3023.196096046,3023.196096046,63683.0
2008-11-13,2941.48809345,2832.544089989,3050.432096911,2941.48809345,23150.0
2008-11-14,2941.48809345,2887.016091719,2995.96009518,2914.252092584,23200.0
2008-11-17,2914.252092584,2832.544089989,2941.48809345,2914.252092584,37900.0
2008-11-18,2914.252092584,2832.544089989,2914.252092584,2887.016091719,36283.0
2008-11-19,2887.016091719,2887.016091719,2968.724094315,2887.016091719,22683.0
2008-11-21,2859.780090854,2832.544089989,2995.96009518,2859.780090854,34616.0
2008-11-26,3104.904098641,3023.196096046,3132.140099507,3023.196096046,40333.0
2008-11-27,3023.196096046,2968.724094315,3023.196096046,2968.724094315,29516.0
2008-11-28,2968.724094315,2968.724094315,3077.668097776,3050.432096911,53333.0
2008-12-01,3050.432096911,2914.252092584,3050.432096911,3050.432096911,43516.0
2008-12-02,3050.432096911,2968.724094315,3050.432096911,2995.96009518,18766.0
2008-12-03,2995.96009518,2995.96009518,3077.668097776,3050.432096911,62600.0
2008-12-05,3132.140099507,2995.96009518,3132.140099507,2995.96009518,61950.0
2008-12-08,2995.96009518,2859.780090854,3023.196096046,2968.724094315,56666.0
2008-12-09,2968.724094315,2941.48809345,3077.668097776,2995.96009518,54883.0
2008-12-10,2995.96009518,2995.96009518,3050.432096911,3050.432096911,55316.0
2008-12-11,3050.432096911,3023.196096046,3104.904098641,3077.668097776,36516.0
2008-12-15,3186.612101237,3186.612101237,3322.792105564,3322.792105564,155200.0
2008-12-16,3322.792105564,3159.376100372,3377.264107294,3159.376100372,97700.0
2008-12-17,3159.376100372,3132.140099507,3268.320103833,3186.612101237,37633.0
2008-12-18,3186.612101237,3104.904098641,3241.084102968,3213.848102102,86700.0
2008-12-25,3840.276122004,3649.624115947,3840.276122004,3649.624115947,127416.0
2008-12-26,3649.624115947,3540.680112486,3649.624115947,3649.624115947,178933.0
2009-01-02,4176.186799342,4130.793464567,4176.186799342,4176.186799342,55980.0
2009-01-06,3994.61346024,3949.220125465,4085.400129791,3994.61346024,43740.0
2009-01-07,3994.61346024,3903.826790689,4085.400129791,3903.826790689,43420.0
2009-01-09,3858.433455914,3858.433455914,3903.826790689,3858.433455914,4440.0
2009-01-12,3858.433455914,3767.646786363,3858.433455914,3858.433455914,5720.0
2009-01-14,3767.646786363,3676.860116812,3813.040121138,3767.646786363,14890.0
2009-01-15,3767.646786363,3631.466782037,3767.646786363,3722.253451588,8930.0
2009-01-16,3722.253451588,3722.253451588,3767.646786363,3767.646786363,17860.0
2009-01-19,3767.646786363,3676.860116812,3767.646786363,3722.253451588,29360.0
2009-01-20,3722.253451588,3676.860116812,3722.253451588,3676.860116812,21760.0
2009-01-21,3676.860116812,3631.466782037,3722.253451588,3631.466782037,4780.0
2009-01-22,3631.466782037,3631.466782037,3722.253451588,3722.253451588,10200.0
2009-01-23,3722.253451588,3722.253451588,3813.040121138,3813.040121138,5120.0
2009-02-04,3495.28677771,3404.500108159,3586.073447261,3586.073447261,10350.0
2009-02-05,3586.073447261,3449.893442935,3586.073447261,3495.28677771,9900.0
2009-02-06,3495.28677771,3404.500108159,3540.680112486,3495.28677771,17390.0
2009-02-09,3495.28677771,3495.28677771,3586.073447261,3495.28677771,3800.0
2009-02-10,3495.28677771,3404.500108159,3540.680112486,3540.680112486,14340.0
2009-02-16,3586.073447261,3586.073447261,3631.466782037,3631.466782037,6050.0
