Date,Price Open,Price Low,Price High,Price Close,Volume
2005-12-28,2331.5812485525003,2321.906637563,2341.255859542,2341.255859542,2894.0
2006-01-20,2321.906637563,2321.906637563,2321.906637563,2321.906637563,11576.0
2006-01-23,2321.906637563,2302.557415583,2321.906637563,2321.906637563,5672.0
2006-02-06,2321.906637563,2321.906637563,2418.652747461,2418.652747461,2894.0
2006-03-03,2316.167461552,2316.167461552,2357.161575915,2357.161575915,7061.0
2006-03-10,2357.161575915,2254.676290006,2418.652747461,2418.652747461,20027.0
2006-03-17,2439.149804643,2254.676290006,2459.646861825,2459.646861825,16091.0
2006-03-22,2623.62331928,2398.155690279,2869.588005462,2869.588005462,7524.0
2006-03-24,2869.588005462,2480.143919007,2869.588005462,2869.588005462,23153.0
2006-03-27,2869.588005462,2869.588005462,3033.564462917,2890.085062644,14933.0
2006-03-29,2890.085062644,2869.588005462,2992.570348553,2992.570348553,18059.0
2006-03-31,2992.570348553,2972.073291372,3259.032091918,3259.032091918,19795.0
2006-04-05,3504.9967781,3504.9967781,3853.446750192,3853.446750192,59619.0
2006-04-10,4140.405550738,3791.955578646,4181.399665102,3791.955578646,18754.0
2006-04-14,3689.470292737,3484.499720918,3750.961464283,3730.464407101,15396.0
2006-04-19,3955.932036101,3873.943807374,4099.411436375,4058.417322011,27204.0
2006-04-21,4058.417322011,4058.417322011,4304.382008193,4304.382008193,74900.0
2006-04-24,4304.382008193,4304.382008193,4611.837865921,4611.837865921,66565.0
2006-04-28,4980.784895195,4714.323151831,5452.217210378,4898.796666468,83466.0
2006-05-03,4898.796666468,4898.796666468,5124.264295468,5124.264295468,22690.0
2006-05-05,5124.264295468,5021.779009559,5226.749581378,5021.779009559,24889.0
2006-05-08,5021.779009559,4919.29372365,5329.234867287,4919.29372365,21763.0
2006-05-10,4919.29372365,4550.346694376,5001.281952377,4550.346694376,13428.0
2006-05-12,4550.346694376,4406.867294103,4816.80843774,4714.323151831,22458.0
2006-05-15,4714.323151831,4591.34080874,4919.29372365,4714.323151831,43759.0
2006-05-24,3894.440864556,3689.470292737,4037.920264829,3935.43497892,14470.0
2006-06-01,3443.505606555,3382.014435009,3689.470292737,3443.505606555,7293.0
2006-06-06,3955.932036101,3894.440864556,4160.90260792,3894.440864556,11345.0
2006-06-07,3894.440864556,3730.464407101,3955.932036101,3730.464407101,1968.0
2006-06-12,3791.955578646,3791.955578646,3791.955578646,3791.955578646,926.0
2006-06-13,3791.955578646,3750.961464283,3791.955578646,3750.961464283,1041.0
2006-06-15,3689.470292737,3689.470292737,3689.470292737,3689.470292737,2778.0
2006-06-22,3484.499720918,3279.5291491,3627.979121192,3525.493835282,35308.0
2006-06-23,3525.493835282,3504.9967781,3545.990892464,3504.9967781,4051.0
2006-06-28,3382.014435009,3382.014435009,3423.008549373,3423.008549373,4746.0
