Date,Price Open,Price Low,Price High,Price Close,Volume
2010-01-29,4848.852839465,4102.875479547,5594.830199383,4102.875479547,5300.0
2010-02-01,4102.875479547,4028.277743556,4438.56529151,4028.277743556,700.0
2010-02-04,4475.864159506,4475.864159506,4475.864159506,4475.864159506,1000.0
2010-03-08,3468.794723617,3468.794723617,3468.794723617,3468.794723617,100.0
2010-03-09,3468.794723617,3319.599251634,3692.587931593,3319.599251634,2200.0
2010-03-18,3767.185667584,3767.185667584,3767.185667584,3767.185667584,400.0
2010-03-24,3767.185667584,3767.185667584,3767.185667584,3767.185667584,100.0
2010-04-01,3729.886799589,3729.886799589,3729.886799589,3729.886799589,500.0
2010-04-08,3729.886799589,3729.886799589,3729.886799589,3729.886799589,500.0
2010-04-12,3729.886799589,3506.093591613,3729.886799589,3506.093591613,1100.0
2010-04-16,3394.196987626,3394.196987626,3431.495855621,3431.495855621,6000.0
2010-04-22,4065.576611551,3804.48453558,4326.668687523,4252.070951531,6500.0
2010-04-27,4177.473215539,3804.48453558,4177.473215539,3804.48453558,7200.0
2010-04-28,3804.48453558,3729.886799589,3804.48453558,3729.886799589,2700.0
2010-05-12,4960.749443453,4662.358499486,5296.439255416,5035.347179444,21900.0
2010-05-17,4475.864159506,4214.772083535,4475.864159506,4214.772083535,2800.0
2010-06-02,4699.657367482,4662.358499486,4998.048311449,4662.358499486,700.0
2010-06-03,4662.358499486,4401.266423514,4998.048311449,4401.266423514,2400.0
2010-06-04,4401.266423514,4177.473215539,4662.358499486,4177.473215539,300.0
2010-06-10,4102.875479547,3729.886799589,4102.875479547,4102.875479547,2700.0
2010-06-21,4214.772083535,4102.875479547,4326.668687523,4214.772083535,4800.0
2010-06-22,4214.772083535,4214.772083535,4326.668687523,4252.070951531,1000.0
2010-06-23,4252.070951531,4102.875479547,4289.369819527,4102.875479547,700.0
2010-06-25,4438.56529151,4214.772083535,4475.864159506,4214.772083535,1500.0
2010-07-09,4252.070951531,4102.875479547,4363.967555519,4363.967555519,500.0
2010-07-13,4289.369819527,4028.277743556,4475.864159506,4475.864159506,1000.0
2010-07-14,4475.864159506,4475.864159506,4475.864159506,4475.864159506,2200.0
2010-07-15,4475.864159506,4475.864159506,4475.864159506,4475.864159506,3000.0
2010-07-16,4475.864159506,4475.864159506,4475.864159506,4475.864159506,2300.0
2010-07-19,4475.864159506,4289.369819527,4513.163027502,4475.864159506,5400.0
2010-07-23,4475.864159506,4438.56529151,4550.461895498,4550.461895498,1100.0
2010-07-30,4625.05963149,4587.760763494,4625.05963149,4587.760763494,800.0
2010-08-03,4587.760763494,4587.760763494,4587.760763494,4587.760763494,500.0
2010-08-13,3692.587931593,3617.990195601,3916.381139568,3916.381139568,2900.0
2010-09-21,3543.392459609,3319.599251634,3543.392459609,3394.196987626,2200.0
2010-09-22,3394.196987626,3207.702647646,3394.196987626,3394.196987626,1600.0
2010-09-23,3394.196987626,3282.300383638,3506.093591613,3506.093591613,700.0
2010-11-09,3021.208307667,2872.012835683,3207.702647646,2872.012835683,200.0
2010-11-16,2872.012835683,2872.012835683,2872.012835683,2872.012835683,100.0
2010-11-18,2872.012835683,2722.8173637,2872.012835683,2722.8173637,200.0
2010-11-25,2499.024155724,2499.024155724,2499.024155724,2499.024155724,1000.0
2010-12-13,2909.311703679,2834.713967687,3095.806043658,3095.806043658,1500.0
2010-12-17,2946.610571675,2834.713967687,3170.40377965,3170.40377965,200.0
2010-12-28,2983.909439671,2797.415099691,3170.40377965,3170.40377965,2900.0
2010-12-29,3170.40377965,2983.909439671,3282.300383638,2983.909439671,700.0
2010-12-30,2983.909439671,2983.909439671,3245.001515642,3245.001515642,1800.0
2011-01-24,2894.779188458,2814.368655445,2894.779188458,2814.368655445,2000.0
2011-02-09,3015.394987977,3015.394987977,3015.394987977,3015.394987977,100.0
2011-02-16,2814.368655445,2814.368655445,2814.368655445,2814.368655445,5500.0
