Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-21,9402.385621404,8954.652972766,9850.118270042,8954.652972766,49000.0
2009-10-22,8954.652972766,8715.862226825,9253.141405191,8715.862226825,18600.0
2009-10-30,6148.861707966,5730.97790257,6148.861707966,5730.97790257,57500.0
2009-11-03,5342.942940417,4984.756821506,5701.129059328,5701.129059328,16200.0
2009-11-09,6148.861707966,5880.222118783,6387.652453906,5880.222118783,5800.0
2009-11-10,5880.222118783,5522.035999872,6268.257080936,5522.035999872,2300.0
2009-11-11,5522.035999872,5193.698724204,5939.919805268,5671.280216085,800.0
2009-11-12,5671.280216085,5313.094097174,5880.222118783,5313.094097174,2700.0
2009-11-16,5522.035999872,5372.79178366,5880.222118783,5880.222118783,1300.0
2009-11-17,5880.222118783,5283.245253932,5939.919805268,5313.094097174,5000.0
2009-11-18,5313.094097174,5074.303351234,5611.5825296,5462.338313387,3400.0
2009-11-19,5462.338313387,5014.605664749,5462.338313387,5163.849880962,7400.0
2009-11-20,5163.849880962,5074.303351234,5342.942940417,5074.303351234,1900.0
2009-11-26,5044.454507991,4716.117232323,5223.547567447,4716.117232323,5300.0
2009-11-27,4716.117232323,4417.628799898,4865.361448536,4477.326486383,4100.0
2009-12-02,5134.001037719,4805.663762051,5402.640626902,4805.663762051,9800.0
2009-12-03,4805.663762051,4626.570702596,5014.605664749,4626.570702596,9100.0
2009-12-07,4925.059135021,4925.059135021,5074.303351234,4925.059135021,1500.0
2009-12-08,4925.059135021,4925.059135021,4925.059135021,4925.059135021,100.0
2009-12-11,4328.08227017,4328.08227017,4328.08227017,4328.08227017,500.0
2009-12-24,4566.873016111,4566.873016111,4716.117232323,4716.117232323,4900.0
2009-12-29,4447.47764314,4148.989210715,4716.117232323,4716.117232323,700.0
2010-01-05,4626.570702596,4328.08227017,4775.814918808,4775.814918808,2000.0
2010-01-06,4775.814918808,4745.966075566,4925.059135021,4895.210291779,10000.0
2010-01-12,4477.326486383,4208.6868972,4626.570702596,4208.6868972,2100.0
2010-01-21,4626.570702596,4537.024172868,4716.117232323,4716.117232323,2400.0
2010-01-25,4716.117232323,4268.384583685,4835.512605294,4835.512605294,2700.0
2010-02-11,3581.861189106,3581.861189106,3820.651935047,3820.651935047,600.0
2010-03-02,4178.838053957,4089.29152423,4178.838053957,4089.29152423,900.0
2010-03-09,4447.47764314,4447.47764314,4716.117232323,4716.117232323,4300.0
2010-03-10,4716.117232323,4626.570702596,4805.663762051,4745.966075566,9400.0
2010-03-24,4477.326486383,4417.628799898,4566.873016111,4566.873016111,1300.0
2010-04-07,4804.395804508,4742.403600579,4928.380212366,4897.384110402,9200.0
2010-04-12,4649.415294685,4649.415294685,4649.415294685,4649.415294685,1000.0
2010-04-19,4618.419192721,4587.423090756,4866.388008437,4866.388008437,10300.0
2010-05-07,4835.391906473,4835.391906473,5021.36851826,4835.391906473,900.0
2010-05-12,4928.380212366,4649.415294685,5114.356824154,4649.415294685,4400.0
2010-05-13,4649.415294685,4649.415294685,4649.415294685,4649.415294685,1000.0
2010-05-17,4556.426988791,4494.434784862,4587.423090756,4587.423090756,8300.0
2010-05-19,4339.454275039,4339.454275039,4339.454275039,4339.454275039,1400.0
2010-05-21,4339.454275039,4339.454275039,4370.450377004,4339.454275039,3400.0
2010-05-26,4556.426988791,4556.426988791,4556.426988791,4556.426988791,400.0
2010-06-02,4339.454275039,4339.454275039,4339.454275039,4339.454275039,400.0
2010-06-03,4339.454275039,4339.454275039,4463.438682898,4463.438682898,600.0
2010-06-15,4122.481561287,4029.493255394,4153.477663252,4029.493255394,2800.0
2010-06-21,4339.454275039,4339.454275039,4556.426988791,4463.438682898,3400.0
2010-06-28,4556.426988791,4525.430886827,4649.415294685,4649.415294685,6700.0
2010-07-12,4556.426988791,4494.434784862,4649.415294685,4649.415294685,7500.0
2010-07-14,4649.415294685,4649.415294685,4649.415294685,4649.415294685,200.0
2010-07-29,4525.430886827,4525.430886827,4556.426988791,4525.430886827,1000.0
2010-08-03,4525.430886827,4463.438682898,4556.426988791,4463.438682898,600.0
2010-08-05,4339.454275039,4339.454275039,4339.454275039,4339.454275039,100.0
2010-08-06,4339.454275039,4339.454275039,4339.454275039,4339.454275039,500.0
2010-08-13,4153.477663252,3998.497153429,4153.477663252,4153.477663252,6500.0
2010-08-18,4432.442580933,4339.454275039,4525.430886827,4525.430886827,8600.0
2010-08-20,4184.473765217,4184.473765217,4525.430886827,4339.454275039,1600.0
2010-08-24,4184.473765217,4184.473765217,4184.473765217,4184.473765217,3300.0
2010-08-25,4184.473765217,3905.508847535,4432.442580933,4432.442580933,800.0
2010-09-07,4533.417675607,4501.265777198,4822.784761284,4501.265777198,2800.0
2010-09-08,4501.265777198,4501.265777198,4662.025269241,4501.265777198,200.0
2010-09-09,4501.265777198,4372.658183564,4822.784761284,4372.658183564,200.0
