Date,Price Open,Price Low,Price High,Price Close,Volume
2006-11-28,16754.150755725,15637.20737201,17871.09413944,16530.762078982,123687.0
2006-12-04,18719.971111064,17647.705462697,18988.037523155,17647.705462697,24069.0
2006-12-05,17647.705462697,16530.762078982,18094.482816183,16530.762078982,16866.0
2006-12-08,15413.818695267,14743.652665038,15860.596048753,15748.901710382,24948.0
2006-12-13,17312.622447583,17312.622447583,17871.09413944,17424.316785954,14055.0
2006-12-14,17424.316785954,17424.316785954,17982.788477812,17871.09413944,75547.0
2006-12-15,17871.09413944,17424.316785954,17871.09413944,17759.399801069,132296.0
2006-12-18,17759.399801069,17424.316785954,17871.09413944,17424.316785954,32327.0
2006-12-20,18317.871492926,18317.871492926,19211.426199898,19211.426199898,127903.0
2006-12-21,19211.426199898,18742.309978738,19323.12053827,18764.648846412,275485.0
2006-12-22,18764.648846412,17156.250373863,18764.648846412,18317.871492926,15460.0
2006-12-25,18317.871492926,17536.011124326,18988.037523155,18988.037523155,23367.0
2006-12-26,18988.037523155,18764.648846412,19211.426199898,19211.426199898,47261.0
2006-12-28,20663.452598728,20551.758260356,21780.395982443,21780.395982443,42868.0
2007-01-05,30626.587581466,30604.248713792,33687.012452845,30671.265316814,37773.0
2007-01-08,30671.265316814,29129.883447288,33508.301511451,31274.414744021,170245.0
2007-01-09,31274.414744021,31274.414744021,34401.856218423,33195.55736401,93292.0
2007-01-11,33508.301511451,33508.301511451,34625.244895166,33508.301511451,22839.0
2007-01-12,33508.301511451,30671.265316814,34178.46754168,31274.414744021,118592.0
2007-01-16,36412.35430911,36390.015441435,40187.622946066,36412.35430911,62370.0
2007-01-17,36412.35430911,33441.284908428,36412.35430911,33441.284908428,58856.0
2007-01-18,33441.284908428,31274.414744021,33843.384526565,33843.384526565,175164.0
2007-01-19,33843.384526565,29755.371742168,33955.078864937,32391.358127736,29164.0
2007-01-22,32391.358127736,30827.637390535,33508.301511451,31497.803420764,170421.0
2007-01-23,31497.803420764,31497.803420764,33061.524157965,32279.663789364,115078.0
2007-01-25,29353.272124031,26672.608003115,29487.305330076,27253.418562646,137566.0
2007-01-29,31162.720405649,30604.248713792,31743.530965181,31743.530965181,98387.0
2007-02-01,37194.21467771,35742.188278881,40209.961813741,35742.188278881,23894.0
2007-02-02,35742.188278881,33754.029055868,37529.297692825,35072.022248652,13879.0
2007-02-06,33508.301511451,30827.637390535,33508.301511451,31721.192097507,69749.0
2007-02-07,31721.192097507,31274.414744021,32391.358127736,31721.192097507,54288.0
2007-02-08,31721.192097507,30157.471360306,32391.358127736,31051.026067278,31975.0
2007-02-28,46911.622116031,46911.622116031,51602.784327634,47135.010792774,43044.0
2007-03-01,47135.010792774,43181.031214423,48028.565499746,43181.031214423,71682.0
2007-03-06,44342.652333486,39093.018430026,47313.721734168,39093.018430026,123160.0
2007-03-08,44677.735348601,44677.735348601,45794.678732316,45571.290055573,71682.0
2007-03-12,45794.678732316,45794.678732316,48251.954176489,45794.678732316,53586.0
2007-03-13,45794.678732316,42667.237257914,48028.565499746,42667.237257914,32854.0
2007-03-14,42667.237257914,39807.862195603,43114.0146114,43114.0146114,132823.0
2007-03-16,42443.848581171,41326.905197456,45660.64552627,45660.64552627,31273.0
2007-03-19,45660.64552627,41773.682550942,46688.233439288,45347.90137883,72385.0
2007-03-20,45347.90137883,39606.812386535,45571.290055573,44208.61912744,43571.0
2007-03-21,44208.61912744,43560.791964886,44677.735348601,43784.180641629,8608.0
2007-03-22,43784.180641629,42890.625934657,45794.678732316,43560.791964886,10365.0
2007-03-23,43560.791964886,42443.848581171,43560.791964886,42443.848581171,13352.0
2007-03-26,42443.848581171,39093.018430026,43114.0146114,40209.961813741,8433.0
