Date,Price Open,Price Low,Price High,Price Close,Volume
2006-07-11,3431.336303403,3431.336303403,3431.336303403,3431.336303403,555491.0
2006-07-13,3482.55027808,3473.843902385,3482.55027808,3456.943290741,174502.0
2006-07-21,3226.480404692,3175.266430014,3226.480404692,3124.052455337,91429.0
2006-07-26,2919.196556626,2884.883193592,2919.196556626,2919.196556626,669606.0
2006-07-31,3124.052455337,3038.525117625,3124.052455337,2996.017518643,303698.0
2006-08-07,3226.480404692,3175.266430014,3226.480404692,3124.052455337,439429.0
2006-08-10,3200.873417353,3200.873417353,3226.480404692,3226.480404692,458092.0
2006-08-15,3456.943290741,3405.729316064,3456.943290741,3431.336303403,545688.0
2006-08-18,3533.764252758,3525.057877063,3533.764252758,3508.157265419,630646.0
2006-08-25,3713.01316413,3696.112552486,3713.01316413,3713.01316413,639946.0
2006-09-14,4148.33194889,4148.33194889,4148.33194889,4148.33194889,670800.0
2006-09-19,4355.124732021,4345.383005646,4355.124732021,4355.124732021,791350.0
2006-09-21,4412.42900481,4402.687278436,4412.42900481,4383.776868415,255303.0
2006-10-05,4670.298232364,4622.735685949,4670.298232364,4527.03755039,377619.0
2006-10-10,4584.34182318,4545.94796041,4584.34182318,4527.03755039,379135.0
2006-10-12,4584.34182318,4584.34182318,4584.34182318,4584.34182318,182519.0
2006-10-16,4612.993959574,4603.2522332,4612.993959574,4612.993959574,217900.0
2006-10-18,4555.689686785,4555.689686785,4584.34182318,4584.34182318,427714.0
2006-10-23,4670.298232364,4670.298232364,4670.298232364,4670.298232364,116307.0
2006-10-24,4670.298232364,4651.387822344,4670.298232364,4641.646095969,199311.0
2006-10-25,4641.646095969,4622.735685949,4641.646095969,4641.646095969,150003.0
2006-10-26,4641.646095969,4641.646095969,4641.646095969,4641.646095969,200771.0
2006-10-31,4641.646095969,4622.735685949,4641.646095969,4641.646095969,226156.0
2006-11-02,4641.646095969,4612.993959574,4641.646095969,4584.34182318,247665.0
2006-11-10,5214.688823867,5186.036687472,5300.645233051,5100.080278287,419908.0
2006-11-15,5529.86232421,5462.816325046,5587.166597,5357.949505841,651624.0
2006-11-28,6532.687098031,6399.168142431,6589.991370821,6360.774279662,1299260.0
2006-12-01,6360.774279662,6360.774279662,6418.078552451,6303.470006872,628823.0
2006-12-05,6360.774279662,6322.380416893,6360.774279662,6246.165734082,391884.0
2006-12-18,8251.815281723,8194.511008934,8251.815281723,8251.815281723,723284.0
2006-12-21,9054.07510078,8939.4665552,9054.07510078,9054.07510078,825607.0
2006-12-26,8251.815281723,8251.815281723,8652.945191251,8652.945191251,521726.0
2006-12-29,8595.640918462,8442.638510113,8595.640918462,8366.423827303,87665.0
2007-01-17,12606.940013744,12186.899694195,12606.940013744,11976.593013057,205320.0
2007-01-18,11976.593013057,11728.465511877,12377.722922585,12377.722922585,1639140.0
2007-01-25,12950.765650482,12817.246694882,13179.982741641,13179.982741641,259290.0
2007-02-06,14268.763924646,14230.370061877,14326.068197436,14326.068197436,390087.0
2007-02-07,14326.068197436,14268.763924646,14612.589561385,14326.068197436,281979.0
2007-03-05,14442.066878605,14249.698547782,14442.066878605,14153.225541033,237163.0
2007-03-13,14153.225541033,13941.215999255,14153.225541033,13517.774598374,35830.0
