Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-05,15309.252187324,12732.447363715,17886.057010933,14793.891222602,55026.0
2006-12-06,14793.891222602,14490.737713942,14854.521924334,14793.891222602,80935.0
2006-12-07,14793.891222602,14248.214907015,14854.521924334,14248.214907015,37486.0
2006-12-11,13338.754381035,13035.600872375,13338.754381035,13035.600872375,10088.0
2006-12-12,13035.600872375,12429.293855055,13035.600872375,12732.447363715,41613.0
2006-12-13,12732.447363715,12126.140346395,13338.754381035,12368.663153323,29232.0
2006-12-14,12368.663153323,11822.986837735,13035.600872375,12732.447363715,181358.0
2006-12-15,12732.447363715,12732.447363715,13035.600872375,12853.708767179,63624.0
2006-12-18,12853.708767179,12732.447363715,13338.754381035,13338.754381035,29576.0
2006-12-19,13338.754381035,12732.447363715,13945.061398355,13338.754381035,199127.0
2006-12-21,14854.521924334,13945.061398355,15278.936836458,14551.368415674,157169.0
2006-12-22,14551.368415674,13338.754381035,14551.368415674,13338.754381035,6878.0
2006-12-26,13035.600872375,13035.600872375,13338.754381035,13338.754381035,34391.0
2006-12-27,13338.754381035,13338.754381035,13945.061398355,13945.061398355,12266.0
2006-12-28,13945.061398355,13338.754381035,14248.214907015,13338.754381035,33016.0
2006-12-29,13338.754381035,13338.754381035,13641.907889695,13641.907889695,25564.0
2007-01-02,13641.907889695,13338.754381035,13945.061398355,13641.907889695,54568.0
2007-01-03,13641.907889695,13338.754381035,13945.061398355,13823.799994891,83457.0
2007-01-04,13823.799994891,13641.907889695,14975.783327798,14975.783327798,191561.0
2007-01-05,14975.783327798,14551.368415674,15582.090345118,15460.828941654,266535.0
2007-01-08,15460.828941654,15036.41402953,16067.135958974,15763.982450314,210477.0
2007-01-09,15763.982450314,15642.72104685,16127.766660706,16067.135958974,103060.0
2007-01-16,22493.990342563,22433.359640831,24737.326306647,22433.359640831,185829.0
2007-01-17,22433.359640831,21948.314026976,25464.89472743,21948.314026976,36684.0
2007-01-18,21948.314026976,20190.023676748,22433.359640831,21827.052623512,241888.0
2007-01-19,21827.052623512,21220.745606192,22130.206132172,22130.206132172,121746.0
2007-01-22,22130.206132172,19644.34736116,22433.359640831,20311.285080212,76120.0
2007-01-23,20311.285080212,20008.131571552,20735.699992336,20008.131571552,67980.0
2007-01-24,20008.131571552,18492.364028253,21827.052623512,20008.131571552,157972.0
2007-01-25,20008.131571552,19280.563150769,20614.438588872,20008.131571552,96067.0
2007-01-29,19765.608764624,19401.824554233,21342.007009656,21220.745606192,66834.0
2007-01-30,21220.745606192,20735.699992336,22372.728939099,22372.728939099,293017.0
2007-01-31,22372.728939099,21220.745606192,23464.081570275,23464.081570275,184912.0
2007-02-01,23464.081570275,21584.529816584,24252.280692791,23039.666658151,62822.0
2007-02-02,23039.666658151,21220.745606192,23039.666658151,21827.052623512,33130.0
2007-02-05,21827.052623512,21827.052623512,22736.513149491,21827.052623512,83571.0
2007-02-06,21827.052623512,20250.65437848,22433.359640831,21827.052623512,46199.0
2007-02-07,21827.052623512,20008.131571552,21827.052623512,21099.484202728,68324.0
2007-02-08,21099.484202728,19704.978062892,21402.637711388,21220.745606192,208298.0
2007-02-09,21220.745606192,20614.438588872,23039.666658151,22433.359640831,131146.0
2007-02-12,22433.359640831,20614.438588872,23039.666658151,22554.621044295,87010.0
2007-02-13,22554.621044295,22433.359640831,23342.820166811,22857.774552955,108333.0
2007-03-01,29709.043848669,29102.736831349,30921.657883308,30012.197357328,85864.0
2007-03-02,30012.197357328,27041.292972462,30012.197357328,28920.844726153,61217.0
2007-03-05,28920.844726153,28435.799112297,30315.350865988,29102.736831349,156940.0
2007-03-07,29709.043848669,29102.736831349,30921.657883308,29223.998234813,61217.0
2007-03-08,29223.998234813,29102.736831349,29709.043848669,29709.043848669,139400.0
2007-03-09,29709.043848669,29102.736831349,32134.271917948,30861.027181576,143184.0
2007-03-12,30861.027181576,30375.98156772,33043.732443927,31527.964900628,154533.0
2007-03-13,31527.964900628,30315.350865988,33346.885952587,31770.487707556,122663.0
2007-03-14,31770.487707556,29102.736831349,32134.271917948,30921.657883308,64312.0
2007-03-16,29709.043848669,28799.583322689,30861.027181576,30861.027181576,51931.0
2007-03-19,30861.027181576,29709.043848669,32134.271917948,30436.612269452,74286.0
2007-03-20,30436.612269452,27890.122796709,33831.931566443,29709.043848669,56287.0
2007-03-21,29709.043848669,26980.66227073,30315.350865988,29102.736831349,53421.0
2007-03-22,29102.736831349,28193.276305369,29466.521041741,28496.429814029,45282.0
2007-03-23,28496.429814029,27283.81577939,29102.736831349,27890.122796709,31525.0
2007-03-27,25404.264025698,22979.035956419,25707.417534358,22979.035956419,15361.0
2007-03-28,22979.035956419,20796.330694068,24252.280692791,24252.280692791,55943.0
2007-04-02,26071.20174475,24252.280692791,29345.259638277,27283.81577939,231341.0
2007-04-03,27283.81577939,25464.89472743,29345.259638277,27283.81577939,175282.0
2007-04-04,27283.81577939,26677.50876207,27829.492094977,27829.492094977,45511.0
2007-04-05,27829.492094977,26374.35525341,28496.429814029,27101.923674194,129427.0
2007-04-09,28193.276305369,27708.230691513,28496.429814029,28375.168410565,71076.0
2007-04-12,26677.50876207,25768.04823609,27283.81577939,26374.35525341,13871.0
2007-04-13,26374.35525341,24858.58771011,27223.185077658,25464.89472743,53651.0
2007-04-16,25464.89472743,23160.928061615,25525.525429162,23645.973675471,16164.0
2007-04-17,23645.973675471,22130.206132172,24252.280692791,24252.280692791,67293.0
2007-04-19,25464.89472743,25161.74121877,27283.81577939,25343.633323966,33130.0
2007-04-20,25343.633323966,24252.280692791,26071.20174475,25161.74121877,74744.0
2007-04-25,23524.712272007,23524.712272007,25464.89472743,24858.58771011,71534.0
2007-05-02,24858.58771011,24252.280692791,26071.20174475,26071.20174475,107187.0
2007-05-07,25161.74121877,24616.064903183,25161.74121877,25161.74121877,11578.0
2007-05-08,25161.74121877,24858.58771011,25464.89472743,25161.74121877,18915.0
2007-05-14,25404.264025698,24858.58771011,25768.04823609,25222.371920502,17195.0
2007-05-15,25222.371920502,25161.74121877,25464.89472743,25343.633323966,6534.0
2007-05-16,25343.633323966,25222.371920502,25464.89472743,25222.371920502,13068.0
2007-05-17,25222.371920502,24252.280692791,26071.20174475,26071.20174475,80935.0
2007-05-18,26071.20174475,25586.156130894,26738.139463802,26677.50876207,95035.0
2007-05-21,26677.50876207,26071.20174475,26980.66227073,26677.50876207,48950.0
2007-05-22,26677.50876207,26374.35525341,26798.770165534,26798.770165534,32328.0
2007-05-23,26798.770165534,26677.50876207,27586.969288049,26980.66227073,54109.0
2007-05-24,26980.66227073,26071.20174475,27283.81577939,26071.20174475,15361.0
2007-05-25,26071.20174475,26071.20174475,26677.50876207,26192.463148214,9285.0
2007-05-28,26192.463148214,26071.20174475,27283.81577939,27283.81577939,51587.0
2007-05-29,27283.81577939,26980.66227073,27586.969288049,27586.969288049,48950.0
2007-05-30,27586.969288049,27283.81577939,27586.969288049,27283.81577939,34735.0
2007-06-01,26677.50876207,26677.50876207,27283.81577939,27162.554375926,26023.0
2007-06-04,27162.554375926,26071.20174475,27283.81577939,26071.20174475,2407.0
2007-06-05,26071.20174475,26071.20174475,26677.50876207,26677.50876207,115097.0
2007-06-06,26677.50876207,26374.35525341,26677.50876207,26616.878060338,59612.0
2007-06-07,26616.878060338,25768.04823609,26677.50876207,26010.571043018,4700.0
2007-06-08,26010.571043018,25768.04823609,26677.50876207,26677.50876207,34620.0
2007-06-11,26677.50876207,26374.35525341,26859.400867266,26859.400867266,99277.0
2007-06-12,26859.400867266,26616.878060338,27283.81577939,26738.139463802,125529.0
2007-06-13,26738.139463802,26677.50876207,26859.400867266,26677.50876207,14444.0
2007-06-15,26253.093849946,26071.20174475,26859.400867266,26859.400867266,53192.0
2007-06-20,26374.35525341,26071.20174475,26374.35525341,26192.463148214,3553.0
2007-06-22,25828.678937822,24858.58771011,26071.20174475,24858.58771011,7566.0
2007-06-25,24858.58771011,24858.58771011,27768.861393245,25464.89472743,26940.0
2007-06-27,25222.371920502,24858.58771011,26071.20174475,26071.20174475,34850.0
2007-06-28,26071.20174475,24858.58771011,27283.81577939,26374.35525341,127249.0
2007-06-29,26374.35525341,26192.463148214,27890.122796709,27586.969288049,160609.0
2007-07-03,27283.81577939,26677.50876207,27405.077182853,27223.185077658,68898.0
2007-07-04,27223.185077658,26677.50876207,27586.969288049,27586.969288049,56860.0
2007-07-10,27283.81577939,27283.81577939,27586.969288049,27283.81577939,106614.0
2007-07-16,26677.50876207,26495.616656874,27586.969288049,27586.969288049,51243.0
2007-07-20,26010.571043018,25768.04823609,26071.20174475,26071.20174475,802.0
2007-07-24,25464.89472743,24858.58771011,25464.89472743,24858.58771011,3439.0
2007-07-30,25768.04823609,24858.58771011,27283.81577939,27283.81577939,116243.0
2007-07-31,27283.81577939,25222.371920502,27283.81577939,26071.20174475,231685.0
2007-08-01,26071.20174475,25404.264025698,26980.66227073,25404.264025698,38174.0
2007-08-07,26677.50876207,25646.786832626,27283.81577939,27283.81577939,130459.0
2007-08-10,26677.50876207,26677.50876207,27283.81577939,26677.50876207,114753.0
2007-08-13,26677.50876207,26071.20174475,26920.031568998,26071.20174475,1261.0
2007-08-14,26071.20174475,26071.20174475,26495.616656874,26495.616656874,1834.0
2007-08-15,26495.616656874,26071.20174475,26677.50876207,26677.50876207,2292.0
2007-08-17,26071.20174475,25586.156130894,26071.20174475,26071.20174475,7680.0
2007-08-23,25768.04823609,25464.89472743,27283.81577939,27283.81577939,50326.0
2007-09-05,25889.309639554,25161.74121877,26071.20174475,26071.20174475,3439.0
