Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-08,37656.865118854,37656.865118854,37656.865118854,37656.865118854,100.0
2010-06-17,7108.138493089,6423.932648835,7792.344337344,7792.344337344,1010.0
2010-06-18,7792.344337344,7032.115621505,8552.573053182,7032.115621505,4600.0
2010-06-23,9388.824640604,8476.550181598,10301.09909961,10301.09909961,3300.0
2010-06-25,11137.350687033,10035.019049067,12239.682324998,10035.019049067,10300.0
2010-06-29,13380.025398756,12049.625146039,14710.425651473,12049.625146039,58130.0
2010-07-02,17751.340514827,16002.814468399,19499.866561255,19499.866561255,11000.0
2010-07-05,19499.866561255,17295.203285324,21096.346864516,17295.203285324,710.0
2010-07-13,17105.146106364,15394.631495728,18815.660717001,15394.631495728,4460.0
2010-07-16,19994.01522655,18017.42056537,21970.60988773,18017.42056537,15770.0
2010-08-06,6309.898341459,5701.715368788,6309.898341459,5701.715368788,8900.0
2010-08-11,4789.440909782,4333.303680279,4789.440909782,4599.383730822,47300.0
2010-08-13,4067.223629736,3763.1321434,4181.257937111,3801.143579192,14000.0
2010-08-17,4181.257937111,4181.257937111,4561.37229503,4181.257937111,33400.0
2010-08-18,4181.257937111,4181.257937111,4485.349423447,4181.257937111,1300.0
2010-08-23,4143.246501319,3801.143579192,4219.269372903,4143.246501319,5200.0
2010-08-26,3611.086400232,3154.949170729,3839.155014984,3154.949170729,10600.0
2010-08-27,3154.949170729,3078.926299146,3268.983478105,3230.972042313,5100.0
2010-09-01,3687.109271816,3611.086400232,4067.223629736,3839.155014984,21200.0
2010-09-06,3839.155014984,3611.086400232,3839.155014984,3611.086400232,7100.0
2010-09-07,3611.086400232,3421.029221273,3991.200758152,3421.029221273,12800.0
2010-09-09,3230.972042313,2964.89199177,3497.052092857,3230.972042313,11700.0
2010-09-10,3230.972042313,3040.914863354,3230.972042313,3116.937734937,18200.0
2010-09-13,3116.937734937,3078.926299146,3421.029221273,3230.972042313,5500.0
2010-09-14,3230.972042313,3230.972042313,3535.063528649,3230.972042313,7800.0
2010-09-15,3230.972042313,3078.926299146,3345.006349689,3345.006349689,5200.0
2010-09-17,3116.937734937,3040.914863354,3230.972042313,3116.937734937,19000.0
2010-09-23,3230.972042313,3116.937734937,3306.994913897,3154.949170729,13700.0
2010-09-24,3154.949170729,3154.949170729,3230.972042313,3230.972042313,12000.0
2010-09-28,3192.960606521,3154.949170729,3192.960606521,3154.949170729,2100.0
2010-10-05,3002.903427562,2736.823377018,3040.914863354,3040.914863354,5000.0
2010-10-06,3040.914863354,2850.857684394,3230.972042313,3230.972042313,15300.0
2010-10-08,3040.914863354,3040.914863354,3116.937734937,3040.914863354,2900.0
2010-10-13,2850.857684394,2850.857684394,2926.880555978,2926.880555978,4300.0
2010-10-18,3002.903427562,2888.869120186,3078.926299146,2888.869120186,5500.0
2010-10-19,2888.869120186,2850.857684394,3040.914863354,2964.89199177,4600.0
2010-10-25,2850.857684394,2698.811941226,2964.89199177,2812.846248602,3400.0
2010-10-26,2812.846248602,2812.846248602,3002.903427562,2812.846248602,4200.0
