Date,Price Open,Price Low,Price High,Price Close,Volume
2009-06-25,30129.689934310503,29733.246645701,30526.13322292,30526.13322292,1640916.0
2009-07-03,31715.463088748,30129.689934311,31715.463088748,31715.463088748,972690.0
2009-07-06,31715.463088748,31385.093681574,33036.940717446,33036.940717446,335331.0
2009-07-08,31385.093681574,30129.689934311,31385.093681574,30658.28098579,226586.0
2009-07-09,30658.28098579,30063.616052876,32177.980258793,30658.28098579,363262.0
2009-07-15,26363.478692522,25768.813759608,27090.291388306,26099.183166782,414815.0
2009-07-16,26099.183166782,26099.183166782,27288.51303261,26495.626455392,512483.0
2009-07-17,26495.626455392,25636.665996738,26759.921981131,26231.330929652,195027.0
2009-07-21,24975.927182389,24183.040605171,24975.927182389,24447.33613091,382191.0
2009-07-22,24447.33613091,24249.114486605,24777.705538085,24315.18836804,257135.0
2009-07-23,24315.18836804,23588.375672257,25504.518233868,25504.518233868,333958.0
2009-07-27,26759.921981131,25438.444352434,28081.399609829,27949.251846959,590785.0
2009-07-29,26759.921981131,26429.552573957,26958.143625436,26429.552573957,270446.0
2009-07-30,26429.552573957,25570.592115303,26429.552573957,26099.183166782,250134.0
2009-08-03,27354.586914045,27090.291388306,28081.399609829,27354.586914045,194261.0
2009-08-05,28411.769017004,27751.030202655,28940.360068483,28940.360068483,324882.0
2009-08-06,28940.360068483,27751.030202655,29072.507831353,27751.030202655,475156.0
2009-08-07,27751.030202655,26429.552573957,27751.030202655,27090.291388306,369593.0
2009-08-10,27090.291388306,27090.291388306,27751.030202655,27486.734676915,120587.0
2009-08-11,27486.734676915,26429.552573957,27486.734676915,27156.365269741,435563.0
2009-08-12,27156.365269741,26693.848099696,27486.734676915,27222.439151176,404600.0
2009-08-13,27222.439151176,26759.921981131,28345.695135569,27618.882439785,635518.0
2009-08-14,27618.882439785,26958.143625436,27751.030202655,27222.439151176,156562.0
2009-08-19,26561.700336827,25768.813759608,26693.848099696,26561.700336827,595244.0
2009-08-20,26561.700336827,26099.183166782,26561.700336827,26099.183166782,115639.0
2009-08-21,26099.183166782,25570.592115303,27024.217506871,25636.665996738,718906.0
2009-08-26,28213.547372699,27090.291388306,28411.769017004,27288.51303261,366912.0
2009-08-31,26825.995862566,26561.700336827,27420.66079548,27024.217506871,343524.0
2009-09-03,26892.069744001,25636.665996738,26892.069744001,25834.887641043,802188.0
2009-09-04,25834.887641043,25768.813759608,26297.404811087,25768.813759608,281746.0
2009-09-09,25042.001063824,24447.33613091,25108.074945259,24447.33613091,399184.0
2009-09-10,24447.33613091,24183.040605171,24447.33613091,24183.040605171,282800.0
2009-09-11,24183.040605171,24116.966723736,24447.33613091,24183.040605171,292184.0
2009-09-14,24183.040605171,24116.966723736,24777.705538085,24447.33613091,264445.0
2009-09-15,24447.33613091,24183.040605171,24513.410012345,24249.114486605,223724.0
2009-09-16,24249.114486605,24249.114486605,24777.705538085,24645.557775215,395311.0
2009-09-17,24645.557775215,24381.262249475,25042.001063824,24381.262249475,251751.0
2009-09-18,24381.262249475,24183.040605171,24777.705538085,24777.705538085,365007.0
2009-09-23,24711.63165665,24513.410012345,24975.927182389,24513.410012345,229427.0
2009-09-25,24183.040605171,23852.671197996,24447.33613091,24315.18836804,321499.0
2009-09-28,24315.18836804,23786.597316561,24315.18836804,23852.671197996,300399.0
2009-09-29,23852.671197996,23654.449553691,24315.18836804,24315.18836804,373328.0
2009-09-30,24315.18836804,23654.449553691,25240.222708129,25240.222708129,649808.0
2009-10-05,22861.562976473,22134.750280689,23390.154027952,22266.898043559,258678.0
2009-10-06,22266.898043559,22200.824162124,22993.710739342,22399.045806428,134558.0
2009-10-08,22993.710739342,22729.415213603,23125.858502212,23125.858502212,204710.0
2009-10-09,23125.858502212,23125.858502212,23654.449553691,23258.006265082,214776.0
2009-10-12,23258.006265082,23258.006265082,23720.523435126,23522.301790822,295738.0
2009-10-14,23125.858502212,23125.858502212,23522.301790822,23456.227909387,373562.0
2009-10-15,23456.227909387,23258.006265082,24116.966723736,23522.301790822,365156.0
