Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-25,8847.674835625,5785.018161755,11910.331509495,6805.903719712,71519.0
2009-11-26,6805.903719712,6397.549496529,7316.34649869,6397.549496529,64736.0
2009-12-14,4355.778380615,4151.601269024,4628.014529404,4628.014529404,3570.0
2009-12-16,4798.162122397,4491.89645501,5036.368752587,5036.368752587,12852.0
2009-12-24,6125.31334774,6057.254310543,6363.51997793,6057.254310543,6545.0
2009-12-29,6601.72660812,6295.460940733,6737.844682514,6295.460940733,8806.0
2009-12-30,6295.460940733,6023.224791945,6465.608533726,6023.224791945,1309.0
2010-01-06,7282.316980091,7214.257942894,7554.55312888,7418.435054486,28917.0
2010-01-11,7112.169387099,6805.903719712,7180.228424296,6805.903719712,4760.0
2010-01-12,6805.903719712,6805.903719712,6805.903719712,6805.903719712,2380.0
2010-01-13,6805.903719712,6329.490459332,6805.903719712,6805.903719712,4284.0
2010-01-15,6465.608533726,6465.608533726,6805.903719712,6465.608533726,357.0
2010-01-19,6295.460940733,6227.401903536,6635.756126719,6635.756126719,40103.0
2010-01-26,6499.638052325,6057.254310543,6805.903719712,6057.254310543,1785.0
2010-02-01,6295.460940733,6295.460940733,6295.460940733,6295.460940733,2380.0
2010-02-26,6431.579015127,5989.195273346,6873.962756909,6635.756126719,1547.0
2010-03-03,7146.198905697,6805.903719712,7316.34649869,7146.198905697,12852.0
2010-03-05,7486.494091683,7486.494091683,7724.700721873,7656.641684675,18802.0
2010-03-08,7656.641684675,7588.582647478,7792.75975907,7588.582647478,3094.0
2010-03-11,8128.058275178,7912.26911743,8271.917713677,8271.917713677,34867.0
2010-03-18,8092.093415553,7552.620521183,8092.093415553,7552.620521183,9044.0
2010-03-26,7300.86650381,7228.936784561,7552.620521183,7552.620521183,18921.0
2010-03-29,7552.620521183,7408.761082684,7552.620521183,7408.761082684,714.0
2010-04-02,7840.33939818,7300.86650381,8056.128555929,8056.128555929,8806.0
2010-04-05,8056.128555929,7912.26911743,8092.093415553,7912.26911743,6545.0
2010-04-07,7912.26911743,7912.26911743,7912.26911743,7912.26911743,11305.0
2010-04-22,7696.479959682,7444.725942309,8199.987994427,7912.26911743,4760.0
2010-04-29,8415.777152175,7912.26911743,8703.496029173,7912.26911743,7140.0
2010-05-05,8631.566309923,8631.566309923,9242.968923543,9242.968923543,50456.0
2010-05-11,10969.282185528,10861.387606654,11041.211904777,10969.282185528,10353.0
2010-05-13,11472.790220273,10717.528168155,12299.981991641,12299.981991641,44863.0
2010-05-28,11149.106483651,10969.282185528,11149.106483651,11113.141624026,14875.0
2010-06-01,11868.403676145,11868.403676145,11868.403676145,11868.403676145,2380.0
2010-06-03,11041.211904777,10285.949852659,11796.473956895,10285.949852659,25109.0
2010-06-04,10285.949852659,10214.020133409,10285.949852659,10214.020133409,13209.0
2010-06-07,10214.020133409,10214.020133409,10214.020133409,10214.020133409,7140.0
2010-06-09,10214.020133409,10214.020133409,10897.352466278,10897.352466278,9520.0
2010-06-10,10897.352466278,10609.633589281,11328.930781775,11328.930781775,39865.0
2010-06-15,11904.368535769,11508.755079898,12228.052272392,11508.755079898,14875.0
2010-06-17,11796.473956895,11796.473956895,11868.403676145,11796.473956895,21420.0
2010-06-18,11796.473956895,11724.544237646,11796.473956895,11796.473956895,21420.0
2010-06-23,11796.473956895,11508.755079898,11796.473956895,11796.473956895,60333.0
2010-06-29,12335.946851266,11688.579378021,12911.38460526,11688.579378021,17850.0
2010-07-09,13630.681797754,12767.525166762,14385.943849872,12767.525166762,1309.0
2010-07-15,12012.263114643,11185.071343276,12012.263114643,11221.0362029,2856.0
2010-07-19,10789.457887404,10321.914712283,10789.457887404,10789.457887404,1428.0
2010-07-21,10789.457887404,10393.844431533,11113.141624026,11113.141624026,12733.0
2010-07-26,11149.106483651,10465.774150782,11508.755079898,10465.774150782,7854.0
2010-08-03,10681.56330853,10681.56330853,10681.56330853,10681.56330853,595.0
2010-09-20,8775.425748422,8775.425748422,8775.425748422,8775.425748422,23443.0
2010-09-22,8775.425748422,8775.425748422,8775.425748422,8775.425748422,5950.0
2010-10-15,8371.42552314,8371.42552314,8371.42552314,8371.42552314,1000.0
2010-10-28,7670.154275129,7188.030292121,7845.472087132,7188.030292121,700.0
2010-11-18,5697.828890096,5303.363813089,6092.293967102,5303.363813089,400.0
2010-11-23,5873.146702099,5434.852172091,5916.976155099,5916.976155099,2500.0
2010-11-30,5259.534360088,5259.534360088,5610.169984094,5610.169984094,600.0
2010-12-09,6311.441232106,5916.976155099,6355.270685107,6355.270685107,4000.0
2010-12-10,6355.270685107,6355.270685107,6355.270685107,6355.270685107,2000.0
2010-12-13,6355.270685107,5916.976155099,6574.41795011,5916.976155099,2500.0
2010-12-14,5916.976155099,5916.976155099,5916.976155099,5916.976155099,2000.0
2010-12-21,5697.828890096,5303.363813089,6092.293967102,5303.363813089,300.0
2010-12-24,5873.146702099,5873.146702099,5873.146702099,5873.146702099,100.0
2012-06-22,3136.716682334,3040.202322877,3329.745401247,3040.202322877,500.0
2012-07-02,2219.830267498,2219.830267498,2219.830267498,2219.830267498,100.0
2012-07-13,2412.858986411,2268.087447226,2412.858986411,2268.087447226,1100.0
2012-08-01,2268.087447226,2123.315908041,2412.858986411,2412.858986411,200.0
2012-08-17,2364.601806682,2268.087447226,2509.373345867,2509.373345867,200.0
2012-10-03,2171.57308777,2171.57308777,2171.57308777,2171.57308777,1000.0
2012-10-11,2026.801548585,2026.801548585,2026.801548585,2026.801548585,1600.0
2012-11-12,1930.287189129,1930.287189129,1930.287189129,1930.287189129,1000.0
2012-12-04,2509.373345867,2509.373345867,2509.373345867,2509.373345867,100.0
2012-12-11,2654.144885052,2654.144885052,2654.144885052,2654.144885052,500.0
2012-12-26,2798.916424236,2798.916424236,2798.916424236,2798.916424236,4500.0
2013-01-08,2605.887705323,2605.887705323,2605.887705323,2605.887705323,100.0
2013-01-10,2461.116166139,2461.116166139,2461.116166139,2461.116166139,100.0
2013-01-21,2509.373345867,2509.373345867,2509.373345867,2509.373345867,100.0
2013-02-18,2750.659244508,2750.659244508,2750.659244508,2750.659244508,200.0
2013-02-19,2509.373345867,2509.373345867,2509.373345867,2509.373345867,500.0
2013-02-21,2750.659244508,2750.659244508,2750.659244508,2750.659244508,100.0
2013-02-22,2991.945143149,2991.945143149,2991.945143149,2991.945143149,1100.0
2013-02-25,3281.488221518,3281.488221518,3281.488221518,3281.488221518,100.0
2013-02-26,2991.945143149,2991.945143149,2991.945143149,2991.945143149,100.0
2013-02-27,2798.916424236,2798.916424236,2798.916424236,2798.916424236,100.0
2013-03-05,2605.887705323,2605.887705323,3040.202322877,3040.202322877,300.0
2013-03-06,2750.659244508,2750.659244508,2750.659244508,2750.659244508,100.0
2013-03-08,2509.373345867,2509.373345867,2991.945143149,2991.945143149,600.0
2013-03-12,2750.659244508,2750.659244508,2750.659244508,2750.659244508,100.0
2013-03-13,2991.945143149,2991.945143149,2991.945143149,2991.945143149,600.0
2013-03-14,3281.488221518,3281.488221518,3281.488221518,3281.488221518,100.0
2013-03-20,3281.488221518,3281.488221518,3281.488221518,3281.488221518,500.0
2013-03-21,3378.002580975,3378.002580975,3378.002580975,3378.002580975,900.0
2013-03-25,3704.907251684,3704.907251684,3704.907251684,3704.907251684,100.0
2013-03-26,3977.326902544,3378.003670653,4031.810832715,3378.003670653,4300.0
2013-03-29,3378.003670653,3378.003670653,3378.003670653,3378.003670653,50000.0
2013-04-01,3105.584019794,3105.584019794,3704.907251684,3704.907251684,200.0
2013-04-04,3378.003670653,3378.003670653,3378.003670653,3378.003670653,100.0
2013-04-08,3051.100089623,3051.100089623,3051.100089623,3051.100089623,100.0
2013-04-26,2833.164368935,2833.164368935,2833.164368935,2833.164368935,200.0
2013-05-08,2615.228648248,2615.228648248,2615.228648248,2615.228648248,100.0
2013-06-12,2397.292927561,2397.292927561,2397.292927561,2397.292927561,100.0
2013-07-15,2615.228648248,2615.228648248,2615.228648248,2615.228648248,200.0
2013-07-22,2833.164368935,2833.164368935,2833.164368935,2833.164368935,200.0
2013-07-26,2615.228648248,2615.228648248,2615.228648248,2615.228648248,100.0
2013-08-14,2451.776857732,2451.776857732,2451.776857732,2451.776857732,100.0
2013-10-01,2451.776857732,2451.776857732,2451.776857732,2451.776857732,200.0
2013-10-29,2669.71257842,2669.71257842,2669.71257842,2669.71257842,100.0
2013-10-30,2887.648299107,2887.648299107,2887.648299107,2887.648299107,100.0
2013-10-31,3160.067949966,3160.067949966,3160.067949966,3160.067949966,100.0
2013-11-01,3432.487600825,3432.487600825,3432.487600825,3432.487600825,100.0
2013-11-04,3759.391181856,3759.391181856,3759.391181856,3759.391181856,100.0
2013-11-05,4086.294762887,4086.294762887,4086.294762887,4086.294762887,100.0
2013-11-06,4467.68227409,4467.68227409,4467.68227409,4467.68227409,100.0
2013-11-07,4903.553715465,4903.553715465,4903.553715465,4903.553715465,100.0
2013-11-08,5339.425156839,5339.425156839,5393.909087011,5393.909087011,200.0
2013-11-11,5448.393017183,5448.393017183,5448.393017183,5448.393017183,100.0
2013-11-12,5448.393017183,5448.393017183,5448.393017183,5448.393017183,100.0
2013-11-14,4903.553715465,4903.553715465,5339.425156839,5339.425156839,500.0
2013-11-18,4849.069785293,4849.069785293,5339.425156839,5339.425156839,400.0
2013-11-19,4958.037645637,4958.037645637,4958.037645637,4958.037645637,100.0
2013-11-20,4685.617994777,4685.617994777,4685.617994777,4685.617994777,100.0
2013-11-21,5121.489436152,5121.489436152,5121.489436152,5121.489436152,100.0
2013-11-26,4631.134064606,4631.134064606,5121.489436152,4685.617994777,300.0
2013-11-29,4304.230483575,4304.230483575,4304.230483575,4304.230483575,100.0
2013-12-05,4685.617994777,4685.617994777,4685.617994777,4685.617994777,100.0
2013-12-06,5121.489436152,5121.489436152,5121.489436152,5121.489436152,100.0
2013-12-10,4958.037645637,4958.037645637,4958.037645637,4958.037645637,100.0
2013-12-11,5448.393017183,5448.393017183,5448.393017183,5448.393017183,100.0
2013-12-12,5339.425156839,5339.425156839,5339.425156839,5339.425156839,200.0
2013-12-23,5502.876947355,5502.876947355,5502.876947355,5502.876947355,100.0
2013-12-24,5611.844807699,5121.489436152,5611.844807699,5121.489436152,1300.0
2013-12-26,5339.425156839,5121.489436152,5339.425156839,5121.489436152,400.0
2013-12-27,5611.844807699,5611.844807699,5611.844807699,5611.844807699,100.0
2013-12-30,5067.00550598,5067.00550598,5067.00550598,5067.00550598,100.0
2013-12-31,4576.650134434,4576.650134434,5502.876947355,5502.876947355,200.0
2014-01-02,4958.037645637,4958.037645637,4958.037645637,4958.037645637,100.0
2014-01-06,5448.393017183,5448.393017183,5448.393017183,5448.393017183,100.0
2014-01-09,5448.393017183,5448.393017183,5448.393017183,5448.393017183,200.0
2014-01-10,5284.941226668,5230.457296496,5284.941226668,5230.457296496,500.0
2014-01-20,5720.812668042,5720.812668042,5720.812668042,5720.812668042,200.0
2014-01-23,5230.457296496,5230.457296496,5339.425156839,5339.425156839,900.0
2014-02-06,4903.553715465,4903.553715465,4903.553715465,4903.553715465,100.0
2014-02-07,5393.909087011,5393.909087011,5393.909087011,5393.909087011,100.0
2014-02-10,4958.037645637,4958.037645637,5884.264458558,5884.264458558,800.0
2014-02-13,5339.425156839,5339.425156839,5993.232318901,5993.232318901,200.0
2014-02-14,6047.716249073,6047.716249073,6156.684109417,6156.684109417,400.0
2014-02-17,6156.684109417,6156.684109417,6265.65196976,6265.65196976,600.0
2014-02-18,6320.135899932,6320.135899932,6320.135899932,6320.135899932,300.0
2014-02-19,6374.619830104,6374.619830104,6538.07162062,6538.07162062,200.0
2014-02-20,6810.491271479,6810.491271479,7191.878782682,7191.878782682,300.0
2014-02-21,6592.555550791,6592.555550791,6592.555550791,6592.555550791,100.0
2014-02-24,6756.007341307,6756.007341307,6756.007341307,6756.007341307,200.0
2014-02-25,7082.910922338,6810.491271479,7409.814503369,7409.814503369,300.0
2014-02-27,6864.975201651,6864.975201651,7355.330573197,7355.330573197,300.0
2014-02-28,6647.039480963,6647.039480963,6647.039480963,6647.039480963,100.0
2014-03-03,6810.491271479,6810.491271479,6810.491271479,6810.491271479,100.0
2014-03-04,6647.039480963,6156.684109417,6647.039480963,6156.684109417,200.0
2014-03-05,6756.007341307,6756.007341307,6756.007341307,6756.007341307,100.0
2014-03-06,7082.910922338,7082.910922338,7082.910922338,7082.910922338,300.0
