Date,Price Open,Price Low,Price High,Price Close,Volume
2001-10-22,7618.118530234,7618.118530234,7618.118530234,7618.118530234,1925.0
2001-12-17,10822.78831786,10822.78831786,10822.78831786,10822.78831786,5095.0
2001-12-24,10822.78831786,10822.78831786,10822.78831786,10822.78831786,5322.0
2002-02-22,8462.502639664,8462.502639664,8462.502639664,8462.502639664,10757.0
2002-03-21,7052.085533053,7052.085533053,7052.085533053,7052.085533053,6794.0
2002-03-29,7282.357713724,7282.357713724,7282.357713724,7282.357713724,11550.0
2002-04-02,7397.49380406,7397.49380406,7397.49380406,7397.49380406,11776.0
2002-04-08,7080.869555637,7080.869555637,7080.869555637,7080.869555637,7134.0
2002-04-19,7196.005645973,7196.005645973,7196.005645973,7196.005645973,5209.0
2002-05-09,7397.49380406,7397.49380406,7397.49380406,7397.49380406,6454.0
2002-05-10,7397.49380406,7397.49380406,7397.49380406,7397.49380406,7813.0
2002-05-13,7397.49380406,7397.49380406,7397.49380406,7397.49380406,792.0
2002-05-15,7311.141736308,7311.141736308,7311.141736308,7311.141736308,1019.0
2002-05-16,7311.141736308,7311.141736308,7311.141736308,7311.141736308,3283.0
2002-05-17,7311.141736308,7311.141736308,7311.141736308,7311.141736308,5322.0
2002-05-20,7311.141736308,7311.141736308,7311.141736308,7311.141736308,1925.0
2002-05-28,7311.141736308,7311.141736308,7311.141736308,7311.141736308,2151.0
2002-05-29,7311.141736308,7311.141736308,7311.141736308,7311.141736308,679.0
2002-06-03,7339.925758892,7339.925758892,7339.925758892,7339.925758892,2264.0
2002-06-11,7167.221623389,7167.221623389,7167.221623389,7167.221623389,679.0
2002-06-26,6879.38139755,6879.38139755,6879.38139755,6879.38139755,4529.0
2002-06-28,6764.245307214,6764.245307214,6764.245307214,6764.245307214,1019.0
2002-07-01,6764.245307214,6764.245307214,6764.245307214,6764.245307214,792.0
2002-07-08,6677.893239463,6677.893239463,6677.893239463,6677.893239463,679.0
2002-07-09,6677.893239463,6677.893239463,6677.893239463,6677.893239463,339.0
2002-07-11,6591.541171711,6591.541171711,6591.541171711,6591.541171711,3850.0
2002-07-12,6591.541171711,6591.541171711,6591.541171711,6591.541171711,1811.0
2002-07-16,6476.405081375,6476.405081375,6476.405081375,6476.405081375,2830.0
2002-07-22,6214.914762362,6214.914762362,6214.914762362,6214.914762362,3170.0
2002-07-29,6422.078587774,6422.078587774,6422.078587774,6422.078587774,679.0
2002-08-09,6244.509594563,6244.509594563,6244.509594563,6244.509594563,4642.0
2002-08-12,6244.509594563,6244.509594563,6244.509594563,6244.509594563,2378.0
2002-08-13,6244.509594563,6244.509594563,6244.509594563,6244.509594563,4303.0
2002-08-22,6274.104426765,6274.104426765,6274.104426765,6274.104426765,3397.0
2002-08-23,6274.104426765,6274.104426765,6274.104426765,6274.104426765,452.0
2002-08-26,6274.104426765,6274.104426765,6274.104426765,6274.104426765,679.0
2002-08-29,6362.88892337,6362.88892337,6362.88892337,6362.88892337,226.0
