Date,Price Open,Price Low,Price High,Price Close,Volume
2006-08-07,6318.000365729,6318.000365729,6318.000365729,6318.000365729,19501.0
2006-08-09,6156.000356351,6156.000356351,6463.800374169,6463.800374169,8615.0
2006-08-16,7452.000431373,7452.000431373,7533.000436061,7533.000436061,34411.0
2006-08-17,7533.000436061,7533.000436061,7614.00044075,7614.00044075,78252.0
2006-08-18,7614.00044075,7533.000436061,7614.00044075,7533.000436061,38632.0
2006-08-21,7533.000436061,7452.000431373,7533.000436061,7452.000431373,16539.0
2006-08-22,7452.000431373,7079.400409804,7452.000431373,7079.400409804,14317.0
2006-08-23,7079.400409804,6966.00040324,7290.000421995,7290.000421995,17625.0
2006-08-25,7387.200427622,7371.000426684,7387.200427622,7371.000426684,765.0
2006-08-28,7371.000426684,7371.000426684,7371.000426684,7371.000426684,1234.0
2006-08-30,7322.400423871,7290.000421995,7322.400423871,7290.000421995,20760.0
2006-08-31,7290.000421995,6966.00040324,7371.000426684,7290.000421995,15058.0
2006-09-01,7290.000421995,7290.000421995,7290.000421995,7290.000421995,16193.0
2006-09-05,7290.000421995,7290.000421995,7533.000436061,7533.000436061,74327.0
2006-09-06,7533.000436061,7290.000421995,7533.000436061,7290.000421995,43940.0
2006-09-07,7290.000421995,7128.000412617,7290.000421995,7128.000412617,12811.0
2006-09-08,7128.000412617,7128.000412617,7273.800421057,7160.400414493,16391.0
2006-09-12,7241.400419182,7241.400419182,7241.400419182,7241.400419182,16317.0
2006-09-18,7290.000421995,7290.000421995,7306.200422933,7290.000421995,5801.0
2006-09-20,7452.000431373,7371.000426684,7452.000431373,7452.000431373,23080.0
2006-09-21,7452.000431373,7290.000421995,7452.000431373,7290.000421995,21426.0
2006-09-25,7533.000436061,7533.000436061,7776.000450128,7533.000436061,123254.0
2006-09-26,7533.000436061,7533.000436061,7549.200436999,7549.200436999,78499.0
2006-09-27,7549.200436999,7516.800435124,7549.200436999,7533.000436061,55394.0
2006-09-28,7533.000436061,7452.000431373,7533.000436061,7452.000431373,84374.0
2006-09-29,7452.000431373,7403.400428559,7452.000431373,7403.400428559,49864.0
2006-10-03,7452.000431373,7452.000431373,7452.000431373,7452.000431373,84843.0
2006-10-04,7452.000431373,7452.000431373,7533.000436061,7452.000431373,9331.0
2006-10-05,7452.000431373,7387.200427622,7452.000431373,7387.200427622,27153.0
2006-10-10,7371.000426684,7371.000426684,7371.000426684,7371.000426684,25327.0
2006-10-11,7371.000426684,7322.400423871,7371.000426684,7371.000426684,38459.0
2006-10-12,7371.000426684,7371.000426684,7387.200427622,7371.000426684,3727.0
2006-10-13,7371.000426684,7306.200422933,7371.000426684,7306.200422933,7158.0
2006-10-17,7290.000421995,7160.400414493,7290.000421995,7290.000421995,74303.0
2006-10-18,7290.000421995,7209.000417306,7290.000421995,7209.000417306,2468.0
2006-10-19,7209.000417306,7209.000417306,7290.000421995,7209.000417306,15798.0
2006-10-20,7209.000417306,7209.000417306,7290.000421995,7290.000421995,10244.0
2006-10-23,7290.000421995,7290.000421995,7290.000421995,7290.000421995,4443.0
2006-10-25,7128.000412617,7128.000412617,7128.000412617,7128.000412617,246.0
2006-10-26,7128.000412617,7128.000412617,7128.000412617,7128.000412617,0.0
2006-10-31,6836.400395738,6561.000379795,6966.00040324,6966.00040324,25450.0
2006-11-01,6966.00040324,6966.00040324,6966.00040324,6966.00040324,8269.0
2006-11-06,6804.000393862,6739.200390111,6804.000393862,6804.000393862,4640.0
2006-11-07,6804.000393862,6804.000393862,6836.400395738,6804.000393862,12589.0
2006-11-08,6804.000393862,6804.000393862,6804.000393862,6804.000393862,2715.0
2006-11-09,6804.000393862,6787.800392924,6804.000393862,6787.800392924,16835.0
2006-11-10,6787.800392924,6787.800392924,6787.800392924,6787.800392924,3209.0
2006-11-13,6787.800392924,6723.000389173,6787.800392924,6723.000389173,246.0
2006-11-14,6723.000389173,6723.000389173,6723.000389173,6723.000389173,1086.0
2006-11-15,6723.000389173,6723.000389173,7047.000407928,6804.000393862,18958.0
2006-11-17,6966.00040324,6836.400395738,6966.00040324,6836.400395738,617.0
2006-11-21,6642.000384484,6625.800383547,6642.000384484,6625.800383547,9874.0
2006-11-24,6480.000375107,6480.000375107,6804.000393862,6642.000384484,19575.0
2006-11-27,6642.000384484,6480.000375107,6804.000393862,6480.000375107,30807.0
2006-11-28,6480.000375107,6480.000375107,6642.000384484,6642.000384484,4937.0
2006-11-30,6480.000375107,6318.000365729,6480.000375107,6480.000375107,3924.0
2006-12-01,6480.000375107,6334.200366667,6480.000375107,6480.000375107,7899.0
2006-12-04,6480.000375107,6480.000375107,6625.800383547,6625.800383547,5430.0
2006-12-05,6625.800383547,6318.000365729,6625.800383547,6318.000365729,5924.0
2006-12-06,6318.000365729,6318.000365729,6399.000370418,6318.000365729,8318.0
2006-12-07,6318.000365729,6318.000365729,6318.000365729,6318.000365729,16662.0
2006-12-08,6318.000365729,6318.000365729,6318.000365729,6318.000365729,1234.0
2006-12-11,6318.000365729,6318.000365729,6415.200371356,6415.200371356,22488.0
2006-12-12,6415.200371356,6253.200361978,6415.200371356,6253.200361978,17353.0
2006-12-13,6253.200361978,5994.000346974,6253.200361978,6253.200361978,46778.0
2006-12-20,6658.200385422,6658.200385422,6723.000389173,6723.000389173,21180.0
2006-12-21,6723.000389173,6723.000389173,6723.000389173,6723.000389173,18390.0
2006-12-22,6723.000389173,6399.000370418,6723.000389173,6399.000370418,13083.0
2006-12-26,6156.000356351,6156.000356351,6318.000365729,6318.000365729,20242.0
2006-12-27,6318.000365729,6318.000365729,6480.000375107,6480.000375107,5307.0
2006-12-28,6480.000375107,6480.000375107,6561.000379795,6561.000379795,20513.0
2007-01-02,6804.000393862,6804.000393862,6804.000393862,6804.000393862,5060.0
2007-01-03,6804.000393862,6480.000375107,6804.000393862,6480.000375107,5035.0
2007-01-04,6480.000375107,6350.400367605,6723.000389173,6723.000389173,6220.0
2007-01-05,6723.000389173,6674.40038636,6723.000389173,6674.40038636,6516.0
2007-01-09,6804.000393862,6804.000393862,6966.00040324,6804.000393862,23154.0
2007-01-10,6804.000393862,6658.200385422,6804.000393862,6723.000389173,16563.0
2007-01-11,6723.000389173,6723.000389173,6723.000389173,6723.000389173,11256.0
2007-01-12,6723.000389173,6723.000389173,6723.000389173,6723.000389173,14292.0
2007-01-15,6723.000389173,6399.000370418,6723.000389173,6399.000370418,59220.0
2007-01-16,6399.000370418,6399.000370418,6690.600387298,6690.600387298,14317.0
2007-01-18,6755.400391049,6755.400391049,6804.000393862,6804.000393862,14811.0
2007-01-19,6804.000393862,6804.000393862,6933.600401364,6804.000393862,51543.0
2007-01-22,6804.000393862,6804.000393862,7144.200413555,6820.2003948,41298.0
2007-01-29,7614.00044075,7290.000421995,7954.200460443,7954.200460443,34929.0
2007-01-31,7938.000459506,7614.00044075,8262.000478261,8262.000478261,97186.0
2007-02-08,10206.000590793,10206.000590793,10692.000618926,10692.000618926,139349.0
2007-02-09,10692.000618926,10206.000590793,10692.000618926,10206.000590793,25376.0
2007-02-13,10692.000618926,10692.000618926,11178.000647059,10692.000618926,31819.0
2007-02-14,10692.000618926,10692.000618926,10692.000618926,10692.000618926,33572.0
2007-02-27,11664.000675192,11664.000675192,12231.000708014,12231.000708014,5159.0
