Date,Price Open,Price Low,Price High,Price Close,Volume
2010-01-18,5771.482320375,5600.052152443,5942.912488307,5600.052152443,4724.0
2010-01-19,5600.052152443,5600.052152443,5600.052152443,5600.052152443,419.0
2010-01-26,4548.613789127,4251.468164712,4822.902057818,4571.471144852,26774.0
2010-02-02,3862.8931174,3657.176915881,3885.750473124,3885.750473124,7454.0
2010-02-03,3885.750473124,3862.8931174,4068.609318918,4068.609318918,6929.0
2010-02-12,4342.897587609,4342.897587609,4594.328500576,4342.897587609,1679.0
2010-02-25,4182.896097539,4160.038741815,4365.754943333,4205.753453263,8294.0
2010-03-05,4274.325520436,4068.609318918,4274.325520436,4274.325520436,524.0
2010-03-09,4114.324030366,4000.037251745,4114.324030366,4114.324030366,1574.0
2010-03-11,4091.466674642,4045.751963194,4160.038741815,4160.038741815,4409.0
2010-03-12,4160.038741815,4137.181386091,4205.753453263,4205.753453263,2309.0
2010-03-15,4205.753453263,4182.896097539,4274.325520436,4251.468164712,40214.0
2010-03-18,4114.324030366,4114.324030366,4114.324030366,4114.324030366,2834.0
2010-03-19,4114.324030366,4000.037251745,4114.324030366,4000.037251745,2729.0
2010-03-23,4114.324030366,4091.466674642,4114.324030366,4091.466674642,7559.0
2010-03-25,4114.324030366,3977.179896021,4114.324030366,3977.179896021,10604.0
2010-04-01,4114.324030366,4114.324030366,4114.324030366,4114.324030366,1364.0
2010-04-08,4228.610808988,4114.324030366,4228.610808988,4228.610808988,26354.0
2010-04-09,4228.610808988,4114.324030366,4228.610808988,4228.610808988,15644.0
2010-04-15,4960.046192164,4731.472634921,4960.046192164,4800.044702094,22784.0
2010-04-16,4800.044702094,4800.044702094,5074.332970785,5074.332970785,73184.0
2010-04-22,6034.341911204,5622.909508167,6445.774314241,5805.768353962,76334.0
2010-04-26,5805.768353962,5485.765373822,5828.625709686,5714.338931065,85889.0
2010-04-27,5714.338931065,5567.817420012,5860.860442117,5616.657923696,27719.0
2010-04-28,5616.657923696,5616.657923696,5714.338931065,5714.338931065,14384.0
2010-04-29,5714.338931065,5714.338931065,6056.222456855,6056.222456855,110879.0
2010-05-07,7301.655300805,6813.250263962,7326.075552647,6813.250263962,115919.0
