Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-04,3684.572611323501,3070.477176103,4298.668046544,4088.121040182,1247994.0
2009-11-12,5325.084702555,4956.627441423,5693.541963687,5219.811199374,753183.0
2009-11-13,5219.811199374,4903.990689832,5570.722876643,5175.947239716,846620.0
2009-11-16,5175.947239716,4860.126730174,5465.449373462,5088.219320398,588247.0
2009-11-18,4649.579723812,4386.395965861,5035.582568808,5026.809776876,799496.0
2009-11-23,5254.902367101,4982.945817218,5605.81404437,5088.219320398,316061.0
2009-11-24,5088.219320398,4947.854649491,5096.99211233,4947.854649491,425747.0
2009-11-25,4947.854649491,4667.125307676,5000.491401081,4667.125307676,254311.0
2009-11-27,4360.077590066,4061.802664387,4430.259925519,4061.802664387,454997.0
2009-11-30,4061.802664387,3833.710074162,4395.168757792,4395.168757792,240498.0
2009-12-01,4395.168757792,4386.395965861,4623.261348017,4386.395965861,232373.0
2009-12-02,4386.395965861,4210.940127226,4386.395965861,4210.940127226,159249.0
2009-12-03,4210.940127226,3965.301953138,4246.031294953,3991.620328933,115374.0
2009-12-04,3991.620328933,3737.209362913,4202.167335295,4158.303375636,17874.0
2009-12-08,4368.850381997,4316.213630407,4561.851804495,4333.75921427,26812.0
2009-12-09,4333.75921427,4096.893832114,4333.75921427,4096.893832114,9749.0
2009-12-10,4096.893832114,4000.393120865,4596.942972222,4000.393120865,102374.0
2009-12-14,3763.527738708,3500.343980757,3816.164490299,3500.343980757,294936.0
2009-12-15,3500.343980757,3281.024182464,3509.116772689,3281.024182464,142999.0
2009-12-18,2851.157377809,2658.155955312,3044.158800307,3044.158800307,125124.0
2009-12-21,3044.158800307,2938.885297127,3158.20509542,3158.20509542,86937.0
2009-12-22,3158.20509542,3070.477176103,3245.933014737,3070.477176103,83687.0
2009-12-23,3070.477176103,2912.566921332,3123.113927693,2921.339713263,191749.0
2009-12-29,3210.84184701,3149.432303488,3368.752101781,3245.933014737,238873.0
2009-12-31,3412.61606144,3386.297685644,3588.071900074,3386.297685644,37374.0
2010-01-04,3386.297685644,3237.160222805,3596.844692006,3596.844692006,90999.0
2010-01-05,3596.844692006,3596.844692006,3798.618906435,3640.708651664,231561.0
2010-01-12,3368.752101781,3166.977887351,3552.980732347,3377.524893713,84499.0
2010-01-13,3377.524893713,3184.523471215,3438.934437235,3412.61606144,49562.0
2010-01-15,3228.387430873,3228.387430873,3228.387430873,3228.387430873,812.0
2010-01-18,3228.387430873,3009.06763258,3289.796974396,3070.477176103,10562.0
2010-01-19,3070.477176103,3070.477176103,3228.387430873,3149.432303488,31687.0
2010-01-20,3149.432303488,3114.341135761,3158.20509542,3114.341135761,12187.0
2010-01-21,3114.341135761,2921.339713263,3123.113927693,2921.339713263,83687.0
2010-01-22,2921.339713263,2763.429458492,3140.659511556,2877.475753605,76374.0
2010-01-25,2877.475753605,2719.565498834,3096.795551898,2719.565498834,129186.0
2010-01-27,2965.203672922,2719.565498834,2965.203672922,2895.021337468,25999.0
2010-02-02,3032.67386756,2996.890105111,3041.619808172,3023.727926948,47937.0
2010-02-04,3032.67386756,3032.67386756,3131.079214295,3032.67386756,37374.0
2010-02-05,3032.67386756,2853.755055315,3256.322382867,2853.755055315,21124.0
2010-02-09,3005.836045723,2996.890105111,3131.079214295,2996.890105111,12187.0
2010-02-11,2996.890105111,2898.484758376,3122.133273683,3095.295451846,24374.0
2010-02-22,3086.349511234,3086.349511234,3131.079214295,3086.349511234,9749.0
2010-03-02,2800.079411641,2773.241589804,2952.16040205,2800.079411641,21937.0
2010-03-03,2800.079411641,2728.511886743,2862.700995927,2853.755055315,25999.0
2010-03-04,2853.755055315,2817.971292866,2907.430698988,2817.971292866,82062.0
2010-03-08,2800.079411641,2728.511886743,2952.16040205,2907.430698988,181186.0
2010-03-09,2907.430698988,2683.782183682,2952.16040205,2817.971292866,112124.0
2010-03-11,2907.430698988,2871.646936539,2952.16040205,2952.16040205,60937.0
2010-03-15,2907.430698988,2862.700995927,2996.890105111,2880.592877152,168999.0
2010-03-23,2943.481496109,2943.481496109,3024.680985657,3024.680985657,71611.0
2010-03-24,3024.680985657,2943.481496109,3044.980858044,3044.980858044,70895.0
2010-04-05,3268.2794543,3247.979581913,3278.429390494,3278.429390494,103120.0
2010-04-08,3349.478943848,3349.478943848,3501.72798675,3400.228624815,207673.0
