Date,Price Open,Price Low,Price High,Price Close,Volume
2006-10-10,3653.470101197,3535.616226965,3771.323975429,3771.323975429,4584.0
2006-10-11,3771.323975429,3712.397038313,3771.323975429,3712.397038313,3619.0
2006-10-12,3712.397038313,3712.397038313,3712.397038313,3712.397038313,241.0
2006-10-13,3712.397038313,3712.397038313,3712.397038313,3712.397038313,241.0
2006-10-17,3535.616226965,3535.616226965,3653.470101197,3653.470101197,3378.0
2006-10-27,3535.616226965,3535.616226965,3535.616226965,3535.616226965,241.0
2006-11-20,3182.054604268,3182.054604268,3500.260064695,3182.054604268,2654.0
2006-11-21,3182.054604268,3182.054604268,3182.054604268,3182.054604268,241.0
2006-11-22,3182.054604268,3182.054604268,3182.054604268,3182.054604268,241.0
2006-11-23,3182.054604268,3182.054604268,3182.054604268,3182.054604268,241.0
2006-12-21,2357.077484643,2357.077484643,2357.077484643,2357.077484643,3619.0
2006-12-22,2357.077484643,2357.077484643,2357.077484643,2357.077484643,1689.0
2007-01-12,2946.346855804,2946.346855804,2946.346855804,2946.346855804,2412.0
2007-01-15,2946.346855804,2946.346855804,2946.346855804,2946.346855804,3860.0
2007-01-16,2946.346855804,2946.346855804,3017.059180343,2946.346855804,4343.0
2007-01-18,2946.346855804,2946.346855804,3064.200730036,3064.200730036,6032.0
2007-01-19,3064.200730036,3064.200730036,3123.127667152,3123.127667152,3619.0
2007-01-22,3123.127667152,3064.200730036,3182.054604268,3182.054604268,7238.0
2007-01-23,3182.054604268,3064.200730036,3299.9084785,3064.200730036,21957.0
2007-01-24,3064.200730036,3064.200730036,3064.200730036,3064.200730036,3619.0
2007-01-26,3182.054604268,3182.054604268,3182.054604268,3182.054604268,2412.0
2007-02-01,3123.127667152,3087.771504882,3240.981541384,3087.771504882,723.0
2007-02-06,3087.771504882,3064.200730036,3134.913054575,3064.200730036,2654.0
2007-02-08,3064.200730036,3064.200730036,3064.200730036,3064.200730036,2412.0
2007-02-09,3064.200730036,3064.200730036,3064.200730036,3064.200730036,1930.0
2007-02-12,3064.200730036,3064.200730036,3064.200730036,3064.200730036,2412.0
2007-02-13,3064.200730036,3064.200730036,3064.200730036,3064.200730036,6032.0
2007-02-14,3064.200730036,3064.200730036,3064.200730036,3064.200730036,3860.0
2007-03-12,7306.940202394,6953.378579697,7660.50182509,6953.378579697,9410.0
2007-03-16,5397.707439833,4867.365005788,5421.278214679,5421.278214679,29919.0
2007-03-22,6187.328397188,6010.54758584,6540.890019885,6010.54758584,4584.0
2007-03-28,4773.081906402,4714.154969286,4784.867293825,4784.867293825,9651.0
2007-03-29,4784.867293825,4714.154969286,5185.570466215,5185.570466215,34021.0
2007-04-02,5539.132088911,5067.716591983,5539.132088911,5067.716591983,2895.0
2007-04-04,4596.301095054,4242.739472358,4714.154969286,4714.154969286,4343.0
2007-04-06,4725.940356709,4725.940356709,5185.570466215,4725.940356709,4343.0
2007-04-09,4725.940356709,4725.940356709,4784.867293825,4725.940356709,4825.0
2007-04-10,4725.940356709,4714.154969286,4773.081906402,4773.081906402,2654.0
2007-04-18,3853.821687391,3535.616226965,4007.031723893,3535.616226965,5790.0
2007-04-20,3983.460949047,3771.323975429,4065.958661009,3771.323975429,4825.0
2007-04-24,3830.250912545,3535.616226965,3889.177849661,3771.323975429,4101.0
2007-04-25,3771.323975429,3653.470101197,3889.177849661,3889.177849661,3860.0
2007-05-02,3889.177849661,3889.177849661,4124.885598125,4124.885598125,14236.0
2007-05-07,4242.739472358,4242.739472358,4360.59334659,4360.59334659,1447.0
2007-05-14,4124.885598125,3747.753200583,4478.447220822,4478.447220822,4101.0
2007-05-15,4478.447220822,4301.666409474,4490.232608245,4490.232608245,2412.0
2007-05-16,4490.232608245,4065.958661009,4596.301095054,4065.958661009,2171.0
2007-05-21,4337.022571743,4242.739472358,4478.447220822,4242.739472358,1447.0
2007-05-22,4242.739472358,4242.739472358,4301.666409474,4301.666409474,3619.0
2007-05-23,4301.666409474,4301.666409474,4419.520283706,4301.666409474,2895.0
2007-05-29,4478.447220822,4466.661833399,4478.447220822,4478.447220822,6273.0
2007-06-05,4242.739472358,4219.168697511,4266.310247204,4242.739472358,4584.0
2007-06-07,4242.739472358,4242.739472358,4242.739472358,4242.739472358,1689.0
2007-06-11,4124.885598125,4124.885598125,4242.739472358,4124.885598125,16407.0
2007-06-13,4124.885598125,4124.885598125,4124.885598125,4124.885598125,965.0
2007-06-15,4065.958661009,4065.958661009,4124.885598125,4124.885598125,3136.0
2007-06-18,4124.885598125,4007.031723893,4124.885598125,4124.885598125,20992.0
2007-06-27,4007.031723893,4007.031723893,4407.734896283,4007.031723893,1206.0
2007-07-04,4007.031723893,3688.826263466,4007.031723893,4007.031723893,2895.0
2007-07-23,3724.182425736,3712.397038313,4089.529435856,4089.529435856,6756.0
2007-07-25,3653.470101197,3653.470101197,3771.323975429,3653.470101197,1930.0
2007-08-03,3417.762352732,3417.762352732,3712.397038313,3417.762352732,1206.0
2007-08-10,3618.113938927,3618.113938927,3618.113938927,3618.113938927,241.0
2007-08-13,3618.113938927,3535.616226965,3618.113938927,3535.616226965,2654.0
2007-08-16,3653.470101197,3653.470101197,3653.470101197,3653.470101197,3619.0
2007-08-20,3653.470101197,3653.470101197,3653.470101197,3653.470101197,723.0
2007-08-21,3653.470101197,3653.470101197,3653.470101197,3653.470101197,2654.0
2007-08-22,3653.470101197,3653.470101197,3653.470101197,3653.470101197,3136.0
2007-08-29,3594.543164081,3594.543164081,3594.543164081,3594.543164081,4825.0
2007-08-30,3594.543164081,3594.543164081,3653.470101197,3594.543164081,3619.0
2007-09-04,3653.470101197,3653.470101197,3653.470101197,3653.470101197,2412.0
2007-09-05,3653.470101197,3653.470101197,3712.397038313,3653.470101197,7962.0
2007-09-11,3889.177849661,3771.323975429,4065.958661009,3771.323975429,2895.0
2007-09-14,3771.323975429,3771.323975429,3771.323975429,3771.323975429,3136.0
2007-09-17,3771.323975429,3771.323975429,3771.323975429,3771.323975429,1689.0
2007-09-18,3771.323975429,3771.323975429,3794.894750275,3794.894750275,2654.0
2007-09-19,3794.894750275,3783.109362852,3830.250912545,3830.250912545,3619.0
2007-09-21,3889.177849661,3653.470101197,3889.177849661,3771.323975429,1447.0
2007-09-28,4124.885598125,4124.885598125,4124.885598125,4124.885598125,8686.0
2007-10-03,4360.59334659,4301.666409474,4537.374157938,4478.447220822,4584.0
2007-10-09,4242.739472358,4183.812535241,4337.022571743,4337.022571743,5549.0
2007-10-11,4360.59334659,4219.168697511,4714.154969286,4714.154969286,29678.0
2007-10-12,4714.154969286,4608.086482477,5008.789654867,5008.789654867,27024.0
2007-10-17,5774.839837376,5539.132088911,6328.753046267,5539.132088911,41984.0
2007-10-18,5539.132088911,5338.780502717,5774.839837376,5338.780502717,35952.0
2007-10-19,5338.780502717,5126.643529099,5656.985963143,5491.990539218,25817.0
2007-10-23,5303.424340447,5185.570466215,5303.424340447,5291.638953024,15442.0
2007-10-24,5291.638953024,4973.433492597,5656.985963143,5598.059026027,25576.0
2007-10-25,5598.059026027,5539.132088911,5928.049873877,5928.049873877,94826.0
2007-10-26,5928.049873877,5598.059026027,6446.606920499,6446.606920499,169625.0
2007-10-29,6446.606920499,6364.109208536,7000.52012939,6764.812380926,60563.0
2007-11-01,5774.839837376,5421.278214679,6269.826109151,6269.826109151,36675.0
