Date,Price Open,Price Low,Price High,Price Close,Volume
2008-07-18,7482.951171976,6919.718288064,8046.184055888,6919.718288064,2182.0
2008-07-23,7241.5656503,6951.903024288,7531.228276312,6951.903024288,2517.0
2008-08-15,6469.131980934,6211.654091146,6726.609870723,6211.654091146,56066.0
2008-08-21,5085.188323321,4731.156224862,5439.220421781,5439.220421781,31222.0
2008-08-26,5535.774630451,5471.405158004,5921.991465134,5889.80672891,19304.0
2008-08-27,5889.80672891,5471.405158004,6211.654091146,5471.405158004,21654.0
2008-08-28,5471.405158004,5246.112004439,5921.991465134,5246.112004439,5035.0
2008-08-29,5246.112004439,5149.557795769,5471.405158004,5471.405158004,2853.0
2008-09-01,5471.405158004,5149.557795769,5471.405158004,5471.405158004,2853.0
2008-09-04,5696.698311569,5696.698311569,6082.915146252,5696.698311569,14436.0
2008-09-08,5728.883047793,5600.144102898,6115.099882475,5793.25252024,9736.0
2008-09-09,5793.25252024,5600.144102898,6050.730410028,5793.25252024,21150.0
2008-09-10,5793.25252024,5503.589894228,5954.176201357,5503.589894228,8393.0
2008-09-11,5503.589894228,5471.405158004,5793.25252024,5471.405158004,3693.0
2008-09-15,5761.067784016,5374.850949333,5857.621992687,5374.850949333,19304.0
2008-09-16,5374.850949333,5053.003587098,5471.405158004,5053.003587098,3021.0
2008-09-19,4602.417279968,4280.569917733,4924.264642204,4924.264642204,839.0
2008-09-22,4924.264642204,4795.52569731,5117.373059545,5117.373059545,18632.0
2008-09-23,5117.373059545,4988.634114651,5181.742531992,4988.634114651,1007.0
2008-09-24,4988.634114651,4924.264642204,5053.003587098,5020.818850874,2182.0
2008-09-25,5020.818850874,4956.449378427,5020.818850874,5020.818850874,6378.0
2008-09-26,5020.818850874,5020.818850874,5278.296740663,5020.818850874,1678.0
2008-09-29,5020.818850874,4827.710433533,5213.927268216,5085.188323321,7218.0
2008-10-01,4763.340961086,4763.340961086,4988.634114651,4988.634114651,4364.0
2008-10-02,4988.634114651,4924.264642204,4988.634114651,4988.634114651,4364.0
2008-10-07,4666.786752415,4666.786752415,4988.634114651,4666.786752415,1175.0
2008-10-08,4666.786752415,4441.49359885,4666.786752415,4570.232543745,3021.0
2008-10-09,4570.232543745,4505.863071298,4827.710433533,4827.710433533,839.0
2008-10-20,4795.52569731,4473.678335074,5020.818850874,4473.678335074,13261.0
2008-10-22,4666.786752415,4538.047807521,4763.340961086,4538.047807521,1510.0
2008-10-24,4377.124126403,4119.646236615,4473.678335074,4184.015709062,7386.0
2008-10-29,3789.101833144,3718.933280678,3964.523214308,3859.27038561,5875.0
2008-10-31,4034.691766774,3859.27038561,4034.691766774,3859.27038561,5203.0
2008-11-03,3859.27038561,3859.27038561,3964.523214308,3964.523214308,3189.0
2008-11-04,3964.523214308,3859.27038561,4034.691766774,4034.691766774,5203.0
2008-11-10,4701.293015197,4385.534529102,5017.051501293,4385.534529102,1342.0
2008-11-14,4560.955910266,4525.871634033,4560.955910266,4525.871634033,671.0
2008-11-27,4631.124462732,4315.365976636,4876.714396361,4315.365976636,503.0
2008-12-03,4736.37729143,4420.618805335,4911.798672594,4420.618805335,1510.0
2008-12-12,4876.714396361,4560.955910266,4911.798672594,4560.955910266,671.0
2009-01-06,3683.849004446,3683.849004446,3683.849004446,3683.849004446,1678.0
2009-02-17,3262.837689652,3192.669137186,3262.837689652,3192.669137186,3357.0
2009-03-20,3879.450919823,3879.450919823,3879.450919823,3879.450919823,503.0
2009-04-03,3805.556616588,3546.926555267,3879.450919823,3805.556616588,8057.0
2009-04-10,3657.768010119,3620.820858501,3694.715161736,3657.768010119,5371.0
2009-04-16,3731.662313354,3731.662313354,3879.450919823,3879.450919823,2014.0
2009-05-05,3694.715161736,3473.032252032,3953.345223058,3768.609464971,3021.0
2009-05-07,3768.609464971,3768.609464971,4027.239526292,3768.609464971,8393.0
2009-05-11,3953.345223058,3953.345223058,3953.345223058,3953.345223058,671.0
2009-05-12,3953.345223058,3953.345223058,3990.292374675,3990.292374675,2014.0
2009-05-18,3879.450919823,3879.450919823,3879.450919823,3879.450919823,335.0
2009-05-20,4064.18667791,4064.18667791,4175.028132762,4175.028132762,14772.0
2009-05-26,4618.39395217,4581.446800553,4877.024013492,4803.129710257,24508.0
2009-05-27,4803.129710257,4729.235407022,4877.024013492,4729.235407022,17457.0
2009-05-28,4729.235407022,4544.499648936,4877.024013492,4840.076861874,7553.0
2009-05-29,4840.076861874,4692.288255405,4877.024013492,4840.076861874,8057.0
2009-06-01,4840.076861874,4840.076861874,4950.918316727,4840.076861874,9736.0
2009-06-03,5098.706923196,5098.706923196,5209.548378048,5098.706923196,9232.0
2009-06-09,5985.438562013,5948.491410395,6317.962926569,6281.015774952,32733.0
2009-06-10,6281.015774952,5763.755652308,6465.751533038,5911.544258778,49855.0
2009-06-11,5911.544258778,5726.808500691,6317.962926569,6317.962926569,52205.0
2009-06-15,6613.540139508,6354.910078186,7056.905958916,6872.170200829,16282.0
2009-06-16,6872.170200829,6281.015774952,6983.011655681,6761.328745977,65299.0
2009-06-17,6761.328745977,6650.487291125,6983.011655681,6872.170200829,29544.0
2009-06-22,7721.954688029,7204.694565386,7758.901839646,7204.694565386,15275.0
2009-06-25,7241.641717003,6761.328745977,7241.641717003,6761.328745977,11414.0
2009-06-29,7019.958807299,6835.223049212,7204.694565386,6835.223049212,7553.0
2009-06-30,6835.223049212,6724.38159436,7648.060384794,6724.38159436,11918.0
2009-07-09,6317.962926569,6281.015774952,6724.38159436,6724.38159436,35587.0
2009-07-10,6724.38159436,6502.698684656,6946.064504064,6613.540139508,16786.0
2009-07-13,6613.540139508,6391.857229804,6872.170200829,6391.857229804,5875.0
2009-07-20,5985.438562013,5726.808500691,6096.280016865,6096.280016865,5371.0
2009-07-28,7463.324626707,7389.430323472,7721.954688029,7463.324626707,22325.0
2009-07-29,7463.324626707,7352.483171855,8017.531900968,7611.113233177,79064.0
2009-07-31,7167.747413768,6909.117352447,7463.324626707,6909.117352447,58081.0
2009-08-03,6909.117352447,6777.864678769,7530.960754188,7179.515918992,9274.0
2009-08-04,7179.515918992,6978.69029888,7430.547944132,7229.72232402,30915.0
2009-08-05,7229.72232402,7028.896703908,7581.167159215,7179.515918992,14040.0
2009-08-06,7179.515918992,6828.071083797,7581.167159215,7279.928729048,8759.0
2009-08-10,7129.309513964,7028.896703908,7430.547944132,7028.896703908,11979.0
2009-08-11,7028.896703908,6828.071083797,7279.928729048,6828.071083797,8115.0
2009-08-12,6828.071083797,6777.864678769,7079.103108936,7028.896703908,13010.0
2009-08-13,7028.896703908,6828.071083797,7179.515918992,6828.071083797,3478.0
2009-08-20,6828.071083797,6577.039058657,6828.071083797,6828.071083797,12623.0
2009-08-21,6828.071083797,6677.451868713,6828.071083797,6777.864678769,10562.0
2009-08-24,6777.864678769,6526.832653629,6777.864678769,6677.451868713,13396.0
2009-08-25,6677.451868713,6275.80062849,6727.658273741,6275.80062849,8501.0
2009-08-28,6727.658273741,6526.832653629,6727.658273741,6727.658273741,21254.0
2009-08-31,6727.658273741,6727.658273741,6777.864678769,6727.658273741,6827.0
2009-09-01,6727.658273741,6627.245463685,6777.864678769,6777.864678769,20224.0
2009-09-04,6627.245463685,6526.832653629,6727.658273741,6677.451868713,23444.0
2009-09-08,6526.832653629,6526.832653629,6727.658273741,6727.658273741,56292.0
2009-09-09,6727.658273741,6577.039058657,6777.864678769,6727.658273741,6311.0
2009-09-10,6727.658273741,6627.245463685,6828.071083797,6677.451868713,5925.0
2009-09-11,6677.451868713,6627.245463685,6727.658273741,6677.451868713,7213.0
2009-09-14,6677.451868713,6677.451868713,6777.864678769,6727.658273741,11979.0
2009-09-15,6727.658273741,6727.658273741,6928.483893853,6727.658273741,13010.0
2009-09-16,6727.658273741,6526.832653629,6777.864678769,6777.864678769,5152.0
2009-09-18,6476.626248601,6426.419843573,6577.039058657,6577.039058657,5796.0
2009-09-21,6577.039058657,6577.039058657,6777.864678769,6677.451868713,8115.0
2009-09-23,6627.245463685,6577.039058657,6677.451868713,6577.039058657,15973.0
2009-09-24,6577.039058657,6476.626248601,6627.245463685,6627.245463685,13783.0
2009-09-25,6627.245463685,6526.832653629,6627.245463685,6627.245463685,15200.0
2009-09-28,6627.245463685,6326.007033518,6627.245463685,6577.039058657,10691.0
2009-09-29,6577.039058657,6526.832653629,6627.245463685,6627.245463685,16101.0
2009-10-01,6476.626248601,6326.007033518,6526.832653629,6526.832653629,7213.0
2009-10-09,6526.832653629,6426.419843573,6577.039058657,6577.039058657,8888.0
2009-10-12,6577.039058657,6526.832653629,6978.69029888,6978.69029888,79221.0
2009-10-14,7279.928729048,7279.928729048,7530.960754188,7430.547944132,26407.0
2009-10-15,7430.547944132,7229.72232402,7430.547944132,7279.928729048,43797.0
2009-10-16,7279.928729048,7028.896703908,7330.135134076,7028.896703908,15973.0
2009-10-19,7028.896703908,6928.483893853,7129.309513964,7079.103108936,13139.0
2009-10-23,8484.882449718,8284.056829606,9037.152905025,8284.056829606,90042.0
2009-10-26,8284.056829606,8183.64401955,8284.056829606,8183.64401955,34780.0
2009-10-28,7631.373564243,7129.309513964,7982.818399439,7982.818399439,34780.0
2009-10-30,7179.515918992,7129.309513964,7581.167159215,7581.167159215,15973.0
2009-11-02,7581.167159215,7530.960754188,7631.373564243,7530.960754188,5539.0
2009-11-03,7530.960754188,7430.547944132,7530.960754188,7430.547944132,1932.0
2009-11-04,7430.547944132,7129.309513964,7480.75434916,7279.928729048,4894.0
2009-11-05,7279.928729048,7179.515918992,7631.373564243,7530.960754188,7728.0
2009-11-06,7530.960754188,7380.341539104,7631.373564243,7530.960754188,3478.0
2009-11-11,7229.72232402,7129.309513964,7330.135134076,7330.135134076,11979.0
2009-11-13,7430.547944132,7179.515918992,7430.547944132,7229.72232402,8501.0
2009-11-16,7229.72232402,7179.515918992,7229.72232402,7179.515918992,2576.0
2009-11-18,6978.69029888,6878.277488825,7028.896703908,7028.896703908,3993.0
2009-11-20,6928.483893853,6928.483893853,6928.483893853,6928.483893853,1288.0
2009-11-24,6878.277488825,6526.832653629,7028.896703908,6526.832653629,1416.0
2009-11-25,6526.832653629,6275.80062849,6627.245463685,6326.007033518,3864.0
2009-11-27,5974.562198322,5773.73657821,6426.419843573,6225.594223462,21125.0
2009-11-30,6225.594223462,6225.594223462,6426.419843573,6426.419843573,6054.0
2009-12-01,6426.419843573,6326.007033518,6526.832653629,6326.007033518,3349.0
2009-12-03,6376.213438545,6376.213438545,6376.213438545,6376.213438545,128.0
2009-12-10,5572.910958099,5321.878932959,5874.149388266,5522.704553071,901.0
2009-12-14,5171.259717875,4920.227692736,5472.498148043,5070.84690782,6956.0
2009-12-15,5070.84690782,5070.84690782,5221.466122903,5121.053312848,3735.0
2009-12-16,5121.053312848,4970.434097764,5121.053312848,5121.053312848,9403.0
