Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-05,1833.1423028575,1692.131356484,1974.153249231,1762.636829671,554749.0
2009-11-12,1325.502895913,1233.84578077,1410.109463737,1325.502895913,590665.0
2009-11-13,1325.502895913,1311.401801275,1367.806179825,1367.806179825,152883.0
2009-11-17,1445.36220033,1396.008369099,1544.069862792,1459.463294967,244128.0
2009-11-23,1353.705085187,1276.149064682,1403.058916418,1311.401801275,58726.0
2009-11-27,1184.491949539,1106.935929033,1184.491949539,1106.935929033,240731.0
2009-12-03,1318.452348594,1304.351253956,1410.109463737,1304.351253956,165988.0
2009-12-04,1304.351253956,1297.300706638,1367.806179825,1311.401801275,101437.0
2009-12-07,1311.401801275,1304.351253956,1403.058916418,1318.452348594,85906.0
2009-12-08,1318.452348594,1304.351253956,1353.705085187,1318.452348594,399924.0
2009-12-09,1318.452348594,1234.132850802,1326.117908005,1326.117908005,5338.0
2009-12-10,1326.117908005,1226.467429369,1379.77585804,1226.467429369,37371.0
2009-12-11,1226.467429369,1149.813215033,1287.790800837,1149.813215033,31062.0
2009-12-14,1149.813215033,1149.813215033,1180.474900767,1180.474900767,106775.0
2009-12-18,1073.159000698,1073.159000698,1126.816950733,1126.816950733,87362.0
2009-12-21,1126.816950733,1103.820686432,1172.809479334,1172.809479334,108717.0
2009-12-23,1149.813215033,1142.1477936,1149.813215033,1149.813215033,43195.0
2009-12-24,1149.813215033,1103.820686432,1172.809479334,1172.809479334,68433.0
2009-12-28,1188.140322201,1165.1440579,1226.467429369,1188.140322201,77655.0
2009-12-29,1188.140322201,1157.478636467,1211.136586502,1157.478636467,24267.0
2009-12-30,1157.478636467,1149.813215033,1203.471165068,1172.809479334,30091.0
2009-12-31,1172.809479334,1149.813215033,1211.136586502,1149.813215033,67948.0
2010-01-06,1318.452486571,1280.125379404,1379.77585804,1287.790800837,76199.0
2010-01-07,1287.790800837,1226.467429369,1287.790800837,1241.798272236,138808.0
2010-01-08,1241.798272236,1218.802007935,1241.798272236,1226.467429369,66492.0
2010-01-11,1226.467429369,1211.136586502,1234.132850802,1211.136586502,86876.0
2010-01-12,1211.136586502,1211.136586502,1234.132850802,1226.467429369,153369.0
2010-01-13,1226.467429369,1211.136586502,1264.794536537,1257.129115103,136382.0
2010-01-15,1172.809479334,1165.1440579,1188.140322201,1188.140322201,21840.0
2010-01-19,1180.474900767,1157.478636467,1226.467429369,1165.1440579,34944.0
2010-01-22,1119.151529299,1088.489843565,1126.816950733,1119.151529299,25237.0
2010-01-27,1234.132850802,1180.474900767,1264.794536537,1188.140322201,56300.0
2010-01-28,1188.140322201,1149.813215033,1203.471165068,1157.478636467,66006.0
2010-02-02,1180.474900767,1142.1477936,1226.467429369,1203.471165068,10677.0
2010-02-03,1203.471165068,1195.805743635,1226.467429369,1203.471165068,96098.0
2010-02-04,1203.471165068,1195.805743635,1218.802007935,1211.136586502,69404.0
2010-02-08,1157.478636467,1149.813215033,1203.471165068,1203.471165068,18443.0
2010-02-10,1188.140322201,1188.140322201,1226.467429369,1188.140322201,5338.0
2010-02-11,1188.140322201,1172.809479334,1203.471165068,1203.471165068,57756.0
2010-02-12,1203.471165068,1195.805743635,1218.802007935,1195.805743635,38827.0
2010-02-22,1195.805743635,1180.474900767,1226.467429369,1180.474900767,17472.0
2010-02-23,1180.474900767,1149.813215033,1211.136586502,1211.136586502,17472.0
2010-02-25,1180.474900767,1180.474900767,1188.140322201,1188.140322201,37856.0
2010-02-26,1188.140322201,1180.474900767,1218.802007935,1180.474900767,41739.0
2010-03-03,1280.125379404,1280.125379404,1349.114172306,1349.114172306,361096.0
2010-03-09,1586.742236746,1487.09175811,1701.723558249,1701.723558249,1606007.0
2010-03-10,1701.723558249,1671.061872515,1740.050665417,1740.050665417,1059023.0
2010-03-11,1740.050665417,1625.069343914,1847.366565487,1648.065608214,510583.0
2010-03-12,1648.065608214,1563.745972445,1686.392715382,1609.738501046,765875.0
2010-03-18,1939.351622689,1809.039458319,2031.336679892,1893.359094088,859546.0
2010-03-19,1893.359094088,1878.028251221,1993.009572724,1993.009572724,1246367.0
2010-03-22,1993.009572724,1954.682465556,2077.329208493,2077.329208493,1706959.0
2010-03-23,2077.329208493,1993.009572724,2184.645108563,2069.66378706,959042.0
2010-03-24,2069.66378706,1993.009572724,2138.652579962,2061.998365626,857605.0
2010-03-26,1908.689936955,1793.708615452,1931.686201256,1893.359094088,495537.0
2010-03-30,1977.678729857,1901.024515522,2069.66378706,1901.024515522,786744.0
2010-03-31,1901.024515522,1847.366565487,1947.017044123,1870.362829787,387790.0
2010-04-01,1870.362829787,1763.046929718,1908.689936955,1839.701144053,576105.0
2010-04-02,1839.701144053,1816.704879752,1931.686201256,1908.689936955,785288.0
2010-04-05,1908.689936955,1778.377772585,1954.682465556,1885.693672654,650362.0
2010-04-07,1970.013308424,1954.682465556,2107.990894228,2077.329208493,1286650.0
2010-04-13,2130.987158528,2077.329208493,2291.961008633,2291.961008633,1799660.0
2010-04-19,2759.55171608,2759.55171608,2951.187251919,2951.187251919,5775610.0
2010-04-22,3342.12374503,3112.161102023,3572.086388037,3342.12374503,4030793.0
2010-04-26,3342.12374503,3265.469530694,3602.748073771,3526.093859435,3932268.0
2010-04-27,3526.093859435,3449.4396451,3564.420966603,3564.420966603,107261.0
2010-05-04,4070.338781218,3748.391081008,4300.301424224,3786.718188176,1465257.0
2010-05-05,3786.718188176,3533.759280869,3947.692038281,3664.071445239,2064174.0
2010-05-06,3664.071445239,3564.420966603,3694.733130973,3602.748073771,1003208.0
2010-05-07,3602.748073771,3365.120009331,3602.748073771,3365.120009331,1379351.0
2010-05-11,3150.488209191,3027.841466254,3372.785430764,3142.822787757,1009518.0
2010-05-12,3142.822787757,3027.841466254,3250.138687827,3027.841466254,893035.0
2010-05-13,3027.841466254,2828.540508982,3066.168573422,2905.194723317,953218.0
2010-05-14,2905.194723317,2882.198459017,2997.17978052,2882.198459017,398468.0
2010-05-17,2882.198459017,2721.224608912,2912.860144751,2721.224608912,669291.0
2010-05-18,2721.224608912,2590.912444541,2905.194723317,2598.577865975,587267.0
2010-05-20,2452.934858738,2291.961008633,2460.600280171,2376.280644402,444091.0
2010-05-21,2376.280644402,2192.310529997,2483.596544472,2192.310529997,1074069.0
2010-05-24,2192.310529997,2107.990894228,2353.284380101,2353.284380101,1874403.0
2010-05-31,2981.848937653,2774.882558947,3066.168573422,2774.882558947,1489039.0
2010-06-01,2774.882558947,2751.886294646,2997.17978052,2997.17978052,2172891.0
2010-06-03,3096.830259156,2974.183516219,3296.131216429,2997.17978052,1274517.0
2010-06-04,2997.17978052,2912.860144751,3027.841466254,2920.525566184,993502.0
2010-06-08,2744.220873213,2712.217048072,2952.236255866,2952.236255866,1224526.0
2010-06-09,2952.236255866,2864.229213008,3072.245859763,2880.230493528,719281.0
2010-06-10,2880.230493528,2800.22409093,2944.235615606,2864.229213008,478550.0
2010-06-11,2864.229213008,2864.229213008,3000.240097425,2888.231133788,755197.0
2010-06-14,2888.231133788,2880.230493528,3096.247780543,3096.247780543,2448567.0
2010-06-15,3096.247780543,3040.243298724,3232.258664959,3200.25610392,2108825.0
2010-06-16,3200.25610392,3160.252902621,3312.265067557,3280.262506518,1341009.0
2010-06-17,3280.262506518,3240.259305219,3456.276592234,3448.275951974,3146494.0
2010-06-18,3448.275951974,3240.259305219,3520.281714312,3424.274031194,1638526.0
2010-06-21,3424.274031194,3376.270189636,3600.28811691,3400.272110415,1049316.0
2010-06-22,3400.272110415,3224.258024699,3464.277232493,3344.267628596,1267236.0
2010-06-24,3184.2548234,3144.251622101,3320.265707817,3280.262506518,1475935.0
2010-06-25,3280.262506518,3160.252902621,3320.265707817,3288.263146778,1177447.0
2010-06-28,3288.263146778,3200.25610392,3320.265707817,3248.259945479,524658.0
2010-06-29,3248.259945479,3144.251622101,3312.265067557,3160.252902621,556691.0
2010-07-01,3080.246500023,3032.242658464,3160.252902621,3112.249061062,467872.0
