Date,Price Open,Price Low,Price High,Price Close,Volume
2010-05-19,11763.0901164635,10209.474440704,13316.705792223,10209.474440704,34370.0
2010-05-24,10919.698749623,9854.362286245,10919.698749623,10564.586595163,11271.0
2010-05-27,9099.748958019,8522.691707022,9188.526996634,9188.526996634,18367.0
2010-05-28,9188.526996634,9010.970919404,9632.417189708,9632.417189708,70966.0
2010-06-01,9410.472093171,9410.472093171,9676.806209015,9410.472093171,23377.0
2010-06-03,9987.529344167,9676.806209015,10209.474440704,10209.474440704,47032.0
2010-06-04,10209.474440704,9987.529344167,10786.5316917,10209.474440704,31308.0
2010-06-07,10209.474440704,9809.973266937,11097.254826852,10475.808556548,16558.0
2010-06-08,10475.808556548,10165.085421397,10564.586595163,10165.085421397,7653.0
2010-06-09,10165.085421397,9543.639151093,10742.142672393,10387.030517934,31308.0
2010-06-10,10387.030517934,10031.918363474,10387.030517934,10298.252479319,19341.0
2010-06-11,10298.252479319,9765.58424763,10919.698749623,10431.419537241,23098.0
2010-06-14,10431.419537241,10431.419537241,11141.64384616,11141.64384616,77367.0
2010-06-15,11141.64384616,10875.309730315,11763.090116463,10964.08776893,23655.0
2010-06-16,10964.08776893,10875.309730315,11541.145019926,11274.810904082,25881.0
2010-06-17,11274.810904082,11274.810904082,11940.646193693,11452.366981311,68044.0
2010-06-21,11896.257174386,11452.366981311,12428.925406074,12162.59129023,21150.0
2010-06-22,12162.59129023,12029.424232308,12428.925406074,12340.14736746,43553.0
2010-06-23,12340.14736746,11763.090116463,12384.536386767,12162.59129023,9044.0
2010-06-24,12162.59129023,11363.588942697,12428.925406074,11763.090116463,13080.0
2010-06-25,11763.090116463,11052.865807545,11896.257174386,11896.257174386,55938.0
2010-06-29,11319.199923389,11319.199923389,12118.202270923,12118.202270923,49954.0
2010-06-30,12118.202270923,11097.254826852,12206.980309537,11896.257174386,17950.0
2010-07-01,11896.257174386,11674.312077849,12384.536386767,12073.813251615,27551.0
2010-07-02,12073.813251615,11674.312077849,12073.813251615,11985.035213,32282.0
2010-07-05,11985.035213,11985.035213,12517.703444689,12206.980309537,17115.0
2010-07-06,12206.980309537,11985.035213,12961.593637763,12029.424232308,15167.0
2010-07-07,12029.424232308,11763.090116463,12917.204618456,11763.090116463,24212.0
2010-07-09,11985.035213,11807.479135771,12872.815599149,11985.035213,15167.0
2010-07-12,11985.035213,11851.868155078,12784.037560534,12206.980309537,19898.0
2010-07-13,12206.980309537,11532.695460389,12881.276784387,12555.757154456,15028.0
2010-07-14,12555.757154456,11532.695460389,12974.282392938,12462.751545905,14054.0
2010-07-15,12462.751545905,11625.701068941,12555.757154456,12276.740328802,18367.0
2010-07-16,12276.740328802,11439.689851838,12462.751545905,12230.237524526,21429.0
2010-07-19,12230.237524526,11393.187047562,12276.740328802,11951.220698871,17672.0
2010-07-20,11951.220698871,11625.701068941,12369.745937353,11951.220698871,32700.0
2010-07-21,11951.220698871,11858.21509032,11951.220698871,11858.21509032,16698.0
2010-07-22,11858.21509032,11625.701068941,11904.717894595,11765.209481768,16141.0
2010-07-23,11765.209481768,11207.175830459,11997.723503147,11207.175830459,20176.0
2010-07-28,11393.187047562,10928.159004804,11858.21509032,11160.673026183,9740.0
2010-07-29,11160.673026183,11160.673026183,11951.220698871,11625.701068941,28804.0
2010-07-30,11625.701068941,11625.701068941,12090.729111699,11811.712286044,32282.0
2010-08-03,11997.723503147,11858.21509032,12276.740328802,11858.21509032,66096.0
2010-08-05,12090.729111699,11486.192656114,12555.757154456,12090.729111699,18367.0
2010-08-09,11997.723503147,11625.701068941,12462.751545905,11625.701068941,8627.0
2010-08-10,11625.701068941,11532.695460389,11951.220698871,11532.695460389,7653.0
2010-08-12,11160.673026183,10509.633766323,11625.701068941,10509.633766323,26577.0
2010-08-13,10509.633766323,10323.62254922,11346.684243286,11114.170221908,7653.0
2010-08-17,11579.198264665,11532.695460389,11811.712286044,11579.198264665,8070.0
2010-08-20,10788.650591977,10509.633766323,10928.159004804,10602.639374874,14610.0
2010-08-23,10602.639374874,9951.600115013,11300.181439011,10649.14217915,9044.0
2010-08-24,10649.14217915,10091.108527841,11067.667417632,10695.644983426,8209.0
2010-08-25,10695.644983426,9905.097310738,11253.678634735,9905.097310738,17672.0
2010-08-27,10788.650591977,10230.616940668,11532.695460389,10463.130962047,9462.0
2010-08-30,10463.130962047,10230.616940668,11300.181439011,11114.170221908,13080.0
2010-09-09,11114.170221908,11114.170221908,11114.170221908,11114.170221908,3478.0
2010-09-13,10370.125353495,9998.102919289,10416.628157771,9998.102919289,1530.0
2010-09-15,9626.080485083,8975.041225222,9998.102919289,9486.572072256,22124.0
2010-09-16,9486.572072256,9393.566463704,9486.572072256,9440.06926798,9879.0
2010-09-17,9440.06926798,9440.06926798,9719.086093635,9486.572072256,44388.0
2010-09-20,9486.572072256,9300.560855153,10184.114136392,9765.58889791,7792.0
2010-09-23,9254.058050877,8835.532812395,9579.577680807,8835.532812395,8349.0
2010-09-24,8835.532812395,8742.527203844,9765.58889791,9347.063659428,9879.0
2010-09-28,9672.583289359,9068.046833774,9672.583289359,9672.583289359,9601.0
2010-10-06,8882.035616671,8277.499161086,9254.058050877,8882.035616671,19620.0
2010-10-07,8882.035616671,8882.035616671,8928.538420947,8882.035616671,5287.0
2010-10-12,8789.030008119,8789.030008119,9347.063659428,8789.030008119,4591.0
2010-10-20,8789.030008119,8184.493552534,9300.560855153,8184.493552534,3757.0
2010-10-22,8789.030008119,8789.030008119,9207.555246601,8789.030008119,2365.0
2010-10-25,8789.030008119,8556.515986741,9254.058050877,8556.515986741,5287.0
2010-10-28,8975.041225222,8835.532812395,9161.052442325,8835.532812395,2087.0
2010-10-29,8835.532812395,8603.018791016,8928.538420947,8649.521595292,1808.0
2010-11-03,8649.521595292,8603.018791016,8789.030008119,8603.018791016,1391.0
