Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-19,4002.202567182501,2968.385535762,5036.019598603,3111.686906454,12000.0
2009-08-26,2886.499038224,2866.027413839,3009.328784531,3009.328784531,5600.0
2009-08-27,3009.328784531,2968.385535762,3009.328784531,2968.385535762,7300.0
2009-09-09,2866.027413839,2845.555789455,2866.027413839,2866.027413839,500.0
2009-09-10,2866.027413839,2866.027413839,2866.027413839,2866.027413839,300.0
2009-09-11,2866.027413839,2845.555789455,2866.027413839,2845.555789455,2700.0
2009-09-15,2866.027413839,2866.027413839,2947.913911377,2866.027413839,2000.0
2009-09-16,2866.027413839,2866.027413839,2927.442286993,2866.027413839,2600.0
2009-09-17,2866.027413839,2845.555789455,2906.970662608,2845.555789455,8400.0
2009-09-18,2845.555789455,2825.08416507,2886.499038224,2866.027413839,3100.0
2009-09-21,2866.027413839,2825.08416507,2866.027413839,2866.027413839,3200.0
2009-09-22,2866.027413839,2845.555789455,2886.499038224,2866.027413839,23200.0
2009-09-23,2866.027413839,2866.027413839,2886.499038224,2886.499038224,4700.0
2009-09-24,2886.499038224,2886.499038224,2886.499038224,2886.499038224,1100.0
2009-10-02,2845.555789455,2784.140916301,2845.555789455,2825.08416507,4600.0
2009-10-07,2866.027413839,2866.027413839,2988.857160147,2886.499038224,21900.0
2009-10-19,3725.835637991,3684.892389222,3828.193759914,3787.250511145,2600.0
2009-10-20,3787.250511145,3582.534267299,4012.438379375,3582.534267299,29900.0
2009-10-21,3582.534267299,3521.119394145,3787.250511145,3521.119394145,14600.0
2009-10-22,3521.119394145,3480.176145376,3684.892389222,3500.647769761,24900.0
2009-10-23,3500.647769761,3480.176145376,3643.949140453,3623.477516068,8800.0
2009-10-26,3623.477516068,3336.874774684,3643.949140453,3480.176145376,10700.0
2009-10-29,3459.704520992,3234.516652761,3480.176145376,3254.988277146,18700.0
2009-10-30,3254.988277146,3070.743657685,3295.931525915,3254.988277146,6700.0
2009-11-03,3173.101779608,2927.442286993,3295.931525915,2927.442286993,3800.0
2009-11-10,2988.857160147,2886.499038224,3173.101779608,2886.499038224,1300.0
2009-11-13,2906.970662608,2866.027413839,2968.385535762,2968.385535762,4700.0
2009-11-17,2947.913911377,2845.555789455,2947.913911377,2866.027413839,500.0
2009-11-18,2866.027413839,2784.140916301,2866.027413839,2866.027413839,1500.0
2009-11-19,2866.027413839,2763.669291916,2866.027413839,2784.140916301,4800.0
2009-11-20,2784.140916301,2763.669291916,2845.555789455,2763.669291916,6300.0
2009-11-23,2763.669291916,2661.311169994,2784.140916301,2661.311169994,6500.0
2009-11-26,2538.481423686,2374.70842861,2661.311169994,2374.70842861,13400.0
2009-12-02,2845.555789455,2702.254418763,2866.027413839,2702.254418763,6300.0
2009-12-03,2702.254418763,2661.311169994,2743.197667532,2661.311169994,1000.0
2009-12-04,2661.311169994,2661.311169994,2866.027413839,2702.254418763,1300.0
2009-12-07,2702.254418763,2681.782794378,2804.612540686,2804.612540686,2100.0
2009-12-10,2477.066550532,2292.821931071,2538.481423686,2538.481423686,3200.0
2009-12-11,2538.481423686,2292.821931071,2538.481423686,2538.481423686,4400.0
2009-12-14,2538.481423686,2497.538174917,2538.481423686,2538.481423686,4400.0
2009-12-15,2538.481423686,2518.009799302,2558.953048071,2518.009799302,4100.0
2009-12-17,2456.594926148,2456.594926148,2497.538174917,2456.594926148,10300.0
2009-12-22,2640.839545609,2477.066550532,2681.782794378,2661.311169994,6400.0
2009-12-24,2640.839545609,2436.123301763,2640.839545609,2456.594926148,5000.0
2009-12-25,2456.594926148,2415.651677379,2640.839545609,2640.839545609,1500.0
2009-12-30,2477.066550532,2313.293555456,2620.367921224,2620.367921224,16800.0
2009-12-31,2620.367921224,2558.953048071,2620.367921224,2579.424672455,4700.0
2010-01-05,2640.839545609,2456.594926148,2640.839545609,2599.89629684,8200.0
2010-01-07,2477.066550532,2456.594926148,2599.89629684,2579.424672455,13600.0
2010-01-08,2579.424672455,2395.180052994,2620.367921224,2395.180052994,3800.0
2010-01-12,2477.066550532,2456.594926148,2518.009799302,2456.594926148,4800.0
2010-01-13,2456.594926148,2456.594926148,2518.009799302,2456.594926148,2400.0
2010-01-14,2456.594926148,2456.594926148,2558.953048071,2456.594926148,1200.0
2010-01-15,2456.594926148,2456.594926148,2518.009799302,2456.594926148,2100.0
2010-01-18,2456.594926148,2456.594926148,2456.594926148,2456.594926148,3000.0
2010-01-21,2313.293555456,2210.935433533,2313.293555456,2210.935433533,3100.0
2010-01-27,2456.594926148,2333.765179841,2456.594926148,2333.765179841,2500.0
2010-02-02,2395.180052994,2272.350306687,2538.481423686,2538.481423686,18300.0
2010-02-04,2456.594926148,2456.594926148,2477.066550532,2477.066550532,2600.0
2010-02-08,2436.123301763,2415.651677379,2436.123301763,2415.651677379,5300.0
2010-02-09,2415.651677379,2354.236804225,2456.594926148,2354.236804225,1100.0
2010-02-10,2354.236804225,2354.236804225,2456.594926148,2395.180052994,5600.0
2010-02-26,2537.081654497,2537.081654497,2712.052803084,2537.081654497,700.0
2010-03-02,2537.081654497,2383.981899485,2712.052803084,2383.981899485,1300.0
2010-03-04,2515.210260924,2362.110505911,2624.56722879,2383.981899485,3400.0
2010-03-08,2515.210260924,2471.467473778,2580.824441644,2580.824441644,3300.0
2010-03-09,2580.824441644,2471.467473778,2624.56722879,2558.953048071,3300.0
2010-03-11,2427.724686631,2383.981899485,2515.210260924,2383.981899485,3200.0
2010-03-12,2383.981899485,2362.110505911,2405.853293058,2405.853293058,20800.0
2010-03-15,2405.853293058,2405.853293058,2493.338867351,2449.596080204,40400.0
2010-03-16,2449.596080204,2427.724686631,2493.338867351,2493.338867351,4300.0
2010-03-17,2493.338867351,2405.853293058,2515.210260924,2405.853293058,400.0
2010-03-19,2537.081654497,2449.596080204,2558.953048071,2449.596080204,4600.0
2010-03-22,2449.596080204,2405.853293058,2624.56722879,2602.695835217,72400.0
2010-03-23,2602.695835217,2602.695835217,2777.666983803,2777.666983803,137100.0
2010-03-24,2777.666983803,2624.56722879,2821.40977095,2624.56722879,14200.0
2010-03-25,2624.56722879,2537.081654497,2646.438622364,2602.695835217,18600.0
2010-03-29,2515.210260924,2427.724686631,2580.824441644,2515.210260924,24200.0
2010-03-30,2515.210260924,2405.853293058,2515.210260924,2471.467473778,17900.0
2010-03-31,2471.467473778,2362.110505911,2471.467473778,2449.596080204,17500.0
2010-04-02,2427.724686631,2405.853293058,2471.467473778,2405.853293058,12300.0
2010-04-05,2405.853293058,2405.853293058,2449.596080204,2427.724686631,45500.0
2010-04-06,2427.724686631,2405.853293058,2449.596080204,2427.724686631,11800.0
2010-04-07,2427.724686631,2340.239112338,2427.724686631,2405.853293058,29300.0
2010-04-08,2405.853293058,2405.853293058,2537.081654497,2449.596080204,59600.0
2010-04-09,2449.596080204,2427.724686631,2493.338867351,2493.338867351,52500.0
2010-04-12,2493.338867351,2471.467473778,2580.824441644,2580.824441644,47500.0
2010-04-13,2580.824441644,2493.338867351,2580.824441644,2558.953048071,21600.0
2010-04-15,2537.081654497,2493.338867351,2537.081654497,2515.210260924,20000.0
2010-04-16,2515.210260924,2340.239112338,2558.953048071,2537.081654497,48600.0
2010-04-21,2777.666983803,2668.310015937,2930.766738816,2712.052803084,43800.0
2010-04-22,2712.052803084,2624.56722879,2712.052803084,2624.56722879,54100.0
2010-04-27,2580.824441644,2449.596080204,2690.18140951,2558.953048071,73300.0
2010-04-28,2558.953048071,2558.953048071,2624.56722879,2602.695835217,18300.0
2010-04-29,2602.695835217,2602.695835217,2646.438622364,2646.438622364,50500.0
2010-05-05,2799.538377377,2668.310015937,2908.895345243,2733.924196657,56900.0
2010-05-06,2733.924196657,2733.924196657,2887.02395167,2887.02395167,269300.0
2010-05-10,3061.995100256,2952.638132389,3258.837642415,3258.837642415,380100.0
2010-05-13,3193.223461695,2974.509525963,3193.223461695,2974.509525963,97400.0
2010-05-17,2843.281164523,2733.924196657,3018.252313109,2755.79559023,22100.0
2010-05-18,2755.79559023,2690.18140951,2908.895345243,2843.281164523,71000.0
2010-05-19,2843.281164523,2646.438622364,2843.281164523,2646.438622364,63600.0
2010-05-20,2646.438622364,2602.695835217,2799.538377377,2799.538377377,50900.0
2010-05-25,2602.695835217,2580.824441644,2733.924196657,2580.824441644,38800.0
2010-05-27,2733.924196657,2624.56722879,2755.79559023,2668.310015937,31000.0
2010-06-02,2712.052803084,2668.310015937,2821.40977095,2668.310015937,9600.0
2010-06-03,2668.310015937,2668.310015937,2733.924196657,2712.052803084,30000.0
2010-06-08,2602.695835217,2602.695835217,2668.310015937,2602.695835217,6100.0
2010-06-11,2733.924196657,2668.310015937,2755.79559023,2668.310015937,21000.0
2010-06-14,2668.310015937,2668.310015937,2733.924196657,2712.052803084,11700.0
2010-06-15,2712.052803084,2668.310015937,2712.052803084,2690.18140951,23800.0
2010-06-16,2690.18140951,2690.18140951,2755.79559023,2712.052803084,3100.0
2010-06-17,2712.052803084,2668.310015937,2755.79559023,2668.310015937,8200.0
2010-06-23,3018.252313109,2930.766738816,3061.995100256,2974.509525963,39200.0
2010-06-24,2974.509525963,2865.152558096,3018.252313109,2930.766738816,33300.0
2010-06-28,2799.538377377,2799.538377377,2887.02395167,2887.02395167,36700.0
2010-06-29,2887.02395167,2865.152558096,2930.766738816,2887.02395167,40100.0
2010-07-01,2843.281164523,2777.666983803,2887.02395167,2887.02395167,32500.0
2010-07-02,2887.02395167,2887.02395167,2930.766738816,2887.02395167,37700.0
2010-07-05,2887.02395167,2843.281164523,3018.252313109,2887.02395167,74600.0
2010-07-06,2887.02395167,2821.40977095,2930.766738816,2865.152558096,36600.0
2010-07-07,2865.152558096,2821.40977095,2865.152558096,2821.40977095,27400.0
2010-07-08,2821.40977095,2799.538377377,2843.281164523,2821.40977095,35000.0
2010-07-09,2821.40977095,2755.79559023,2930.766738816,2865.152558096,67700.0
2010-07-12,2865.152558096,2865.152558096,2908.895345243,2865.152558096,9600.0
2010-07-14,2952.638132389,2887.02395167,3018.252313109,2887.02395167,28400.0
2010-07-15,2887.02395167,2887.02395167,2974.509525963,2952.638132389,14000.0
2010-07-21,3390.066003854,3171.352068122,3608.779939587,3236.966248842,83100.0
2010-07-23,3149.480674549,3040.123706682,3149.480674549,3105.737887402,52600.0
2010-07-28,3236.966248842,3083.866493829,3346.323216708,3149.480674549,68700.0
2010-07-29,3149.480674549,3083.866493829,3258.837642415,3236.966248842,54900.0
2010-08-02,3171.352068122,3083.866493829,3171.352068122,3105.737887402,54700.0
2010-08-03,3105.737887402,3061.995100256,3149.480674549,3061.995100256,102000.0
2010-08-05,3018.252313109,2974.509525963,3083.866493829,3061.995100256,71800.0
2010-08-06,3061.995100256,3040.123706682,3236.966248842,3236.966248842,241700.0
2010-08-09,3236.966248842,3061.995100256,3411.937397428,3236.966248842,91700.0
2010-08-11,3105.737887402,3061.995100256,3149.480674549,3127.609280975,19200.0
2010-08-13,2908.895345243,2733.924196657,2952.638132389,2865.152558096,38000.0
2010-08-17,3018.252313109,2843.281164523,3083.866493829,2930.766738816,26000.0
2010-08-18,2930.766738816,2799.538377377,2930.766738816,2799.538377377,46700.0
2010-08-19,2799.538377377,2733.924196657,2930.766738816,2821.40977095,29900.0
2010-08-20,2821.40977095,2821.40977095,2952.638132389,2908.895345243,22100.0
2010-08-24,2821.40977095,2624.56722879,2843.281164523,2624.56722879,67900.0
2010-08-25,2624.56722879,2515.210260924,2646.438622364,2537.081654497,93600.0
2010-08-26,2537.081654497,2515.210260924,2690.18140951,2624.56722879,32300.0
2010-08-27,2624.56722879,2624.56722879,2799.538377377,2799.538377377,86600.0
2010-08-31,2930.766738816,2843.281164523,2974.509525963,2865.152558096,60400.0
2010-09-07,3040.123706682,2887.02395167,3061.995100256,2930.766738816,86000.0
2010-09-08,2930.766738816,2861.536614277,3046.151879714,2861.536614277,28500.0
2010-09-10,3092.305696073,3046.151879714,3299.99786969,3046.151879714,118200.0
2010-09-13,3046.151879714,2953.844246995,3092.305696073,2953.844246995,51300.0
2010-09-14,2953.844246995,2884.613522456,3092.305696073,3046.151879714,48600.0
2010-09-16,2884.613522456,2746.152073378,2884.613522456,2884.613522456,52100.0
2010-09-20,2999.998063355,2861.536614277,3046.151879714,2953.844246995,42700.0
2010-09-21,2953.844246995,2861.536614277,3046.151879714,2953.844246995,28700.0
2010-09-22,2953.844246995,2815.382797917,2976.921155175,2861.536614277,38200.0
2010-09-23,2861.536614277,2676.921348839,2861.536614277,2769.228981558,64000.0
2010-09-27,2815.382797917,2723.075165199,2976.921155175,2792.305889738,37100.0
2010-09-28,2792.305889738,2769.228981558,2884.613522456,2792.305889738,27100.0
2010-09-29,2792.305889738,2746.152073378,2861.536614277,2746.152073378,21600.0
2010-09-30,2746.152073378,2746.152073378,2907.690430636,2769.228981558,5300.0
2010-10-01,2769.228981558,2746.152073378,2815.382797917,2746.152073378,2000.0
2010-10-05,2607.690624301,2584.613716121,2676.921348839,2653.84444066,20000.0
2010-10-06,2653.84444066,2653.84444066,2723.075165199,2699.998257019,3200.0
2010-10-07,2699.998257019,2676.921348839,2699.998257019,2676.921348839,54900.0
2010-10-08,2676.921348839,2630.76753248,2723.075165199,2676.921348839,33800.0
2010-10-11,2676.921348839,2630.76753248,2723.075165199,2653.84444066,9300.0
2010-10-12,2653.84444066,2630.76753248,2746.152073378,2630.76753248,47300.0
2010-10-13,2630.76753248,2607.690624301,2653.84444066,2653.84444066,17500.0
2010-10-14,2653.84444066,2653.84444066,2838.459706097,2769.228981558,51400.0
2010-10-21,2492.306083402,2399.998450684,2538.459899762,2469.229175223,26100.0
2010-10-25,2399.998450684,2307.690817965,2399.998450684,2353.844634324,50100.0
2010-10-27,2515.382991582,2446.152267043,2607.690624301,2515.382991582,12600.0
2010-10-29,2446.152267043,2399.998450684,2446.152267043,2446.152267043,9000.0
2010-11-01,2446.152267043,2446.152267043,2446.152267043,2446.152267043,10100.0
2010-11-02,2446.152267043,2423.075358863,2446.152267043,2446.152267043,35200.0
2010-11-04,2399.998450684,2399.998450684,2399.998450684,2399.998450684,5600.0
2010-11-05,2399.998450684,2399.998450684,2446.152267043,2446.152267043,2600.0
2010-11-08,2446.152267043,2446.152267043,2446.152267043,2446.152267043,27500.0
2010-11-09,2446.152267043,2376.921542504,2469.229175223,2376.921542504,9700.0
2010-11-10,2376.921542504,2353.844634324,2376.921542504,2376.921542504,7800.0
2010-11-12,2353.844634324,2307.690817965,2353.844634324,2307.690817965,75900.0
2010-11-15,2307.690817965,2146.152460708,2307.690817965,2307.690817965,29000.0
2010-11-17,2192.306277067,2192.306277067,2192.306277067,2192.306277067,24000.0
2010-11-22,2307.690817965,2307.690817965,2307.690817965,2307.690817965,13500.0
2010-11-24,2261.537001606,2192.306277067,2261.537001606,2261.537001606,12400.0
2010-12-03,2538.459899762,2469.229175223,2699.998257019,2676.921348839,40100.0
2010-12-06,2676.921348839,2538.459899762,2676.921348839,2538.459899762,24400.0
2010-12-10,2399.998450684,2330.767726145,2469.229175223,2446.152267043,20000.0
2010-12-14,2561.536807941,2515.382991582,2561.536807941,2561.536807941,28700.0
2010-12-16,2399.998450684,2330.767726145,2492.306083402,2330.767726145,22200.0
2010-12-29,2376.921542504,2376.921542504,2376.921542504,2376.921542504,2100.0
2010-12-30,2376.921542504,2353.844634324,2376.921542504,2353.844634324,600.0
2010-12-31,2353.844634324,2261.537001606,2376.921542504,2261.537001606,3400.0
2011-01-05,2330.767726145,2307.690817965,2376.921542504,2307.690817965,32400.0
2011-01-06,2307.690817965,2307.690817965,2399.998450684,2399.998450684,2200.0
2011-01-17,2307.690817965,2307.690817965,2307.690817965,2307.690817965,4200.0
2011-01-20,2284.613909785,2261.537001606,2284.613909785,2261.537001606,2200.0
2011-01-26,2307.690817965,2307.690817965,2399.998450684,2307.690817965,7200.0
2011-01-27,2307.690817965,2261.537001606,2307.690817965,2307.690817965,4700.0
2011-01-28,2307.690817965,2284.613909785,2353.844634324,2353.844634324,2400.0
2011-02-08,2353.844634324,2307.690817965,2353.844634324,2307.690817965,1200.0
