Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,1258.8334615775,1218.225930559,1299.440992596,1299.440992596,17453.0
2007-01-12,950.216225836,873.061916901,974.580744447,873.061916901,4986.0
2007-01-15,873.061916901,873.061916901,873.061916901,873.061916901,4986.0
2007-01-25,1392.838313939,1380.656054634,1461.871116671,1380.656054634,18450.0
2007-01-29,1279.137227087,1218.225930559,1340.048523615,1340.048523615,9973.0
2007-01-30,1340.048523615,1299.440992596,1340.048523615,1340.048523615,19448.0
2007-02-01,1360.352289124,1340.048523615,1506.539400791,1340.048523615,14461.0
2007-02-05,1461.871116671,1340.048523615,1461.871116671,1340.048523615,1994.0
2007-02-13,1254.772708476,1234.468942966,1258.833461578,1258.833461578,6981.0
2007-03-01,1461.871116671,1461.871116671,1502.478647689,1502.478647689,16954.0
2007-03-02,1502.478647689,1502.478647689,1632.422746949,1624.301240745,35904.0
2007-03-13,2769.433615471,2720.704578248,2927.802986443,2757.251356165,22440.0
2007-03-16,2286.203996349,2058.801822645,2497.363157646,2497.363157646,27925.0
2007-03-26,2314.629268062,2123.773872275,2318.690021164,2123.773872275,7480.0
2007-03-29,1949.161488894,1843.581908246,2026.31579783,1949.161488894,55851.0
2007-04-03,2395.844330099,2156.259897089,2436.451861118,2156.259897089,5485.0
2007-04-09,2070.98408195,2070.98408195,2233.414206025,2070.98408195,5485.0
2007-04-10,2070.98408195,1880.128686163,2070.98408195,2070.98408195,11469.0
2007-04-11,2070.98408195,2030.376550932,2111.591612969,2030.376550932,5984.0
2007-04-12,2030.376550932,2030.376550932,2030.376550932,2030.376550932,498.0
2007-05-03,1786.73136482,1786.73136482,1827.338895839,1827.338895839,4986.0
2007-05-07,1746.123833801,1705.516302783,1746.123833801,1746.123833801,7480.0
2007-05-09,1827.338895839,1827.338895839,1827.338895839,1827.338895839,1994.0
2007-05-14,1786.73136482,1786.73136482,1786.73136482,1786.73136482,4488.0
2007-05-29,2497.363157646,2436.451861118,2537.970688665,2529.849182461,33909.0
2007-05-30,2529.849182461,2436.451861118,2558.274454174,2517.666923155,33909.0
2007-06-06,2152.199143988,1949.161488894,2152.199143988,2152.199143988,29920.0
2007-06-08,2253.717971534,2253.717971534,2314.629268062,2294.325502553,3989.0
2007-06-11,2294.325502553,2111.591612969,2355.236799081,2355.236799081,13464.0
2007-06-14,2477.059392137,2477.059392137,2517.666923155,2477.059392137,11469.0
2007-06-18,2355.236799081,2144.077637784,2375.54056459,2144.077637784,3989.0
2007-06-19,2144.077637784,2075.044835052,2172.502909497,2075.044835052,15458.0
2007-06-21,2070.98408195,1989.769019913,2070.98408195,2030.376550932,13464.0
2007-06-22,2030.376550932,2006.011430517,2032.406317761,2021.848362863,9206.0
2007-06-25,2021.848362863,2021.848362863,2032.406317761,2032.406317761,6137.0
2007-07-06,2122.148934389,2106.312002043,2190.775641223,2190.775641223,767.0
2007-07-20,2190.775641223,2164.380753979,2322.750077441,2164.380753979,5753.0
2007-08-08,1900.431881542,1742.062558081,1900.431881542,1847.642107055,6904.0
2007-08-10,1847.642107055,1847.642107055,1847.642107055,1847.642107055,767.0
2007-08-30,1662.87789635,1662.87789635,1742.062558081,1662.87789635,3835.0
2007-09-12,1926.826768786,1900.431881542,1926.826768786,1900.431881542,6137.0
2007-09-18,2196.054618671,2137.985866735,2217.170528466,2217.170528466,6137.0
2007-09-19,2217.170528466,2206.612573569,2243.56541571,2206.612573569,4986.0
2007-09-20,2206.612573569,2058.801205004,2296.355190197,2058.801205004,4603.0
2007-10-02,2407.21371662,2349.144964684,2581.419972429,2428.329626415,5753.0
2007-10-04,2428.329626415,2428.329626415,2533.90917539,2454.724513659,27618.0
2007-10-05,2454.724513659,2428.329626415,2470.561446005,2465.282468556,24166.0
2007-10-09,2428.329626415,2380.818829377,2428.329626415,2428.329626415,8822.0
2007-10-12,2639.488724365,2639.488724365,2797.858047826,2639.488724365,26084.0
2007-10-26,5701.295644627,5252.582561485,6387.562712962,5595.716095653,166095.0
2007-10-30,4962.238801805,4466.014921625,5067.81835078,4751.079703856,52168.0
2007-11-01,4539.920605907,4487.13083142,5015.028576293,5015.028576293,87075.0
2007-11-02,5015.028576293,5015.028576293,5384.556997704,5384.556997704,145381.0
2007-11-05,5384.556997704,5120.608125267,5843.828035743,5843.828035743,49483.0
2007-11-06,5843.828035743,5542.926321166,6213.356457154,6213.356457154,198317.0
2007-11-12,5965.244517064,5806.875193602,6334.772938475,5859.664968089,47565.0
2007-11-13,5859.664968089,5321.209268319,5859.664968089,5331.767223216,54470.0
2007-11-14,5331.767223216,5278.977448729,5938.84962982,5859.664968089,54853.0
