Date,Price Open,Price Low,Price High,Price Close,Volume
2008-03-18,2223.198432063,1667.398824047,2778.998040079,2072.338538459,1301698.0
2008-03-21,2318.478364866,2096.15852166,2540.798208072,2096.15852166,613561.0
2008-03-26,1865.898684053,1683.278812848,2040.578560858,1961.178616856,1967463.0
2008-04-08,2223.198432063,2159.678476861,2286.718387265,2286.718387265,2782380.0
2008-04-09,2286.718387265,2183.498460062,2310.538370466,2183.498460062,802714.0
2008-04-11,2135.858493661,2072.338538459,2183.498460062,2127.91849926,485425.0
2008-04-16,2127.91849926,2064.398544059,2151.738482461,2151.738482461,1165426.0
2008-04-18,2199.378448862,2135.858493661,2262.898404064,2262.898404064,1816954.0
2008-04-21,2262.898404064,2223.198432063,2310.538370466,2262.898404064,795934.0
2008-04-22,2262.898404064,2215.258437663,2318.478364866,2215.258437663,1260342.0
2008-04-23,2215.258437663,2175.558465662,2223.198432063,2175.558465662,1164071.0
2008-04-24,2175.558465662,2119.97850486,2247.018415264,2159.678476861,859663.0
2008-04-25,2159.678476861,2119.97850486,2239.078420864,2239.078420864,562713.0
2008-05-05,2334.358353666,2286.718387265,2397.878308868,2302.598376065,804747.0
2008-05-16,1857.958689653,1802.378728851,1913.538650454,1802.378728851,1976954.0
2008-06-11,1135.419199232,1103.659221631,1167.179176833,1167.179176833,1186443.0
2008-06-18,1254.519115236,1222.759137635,1286.279092837,1222.759137635,570171.0
2008-06-23,1167.179176833,1127.479204832,1206.879148834,1190.999160034,1254918.0
2008-06-24,1190.999160034,1159.239182433,1198.939154434,1198.939154434,506442.0
2008-06-25,1198.939154434,1190.999160034,1238.639126435,1238.639126435,735595.0
2008-06-26,1238.639126435,1183.059165634,1278.339098436,1254.519115236,979663.0
2008-06-27,1254.519115236,1183.059165634,1262.459109636,1230.699132035,920002.0
2008-06-30,1230.699132035,1167.179176833,1246.579120835,1222.759137635,1188477.0
2008-07-01,1222.759137635,1214.819143234,1262.459109636,1262.459109636,544408.0
2008-07-02,1262.459109636,1238.639126435,1310.099076037,1310.099076037,1909835.0
2008-07-07,1389.499020039,1333.919059238,1445.078980841,1445.078980841,3324754.0
2008-07-08,1445.078980841,1365.679036839,1476.838958442,1476.838958442,2057632.0
2008-07-09,1476.838958442,1476.838958442,1476.838958442,1476.838958442,4745.0
2008-07-16,1715.038790449,1651.518835247,1778.558745651,1778.558745651,3056957.0
2008-07-18,1818.258717652,1818.258717652,1889.718667254,1889.718667254,2715261.0
2008-07-21,1889.718667254,1810.318723251,1953.238622455,1810.318723251,893561.0
2008-07-23,1746.79876805,1683.278812848,1786.498740051,1746.79876805,2381701.0
2008-07-24,1746.79876805,1627.698852046,1754.73876245,1635.638846446,3071194.0
2008-07-25,1635.638846446,1635.638846446,1754.73876245,1635.638846446,992545.0
2008-07-28,1635.638846446,1627.698852046,1715.038790449,1715.038790449,444069.0
2008-07-29,1715.038790449,1715.038790449,1770.61875125,1770.61875125,1031189.0
2008-07-30,1770.61875125,1699.158801648,1826.198712052,1794.438734451,1712547.0
2008-07-31,1794.438734451,1715.038790449,1818.258717652,1754.73876245,1157969.0
2008-08-01,1754.73876245,1683.278812848,1810.318723251,1691.218807248,1080002.0
2008-08-06,1580.058885645,1524.478924843,1635.638846446,1635.638846446,1726106.0
2008-08-07,1635.638846446,1595.938874445,1651.518835247,1651.518835247,1164748.0
2008-08-08,1651.518835247,1643.578840847,1707.098796048,1707.098796048,998646.0
2008-08-13,1818.258717652,1778.558745651,1889.718667254,1889.718667254,2170175.0
2008-08-19,2151.738482461,2151.738482461,2294.658381665,2294.658381665,4077977.0
2008-08-20,2294.658381665,2119.97850486,2437.578280869,2262.898404064,2534244.0
2008-08-21,2262.898404064,2231.138426463,2485.218247271,2485.218247271,1978988.0
2008-08-28,3160.11777129,2945.737922484,3374.497620096,2945.737922484,5137641.0
2008-08-29,2945.737922484,2842.517995281,3239.517715292,3239.517715292,4364757.0
2008-09-04,3279.217687293,3120.417799289,3501.537530499,3501.537530499,3640010.0
2008-09-05,3501.537530499,3255.397704092,3565.057485701,3295.097676094,1922039.0
2008-09-08,3295.097676094,3152.17777689,3295.097676094,3152.17777689,2787804.0
2008-09-09,3152.17777689,2953.677916884,3334.797648095,2993.377888885,1732208.0
2008-09-10,2993.377888885,2898.097956082,3318.917659294,3033.077860886,1787123.0
2008-09-11,3033.077860886,2850.457989681,3096.597816088,2850.457989681,2105768.0
2008-09-15,2683.718107276,2509.038230471,2874.277972882,2842.517995281,1715936.0
