Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-30,4420.8329136885,4160.783918766,4680.881908611,4368.823114704,787985.0
2009-11-05,3547.068290748,3328.627135012,3578.274170138,3422.244773185,244343.0
2009-11-06,3422.244773185,3245.411456637,3599.078089732,3245.411456637,49958.0
2009-11-10,3120.587939074,2922.950702933,3297.421255622,3214.205577246,34971.0
2009-11-11,3214.205577246,3078.980099887,3328.627135012,3120.587939074,85384.0
2009-11-12,3120.587939074,2964.55854212,3297.421255622,3297.421255622,11354.0
2009-11-16,3224.607537043,3016.568341105,3328.627135012,3016.568341105,9083.0
2009-11-17,3016.568341105,3016.568341105,3172.597738059,3016.568341105,17258.0
2009-11-19,3068.57814009,3016.568341105,3068.57814009,3068.57814009,9537.0
2009-11-23,2912.548743136,2860.538944151,2912.548743136,2860.538944151,9537.0
2009-11-26,2746.117386385,2579.686029635,2954.156582324,2579.686029635,34516.0
2009-11-27,2579.686029635,2475.666431666,2829.333064761,2829.333064761,11808.0
2009-12-07,2600.489949229,2496.470351259,2662.90170801,2621.293868822,143517.0
2009-12-09,2600.489949229,2548.480150244,2600.489949229,2548.480150244,25887.0
2009-12-11,2725.313466791,2538.078190447,2725.313466791,2538.078190447,7266.0
2009-12-17,2777.323265776,2610.891909025,2808.529145167,2808.529145167,15895.0
2009-12-18,2808.529145167,2756.519346182,2902.146783339,2902.146783339,6812.0
2009-12-21,2902.146783339,2860.538944151,2985.362461714,2985.362461714,37241.0
2009-12-23,3047.774220496,2985.362461714,3203.80361745,2985.362461714,19529.0
2009-12-25,3026.970300902,3026.970300902,3089.382059683,3068.57814009,610859.0
2009-12-30,3401.440853591,3172.597738059,3401.440853591,3255.813416434,59042.0
2009-12-31,3255.813416434,3224.607537043,3422.244773185,3276.617336028,572708.0
2010-01-06,3201.41617745,3051.014075153,3212.159184757,3051.014075153,36787.0
2010-01-07,3051.014075153,2965.070016698,3115.472118995,2965.070016698,462799.0
2010-01-08,2965.070016698,2889.86896555,3008.042045926,2889.86896555,189843.0
2010-01-14,2739.466863254,2707.237841333,2846.896936323,2793.181899788,34971.0
2010-01-15,2793.181899788,2685.75182672,2889.86896555,2685.75182672,18166.0
2010-01-19,2578.321753651,2470.891680582,2760.952877868,2760.952877868,470066.0
2010-01-21,2846.896936323,2803.924907095,2879.125958243,2825.410921709,21346.0
2010-01-22,2825.410921709,2793.181899788,2846.896936323,2793.181899788,9083.0
2010-01-25,2793.181899788,2739.466863254,2997.299038619,2739.466863254,771635.0
2010-02-02,2879.125958243,2707.237841333,2900.611972857,2707.237841333,13170.0
2010-02-03,2707.237841333,2578.321753651,2900.611972857,2793.181899788,609496.0
2010-02-09,2589.064760958,2578.321753651,2610.550775571,2578.321753651,18620.0
2010-02-12,2771.695885175,2771.695885175,2900.611972857,2771.695885175,20437.0
2010-02-22,2771.695885175,2578.321753651,2793.181899788,2589.064760958,33608.0
2010-02-25,2610.550775571,2524.606717116,2632.036790185,2524.606717116,31791.0
2010-03-01,2567.578746344,2567.578746344,2567.578746344,2567.578746344,24071.0
2010-03-03,2513.863709809,2513.863709809,2567.578746344,2567.578746344,93104.0
2010-03-04,2567.578746344,2567.578746344,2675.008819413,2567.578746344,44054.0
2010-03-08,2621.293782878,2470.891680582,2685.75182672,2470.891680582,50867.0
2010-03-09,2470.891680582,2470.891680582,2675.008819413,2567.578746344,125351.0
2010-03-10,2567.578746344,2546.09273173,2717.98084864,2717.98084864,262964.0
2010-03-15,2696.494834026,2685.75182672,2868.382950936,2868.382950936,196655.0
2010-03-16,2868.382950936,2696.494834026,2911.354980164,2900.611972857,279314.0
2010-03-19,3222.902192063,2997.299038619,3448.505345508,3448.505345508,381957.0
2010-03-22,3448.505345508,3330.332265132,3448.505345508,3448.505345508,647192.0
2010-03-23,3448.505345508,3244.388206677,3480.734367429,3244.388206677,401486.0
2010-03-24,3244.388206677,3222.902192063,3663.365491645,3384.047301667,411024.0
2010-03-25,3384.047301667,3147.701140915,3384.047301667,3330.332265132,589513.0
2010-03-31,3104.729111688,3072.500089767,3287.360235905,3158.444148222,199380.0
2010-04-01,3158.444148222,2986.556031312,3158.444148222,3115.472118995,61313.0
2010-04-02,3115.472118995,2900.611972857,3115.472118995,2943.584002085,84475.0
2010-04-06,3115.472118995,3018.785053233,3265.874221291,3051.014075153,100371.0
2010-04-08,3072.500089767,3061.75708246,3222.902192063,3104.729111688,109455.0
2010-04-09,3104.729111688,3093.986104381,3190.673170143,3115.472118995,300206.0
2010-04-12,3115.472118995,3008.042045926,3265.874221291,3008.042045926,327002.0
2010-04-13,3008.042045926,3008.042045926,3093.986104381,3008.042045926,115813.0
2010-04-14,3008.042045926,2911.354980164,3115.472118995,2911.354980164,161230.0
2010-04-16,3115.472118995,2975.813024005,3319.589257825,3061.75708246,137159.0
2010-04-19,3061.75708246,3040.271067847,3061.75708246,3040.271067847,59950.0
2010-04-21,3169.187155529,3018.785053233,3169.187155529,3169.187155529,89017.0
2010-04-26,2900.611972857,2846.896936323,2954.327009391,2954.327009391,113996.0
2010-04-27,2954.327009391,2900.611972857,3029.52806054,2900.611972857,205285.0
2010-04-28,2900.611972857,2900.611972857,2954.327009391,2900.611972857,108092.0
2010-04-29,2900.611972857,2889.86896555,2922.097987471,2922.097987471,50867.0
2010-05-06,3061.75708246,2943.584002085,3126.215126302,2943.584002085,250247.0
2010-05-12,3491.477374735,3330.332265132,3545.19241127,3330.332265132,69942.0
2010-05-14,3115.472118995,2943.584002085,3115.472118995,3018.785053233,296573.0
2010-05-17,3018.785053233,2954.327009391,3093.986104381,3008.042045926,62675.0
2010-05-19,2932.840994778,2750.209870561,2954.327009391,2793.181899788,162593.0
2010-05-20,2793.181899788,2728.723855947,2879.125958243,2846.896936323,168497.0
2010-05-24,2589.064760958,2578.321753651,2685.75182672,2642.779797492,70850.0
2010-05-25,2642.779797492,2642.779797492,2825.410921709,2750.209870561,95375.0
2010-05-31,2836.153929016,2707.237841333,2868.382950936,2728.723855947,72213.0
2010-06-02,2760.952877868,2685.75182672,2793.181899788,2739.466863254,57679.0
2010-06-04,2793.181899788,2793.181899788,2803.924907095,2803.924907095,98554.0
2010-06-10,2846.896936323,2814.667914402,2846.896936323,2825.410921709,64038.0
2010-06-14,2857.63994363,2836.153929016,2900.611972857,2900.611972857,40421.0
2010-06-15,2900.611972857,2868.382950936,3008.042045926,2975.813024005,78571.0
2010-06-18,3244.388206677,3115.472118995,3244.388206677,3115.472118995,187572.0
2010-06-21,3115.472118995,3104.729111688,3212.159184757,3136.958133608,57225.0
2010-06-22,3136.958133608,3136.958133608,3201.41617745,3190.673170143,206193.0
2010-06-23,3190.673170143,3136.958133608,3201.41617745,3190.673170143,208010.0
2010-06-24,3190.673170143,3126.215126302,3212.159184757,3190.673170143,204376.0
2010-06-25,3190.673170143,3061.75708246,3190.673170143,3061.75708246,174855.0
2010-06-30,3115.472118995,3093.219520021,3148.852964626,3115.472897863,50867.0
2010-07-02,3193.359720309,3171.106342468,3226.739787072,3226.739787072,70396.0
2010-07-05,3226.739787072,3226.739787072,3282.373231677,3226.739787072,58587.0
2010-07-06,3226.739787072,3059.839453258,3260.119853835,3126.599586784,53592.0
2010-07-07,3126.599586784,3059.839453258,3193.359720309,3059.839453258,9537.0
2010-07-09,3070.966142179,3004.206008654,3204.48640923,3204.48640923,2270.0
2010-07-12,3204.48640923,3204.48640923,3204.48640923,3204.48640923,908.0
2010-07-13,3204.48640923,3126.599586784,3226.739787072,3137.726275705,23616.0
2010-07-15,3115.472897863,3093.219520021,3215.613098151,3126.599586784,11808.0
2010-07-16,3126.599586784,3093.219520021,3171.106342468,3137.726275705,147151.0
2010-07-19,3137.726275705,3115.472897863,3204.48640923,3137.726275705,37241.0
2010-07-27,3338.006676282,3182.233031389,3393.640120886,3393.640120886,229356.0
2010-07-28,3393.640120886,3215.613098151,3482.653632254,3260.119853835,100371.0
2010-07-29,3260.119853835,3237.866475993,3315.75329844,3260.119853835,83567.0
2010-07-30,3260.119853835,3226.739787072,3271.246542756,3260.119853835,173947.0
2010-08-02,3260.119853835,3182.233031389,3260.119853835,3182.233031389,48142.0
2010-08-03,3182.233031389,3115.472897863,3204.48640923,3115.472897863,208918.0
2010-08-04,3115.472897863,3015.332697574,3148.852964626,3070.966142179,137159.0
2010-08-05,3070.966142179,3059.839453258,3137.726275705,3137.726275705,166680.0
2010-08-09,3059.839453258,2948.572564049,3059.839453258,2948.572564049,66763.0
2010-08-10,2948.572564049,2792.798919156,2948.572564049,2792.798919156,263873.0
2010-08-17,3015.332697574,2981.952630812,3026.459386495,3015.332697574,59950.0
2010-08-18,3015.332697574,3015.332697574,3115.472897863,3059.839453258,112180.0
2010-08-19,3059.839453258,3026.459386495,3070.966142179,3048.712764337,29975.0
2010-08-20,3048.712764337,2948.572564049,3059.839453258,3059.839453258,27704.0
2010-08-26,2781.672230235,2770.545541314,2792.798919156,2770.545541314,14987.0
2010-08-27,2770.545541314,2737.165474551,2948.572564049,2815.052296998,59496.0
2010-08-31,3015.332697574,3004.206008654,3059.839453258,3004.206008654,23616.0
2010-09-01,3004.206008654,2948.572564049,3015.332697574,3015.332697574,33154.0
2010-09-06,3015.332697574,3004.206008654,3093.219520021,3026.459386495,29975.0
2010-09-10,2881.812430523,2826.178985918,2892.939119444,2837.305674839,47687.0
2010-09-13,2837.305674839,2803.925608077,2848.43236376,2803.925608077,55408.0
2010-09-16,2826.178985918,2826.178985918,2892.939119444,2892.939119444,13170.0
2010-09-17,2892.939119444,2892.939119444,2981.952630812,2926.319186207,44508.0
2010-09-22,2870.685741602,2859.559052681,2881.812430523,2859.559052681,5904.0
2010-09-24,2881.812430523,2859.559052681,2892.939119444,2859.559052681,12716.0
2010-09-27,2859.559052681,2859.559052681,2892.939119444,2859.559052681,23162.0
2010-09-28,2859.559052681,2859.559052681,2870.685741602,2859.559052681,14079.0
2010-09-29,2859.559052681,2826.178985918,2892.939119444,2826.178985918,41329.0
2010-09-30,2826.178985918,2759.418852393,2837.305674839,2781.672230235,27704.0
2010-10-01,2781.672230235,2748.292163472,2781.672230235,2748.292163472,10445.0
2010-10-06,2781.672230235,2781.672230235,2792.798919156,2781.672230235,19075.0
2010-10-07,2781.672230235,2781.672230235,2781.672230235,2781.672230235,4995.0
2010-10-08,2781.672230235,2737.165474551,2781.672230235,2748.292163472,16350.0
2010-10-12,2759.418852393,2748.292163472,2770.545541314,2748.292163472,12716.0
2010-10-13,2748.292163472,2737.165474551,2781.672230235,2737.165474551,14987.0
2010-10-15,2748.292163472,2748.292163472,2748.292163472,2748.292163472,20891.0
2010-10-18,2748.292163472,2737.165474551,2781.672230235,2748.292163472,19983.0
2010-10-19,2748.292163472,2737.165474551,2937.445875128,2937.445875128,39966.0
2010-10-22,2703.785407788,2581.391829658,2703.785407788,2581.391829658,9991.0
2010-10-28,2692.658718867,2659.278652104,2726.03878563,2659.278652104,15895.0
2010-11-03,2737.165474551,2737.165474551,2748.292163472,2748.292163472,4995.0
2010-11-04,2748.292163472,2726.03878563,2826.178985918,2726.03878563,5904.0
2010-11-08,2759.418852393,2737.165474551,2759.418852393,2737.165474551,28158.0
2010-11-09,2737.165474551,2714.912096709,2826.178985918,2826.178985918,52229.0
2010-11-15,2737.165474551,2714.912096709,2737.165474551,2737.165474551,17258.0
2010-11-19,2714.912096709,2703.785407788,2726.03878563,2703.785407788,2270.0
2010-11-23,2714.912096709,2692.658718867,2726.03878563,2692.658718867,49958.0
2010-11-26,2703.785407788,2692.658718867,2703.785407788,2703.785407788,1816.0
2010-11-30,2703.785407788,2703.785407788,2703.785407788,2703.785407788,31791.0
2010-12-01,2703.785407788,2703.785407788,2703.785407788,2703.785407788,34062.0
2010-12-08,2803.925608077,2781.672230235,2803.925608077,2781.672230235,10445.0
2010-12-09,2781.672230235,2759.418852393,2781.672230235,2759.418852393,7720.0
2010-12-16,2848.43236376,2848.43236376,2848.43236376,2848.43236376,1362.0
2010-12-20,2892.939119444,2848.43236376,2892.939119444,2859.559052681,8175.0
2010-12-22,2870.685741602,2837.305674839,2892.939119444,2837.305674839,33154.0
2010-12-23,2837.305674839,2837.305674839,2859.559052681,2837.305674839,9991.0
2010-12-27,2848.43236376,2837.305674839,2848.43236376,2837.305674839,4087.0
2010-12-28,2837.305674839,2826.178985918,2837.305674839,2837.305674839,11808.0
2010-12-29,2837.305674839,2825.725758036,2837.306601307,2825.725758036,11354.0
2010-12-31,2848.887444578,2837.306601307,2848.887444578,2837.306601307,22708.0
2011-01-05,2953.115034013,2883.629974389,2953.115034013,2883.629974389,34516.0
2011-01-07,2895.21081766,2895.21081766,2895.21081766,2895.21081766,3633.0
2011-01-10,2895.21081766,2860.468287848,2895.21081766,2860.468287848,17712.0
2011-01-11,2860.468287848,2860.468287848,2860.468287848,2860.468287848,1816.0
2011-01-14,2848.887444578,2848.887444578,2848.887444578,2848.887444578,2270.0
2011-01-18,2860.468287848,2837.306601307,2860.468287848,2837.306601307,25887.0
2011-01-20,2848.887444578,2848.887444578,2848.887444578,2848.887444578,2270.0
2011-01-21,2848.887444578,2837.306601307,2848.887444578,2837.306601307,49504.0
2011-01-25,2848.887444578,2837.306601307,2848.887444578,2837.306601307,37241.0
2011-02-08,2872.049131119,2872.049131119,2872.049131119,2872.049131119,4541.0
2011-02-09,2872.049131119,2872.049131119,2872.049131119,2872.049131119,1816.0
2011-02-10,2872.049131119,2872.049131119,2872.049131119,2872.049131119,2270.0
2011-02-11,2872.049131119,2872.049131119,2872.049131119,2872.049131119,55408.0
