Date,Price Open,Price Low,Price High,Price Close,Volume
2008-09-17,10937.437305115,10937.437305115,10937.437305115,10937.437305115,126186.0
2008-09-19,10408.206467771,9967.180769984,10849.232165558,10408.206467771,689059.0
2008-09-24,10320.001328214,10055.385909541,10320.001328214,10320.001328214,148932.0
2008-09-25,10320.001328214,10320.001328214,10761.027026,10761.027026,164412.0
2008-09-29,11290.257863345,10849.232165558,11554.873282017,10937.437305115,52712.0
2008-10-01,10408.206467771,9967.180769984,10849.232165558,10496.411607328,126005.0
2008-10-02,10496.411607328,10320.001328214,10761.027026,10761.027026,133813.0
2008-10-03,10761.027026,10584.616746886,10937.437305115,10761.027026,28838.0
2008-10-08,9790.770490869,9437.94993264,10143.591049099,10143.591049099,54337.0
2008-10-09,10143.591049099,9790.770490869,10143.591049099,9790.770490869,61694.0
2008-10-13,9349.744793082,8908.719095295,9790.770490869,8908.719095295,116257.0
2008-10-17,9702.565351312,9437.94993264,10055.385909541,9967.180769984,136521.0
2008-10-20,9967.180769984,9702.565351312,10055.385909541,9702.565351312,114181.0
2008-10-21,9702.565351312,9437.94993264,9790.770490869,9437.94993264,100371.0
2008-10-31,7597.061876274,7231.197706595,7812.276093732,7231.197706595,71194.0
2008-11-03,7231.197706595,6886.854958662,7317.283393578,6972.940645645,160177.0
2008-11-04,6972.940645645,6714.683584696,7317.283393578,7317.283393578,241149.0
2008-11-06,7683.147563257,7532.497611037,8049.011732936,7941.404624207,253561.0
2008-11-10,7554.019032782,7554.019032782,7726.190406749,7726.190406749,188421.0
2008-11-13,7467.933345799,7424.890502308,7640.104719766,7532.497611037,91766.0
2008-11-19,6972.940645645,6757.726428187,6972.940645645,6886.854958662,103237.0
2008-11-24,6241.212306288,5939.912401846,6477.947945492,5939.912401846,49079.0
2008-11-25,5939.912401846,5660.13391915,6025.998088829,5703.176762642,104026.0
2008-11-26,5703.176762642,5574.048232167,5853.826714863,5724.698184388,55661.0
2008-11-27,5724.698184388,5638.612497405,5810.783871371,5638.612497405,33735.0
2008-12-01,5918.3909801,5918.3909801,5982.955245338,5939.912401846,74729.0
2008-12-02,5939.912401846,5681.655340896,5939.912401846,5896.869558354,4926.0
2008-12-03,5896.869558354,5746.219606134,5896.869558354,5832.305293117,50772.0
2008-12-04,5832.305293117,5832.305293117,5918.3909801,5918.3909801,13125.0
2008-12-09,5358.834014709,5165.141218997,5574.048232167,5294.269749471,153633.0
2008-12-10,5294.269749471,5208.184062488,5552.526810421,5552.526810421,70705.0
2008-12-15,6090.562354067,6069.040932321,6391.862258508,6370.340836762,159613.0
2008-12-17,6069.040932321,5918.3909801,6155.126619304,6112.083775813,112940.0
2008-12-18,6112.083775813,6047.519510575,6348.819415017,6348.819415017,133738.0
2008-12-24,6607.076475966,6305.776571525,6607.076475966,6607.076475966,87290.0
2008-12-25,6607.076475966,6391.862258508,6822.290693425,6564.033632475,15908.0
2008-12-26,6564.033632475,6456.426523746,6564.033632475,6456.426523746,53555.0
2008-12-30,6585.555054221,6542.512210729,6779.247849933,6779.247849933,134039.0
2008-12-31,6779.247849933,6671.640741204,6843.81211517,6779.247849933,44002.0
2009-01-02,6779.247849933,6607.076475966,6779.247849933,6779.247849933,10229.0
