Date,Price Open,Price Low,Price High,Price Close,Volume
2004-04-14,2136.209377021,2136.209377021,2136.209377021,2136.209377021,36062.0
2004-04-15,2136.209377021,2125.112185452,2136.209377021,2125.112185452,92087.0
2004-04-16,2125.112185452,2119.563589668,2125.112185452,2119.563589668,33804.0
2004-04-22,2019.688865547,2019.688865547,2019.688865547,2019.688865547,27717.0
2004-04-23,2019.688865547,2014.140269763,2025.237461332,2014.140269763,10995.0
2004-04-27,1975.300099272,1969.751503487,1975.300099272,1969.751503487,53046.0
2004-04-28,1969.751503487,1969.751503487,1969.751503487,1969.751503487,46371.0
2004-04-29,1969.751503487,1969.751503487,1997.494482409,1997.494482409,2650.0
2004-05-05,2008.591673978,1980.848695056,2008.591673978,1980.848695056,7984.0
2004-05-07,1969.751503487,1942.008524565,1969.751503487,1942.008524565,53046.0
2004-05-11,1964.202907703,1964.202907703,1964.202907703,1964.202907703,2323.0
2004-05-12,1964.202907703,1964.202907703,1969.751503487,1969.751503487,26507.0
2004-05-13,1969.751503487,1969.751503487,1969.751503487,1969.751503487,7821.0
2004-05-14,1969.751503487,1953.105716134,1969.751503487,1953.105716134,12762.0
2004-05-17,1953.105716134,1953.105716134,1953.105716134,1953.105716134,21042.0
2004-05-19,1942.008524565,1942.008524565,1942.008524565,1942.008524565,26834.0
2004-05-24,1953.105716134,1942.008524565,1953.105716134,1942.008524565,36946.0
2004-05-25,1942.008524565,1942.008524565,1942.008524565,1942.008524565,16166.0
2004-05-26,1942.008524565,1942.008524565,1942.008524565,1942.008524565,4221.0
2004-05-27,1942.008524565,1942.008524565,1942.008524565,1942.008524565,2617.0
2004-05-28,1942.008524565,1914.265545642,1942.008524565,1914.265545642,3272.0
2004-05-31,1914.265545642,1914.265545642,1914.265545642,1914.265545642,10962.0
2004-06-01,1914.265545642,1914.265545642,1914.265545642,1914.265545642,5268.0
2004-06-02,1914.265545642,1914.265545642,1914.265545642,1914.265545642,5530.0
2004-06-03,1914.265545642,1886.52256672,1914.265545642,1886.52256672,3599.0
