Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-19,9888.25769381,9888.25769381,9888.25769381,9888.25769381,11310.0
2009-09-03,14907.29758385,14233.098195636,15431.674885795,15132.030713255,1787307.0
2009-09-04,15132.030713255,14382.920281906,15132.030713255,14382.920281906,2729245.0
2009-09-07,14382.920281906,14158.187152501,14682.564454445,14532.742368176,2181500.0
2009-09-10,14233.098195636,14008.365066231,14532.742368176,14457.831325041,3737376.0
2009-09-17,17446.486986713,16687.944074247,17901.612734192,17598.195569206,3952973.0
2009-09-18,17598.195569206,17598.195569206,18356.738481672,18356.738481672,3329611.0
2009-09-25,21997.744461507,21997.744461507,23059.704538959,22149.453044,3507883.0
2009-09-28,22149.453044,21087.492966548,22149.453044,21239.201549041,2836048.0
2009-09-29,21239.201549041,20480.658636576,21846.035879014,20935.784384055,3412392.0
2009-09-30,20935.784384055,20025.532889096,20935.784384055,20025.532889096,4104856.0
2009-10-01,20025.532889096,19115.281394137,20328.950054083,19115.281394137,5024927.0
2009-10-05,18205.029899178,18053.321316685,19115.281394137,19115.281394137,7364396.0
2009-10-06,19115.281394137,19115.281394137,19722.11572411,19115.281394137,3879725.0
2009-10-07,19115.281394137,18963.572811644,19722.11572411,18963.572811644,3704845.0
2009-10-08,18963.572811644,18508.447064165,18963.572811644,18508.447064165,4498672.0
2009-10-13,20328.950054083,19873.824306603,21087.492966548,20177.241471589,4927604.0
2009-10-14,20177.241471589,19570.407141617,20177.241471589,20177.241471589,4730211.0
2009-10-16,21087.492966548,20328.950054083,21390.910131535,20328.950054083,4783639.0
2009-10-19,20328.950054083,19570.407141617,20480.658636576,19873.824306603,4194477.0
2009-10-20,19873.824306603,19873.824306603,20328.950054083,20328.950054083,4544021.0
2009-10-22,19873.824306603,19418.698559124,19873.824306603,19418.698559124,2860500.0
2009-10-23,19418.698559124,18508.447064165,19873.824306603,18508.447064165,4190114.0
2009-10-26,18508.447064165,18205.029899178,19418.698559124,18508.447064165,4387776.0
2009-10-27,18508.447064165,18356.738481672,19266.989976631,19266.989976631,4452461.0
2009-10-28,19266.989976631,18963.572811644,19570.407141617,19115.281394137,1635263.0
2009-10-30,18356.738481672,18356.738481672,18963.572811644,18660.155646658,1865349.0
2009-11-03,17749.904151699,16991.361239233,17749.904151699,16991.361239233,4535942.0
2009-11-04,16991.361239233,16687.944074247,17598.195569206,16687.944074247,2498137.0
2009-11-05,16687.944074247,16687.944074247,17446.486986713,17446.486986713,1894756.0
2009-11-10,17143.069821726,16384.526909261,17294.77840422,16384.526909261,3015667.0
2009-11-11,16384.526909261,16384.526909261,17143.069821726,17143.069821726,1530239.0
2009-11-12,17143.069821726,17143.069821726,17901.612734192,17446.486986713,2169921.0
2009-11-13,17446.486986713,17294.77840422,17901.612734192,17598.195569206,1977752.0
2009-11-16,17598.195569206,17143.069821726,17749.904151699,17143.069821726,2209884.0
2009-11-17,17143.069821726,16536.235491754,17901.612734192,17901.612734192,5625562.0
2009-11-18,17901.612734192,17901.612734192,18660.155646658,18660.155646658,6612472.0
2009-11-19,18660.155646658,18053.321316685,18963.572811644,18053.321316685,3727251.0
2009-11-20,18053.321316685,17749.904151699,18660.155646658,17901.612734192,6888876.0
2009-11-23,17901.612734192,17143.069821726,18053.321316685,17143.069821726,3654164.0
2009-11-24,17143.069821726,16536.235491754,17294.77840422,16687.944074247,4518923.0
2009-11-27,15170.858249315,14412.31533685,15929.401161781,15777.692579288,6224419.0
2009-11-30,15777.692579288,15170.858249315,15929.401161781,15322.566831809,1987662.0
2009-12-01,15322.566831809,15170.858249315,15625.983996795,15322.566831809,3866153.0
2009-12-02,15322.566831809,15019.149666822,15777.692579288,15019.149666822,5576981.0
2009-12-03,15019.149666822,14412.31533685,15170.858249315,14943.295375576,2208968.0
2009-12-07,15625.983996795,15474.275414302,15929.401161781,15929.401161781,1695316.0
2009-12-08,15929.401161781,15474.275414302,16081.109744274,15777.692579288,4475566.0
2009-12-10,15019.149666822,14715.732501836,15170.858249315,14715.732501836,1560130.0
2009-12-11,14715.732501836,14033.043880617,14867.441084329,14033.043880617,2245485.0
2009-12-15,14715.732501836,14715.732501836,15095.003958069,14715.732501836,1294929.0
2009-12-24,15699.889635306,15041.153007251,15699.889635306,15590.100197297,1767810.0
2009-12-28,16029.257949334,15590.100197297,16358.626263361,15809.679073315,1883176.0
2009-12-30,16578.205139379,16358.626263361,16907.573453407,16797.784015398,2262940.0
2009-12-31,16797.784015398,16578.205139379,17236.941767434,16578.205139379,2757656.0
2010-01-06,18115.257271507,17676.099519471,18444.625585535,18115.257271507,3507496.0
2010-01-07,18115.257271507,17566.310081461,18225.046709516,17676.099519471,2381548.0
2010-01-08,17676.099519471,17236.941767434,18225.046709516,17236.941767434,3206527.0
2010-01-11,17236.941767434,16687.994577388,17346.731205443,16797.784015398,980759.0
2010-01-12,16797.784015398,16139.047387343,16907.573453407,16139.047387343,2172684.0
2010-01-13,16139.047387343,15590.100197297,16797.784015398,16687.994577388,2310180.0
2010-01-14,16687.994577388,16687.994577388,17127.152329425,16907.573453407,986678.0
2010-01-15,16907.573453407,16468.41570137,17017.362891416,16687.994577388,1010430.0
2010-01-19,15919.468511324,15809.679073315,16139.047387343,15919.468511324,1205006.0
2010-01-20,15919.468511324,15370.521321279,16248.836825352,15480.310759288,1204780.0
2010-01-21,15480.310759288,14931.363569242,15590.100197297,15150.94244526,1652972.0
2010-01-22,15150.94244526,14931.363569242,15260.73188327,15041.153007251,1102157.0
2010-01-25,15041.153007251,14931.363569242,15260.73188327,15150.94244526,461349.0
2010-01-27,15809.679073315,15699.889635306,16248.836825352,15699.889635306,1167267.0
2010-01-28,15699.889635306,15260.73188327,15919.468511324,15260.73188327,515790.0
2010-01-29,15260.73188327,14821.574131233,15260.73188327,14931.363569242,987432.0
2010-02-01,14931.363569242,14821.574131233,15150.94244526,14931.363569242,522727.0
2010-02-02,14931.363569242,14821.574131233,15150.94244526,14931.363569242,493584.0
2010-02-03,14931.363569242,14821.574131233,15260.73188327,15260.73188327,751197.0
2010-02-09,15041.153007251,14931.363569242,15150.94244526,15041.153007251,692986.0
2010-02-10,15041.153007251,15041.153007251,15370.521321279,15370.521321279,669611.0
2010-02-11,15370.521321279,15370.521321279,15480.310759288,15480.310759288,343872.0
2010-02-12,15480.310759288,15480.310759288,15699.889635306,15699.889635306,460709.0
2010-02-22,15699.889635306,15480.310759288,15919.468511324,15480.310759288,521068.0
2010-02-24,15150.94244526,14821.574131233,15150.94244526,14931.363569242,631118.0
2010-02-25,14931.363569242,14931.363569242,15150.94244526,14931.363569242,1287949.0
2010-02-26,14931.363569242,14931.363569242,15150.94244526,15041.153007251,402875.0
2010-03-01,15041.153007251,15041.153007251,15150.94244526,15041.153007251,902416.0
2010-03-02,15041.153007251,14931.363569242,15150.94244526,15041.153007251,623125.0
2010-03-03,15041.153007251,14931.363569242,15260.73188327,15260.73188327,772837.0
2010-03-05,15809.679073315,15480.310759288,15809.679073315,15699.889635306,1169190.0
2010-03-08,15699.889635306,15699.889635306,16248.836825352,16248.836825352,2229990.0
2010-03-09,16248.836825352,16139.047387343,17017.362891416,16907.573453407,5795923.0
2010-03-10,16907.573453407,16797.784015398,17236.941767434,16907.573453407,2641649.0
2010-03-11,16907.573453407,16797.784015398,17127.152329425,16907.573453407,1732823.0
2010-03-12,16907.573453407,16797.784015398,17236.941767434,17236.941767434,2322471.0
2010-03-15,17236.941767434,16797.784015398,17346.731205443,17017.362891416,3124941.0
2010-03-17,16248.836825352,15919.468511324,16468.41570137,15919.468511324,1659306.0
2010-03-18,15919.468511324,15919.468511324,16468.41570137,16468.41570137,2301169.0
2010-03-19,16468.41570137,16139.047387343,16468.41570137,16139.047387343,857778.0
2010-03-22,16139.047387343,15919.468511324,16248.836825352,15919.468511324,1208663.0
2010-03-23,15919.468511324,15590.100197297,16029.257949334,15590.100197297,1882120.0
2010-03-24,15590.100197297,15480.310759288,15919.468511324,15809.679073315,1749374.0
2010-03-26,15370.521321279,15260.73188327,15590.100197297,15590.100197297,1502771.0
2010-03-29,15590.100197297,15370.521321279,15699.889635306,15480.310759288,979591.0
2010-03-30,15480.310759288,15370.521321279,15480.310759288,15370.521321279,862076.0
2010-03-31,15370.521321279,15041.153007251,15480.310759288,15041.153007251,1460583.0
2010-04-01,15041.153007251,15041.153007251,15699.889635306,15699.889635306,1832543.0
2010-04-02,15699.889635306,15590.100197297,15919.468511324,15699.889635306,1308044.0
2010-04-05,15699.889635306,15699.889635306,16139.047387343,16029.257949334,1734256.0
2010-04-06,16029.257949334,16029.257949334,16358.626263361,16248.836825352,2129214.0
2010-04-07,16248.836825352,16029.257949334,16358.626263361,16139.047387343,1433061.0
2010-04-08,16139.047387343,16029.257949334,16248.836825352,16029.257949334,1331268.0
2010-04-09,16029.257949334,16029.257949334,16248.836825352,16139.047387343,1578965.0
2010-04-12,16139.047387343,16139.047387343,16468.41570137,16139.047387343,1345330.0
2010-04-13,16139.047387343,15919.468511324,16358.626263361,15919.468511324,1118783.0
2010-04-14,15919.468511324,15809.679073315,16029.257949334,15919.468511324,882020.0
2010-04-15,15919.468511324,15919.468511324,16139.047387343,16029.257949334,915272.0
2010-04-16,16029.257949334,15809.679073315,16029.257949334,15809.679073315,755344.0
2010-04-19,15809.679073315,15590.100197297,15919.468511324,15590.100197297,865243.0
2010-04-20,15590.100197297,15370.521321279,15809.679073315,15370.521321279,1489160.0
2010-04-22,15480.310759288,15480.310759288,16248.836825352,16029.257949334,1892827.0
2010-04-26,16029.257949334,15919.468511324,16139.047387343,15919.468511324,1326404.0
2010-04-27,15919.468511324,15809.679073315,15919.468511324,15809.679073315,992786.0
2010-04-28,15809.679073315,15699.889635306,15919.468511324,15809.679073315,1392080.0
2010-04-29,15809.679073315,15699.889635306,16029.257949334,15699.889635306,1255413.0
2010-05-04,15699.889635306,15699.889635306,15919.468511324,15809.679073315,1149246.0
2010-05-05,15809.679073315,15590.100197297,15809.679073315,15590.100197297,1560001.0
2010-05-06,15590.100197297,15480.310759288,15699.889635306,15590.100197297,1627034.0
2010-05-10,15370.521321279,15150.94244526,15370.521321279,15150.94244526,691440.0
2010-05-11,15150.94244526,15150.94244526,15370.521321279,15260.73188327,742148.0
2010-05-13,15041.153007251,14931.363569242,15150.94244526,15041.153007251,992711.0
2010-05-14,15041.153007251,14931.363569242,15260.73188327,15150.94244526,410000.0
2010-05-18,14931.363569242,14821.574131233,14931.363569242,14821.574131233,996443.0
2010-05-20,14601.995255215,14272.626941187,14711.784693224,14601.995255215,1079009.0
2010-05-24,13943.25862716,13723.679751142,14162.837503178,14053.048065169,862830.0
2010-05-25,14053.048065169,13833.469189151,14272.626941187,14162.837503178,658715.0
2010-05-26,14162.837503178,14053.048065169,14272.626941187,14272.626941187,594963.0
2010-05-27,14272.626941187,13943.25862716,14382.416379197,14382.416379197,785957.0
2010-06-01,14601.995255215,14272.626941187,14711.784693224,14601.995255215,460181.0
2010-06-02,14601.995255215,14382.416379197,14821.574131233,14711.784693224,1032184.0
2010-06-03,14711.784693224,14492.205817206,14821.574131233,14492.205817206,1102723.0
2010-06-04,14492.205817206,14492.205817206,14601.995255215,14601.995255215,1102006.0
2010-06-08,14492.205817206,14162.837503178,14492.205817206,14382.416379197,554358.0
2010-06-09,14382.416379197,14272.626941187,14492.205817206,14272.626941187,727709.0
2010-06-10,14272.626941187,14162.837503178,14382.416379197,14272.626941187,313410.0
2010-06-11,14272.626941187,14162.837503178,14492.205817206,14162.837503178,664936.0
2010-06-15,14272.626941187,14162.837503178,14272.626941187,14272.626941187,256104.0
2010-06-16,14272.626941187,14272.626941187,14382.416379197,14272.626941187,500370.0
2010-06-17,14272.626941187,14162.837503178,14272.626941187,14272.626941187,344325.0
2010-06-18,14272.626941187,14162.837503178,14382.416379197,14162.837503178,525555.0
2010-06-21,14162.837503178,14162.837503178,14382.416379197,14382.416379197,265906.0
2010-06-22,14382.416379197,14272.626941187,14601.995255215,14382.416379197,548364.0
2010-06-23,14382.416379197,14162.837503178,14382.416379197,14382.416379197,151709.0
2010-06-24,14382.416379197,14272.626941187,14382.416379197,14272.626941187,519862.0
2010-06-25,14272.626941187,14162.837503178,14272.626941187,14162.837503178,333165.0
2010-06-28,14162.837503178,14053.048065169,14272.626941187,14162.837503178,464479.0
2010-06-29,14162.837503178,14053.048065169,14162.837503178,14053.048065169,770160.0
2010-06-30,14053.048065169,13613.890313133,14272.626941187,14272.626941187,593228.0
2010-07-01,14272.626941187,14053.048065169,14272.626941187,14162.837503178,592210.0
2010-07-02,14162.837503178,14053.048065169,14162.837503178,14053.048065169,107373.0
2010-07-05,14053.048065169,14053.048065169,14162.837503178,14053.048065169,407701.0
2010-07-07,13833.469189151,13504.100875123,14053.048065169,13613.890313133,485064.0
2010-07-08,13613.890313133,13394.311437114,13723.679751142,13394.311437114,452754.0
2010-07-09,13394.311437114,13394.311437114,13504.100875123,13394.311437114,209958.0
2010-07-12,13394.311437114,13394.311437114,13613.890313133,13613.890313133,232578.0
2010-07-13,13613.890313133,13613.890313133,13833.469189151,13613.890313133,503386.0
2010-07-14,13613.890313133,13504.100875123,13723.679751142,13613.890313133,582106.0
2010-07-15,13613.890313133,13284.521999105,13613.890313133,13504.100875123,754137.0
2010-07-16,13504.100875123,13284.521999105,13504.100875123,13394.311437114,1131979.0
2010-07-19,13394.311437114,13174.732561096,13394.311437114,13394.311437114,378746.0
2010-07-20,13394.311437114,13174.732561096,13394.311437114,13174.732561096,477372.0
2010-07-21,13174.732561096,13064.943123087,13174.732561096,13064.943123087,309791.0
2010-07-23,12735.57480906,12735.57480906,12955.153685078,12845.364247069,254671.0
2010-07-26,12845.364247069,12845.364247069,13064.943123087,13064.943123087,636057.0
2010-07-27,13064.943123087,12845.364247069,13064.943123087,12845.364247069,344966.0
2010-07-29,12625.78537105,12515.995933041,12625.78537105,12625.78537105,378218.0
2010-07-30,12625.78537105,12515.995933041,12625.78537105,12625.78537105,598243.0
2010-08-03,12515.995933041,12406.206495032,12625.78537105,12406.206495032,952408.0
2010-08-05,12076.838181005,11747.469866977,12186.627619014,11747.469866977,681449.0
2010-08-06,11747.469866977,11308.312114941,11747.469866977,11527.890990959,902642.0
2010-08-09,11527.890990959,10978.943800913,11527.890990959,11198.522676932,1035087.0
2010-08-11,10649.575486886,10122.586184442,10693.49126209,10649.575486886,917761.0
2010-08-13,10122.586184442,9990.838858831,10539.786048877,10539.786048877,967564.0
2010-08-16,10539.786048877,10539.786048877,10737.407037293,10561.743936479,1212622.0
2010-08-17,10561.743936479,10320.207172859,10561.743936479,10539.786048877,1596420.0
2010-08-19,10012.796746433,9639.512657202,10078.670409239,9727.344207609,1039875.0
2010-08-20,9727.344207609,9288.186455573,9749.302095211,9441.891668786,894612.0
2010-08-23,9441.891668786,8980.776029147,9441.891668786,9090.565467156,1491045.0
2010-08-26,8673.365602722,8475.744614305,8761.197153129,8761.197153129,2455405.0
2010-08-27,8761.197153129,8739.239265527,9178.397017564,9178.397017564,2355120.0
2010-09-01,10078.670409239,10078.670409239,10561.743936479,10539.786048877,1664320.0
2010-09-07,10693.49126209,10451.95449847,10693.49126209,10473.912386071,879268.0
2010-09-09,10100.62829684,10056.712521637,10276.291397655,10144.544072044,902228.0
2010-09-10,10144.544072044,9639.512657202,10144.544072044,9639.512657202,793233.0
2010-09-13,9639.512657202,9178.397017564,9639.512657202,9639.512657202,1917673.0
2010-09-14,9639.512657202,9441.891668786,9881.049420822,9661.470544804,286340.0
2010-09-15,9661.470544804,9332.102230776,9683.428432406,9661.470544804,579203.0
2010-09-16,9661.470544804,9441.891668786,9683.428432406,9639.512657202,292071.0
2010-09-20,9881.049420822,9771.259982813,10210.417734849,9881.049420822,930202.0
2010-09-21,9881.049420822,9551.681106795,9903.007308424,9551.681106795,1040139.0
2010-09-23,9661.470544804,9485.807443989,9683.428432406,9573.638994396,354881.0
2010-09-24,9573.638994396,9551.681106795,9639.512657202,9551.681106795,372073.0
2010-09-27,9551.681106795,9419.933781184,9595.596881998,9419.933781184,469681.0
2010-09-28,9419.933781184,9354.060118378,9551.681106795,9354.060118378,980269.0
2010-09-29,9354.060118378,9222.312792767,9441.891668786,9222.312792767,377540.0
2010-10-01,9419.933781184,9397.975893582,9551.681106795,9419.933781184,690347.0
2010-10-04,9419.933781184,9222.312792767,9441.891668786,9222.312792767,992748.0
2010-10-05,9222.312792767,9134.48124236,9419.933781184,9419.933781184,821396.0
2010-10-06,9419.933781184,9419.933781184,9639.512657202,9639.512657202,528458.0
2010-10-07,9639.512657202,9376.01800598,9639.512657202,9507.765331591,220853.0
2010-10-08,9507.765331591,9376.01800598,9551.681106795,9376.01800598,390924.0
2010-10-11,9376.01800598,9222.312792767,9376.01800598,9288.186455573,189448.0
2010-10-12,9288.186455573,9200.354905165,9288.186455573,9200.354905165,191296.0
2010-10-13,9200.354905165,9090.565467156,9397.975893582,9200.354905165,546403.0
2010-10-14,9200.354905165,9178.397017564,9310.144343175,9222.312792767,323174.0
2010-10-15,9222.312792767,9156.439129962,9310.144343175,9310.144343175,358991.0
2010-10-18,9310.144343175,9222.312792767,9376.01800598,9288.186455573,55609.0
2010-10-19,9288.186455573,8827.070815934,9332.102230776,8980.776029147,598582.0
2010-10-20,8980.776029147,8739.239265527,9002.733916749,8739.239265527,1115353.0
2010-10-21,8739.239265527,8563.576164712,8892.94447874,8892.94447874,217950.0
2010-10-22,8892.94447874,8783.155040731,9090.565467156,9002.733916749,217196.0
2010-10-25,9002.733916749,8783.155040731,9002.733916749,8980.776029147,216518.0
