Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-10,4757.2735905925,4209.976628843,5304.570552342,5304.570552342,147269.0
2010-03-17,6209.715527543,5809.767747803,6378.114592697,6104.466111822,13776.0
2010-03-18,6104.466111822,6104.466111822,6104.466111822,6104.466111822,475.0
2010-03-25,6020.266579245,5620.318799505,6462.314125274,5620.318799505,9976.0
2010-03-26,5620.318799505,5388.770084919,5893.96728038,5893.96728038,35154.0
2010-03-31,5304.570552342,4946.72253889,5304.570552342,4946.72253889,1900.0
2010-04-02,5241.420902909,4925.672655746,5578.219033217,5536.119266928,21377.0
2010-04-05,5536.119266928,5536.119266928,5536.119266928,5536.119266928,14251.0
2010-04-12,5367.720201775,5115.121604044,5494.01950064,5199.321136621,16627.0
2010-04-15,5051.971954611,4904.622772602,5220.371019765,5220.371019765,8551.0
2010-04-19,4736.223707448,4736.223707448,5136.171487188,5136.171487188,25178.0
2010-04-20,5136.171487188,4883.572889458,5262.470786053,5241.420902909,18052.0
2010-04-21,5241.420902909,4967.772422034,5536.119266928,4967.772422034,15677.0
2010-04-22,4967.772422034,4883.572889458,5283.520669198,4946.72253889,52256.0
2010-04-27,5178.271253477,5157.221370332,5178.271253477,5178.271253477,40855.0
2010-04-29,5367.720201775,5346.67031863,5704.518332082,5704.518332082,134442.0
2010-05-11,6209.715527543,5809.767747803,6525.463774706,5872.917397236,36104.0
2010-05-12,5872.917397236,5620.318799505,6083.416228678,5620.318799505,28978.0
2010-05-14,5599.268916361,5599.268916361,5957.116929812,5599.268916361,31829.0
2010-05-17,5599.268916361,5388.770084919,5851.867514091,5388.770084919,15201.0
2010-05-18,5388.770084919,5346.67031863,5494.01950064,5346.67031863,10926.0
2010-05-24,4441.525343429,4441.525343429,4736.223707448,4630.974291727,26603.0
2010-05-25,4630.974291727,4609.924408583,4757.273590592,4609.924408583,23753.0
2010-05-26,4609.924408583,4420.475460285,4652.024174871,4420.475460285,26603.0
2010-05-28,4841.473123169,4630.974291727,5157.221370332,4841.473123169,113064.0
2010-06-01,5199.321136621,4904.622772602,5409.819968063,5157.221370332,45605.0
2010-06-02,5157.221370332,5073.021837756,5641.368682649,5262.470786053,58432.0
2010-06-03,5262.470786053,5115.121604044,5683.468448938,5430.869851207,73159.0
2010-06-04,5430.869851207,5073.021837756,5809.767747803,5094.0717209,104988.0
2010-06-09,5030.922071467,4841.473123169,5472.969617496,5051.971954611,48456.0
2010-06-11,5073.021837756,5051.971954611,5725.568215226,5051.971954611,53206.0
2010-06-17,5430.869851207,5220.371019765,5557.169150072,5220.371019765,67458.0
2010-06-18,5220.371019765,5178.271253477,5704.518332082,5367.720201775,24228.0
2010-06-21,5367.720201775,5157.221370332,5893.96728038,5346.67031863,114489.0
2010-06-23,5472.969617496,5367.720201775,5978.166812957,5472.969617496,59857.0
2010-06-24,5472.969617496,5472.969617496,6083.416228678,5557.169150072,66033.0
2010-06-25,5557.169150072,5325.620435486,5557.169150072,5325.620435486,66033.0
2010-06-28,5325.620435486,5283.520669198,5893.96728038,5283.520669198,54632.0
2010-06-30,5472.969617496,5325.620435486,5999.216696101,5472.969617496,26128.0
2010-07-01,5472.969617496,5409.819968063,5872.917397236,5409.819968063,58432.0
2010-07-02,5409.819968063,5367.720201775,5830.817630947,5409.819968063,57007.0
2010-07-05,5409.819968063,5346.67031863,5767.667981515,5346.67031863,71259.0
2010-07-06,5346.67031863,5346.67031863,5936.067046668,5578.219033217,63183.0
2010-07-07,5578.219033217,5388.770084919,5767.667981515,5388.770084919,70784.0
2010-07-09,5515.069383784,5430.869851207,5767.667981515,5430.869851207,60807.0
2010-07-14,5641.368682649,5472.969617496,5662.418565794,5472.969617496,34679.0
2010-07-19,5451.919734351,5241.420902909,5557.169150072,5388.770084919,96912.0
2010-07-20,5388.770084919,5262.470786053,5409.819968063,5367.720201775,76960.0
2010-07-21,5367.720201775,5157.221370332,5515.069383784,5157.221370332,99763.0
2010-07-22,5157.221370332,5073.021837756,5388.770084919,5073.021837756,30879.0
2010-07-26,5430.869851207,5409.819968063,5430.869851207,5430.869851207,28503.0
2010-07-29,5262.470786053,5157.221370332,5346.67031863,5157.221370332,30879.0
2010-07-30,5157.221370332,4946.72253889,5325.620435486,4967.772422034,77910.0
2010-08-03,5241.420902909,4883.572889458,5325.620435486,5051.971954611,141568.0
2010-08-04,5051.971954611,4736.223707448,5241.420902909,5051.971954611,89786.0
2010-08-05,5051.971954611,4946.72253889,5136.171487188,5030.922071467,162471.0
2010-08-10,5030.922071467,4841.473123169,5304.570552342,4883.572889458,60807.0
2010-08-11,4883.572889458,4841.473123169,5136.171487188,5009.872188323,67458.0
2010-08-12,5009.872188323,4715.173824304,5388.770084919,4715.173824304,106413.0
2010-08-13,4715.173824304,4673.074058015,5051.971954611,4757.273590592,51781.0
2010-08-16,4757.273590592,4694.12394116,5009.872188323,5009.872188323,140618.0
2010-08-17,5009.872188323,4736.223707448,5262.470786053,4736.223707448,40855.0
2010-08-23,5009.872188323,4904.622772602,5578.219033217,4904.622772602,133967.0
2010-08-24,4904.622772602,4757.273590592,5388.770084919,4757.273590592,34204.0
2010-08-26,4862.523006313,4778.323473737,4988.822305179,4778.323473737,19002.0
2010-08-30,4609.924408583,4420.475460285,4820.423240025,4609.924408583,81235.0
2010-08-31,4609.924408583,4315.226044564,4820.423240025,4315.226044564,59382.0
2010-09-06,4673.074058015,4483.625109718,5073.021837756,4504.674992862,202851.0
2010-09-09,4757.273590592,4694.12394116,5367.720201775,5030.922071467,68883.0
2010-09-10,5030.922071467,4904.622772602,5599.268916361,4904.622772602,134442.0
2010-09-13,4904.622772602,4883.572889458,5599.268916361,4883.572889458,126366.0
2010-09-15,4925.672655746,4862.523006313,5472.969617496,4862.523006313,38004.0
2010-09-16,4862.523006313,4820.423240025,5136.171487188,4820.423240025,42280.0
2010-09-17,4820.423240025,4652.024174871,4946.72253889,4925.672655746,101663.0
2010-09-20,4925.672655746,4567.824642294,4988.822305179,4652.024174871,32779.0
2010-09-22,4546.77475915,4546.77475915,4546.77475915,4546.77475915,1425.0
2010-09-23,4546.77475915,4231.026511987,4673.074058015,4525.724876006,71259.0
2010-09-27,4357.325810852,4231.026511987,4420.475460285,4231.026511987,23278.0
2010-09-28,4231.026511987,4209.976628843,4567.824642294,4504.674992862,44655.0
2010-09-29,4504.674992862,4146.82697941,4630.974291727,4167.876862554,36104.0
2010-10-01,4378.375693996,4231.026511987,4588.874525439,4231.026511987,28978.0
2010-10-05,4209.976628843,3915.278264824,4462.575226573,3915.278264824,39905.0
2010-10-07,4041.577563689,4041.577563689,4609.924408583,4041.577563689,102613.0
2010-10-08,4041.577563689,3978.427914256,4399.425577141,3978.427914256,37054.0
2010-10-11,3978.427914256,3936.328147968,4146.82697941,3936.328147968,27078.0
2010-10-12,3936.328147968,3810.028849103,4209.976628843,3810.028849103,24228.0
2010-10-15,3852.128615391,3641.629783949,3957.378031112,3788.978965958,35629.0
2010-10-18,3788.978965958,3704.779433382,3957.378031112,3704.779433382,30879.0
2010-10-19,3704.779433382,3683.729550237,3894.22838168,3894.22838168,35629.0
2010-10-22,3767.929082814,3515.330485084,3873.178498535,3515.330485084,29928.0
2010-10-27,3704.779433382,3557.430251372,3852.128615391,3810.028849103,58907.0
2010-10-28,3810.028849103,3788.978965958,3810.028849103,3810.028849103,28503.0
2010-10-29,3810.028849103,3788.978965958,3894.22838168,3894.22838168,38004.0
2010-11-02,3599.530017661,3431.130952507,3788.978965958,3431.130952507,38004.0
2010-11-03,3431.130952507,3367.981303074,3662.679667093,3367.981303074,19952.0
2010-11-05,3683.729550237,3578.480134516,3725.829316526,3578.480134516,16152.0
2010-11-08,3578.480134516,3578.480134516,3662.679667093,3662.679667093,19002.0
2010-11-11,3637.421262289,3410.082433396,3662.681132166,3410.082433396,19794.0
2010-11-16,3662.681132166,3586.901522535,3662.681132166,3586.901522535,8313.0
2010-11-17,3586.901522535,3410.082433396,3586.901522535,3410.082433396,8313.0
2010-11-18,3410.082433396,3359.562693642,3662.681132166,3359.562693642,56611.0
2010-11-19,3359.562693642,3208.00347438,3612.161392412,3208.00347438,25336.0
2010-11-23,3258.523214134,3258.523214134,3460.60217315,3258.523214134,14647.0
2010-11-24,3258.523214134,3208.00347438,3511.121912904,3511.121912904,13855.0
2010-11-26,3334.302823765,3182.743604503,3435.342303273,3182.743604503,16231.0
2010-12-01,3536.381782781,3536.381782781,3788.980481551,3536.381782781,49089.0
2010-12-02,3536.381782781,3536.381782781,3763.720611674,3687.941002043,62945.0
2010-12-06,3965.79957069,3788.980481551,4193.138399583,3788.980481551,32066.0
2010-12-07,3788.980481551,3738.460741797,4041.579180321,3738.460741797,16231.0
2010-12-08,3738.460741797,3561.641652658,3991.059440567,3561.641652658,40776.0
2010-12-14,4142.618659829,3788.980481551,4268.918009214,3788.980481551,26524.0
2010-12-16,3890.019961059,3890.019961059,4395.217358599,3890.019961059,28503.0
2010-12-20,3965.79957069,3839.500221305,4395.217358599,3864.760091182,45130.0
2010-12-21,3864.760091182,3788.980481551,4142.618659829,3788.980481551,24148.0
2010-12-23,3814.240351428,3788.980481551,4117.358789952,3788.980481551,21773.0
2010-12-27,4218.39826946,3915.279830936,4243.658139337,3915.279830936,20981.0
2010-12-29,3940.539700813,3864.760091182,4117.358789952,3864.760091182,36421.0
2010-12-30,3864.760091182,3814.240351428,4218.39826946,3814.240351428,71259.0
2011-01-05,4041.579180321,4041.579180321,4369.957488722,4041.579180321,42359.0
2011-01-12,3965.79957069,3788.980481551,4167.878529706,3788.980481551,28107.0
2011-01-17,3839.500221305,3814.240351428,4142.618659829,4092.098920075,25336.0
2011-01-24,3637.421262289,3536.381782781,3763.720611674,3763.720611674,33254.0
2011-01-26,3687.941002043,3687.941002043,3738.460741797,3738.460741797,19794.0
2011-02-10,3738.460741797,3662.681132166,4142.618659829,3839.500221305,32462.0
2011-02-14,3713.20087192,3561.641652658,3763.720611674,3763.720611674,17023.0
2011-02-15,3763.720611674,3561.641652658,3890.019961059,3586.901522535,16627.0
2011-02-23,3713.20087192,3561.641652658,3738.460741797,3561.641652658,19002.0
2011-02-24,3561.641652658,3460.60217315,3763.720611674,3536.381782781,28503.0
2011-02-25,3536.381782781,3460.60217315,3763.720611674,3460.60217315,20586.0
2011-03-02,3460.60217315,3334.302823765,3612.161392412,3334.302823765,18606.0
2011-03-04,3283.783084011,3081.704124995,3511.121912904,3081.704124995,14251.0
2011-03-09,3233.263344257,3157.483734626,3485.862043027,3157.483734626,16627.0
2011-03-16,3384.822563519,3258.523214134,3410.082433396,3258.523214134,12272.0
2011-03-17,3258.523214134,3233.263344257,3561.641652658,3233.263344257,40380.0
2011-03-22,3536.381782781,3435.342303273,3662.681132166,3435.342303273,9501.0
2011-03-23,3435.342303273,3384.822563519,3586.901522535,3410.082433396,19794.0
2011-03-24,3410.082433396,3258.523214134,3511.121912904,3511.121912904,22169.0
2011-03-25,3511.121912904,3283.783084011,3536.381782781,3536.381782781,20586.0
2011-03-28,3536.381782781,3435.342303273,3536.381782781,3536.381782781,21377.0
2011-03-29,3536.381782781,3283.783084011,3536.381782781,3536.381782781,12668.0
2011-03-31,3410.082433396,3410.082433396,3536.381782781,3536.381782781,32462.0
2011-04-01,3536.381782781,3536.381782781,3536.381782781,3536.381782781,7917.0
2011-04-04,3536.381782781,3536.381782781,3536.381782781,3536.381782781,5938.0
2011-04-05,3536.381782781,3536.381782781,3536.381782781,3536.381782781,21773.0
2011-04-06,3536.381782781,3410.082433396,3536.381782781,3536.381782781,41567.0
2011-04-07,3536.381782781,3384.822563519,3536.381782781,3536.381782781,26524.0
2011-04-08,3536.381782781,3536.381782781,3536.381782781,3536.381782781,7917.0
2011-04-13,3536.381782781,3485.862043027,3536.381782781,3485.862043027,39588.0
2011-04-14,3485.862043027,3485.862043027,3536.381782781,3511.121912904,53840.0
2011-04-20,3233.263344257,3157.483734626,3435.342303273,3157.483734626,83135.0
2011-04-22,3485.862043027,3410.082433396,3511.121912904,3511.121912904,12272.0
2011-04-26,3410.082433396,3410.082433396,3511.121912904,3485.862043027,17023.0
2011-04-27,3485.862043027,3410.082433396,3536.381782781,3536.381782781,14647.0
2011-04-28,3536.381782781,3258.523214134,3561.641652658,3561.641652658,12272.0
