Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,21365.581463023,21365.581463023,21365.581463023,21365.581463023,1005.0
2006-12-27,22351.685222855,21694.282716301,22844.737102771,21694.282716301,66932.0
2006-12-29,22680.386476133,22351.685222855,22680.386476133,22680.386476133,62910.0
2007-01-02,22680.386476133,21694.282716301,22680.386476133,21694.282716301,22722.0
2007-01-04,21365.581463023,21365.581463023,21858.633342939,21858.633342939,87874.0
2007-01-09,23173.438356048,23173.438356048,23173.438356048,23173.438356048,38723.0
2007-01-11,23337.788982687,23009.08772941,23337.788982687,23009.08772941,23412.0
2007-01-15,22844.737102771,22351.685222855,23830.840862603,23830.840862603,29731.0
2007-01-16,23830.840862603,23830.840862603,23830.840862603,23830.840862603,4768.0
2007-01-19,23502.139609326,23502.139609326,23502.139609326,23502.139609326,70149.0
2007-01-22,23502.139609326,22844.737102771,23502.139609326,22844.737102771,118640.0
2007-01-23,22844.737102771,22680.386476133,22844.737102771,22844.737102771,37028.0
2007-01-25,23830.840862603,22680.386476133,24159.54211588,22680.386476133,53201.0
2007-01-26,22680.386476133,22680.386476133,23666.490235964,23009.08772941,80606.0
2007-01-29,23009.08772941,23009.08772941,24159.54211588,23502.139609326,89626.0
2007-01-30,23502.139609326,22844.737102771,23502.139609326,22844.737102771,53029.0
2007-02-02,23830.840862603,23830.840862603,23830.840862603,23830.840862603,40762.0
2007-02-05,23830.840862603,23830.840862603,23830.840862603,23830.840862603,100111.0
2007-02-06,23830.840862603,22844.737102771,23830.840862603,22844.737102771,77963.0
2007-02-09,23009.08772941,23009.08772941,23337.788982687,23337.788982687,62135.0
2007-02-12,23337.788982687,23337.788982687,23830.840862603,23830.840862603,42400.0
2007-02-14,23666.490235964,23666.490235964,23666.490235964,23666.490235964,31053.0
2007-02-15,23666.490235964,23173.438356048,24652.593995796,23173.438356048,47111.0
2007-02-28,24816.944622435,23830.840862603,24816.944622435,23830.840862603,8215.0
2007-03-01,23830.840862603,23173.438356048,23830.840862603,23830.840862603,14104.0
2007-03-02,23830.840862603,23830.840862603,24488.243369158,23830.840862603,42400.0
2007-03-05,23830.840862603,23830.840862603,23995.191489242,23830.840862603,28353.0
2007-03-06,23830.840862603,23009.08772941,24488.243369158,23830.840862603,67191.0
2007-03-07,23830.840862603,23502.139609326,23830.840862603,23830.840862603,35477.0
2007-03-08,23830.840862603,23502.139609326,23830.840862603,23502.139609326,14621.0
2007-03-09,23502.139609326,23502.139609326,23995.191489242,23502.139609326,98388.0
2007-03-12,23502.139609326,23502.139609326,23830.840862603,23502.139609326,37114.0
2007-03-13,23502.139609326,23009.08772941,23502.139609326,23009.08772941,63571.0
2007-03-14,23009.08772941,21858.633342939,23830.840862603,22516.035849494,62393.0
2007-03-16,21694.282716301,21694.282716301,22680.386476133,22680.386476133,61330.0
2007-03-21,23009.08772941,23009.08772941,23009.08772941,23009.08772941,69288.0
2007-03-22,23009.08772941,22680.386476133,23009.08772941,23009.08772941,88764.0
2007-03-26,22516.035849494,22187.334596217,22516.035849494,22187.334596217,53718.0
2007-03-30,21858.633342939,21858.633342939,22187.334596217,21858.633342939,83220.0
2007-04-02,21858.633342939,20872.529583107,21858.633342939,21365.581463023,13386.0
2007-04-03,21365.581463023,21036.880209746,21365.581463023,21201.230836385,4423.0
2007-04-04,21201.230836385,20543.82832983,21201.230836385,20543.82832983,61187.0
2007-04-05,20543.82832983,20543.82832983,21036.880209746,21036.880209746,97641.0
2007-04-09,20543.82832983,20379.477703192,20708.178956469,20543.82832983,180028.0
2007-04-12,20543.82832983,20543.82832983,20543.82832983,20543.82832983,26514.0
2007-04-16,20215.127076553,19229.023316721,20215.127076553,19229.023316721,18528.0
2007-04-18,18407.270183528,18078.568930251,19229.023316721,19229.023316721,39556.0
2007-04-19,19229.023316721,19229.023316721,19229.023316721,19229.023316721,34586.0
2007-04-20,19229.023316721,19064.672690082,19229.023316721,19064.672690082,8388.0
2007-05-02,16599.413290503,16435.062663864,16928.11454378,16435.062663864,22492.0
2007-05-03,16435.062663864,15777.66015731,16435.062663864,15777.66015731,71097.0
