Date,Price Open,Price Low,Price High,Price Close,Volume
2010-07-26,10690.563778438,10208.49591575,11172.631641126,10605.49297914,930777.0
2010-07-27,10605.49297914,10095.068183353,10718.920711537,10718.920711537,379113.0
2010-07-28,10718.920711537,10321.923648147,11059.203908729,11059.203908729,360335.0
2010-07-29,11059.203908729,10605.49297914,11059.203908729,10605.49297914,384526.0
2010-07-30,10605.49297914,10095.068183353,10889.062310133,10889.062310133,327997.0
2010-08-02,10889.062310133,10775.634577736,10889.062310133,10889.062310133,244331.0
2010-08-03,10889.062310133,10378.637514346,10889.062310133,10378.637514346,84018.0
2010-08-04,10378.637514346,9868.212718558,10775.634577736,9868.212718558,114222.0
2010-08-05,9868.212718558,9868.212718558,10095.068183353,9868.212718558,153683.0
2010-08-06,9868.212718558,9698.071119962,10208.49591575,9981.640450956,217424.0
2010-08-09,9981.640450956,9527.929521367,10151.782049551,9641.357253764,139225.0
2010-08-10,9641.357253764,9187.646324175,9641.357253764,9187.646324175,322760.0
2010-08-11,9187.646324175,9187.646324175,9641.357253764,9641.357253764,395247.0
2010-08-12,9641.357253764,9244.360190374,9981.640450956,9981.640450956,690801.0
2010-08-13,9981.640450956,9641.357253764,10321.923648147,10321.923648147,367564.0
2010-08-16,10321.923648147,10208.49591575,10662.206845339,10662.206845339,311387.0
2010-08-17,10662.206845339,10208.49591575,10889.062310133,10718.920711537,254999.0
2010-08-18,10718.920711537,10208.49591575,10775.634577736,10208.49591575,234440.0
2010-08-19,10208.49591575,9754.784986161,10321.923648147,10151.782049551,121645.0
2010-08-20,10151.782049551,9698.071119962,10208.49591575,10208.49591575,177910.0
2010-08-23,10208.49591575,9698.071119962,10208.49591575,9698.071119962,96413.0
2010-08-24,9698.071119962,9244.360190374,9924.926584757,9754.784986161,200515.0
2010-08-25,9754.784986161,9301.074056572,9754.784986161,9584.643387565,283475.0
2010-08-26,9584.643387565,9357.787922771,10038.354317154,9641.357253764,235550.0
2010-08-27,9641.357253764,9301.074056572,9641.357253764,9527.929521367,86751.0
2010-08-30,9527.929521367,9357.787922771,9811.49885236,9471.215655168,255087.0
