Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-16,27668.296592206,16908.403473015,38428.189711397,29973.98797489,114044.0
2007-10-19,31126.833666232,28475.288576146,33816.80694603,28821.142283548,22699.0
2007-10-22,28821.142283548,27091.873746535,30166.128923447,27091.873746535,32584.0
2007-10-24,24747.75417414,22403.634601745,27284.014695092,27091.873746535,85854.0
2007-10-29,29013.283232105,26400.16633173,29205.424180662,26400.16633173,19770.0
2007-10-30,26400.16633173,25593.174347791,27668.296592206,25593.174347791,14278.0
2007-10-31,25593.174347791,23249.054775395,25746.887106636,25746.887106636,17573.0
2007-11-01,25746.887106636,23441.195723952,26323.309952307,25939.028055193,51988.0
2007-11-02,25939.028055193,24978.323312408,26323.309952307,25170.464260965,11715.0
2007-11-07,22864.772878281,22288.350032611,23441.195723952,22864.772878281,43933.0
2007-11-08,22864.772878281,22672.631929725,23441.195723952,22672.631929725,8237.0
2007-11-12,21904.068135497,21904.068135497,21904.068135497,21904.068135497,37526.0
2007-11-15,21135.504341269,21135.504341269,22288.350032611,21904.068135497,2379.0
2007-11-22,19214.094855699,19214.094855699,20174.799598484,19214.094855699,7139.0
2007-11-26,18829.812958585,17869.1082158,19406.235804256,19406.235804256,39174.0
2007-11-28,19982.658649927,19598.376752813,19982.658649927,19598.376752813,915.0
2007-12-03,19982.658649927,19329.379424833,20213.227788195,19329.379424833,4576.0
2007-12-06,20559.081495598,19214.094855699,21135.504341269,19598.376752813,18671.0
2007-12-11,19598.376752813,18061.249164357,19598.376752813,18061.249164357,2745.0
2007-12-13,19406.235804256,19214.094855699,20751.222444155,19329.379424833,4759.0
2007-12-18,18445.531061471,17676.967267243,18445.531061471,18445.531061471,3661.0
2007-12-19,18445.531061471,18445.531061471,19214.094855699,18445.531061471,8420.0
2007-12-21,18445.531061471,16869.975283303,19137.238476276,16869.975283303,549.0
2007-12-25,16869.975283303,16677.834334747,19214.094855699,19021.953907142,2928.0
2007-12-27,17292.685370129,17292.685370129,17292.685370129,17292.685370129,3844.0
2008-01-07,18253.390112914,16831.547093592,18253.390112914,18253.390112914,549.0
2008-01-17,15448.132263982,15371.275884559,16524.121575901,16139.839678787,1830.0
2008-01-21,15371.275884559,15371.275884559,16139.839678787,15371.275884559,21966.0
2008-01-24,13488.294588701,13488.294588701,13872.576485814,13488.294588701,1098.0
2008-01-28,13680.435537258,13642.007347546,13680.435537258,13680.435537258,2928.0
2008-01-29,13680.435537258,12335.448897359,13757.29191668,13680.435537258,3111.0
2008-01-30,13680.435537258,13642.007347546,14218.430193217,14218.430193217,14644.0
2008-01-31,14218.430193217,13834.148296103,15179.134936002,13834.148296103,3478.0
2008-02-01,13834.148296103,13449.866398989,14026.28924466,13449.866398989,25994.0
2008-02-13,13680.435537258,13680.435537258,13680.435537258,13680.435537258,2013.0
2008-02-14,13680.435537258,12681.302604761,13680.435537258,12681.302604761,31302.0
2008-02-15,12681.302604761,11874.310620822,13065.584501875,11874.310620822,3295.0
2008-02-18,11874.310620822,11835.88243111,12873.443553318,11912.738810533,2928.0
2008-02-19,11912.738810533,11374.744154574,12143.307948802,11374.744154574,6956.0
2008-02-20,11374.744154574,11144.175016305,12297.020707647,11144.175016305,9335.0
2008-02-26,10260.326652943,9069.05277189,10913.605878037,9069.05277189,7139.0
2008-02-29,8435.40701603,8316.598466509,9306.669712522,9306.669712522,7688.0
2008-03-05,7326.527220496,6772.087322728,7524.541469698,7524.541469698,9702.0
2008-03-06,7524.541469698,7524.541469698,7524.541469698,7524.541469698,10251.0
2008-03-10,8276.995616668,7484.938619858,9069.052613478,9029.449763638,33499.0
2008-03-13,7920.569968103,7524.541469698,8276.995616668,7524.541469698,3478.0
2008-03-14,7524.541469698,7326.527220496,7920.569968103,7524.541469698,12630.0
2008-03-24,7128.512971293,6772.087322728,7841.364268422,6772.087322728,8786.0
2008-03-25,6772.087322728,6653.278773207,7286.924370655,6653.278773207,9702.0
2008-03-26,6653.278773207,6336.455974483,7603.747169379,6336.455974483,16841.0
