Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,3098.9176594405,2799.022402075,3398.812916806,3198.882745229,91263.0
2006-12-25,2719.050333445,2619.085247656,2719.050333445,2719.050333445,47321.0
2006-12-26,2719.050333445,2599.092230499,2719.050333445,2599.092230499,6760.0
2007-01-02,2799.022402075,2559.106196183,2799.022402075,2639.078264814,68729.0
2007-01-04,2679.064299129,2667.068488835,2719.050333445,2719.050333445,8450.0
2007-01-08,2799.022402075,2779.029384918,2847.005643254,2835.009832959,41125.0
2007-01-09,2835.009832959,2539.113179026,2839.008436391,2799.022402075,105911.0
2007-01-10,2799.022402075,2739.043350602,2799.022402075,2791.025195212,116051.0
2007-01-11,2791.025195212,2719.050333445,2847.005643254,2819.015419233,92390.0
2007-01-12,2819.015419233,2759.03636776,2998.952573652,2799.022402075,63095.0
2007-01-15,2799.022402075,2751.039160897,2799.022402075,2759.03636776,127318.0
2007-01-22,3698.708174171,3678.715157013,4066.579689872,4018.596448694,132952.0
2007-01-24,4086.57270703,3878.64532859,4158.547568798,3958.617397221,63659.0
2007-01-26,3598.743088383,3398.812916806,3798.67325996,3718.701191329,65349.0
2007-01-29,3718.701191329,3718.701191329,3934.625776632,3934.625776632,61405.0
2007-02-01,4678.366014897,4678.366014897,4906.286410495,4678.366014897,63095.0
2007-02-02,4678.366014897,4598.393946267,4878.296186474,4678.366014897,63659.0
2007-02-05,4678.366014897,4398.46377469,4678.366014897,4458.442826163,22534.0
2007-02-06,4458.442826163,4398.46377469,4598.393946267,4398.46377469,23660.0
2007-02-07,4398.46377469,4386.467964395,4866.30037618,4426.453998711,54082.0
2007-02-08,4426.453998711,3962.616000652,4438.449809005,3966.614604084,112671.0
2007-02-09,3966.614604084,3634.730519267,4034.59086242,3998.603431536,55208.0
2007-02-12,3998.603431536,3998.603431536,4282.504275175,4282.504275175,63659.0
2007-02-13,4282.504275175,4278.505671744,4398.46377469,4398.46377469,155486.0
2007-02-14,4398.46377469,4358.477740375,4718.352049213,4478.435843321,93517.0
2007-02-15,4478.435843321,4426.453998711,4598.393946267,4598.393946267,61405.0
2007-03-01,5398.114632574,5198.184460997,5678.016872782,5398.114632574,95770.0
2007-03-02,5398.114632574,5206.18166786,5518.07273552,5338.135581101,101967.0
2007-03-05,5338.135581101,5198.184460997,5398.114632574,5358.128598259,87883.0
2007-03-06,5358.128598259,5278.156529628,5558.058769835,5438.100666889,82813.0
2007-03-07,5438.100666889,5322.141167375,5598.044804151,5478.086701205,81123.0
2007-03-12,6037.89118162,5997.905147304,6597.695662035,5997.905147304,55208.0
2007-03-13,5997.905147304,5997.905147304,6557.70962772,6113.864646819,36618.0
2007-03-20,6257.814370354,5801.973579159,6757.639799296,5997.905147304,69856.0
2007-03-21,5997.905147304,5726.00011396,6037.89118162,5997.905147304,68729.0
2007-03-26,5638.030838466,5398.114632574,5638.030838466,5398.114632574,40561.0
2007-03-28,4954.269651674,4462.441429595,5446.097873752,5446.097873752,70982.0
2007-03-29,5446.097873752,5198.184460997,5530.068545815,5518.07273552,43941.0
2007-03-30,5518.07273552,5198.184460997,5877.947044358,5438.100666889,33238.0
2007-04-04,4878.296186474,4798.324117844,5198.184460997,5158.198426682,27041.0
2007-04-09,4878.296186474,4798.324117844,5278.156529628,5110.215185503,21970.0
2007-04-10,5110.215185503,5038.240323736,5238.170495313,5038.240323736,42251.0
2007-04-11,5038.240323736,4998.25428942,5198.184460997,5038.240323736,32674.0
2007-04-13,4998.25428942,4918.28222079,5098.219375209,5094.220771777,45068.0
2007-04-17,5038.240323736,4878.296186474,5078.226358051,5038.240323736,49012.0
2007-04-19,5458.093684047,5118.212392366,5558.058769835,5118.212392366,52392.0
2007-04-20,5118.212392366,4998.25428942,5118.212392366,5038.240323736,25351.0
2007-04-24,4718.352049213,4678.366014897,4798.324117844,4678.366014897,16337.0
2007-05-04,4958.268255105,4918.28222079,4998.25428942,4958.268255105,8450.0
2007-05-07,4958.268255105,4878.296186474,4962.266858537,4918.28222079,27041.0
2007-05-09,5118.212392366,4998.25428942,5198.184460997,4998.25428942,27604.0
2007-05-10,4998.25428942,4938.275237947,4998.25428942,4938.275237947,6196.0
2007-05-11,4938.275237947,4878.296186474,5038.240323736,5038.240323736,61969.0
2007-05-14,5038.240323736,4998.25428942,5158.198426682,5158.198426682,51828.0
2007-05-15,5158.198426682,5158.198426682,5398.114632574,5202.183064429,59715.0
2007-05-16,5202.183064429,5038.240323736,5218.177478155,5138.205409524,56335.0
2007-05-17,5138.205409524,5138.205409524,5234.171891881,5218.177478155,58589.0
2007-05-23,6749.642592433,6077.877215935,7397.416348342,6157.849284566,79433.0
2007-05-25,6281.805990944,5997.905147304,6797.625833612,6797.625833612,148726.0
2007-05-28,6797.625833612,6549.712420856,6997.556005189,6597.695662035,129572.0
2007-05-29,6597.695662035,6397.765490458,6709.656558118,6517.723593404,82813.0
2007-05-30,6517.723593404,6397.765490458,6557.70962772,6557.70962772,85630.0
2007-05-31,6557.70962772,6437.751524773,6557.70962772,6557.70962772,104784.0
2007-06-01,6557.70962772,6529.719403699,6637.68169635,6537.716610562,80559.0
2007-06-04,6537.716610562,6297.80040467,6577.702644877,6333.787835554,47885.0
2007-06-06,6149.852077703,5997.905147304,6329.789232122,6329.789232122,72109.0
2007-06-07,6329.789232122,6317.793421827,6517.723593404,6497.730576247,102530.0
2007-06-08,6497.730576247,6357.779456143,6517.723593404,6397.765490458,23660.0
2007-06-11,6397.765490458,6157.849284566,6397.765490458,6157.849284566,33801.0
2007-06-13,6477.737559089,6077.877215935,6517.723593404,6193.83671545,103094.0
2007-06-14,6193.83671545,5997.905147304,6317.793421827,6077.877215935,47321.0
2007-06-15,6077.877215935,5917.933078674,6197.835318881,5981.910733578,126191.0
2007-06-18,5981.910733578,5688.01338136,5997.905147304,5987.908638726,11943.0
2007-06-20,5897.940061516,5698.009889939,5997.905147304,5698.009889939,30646.0
2007-06-22,5887.943552937,5797.974975728,5947.92260441,5797.974975728,27266.0
2007-06-25,5797.974975728,5648.027347045,5847.957518622,5648.027347045,6084.0
2007-06-26,5648.027347045,5498.079718362,5698.009889939,5498.079718362,9239.0
2007-06-28,5198.184460997,4998.25428942,5198.184460997,4998.25428942,7661.0
2007-06-29,4998.25428942,4898.289203632,4998.25428942,4898.289203632,13745.0
2007-07-02,4898.289203632,4798.324117844,4998.25428942,4798.324117844,9464.0
2007-07-05,5078.226358051,4898.289203632,5248.167003891,4898.289203632,16675.0
2007-07-06,4898.289203632,4878.296186474,5098.219375209,5098.219375209,3154.0
2007-07-13,5148.201918103,4998.25428942,5148.201918103,5128.208900945,22308.0
2007-07-16,5128.208900945,5008.250797999,5148.201918103,5008.250797999,8788.0
2007-07-19,5078.226358051,5048.236832315,5148.201918103,5048.236832315,7436.0
2007-07-26,5028.243815157,4898.289203632,5028.243815157,5028.243815157,5858.0
2007-07-31,4598.393946267,4418.456791848,4598.393946267,4508.425369057,14196.0
2007-08-02,4848.306660738,4698.359032055,5148.201918103,4798.324117844,8788.0
2007-08-03,4798.324117844,4718.352049213,4798.324117844,4748.341574949,2704.0
2007-08-06,4748.341574949,4748.341574949,4848.306660738,4748.341574949,1577.0
2007-08-09,4798.324117844,4798.324117844,4798.324117844,4798.324117844,2478.0
2007-08-10,4798.324117844,4698.359032055,4848.306660738,4698.359032055,7210.0
2007-08-13,4698.359032055,4598.393946267,4748.341574949,4598.393946267,7886.0
2007-08-15,4698.359032055,4658.37299774,4768.334592107,4658.37299774,8337.0
2007-08-16,4658.37299774,4648.376489161,4688.362523476,4688.362523476,3830.0
2007-08-20,4598.393946267,4498.428860478,4638.379980582,4638.379980582,1577.0
2007-08-22,4498.428860478,4398.46377469,4498.428860478,4478.435843321,9013.0
2007-08-30,4398.46377469,4398.46377469,4398.46377469,4398.46377469,2478.0
2007-08-31,4398.46377469,4398.46377469,4518.421877636,4498.428860478,3380.0
2007-09-05,4748.341574949,4748.341574949,5048.236832315,5048.236832315,18478.0
2007-09-10,5018.247306578,4998.25428942,5098.219375209,5098.219375209,7661.0
