Date,Price Open,Price Low,Price High,Price Close,Volume
2009-06-16,5019.5962733495,4358.753066494,5680.439480205,5680.439480205,140300.0
2009-06-19,4499.358004123,4190.02714134,4555.599979175,4218.148128865,15000.0
2009-06-23,3965.059241133,3711.970353402,4218.148128865,3711.970353402,16300.0
2009-06-24,3711.970353402,3599.486403298,3824.454303505,3599.486403298,30900.0
2009-06-26,3374.518503092,3233.913565463,3599.486403298,3402.639490618,10200.0
2009-06-30,3543.244428247,3515.123440721,3740.091340927,3543.244428247,5000.0
2009-07-02,3430.760478144,3374.518503092,3515.123440721,3374.518503092,5800.0
2009-07-03,3374.518503092,3262.034552989,3515.123440721,3515.123440721,1300.0
2009-07-06,3515.123440721,3374.518503092,3627.607390824,3543.244428247,3000.0
2009-07-14,3458.88146567,3458.88146567,3458.88146567,3458.88146567,100.0
2009-07-17,3149.550602886,3093.308627835,3177.671590412,3121.42961536,2100.0
2009-07-22,2952.703690206,2840.219740103,3121.42961536,2840.219740103,600.0
2009-07-23,2840.219740103,2812.098752577,3093.308627835,3093.308627835,1500.0
2009-07-29,3093.308627835,2980.824677732,3149.550602886,2980.824677732,4500.0
2009-08-05,3065.187640309,2952.703690206,3262.034552989,3262.034552989,9900.0
2009-08-12,3515.123440721,3290.155540515,3599.486403298,3599.486403298,2400.0
2009-08-17,3571.365415773,3487.002453195,3627.607390824,3487.002453195,800.0
2009-08-18,3487.002453195,3318.276528041,3515.123440721,3318.276528041,7000.0
2009-08-21,3318.276528041,3290.155540515,3430.760478144,3290.155540515,8600.0
2009-08-24,3290.155540515,3262.034552989,3318.276528041,3262.034552989,11400.0
2009-08-27,3318.276528041,3262.034552989,3318.276528041,3318.276528041,200.0
2009-08-28,3318.276528041,3318.276528041,3374.518503092,3318.276528041,5500.0
2009-09-03,3346.397515567,3205.792577938,3346.397515567,3346.397515567,2200.0
2009-09-09,3374.518503092,3262.034552989,3374.518503092,3262.034552989,4900.0
2009-09-10,3262.034552989,3262.034552989,3374.518503092,3346.397515567,7000.0
2009-09-14,3318.276528041,3290.155540515,3374.518503092,3374.518503092,3700.0
2009-09-16,3233.913565463,3121.42961536,3262.034552989,3233.913565463,7500.0
2009-09-18,3149.550602886,3149.550602886,3262.034552989,3233.913565463,7000.0
2009-09-21,3233.913565463,3205.792577938,3233.913565463,3205.792577938,3300.0
2009-09-23,3233.913565463,3233.913565463,3233.913565463,3233.913565463,1600.0
