Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-11,5503.1353095225,4834.530085001,6171.740534044,5410.559201512,150717.0
2009-08-12,5410.559201512,4999.109832576,5451.704138406,5143.117111704,38919.0
2009-08-14,4916.819958789,4587.66046364,4978.537364129,4957.964895682,92083.0
2009-08-17,4957.964895682,4834.530085001,4999.109832576,4999.109832576,46804.0
2009-08-18,4999.109832576,4937.392427235,5101.97217481,4978.537364129,32432.0
2009-08-19,4978.537364129,4731.667742767,4978.537364129,4834.530085001,26073.0
2009-08-20,4834.530085001,4731.667742767,4855.102553448,4731.667742767,26200.0
2009-08-21,4731.667742767,4731.667742767,4875.675021895,4752.240211214,44769.0
2009-08-24,4752.240211214,4649.37786898,4834.530085001,4731.667742767,33959.0
2009-08-27,4731.667742767,4731.667742767,4772.812679661,4731.667742767,26582.0
2009-09-01,5122.544643257,5060.827237916,5266.551922384,5143.117111704,58379.0
2009-09-03,5143.117111704,4937.392427235,5184.262048597,5122.544643257,44261.0
2009-09-04,5122.544643257,4978.537364129,5143.117111704,5081.399706363,38537.0
2009-09-07,5081.399706363,4731.667742767,5081.399706363,4957.964895682,22639.0
2009-09-08,4957.964895682,4896.247490342,5225.406985491,4937.392427235,61304.0
2009-09-09,4937.392427235,4937.392427235,5122.544643257,4978.537364129,27218.0
2009-09-10,4978.537364129,4978.537364129,5245.979453938,5081.399706363,46550.0
2009-09-11,5081.399706363,5060.827237916,5143.117111704,5143.117111704,82290.0
2009-09-14,5143.117111704,5081.399706363,5143.117111704,5101.97217481,44642.0
2009-09-15,5101.97217481,5019.682301023,5472.276606853,5019.682301023,28489.0
2009-09-16,5019.682301023,4916.819958789,5101.97217481,4916.819958789,17170.0
2009-09-21,4896.247490342,4875.675021895,4937.392427235,4875.675021895,26582.0
2009-09-22,4875.675021895,4752.240211214,4957.964895682,4834.530085001,39046.0
2009-09-23,4834.530085001,4731.667742767,5040.254769469,4834.530085001,25946.0
2009-09-24,4834.530085001,4752.240211214,4916.819958789,4896.247490342,21876.0
2009-09-25,4896.247490342,4793.385148108,4916.819958789,4896.247490342,15516.0
2009-09-28,4896.247490342,4731.667742767,4937.392427235,4937.392427235,51383.0
2009-09-29,4937.392427235,4875.675021895,5019.682301023,5019.682301023,46169.0
2009-09-30,5019.682301023,4957.964895682,5287.124390831,5287.124390831,320385.0
2009-10-02,5513.421543746,5143.117111704,5513.421543746,5472.276606853,134182.0
2009-10-06,5184.262048597,4978.537364129,5348.841796172,5287.124390831,115740.0
2009-10-07,5287.124390831,5266.551922384,5431.131669959,5307.696859278,118284.0
2009-10-09,5739.718696661,5636.856354427,6027.733254917,5636.856354427,102131.0
2009-10-13,6151.168065597,5966.015849576,6171.740534044,5966.015849576,100859.0
2009-10-14,5966.015849576,5719.146228214,5966.015849576,5904.298444236,105565.0
2009-10-15,5904.298444236,5883.725975789,6212.885470938,5924.870912682,116885.0
2009-10-16,5924.870912682,5636.856354427,6068.87819181,5719.146228214,90939.0
2009-10-19,5719.146228214,5389.986733065,5760.291165108,5719.146228214,107727.0
2009-10-20,5719.146228214,5657.428822874,5863.153507342,5760.291165108,172720.0
2009-10-21,5760.291165108,5760.291165108,5966.015849576,5822.008570448,119174.0
2009-10-22,5822.008570448,5822.008570448,6212.885470938,6212.885470938,355743.0
2009-10-27,6974.06680347,6500.900029193,7447.233577747,6603.762371427,356888.0
2009-10-28,6603.762371427,6295.175344725,6747.769650555,6295.175344725,131257.0
2009-10-30,5924.870912682,5760.291165108,6295.175344725,6212.885470938,173992.0
2009-11-04,5369.414264618,5143.117111704,5760.291165108,5431.131669959,87886.0
2009-11-06,5842.581038895,5554.56648064,5966.015849576,5636.856354427,79237.0
2009-11-09,5636.856354427,5307.696859278,5883.725975789,5431.131669959,151225.0
2009-11-10,5431.131669959,5266.551922384,5760.291165108,5513.421543746,70461.0
2009-11-11,5513.421543746,5472.276606853,5595.711417533,5533.994012193,70334.0
2009-11-12,5533.994012193,5513.421543746,5616.28388598,5554.56648064,26073.0
2009-11-13,5554.56648064,5184.262048597,5554.56648064,5431.131669959,23911.0
2009-11-16,5431.131669959,5348.841796172,5636.856354427,5431.131669959,44388.0
2009-11-17,5431.131669959,5369.414264618,5657.428822874,5410.559201512,27981.0
2009-11-18,5410.559201512,5307.696859278,5492.849075299,5492.849075299,35103.0
2009-11-19,5492.849075299,5369.414264618,5575.138949087,5410.559201512,36248.0
2009-11-20,5410.559201512,5328.269327725,5472.276606853,5431.131669959,33831.0
2009-11-27,4484.798121405,4176.211094703,4731.667742767,4217.356031597,66519.0
2009-12-02,4813.957616554,4464.225652959,4813.957616554,4525.943058299,39555.0
2009-12-03,4525.943058299,4423.080716065,4813.957616554,4690.522805874,18696.0
2009-12-07,4525.943058299,4464.225652959,4525.943058299,4505.370589852,23402.0
2009-12-10,4073.348752469,3888.196536448,4114.493689363,3908.769004895,39173.0
2009-12-14,3682.47185198,3600.181978192,3805.906662661,3805.906662661,40445.0
2009-12-15,3805.906662661,3703.044320427,3805.906662661,3703.044320427,37138.0
2009-12-22,3744.18925732,3703.044320427,3888.196536448,3703.044320427,21367.0
2009-12-23,3703.044320427,3661.899383533,3785.334194214,3703.044320427,15898.0
2009-12-24,3703.044320427,3620.754446639,3805.906662661,3805.906662661,38792.0
2009-12-25,3805.906662661,3785.334194214,3949.913941788,3949.913941788,75167.0
2009-12-29,3908.769004895,3888.196536448,4093.921220916,3888.196536448,6486.0
2009-12-31,4196.78356315,4052.776284022,4279.073436937,4217.356031597,47440.0
2010-01-06,4669.950337427,4423.080716065,4731.667742767,4423.080716065,37011.0
2010-01-08,4196.78356315,4011.631347129,4464.225652959,4217.356031597,33831.0
2010-01-11,4217.356031597,3991.058878682,4320.218373831,4196.78356315,24419.0
2010-01-13,3929.341473341,3703.044320427,4114.493689363,4032.203815576,40064.0
2010-01-14,4032.203815576,4011.631347129,4176.211094703,4011.631347129,25310.0
2010-01-15,4011.631347129,3949.913941788,4217.356031597,3949.913941788,29634.0
2010-01-18,3949.913941788,3826.479131107,3949.913941788,3867.624068001,32559.0
2010-01-20,4011.631347129,3929.341473341,4258.500968491,3929.341473341,24674.0
2010-01-22,3764.761725767,3661.899383533,3805.906662661,3764.761725767,27854.0
2010-01-25,3764.761725767,3743.123873392,3959.489415207,3937.852861025,15771.0
2010-01-27,4175.854957021,3851.3066443,4327.310836292,3851.3066443,18696.0
2010-01-28,3851.3066443,3678.214210848,3894.579752662,3721.487319211,5341.0
2010-02-02,3808.033535937,3764.760427574,3872.943198481,3764.760427574,2670.0
2010-02-08,3872.943198481,3721.487319211,3937.852861025,3721.487319211,15389.0
2010-02-09,3721.487319211,3678.214210848,3894.579752662,3699.850765029,12718.0
2010-02-10,3699.850765029,3505.121777396,3894.579752662,3786.396981755,6868.0
2010-02-11,3786.396981755,3786.396981755,3937.852861025,3916.216306844,3688.0
2010-02-22,4067.672186114,3894.579752662,4110.945294477,3981.125969388,3561.0
2010-02-24,3808.033535937,3786.396981755,3851.3066443,3829.670090118,16407.0
2010-02-25,3829.670090118,3764.760427574,3872.943198481,3872.943198481,3561.0
2010-03-01,3829.670090118,3829.670090118,3872.943198481,3829.670090118,7758.0
2010-03-02,3829.670090118,3786.396981755,3894.579752662,3894.579752662,3815.0
2010-03-04,3872.943198481,3829.670090118,3959.489415207,3829.670090118,18950.0
2010-03-09,4002.76252357,3959.489415207,4024.399077751,4002.76252357,18060.0
2010-03-10,4002.76252357,3959.489415207,4046.035631933,3959.489415207,22766.0
2010-03-11,3959.489415207,3937.852861025,4219.128065384,4219.128065384,55199.0
2010-03-12,4219.128065384,4110.945294477,4413.857053017,4413.857053017,172593.0
2010-03-15,4413.857053017,4327.310836292,4543.676378106,4413.857053017,44006.0
2010-03-16,4413.857053017,4110.945294477,4435.493607199,4219.128065384,31796.0
2010-03-17,4219.128065384,4024.399077751,4305.67428211,4046.035631933,21494.0
2010-03-18,4046.035631933,3981.125969388,4154.21840284,4110.945294477,50493.0
2010-03-19,4110.945294477,3959.489415207,4154.21840284,3959.489415207,34086.0
2010-03-22,3959.489415207,3916.216306844,4046.035631933,4002.76252357,23148.0
2010-03-23,4002.76252357,3959.489415207,4067.672186114,3981.125969388,34594.0
2010-03-25,4067.672186114,3786.396981755,4110.945294477,3937.852861025,31288.0
2010-03-26,3937.852861025,3894.579752662,3937.852861025,3894.579752662,7631.0
2010-03-29,3894.579752662,3894.579752662,3959.489415207,3894.579752662,14626.0
2010-03-30,3894.579752662,3808.033535937,4002.76252357,3916.216306844,39809.0
2010-03-31,3916.216306844,3786.396981755,3916.216306844,3786.396981755,11065.0
2010-04-01,3786.396981755,3678.214210848,3894.579752662,3851.3066443,50747.0
2010-04-05,3829.670090118,3678.214210848,3851.3066443,3786.396981755,66010.0
2010-04-06,3786.396981755,3678.214210848,3851.3066443,3678.214210848,145756.0
2010-04-12,4284.037727929,4024.399077751,4305.67428211,4046.035631933,105565.0
2010-04-13,4046.035631933,3872.943198481,4046.035631933,3894.579752662,43752.0
2010-04-14,3894.579752662,3894.579752662,4046.035631933,3937.852861025,175518.0
2010-04-20,4565.312932288,4435.493607199,4868.224690828,4868.224690828,249287.0
2010-04-22,5149.499895187,4803.315028284,5495.68476209,4954.770907554,448335.0
2010-04-26,4954.770907554,4868.224690828,5084.590232643,4868.224690828,61940.0
2010-04-28,4760.041919921,4738.405365739,4976.407461735,4976.407461735,367953.0
2010-04-29,4976.407461735,4889.86124501,5257.682666094,5084.590232643,181878.0
2010-05-05,5365.865437002,5084.590232643,5733.686858086,5214.409557731,249414.0
2010-05-06,5214.409557731,5019.680570098,5365.865437002,5300.955774457,289605.0
2010-05-13,4673.495703195,4500.403269743,4868.224690828,4543.676378106,46932.0
2010-05-17,4846.588136647,4651.859149014,4846.588136647,4716.768811558,25691.0
2010-05-18,4716.768811558,4457.13016138,4716.768811558,4565.312932288,77965.0
2010-05-20,4327.310836292,4046.035631933,4522.039823925,4500.403269743,79619.0
2010-05-25,4320.480624247,4182.885699908,4458.075548587,4292.96163938,16200.0
2010-05-26,4292.96163938,4292.96163938,4513.113518322,4347.999609115,107100.0
2010-05-31,4678.227427529,4568.151488058,4898.379306472,4678.227427529,25200.0
2010-06-02,4595.670472926,4430.556563719,4623.189457793,4623.189457793,44200.0
2010-06-03,4623.189457793,4513.113518322,4678.227427529,4540.63250319,107200.0
2010-06-04,4540.63250319,4320.480624247,4540.63250319,4513.113518322,184000.0
2010-06-08,4265.442654512,4127.847730173,4347.999609115,4320.480624247,12400.0
2010-06-09,4320.480624247,4237.923669644,4403.037578851,4375.518593983,72300.0
2010-06-10,4375.518593983,4265.442654512,4513.113518322,4513.113518322,119500.0
2010-06-11,4513.113518322,4403.037578851,4678.227427529,4458.075548587,51600.0
2010-06-14,4458.075548587,4403.037578851,4513.113518322,4485.594533454,58500.0
