Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-22,2113.542682513,2113.542682513,2113.542682513,2113.542682513,24137.0
2006-12-25,2113.542682513,2113.542682513,2216.87143588,2216.87143588,76636.0
2006-12-27,2324.896950764,2324.896950764,2418.832181098,2418.832181098,301.0
2007-01-03,2771.08929485,2677.154064516,2865.024525184,2865.024525184,136557.0
2007-01-05,2724.121679683,2606.702641766,2818.056910017,2818.056910017,47309.0
2007-01-08,2818.056910017,2818.056910017,2911.992140351,2818.056910017,25465.0
2007-01-10,2771.08929485,2653.670256933,2771.08929485,2653.670256933,9051.0
2007-01-12,2583.218834182,2536.251219015,2583.218834182,2536.251219015,21120.0
2007-01-15,2536.251219015,2418.832181098,2536.251219015,2442.315988681,34637.0
2007-01-16,2442.315988681,2324.896950764,2442.315988681,2324.896950764,71205.0
2007-01-17,2324.896950764,2324.896950764,2418.832181098,2418.832181098,170470.0
2007-01-18,2418.832181098,2418.832181098,2536.251219015,2536.251219015,15991.0
2007-01-19,2536.251219015,2536.251219015,2653.670256933,2653.670256933,5129.0
2007-01-22,2653.670256933,2653.670256933,2771.08929485,2771.08929485,24740.0
2007-01-24,2888.508332767,2888.508332767,3029.411178268,2888.508332767,237633.0
2007-01-26,2747.605487267,2677.154064516,2771.08929485,2771.08929485,54912.0
2007-01-29,2771.08929485,2700.6378721,2771.08929485,2700.6378721,59136.0
2007-01-30,2700.6378721,2606.702641766,2700.6378721,2700.6378721,97515.0
2007-01-31,2700.6378721,2630.186449349,2700.6378721,2630.186449349,63481.0
2007-02-01,2630.186449349,2606.702641766,2677.154064516,2606.702641766,99265.0
2007-02-06,2841.5407176,2724.121679683,2841.5407176,2841.5407176,119420.0
2007-02-08,2794.573102434,2677.154064516,2794.573102434,2677.154064516,124609.0
2007-02-09,2677.154064516,2583.218834182,2677.154064516,2630.186449349,108256.0
2007-02-12,2630.186449349,2559.735026599,2724.121679683,2724.121679683,159609.0
2007-02-14,2771.08929485,2771.08929485,2794.573102434,2794.573102434,49300.0
2007-03-02,3193.797831353,3099.862601019,3193.797831353,3193.797831353,131247.0
2007-03-16,3569.538752688,3405.152099604,3569.538752688,3569.538752688,243667.0
2007-03-20,3733.925405773,3593.022560272,3733.925405773,3593.022560272,69998.0
2007-03-21,3593.022560272,3475.603522354,3593.022560272,3475.603522354,75550.0
2007-03-22,3475.603522354,3334.700676853,3475.603522354,3428.635907187,108075.0
2007-03-26,3381.66829202,3217.281638936,3381.66829202,3217.281638936,73196.0
2007-04-02,3217.281638936,3076.378793435,3217.281638936,3076.378793435,46343.0
2007-04-04,2982.443563101,2982.443563101,3123.346408602,3123.346408602,62153.0
2007-04-06,3170.314023769,3052.894985852,3170.314023769,3052.894985852,40611.0
2007-04-09,3052.894985852,2982.443563101,3052.894985852,3052.894985852,25102.0
2007-04-10,3052.894985852,3005.927370685,3052.894985852,3005.927370685,54792.0
2007-04-11,3005.927370685,2865.024525184,3005.927370685,2865.024525184,71929.0
2007-04-12,2865.024525184,2865.024525184,2911.992140351,2865.024525184,67765.0
2007-04-13,2865.024525184,2865.024525184,2911.992140351,2911.992140351,40430.0
2007-04-16,2911.992140351,2818.056910017,2911.992140351,2818.056910017,48274.0
2007-04-18,2747.605487267,2700.6378721,2865.024525184,2865.024525184,14784.0
2007-04-19,2865.024525184,2865.024525184,2911.992140351,2865.024525184,92144.0
2007-04-25,2489.283603848,2395.348373514,2489.283603848,2489.283603848,47550.0
2007-05-02,2489.283603848,2489.283603848,2489.283603848,2489.283603848,47792.0
2007-05-03,2489.283603848,2489.283603848,2559.735026599,2559.735026599,24258.0
2007-05-07,2536.251219015,2536.251219015,2559.735026599,2559.735026599,36990.0
2007-05-08,2559.735026599,2559.735026599,2583.218834182,2559.735026599,69395.0
