Date,Price Open,Price Low,Price High,Price Close,Volume
2002-12-19,2758.676575802,2758.676575802,2758.676575802,2758.676575802,43884.0
2002-12-23,2681.690252756,2681.690252756,2681.690252756,2681.690252756,29479.0
2002-12-25,2758.676575802,2758.676575802,2758.676575802,2758.676575802,21439.0
2002-12-26,2758.676575802,2758.676575802,2758.676575802,2758.676575802,10384.0
2002-12-30,2694.521306597,2694.521306597,2694.521306597,2694.521306597,13399.0
2003-01-07,2899.818168052,2899.818168052,2899.818168052,2899.818168052,51924.0
2003-01-21,2763.03457893,2763.03457893,2763.03457893,2763.03457893,3349.0
2003-01-27,2790.39135694,2790.39135694,2790.39135694,2790.39135694,1674.0
2003-01-28,2790.39135694,2790.39135694,2790.39135694,2790.39135694,4354.0
2003-01-29,2790.39135694,2790.39135694,2790.39135694,2790.39135694,4354.0
2003-01-30,2790.39135694,2790.39135694,2790.39135694,2790.39135694,4354.0
2003-02-06,2790.39135694,2790.39135694,2790.39135694,2790.39135694,4354.0
2003-02-07,2790.39135694,2790.39135694,2790.39135694,2790.39135694,4354.0
2003-02-12,2680.964244903,2680.964244903,2680.964244903,2680.964244903,4689.0
2003-02-13,2680.964244903,2680.964244903,2680.964244903,2680.964244903,2009.0
2003-02-14,2680.964244903,2680.964244903,2680.964244903,2680.964244903,8709.0
2003-02-18,2667.285855898,2667.285855898,2667.285855898,2667.285855898,669.0
2003-02-19,2667.285855898,2667.285855898,2667.285855898,2667.285855898,334.0
2003-02-20,2667.285855898,2667.285855898,2667.285855898,2667.285855898,6699.0
2003-02-21,2667.285855898,2667.285855898,2667.285855898,2667.285855898,1339.0
2003-02-24,2667.285855898,2667.285855898,2667.285855898,2667.285855898,1339.0
2003-02-26,,2667.285855898,2667.285855898,2667.285855898,0.0
2003-03-03,2749.356189926,2749.356189926,2749.356189926,2749.356189926,334.0
2003-03-04,2749.356189926,2749.356189926,2749.356189926,2749.356189926,3349.0
2003-03-06,2653.607466894,2653.607466894,2653.607466894,2653.607466894,4689.0
2003-03-11,2694.642633907,2694.642633907,2694.642633907,2694.642633907,1674.0
2003-03-21,2667.285855898,2667.285855898,2667.285855898,2667.285855898,3014.0
2003-03-24,2667.285855898,2667.285855898,2667.285855898,2667.285855898,3014.0
